,balderdashy/sails,expressjs/express,hapijs/hapi
2012-01-17,6,5,0
2012-01-18,5,0,0
2012-01-19,1,2,0
2012-01-20,0,0,0
2012-01-21,0,0,0
2012-01-22,0,0,0
2012-01-23,5,0,0
2012-01-24,2,0,0
2012-01-25,0,0,0
2012-01-26,1,0,0
2012-01-27,15,0,0
2012-01-28,0,0,0
2012-01-29,0,0,0
2012-01-30,0,0,0
2012-01-31,0,0,0
2012-02-01,0,1,0
2012-02-02,0,0,0
2012-02-03,0,0,0
2012-02-04,0,0,0
2012-02-05,0,0,0
2012-02-06,0,2,0
2012-02-07,0,15,0
2012-02-08,0,2,0
2012-02-09,0,5,1
2012-02-10,2,0,0
2012-02-11,12,0,0
2012-02-12,3,2,0
2012-02-13,15,0,2
2012-02-14,2,0,1
2012-02-15,0,0,3
2012-02-16,0,1,1
2012-02-17,0,1,5
2012-02-18,0,52,1
2012-02-19,4,3,0
2012-02-20,3,0,10
2012-02-21,0,2,4
2012-02-22,4,1,2
2012-02-23,2,7,3
2012-02-24,4,3,2
2012-02-25,2,0,0
2012-02-26,4,4,0
2012-02-27,3,0,0
2012-02-28,0,1,0
2012-02-29,4,0,6
2012-03-01,0,2,0
2012-03-02,0,0,0
2012-03-03,0,0,0
2012-03-04,4,0,0
2012-03-05,9,0,0
2012-03-06,5,0,2
2012-03-07,1,0,0
2012-03-08,9,0,1
2012-03-09,0,0,0
2012-03-10,0,0,0
2012-03-11,0,0,0
2012-03-12,0,0,0
2012-03-13,0,0,0
2012-03-14,0,0,3
2012-03-15,0,0,3
2012-03-16,0,0,2
2012-03-17,0,0,0
2012-03-18,14,0,0
2012-03-19,1,0,9
2012-03-20,5,0,1
2012-03-21,0,0,1
2012-03-22,2,0,2
2012-03-23,0,0,5
2012-03-24,0,12,1
2012-03-25,0,0,5
2012-03-26,0,0,15
2012-03-27,0,2,5
2012-03-28,0,0,0
2012-03-29,0,7,0
2012-03-30,0,2,2
2012-03-31,0,0,0
2012-04-01,0,0,0
2012-04-02,4,15,4
2012-04-03,0,4,1
2012-04-04,0,2,0
2012-04-05,0,2,0
2012-04-06,0,0,0
2012-04-07,0,0,0
2012-04-08,0,0,0
2012-04-09,0,0,0
2012-04-10,0,2,0
2012-04-11,0,14,0
2012-04-12,0,1,0
2012-04-13,4,3,0
2012-04-14,1,0,0
2012-04-15,12,8,0
2012-04-16,2,10,0
2012-04-17,1,0,2
2012-04-18,0,10,0
2012-04-19,0,5,1
2012-04-20,0,2,0
2012-04-21,0,0,0
2012-04-22,1,2,0
2012-04-23,4,0,0
2012-04-24,0,1,0
2012-04-25,0,11,5
2012-04-26,0,34,4
2012-04-27,0,5,0
2012-04-28,0,1,0
2012-04-29,0,3,0
2012-04-30,0,1,1
2012-05-01,0,2,1
2012-05-02,0,5,0
2012-05-03,0,6,0
2012-05-04,0,3,0
2012-05-05,0,1,0
2012-05-06,0,0,0
2012-05-07,14,7,0
2012-05-08,0,0,17
2012-05-09,0,2,9
2012-05-10,2,2,16
2012-05-11,1,3,22
2012-05-12,2,2,1
2012-05-13,0,0,0
2012-05-14,16,1,13
2012-05-15,2,0,4
2012-05-16,5,0,21
2012-05-17,6,1,0
2012-05-18,0,0,0
2012-05-19,0,0,0
2012-05-20,0,0,0
2012-05-21,0,1,0
2012-05-22,0,0,0
2012-05-23,0,0,2
2012-05-24,0,0,1
2012-05-25,4,0,0
2012-05-26,0,0,0
2012-05-27,0,2,0
2012-05-28,19,0,0
2012-05-29,2,0,2
2012-05-30,3,7,7
2012-05-31,3,0,1
2012-06-01,1,4,3
2012-06-02,7,0,0
2012-06-03,0,1,0
2012-06-04,0,1,1
2012-06-05,0,0,0
2012-06-06,0,9,0
2012-06-07,0,2,2
2012-06-08,0,4,0
2012-06-09,0,0,0
2012-06-10,0,1,0
2012-06-11,0,1,0
2012-06-12,0,0,0
2012-06-13,0,0,0
2012-06-14,0,3,0
2012-06-15,0,10,0
2012-06-16,0,0,0
2012-06-17,0,3,0
2012-06-18,0,13,0
2012-06-19,1,0,0
2012-06-20,0,0,0
2012-06-21,0,2,0
2012-06-22,0,3,1
2012-06-23,0,0,0
2012-06-24,0,0,0
