,mintty/mintty,microsoft/terminal,alacritty/alacritty
2017-08-11,0,1.0,6
2017-08-12,0,3.8,1
2017-08-13,0,2.12,0
2017-08-14,0,10.032,0
2017-08-15,0,1.3344000000000005,0
2017-08-16,2,-1.9839360000000008,0
2017-08-17,0,-1.0713728000000007,0
2017-08-18,0,0.26315007999999956,0
2017-08-19,0,-0.7586769920000002,0
2017-08-20,0,-0.5276611583999999,1
2017-08-21,0,-0.40894965759999985,1
2017-08-22,0,-0.29697976319999925,2
2017-08-23,0,0.7797502976000006,0
2017-08-24,0,-0.27030620159999985,0
2017-08-25,0,-0.09692672000000008,0
2017-08-26,0,-0.06238771199999998,0
2017-08-27,0,-0.04606935039999997,0
2017-08-28,0,1.974464,1
2017-08-29,0,-0.42042879999999994,8
2017-08-30,0,-0.17692672000000015,0
2017-08-31,0,-0.11038771200000001,0
2017-09-01,0,-0.07966935039999999,0
2017-09-02,0,-0.05107200000000003,2
2017-09-03,0,-0.04085760000000002,0
2017-09-04,1,-0.03385344000000002,0
2017-09-05,1,-0.02877542399999988,6
2017-09-06,1,-0.02493870079999993,0
2017-09-07,0,0.0,0
2017-09-08,0,0.0,0
2017-09-09,0,0.0,0
2017-09-10,0,0.0,0
2017-09-11,1,3.0,1
2017-09-12,0,-0.5999999999999999,0
2017-09-13,0,-0.2400000000000002,0
2017-09-14,0,-0.1440000000000001,0
2017-09-15,0,-0.10080000000000003,0
2017-09-16,3,-0.07660800000000004,0
2017-09-17,0,-0.06128640000000003,0
2017-09-18,0,-0.05078016000000003,0
2017-09-19,3,-0.04316313599999982,0
2017-09-20,0,-0.03740805119999989,0
2017-09-21,1,0.0,0
2017-09-22,0,0.0,0
2017-09-23,1,0.0,0
2017-09-24,1,0.0,0
2017-09-25,0,0.0,0
2017-09-26,2,0.0,0
2017-09-27,1,0.0,0
2017-09-28,0,0.0,1
2017-09-29,0,0.0,0
2017-09-30,0,0.0,2
2017-10-01,0,0.0,0
2017-10-02,7,0.0,0
2017-10-03,1,0.0,0
2017-10-04,2,0.0,1
2017-10-05,1,0.0,0
2017-10-06,0,0.0,2
2017-10-07,0,0.0,1
2017-10-08,1,2.0,0
2017-10-09,0,-0.3999999999999999,11
2017-10-10,0,-0.16000000000000014,0
2017-10-11,4,-0.09600000000000007,0
2017-10-12,1,-0.06720000000000002,0
2017-10-13,0,1.948928,0
2017-10-14,2,-0.44085759999999996,2
2017-10-15,0,-0.19385344000000015,2
2017-10-16,0,-0.12477542399999995,1
2017-10-17,0,-0.09213870079999995,3
2017-10-18,0,-0.05107200000000003,0
2017-10-19,0,-0.04085760000000002,0
2017-10-20,0,-0.03385344000000002,1
2017-10-21,0,-0.02877542399999988,4
2017-10-22,2,-0.02493870079999993,4
2017-10-23,3,1.0,0
2017-10-24,1,-0.19999999999999996,0
2017-10-25,1,-0.08000000000000007,0
2017-10-26,2,-0.048000000000000036,0
2017-10-27,0,-0.03360000000000001,2
2017-10-28,1,-0.025536000000000014,0
2017-10-29,3,-0.02042880000000001,0
2017-10-30,3,-0.01692672000000001,2
2017-10-31,3,-0.01438771199999994,1
2017-11-01,1,-0.012469350399999964,0
2017-11-02,4,0.0,0
2017-11-03,1,0.0,0
2017-11-04,0,0.0,0
2017-11-05,2,0.0,0
2017-11-06,0,0.0,0
2017-11-07,0,0.0,0
2017-11-08,0,0.0,0
2017-11-09,3,0.0,0
2017-11-10,0,0.0,0
2017-11-11,0,0.0,9
2017-11-12,0,0.0,2
2017-11-13,3,0.0,0
2017-11-14,0,0.0,0
2017-11-15,0,0.0,0
2017-11-16,0,0.0,0
2017-11-17,0,0.0,0
2017-11-18,0,0.0,0
2017-11-19,5,0.0,2
2017-11-20,3,0.0,1
2017-11-21,0,0.0,0
2017-11-22,4,0.0,0
2017-11-23,0,0.0,0
2017-11-24,0,0.0,0
2017-11-25,0,0.0,0
2017-11-26,0,0.0,0
2017-11-27,4,0.0,0
2017-11-28,6,0.0,0
2017-11-29,2,0.0,0
2017-11-30,0,0.0,0
2017-12-01,3,0.0,0
2017-12-02,0,0.0,0
2017-12-03,0,0.0,8
2017-12-04,0,0.0,0
2017-12-05,2,0.0,0
2017-12-06,2,0.0,0
2017-12-07,2,0.0,0
2017-12-08,1,0.0,0
2017-12-09,0,0.0,0
2017-12-10,1,0.0,0
2017-12-11,3,0.0,0
2017-12-12,0,0.0,0
2017-12-13,2,0.0,2
2017-12-14,3,0.0,0
2017-12-15,2,0.0,0
2017-12-16,2,0.0,0
2017-12-17,0,0.0,1
2017-12-18,0,0.0,0
2017-12-19,0,0.0,0
2017-12-20,4,0.0,0
2017-12-21,1,0.0,0
2017-12-22,0,0.0,17
2017-12-23,1,0.0,4
2017-12-24,0,0.0,23
2017-12-25,0,0.0,0
2017-12-26,0,0.0,0
2017-12-27,0,0.0,0
2017-12-28,0,0.0,0
2017-12-29,1,0.0,1
2017-12-30,0,0.0,0
2017-12-31,0,0.0,0
2018-01-01,0,0.0,0
2018-01-02,1,0.0,4
2018-01-03,7,0.0,7
2018-01-04,0,0.0,0
2018-01-05,1,0.0,1
2018-01-06,0,0.0,4
2018-01-07,0,0.0,2
2018-01-08,1,0.0,3
2018-01-09,1,0.0,0
2018-01-10,0,0.0,2
2018-01-11,0,0.0,1
2018-01-12,0,0.0,0
