,MonoGame/MonoGame,godotengine/godot,4ian/GDevelop
2017-04-10,1,18,2
2017-04-11,0,7,0
2017-04-12,0,4,1
2017-04-13,0,4,0
2017-04-14,0,14,0
2017-04-15,0,4,3
2017-04-16,1,6,0
2017-04-17,0,15,1
2017-04-18,0,6,0
2017-04-19,0,3,0
2017-04-20,0,9,0
2017-04-21,1,1,0
2017-04-22,0,0,0
2017-04-23,0,6,0
2017-04-24,5,22,0
2017-04-25,1,9,0
2017-04-26,6,19,0
2017-04-27,0,8,2
2017-04-28,0,10,2
2017-04-29,0,5,3
2017-04-30,2,2,0
2017-05-01,6,4,0
2017-05-02,14,19,0
2017-05-03,5,2,0
2017-05-04,0,3,0
2017-05-05,1,13,0
2017-05-06,1,8,1
2017-05-07,0,5,0
2017-05-08,0,9,0
2017-05-09,4,5,2
2017-05-10,0,1,0
2017-05-11,0,5,0
2017-05-12,0,13,0
2017-05-13,0,2,2
2017-05-14,0,7,1
2017-05-15,4,9,0
2017-05-16,2,5,1
2017-05-17,0,7,0
2017-05-18,0,14,2
2017-05-19,0,8,0
2017-05-20,0,16,4
2017-05-21,0,2,5
2017-05-22,2,17,0
2017-05-23,0,16,0
2017-05-24,0,5,0
2017-05-25,2,12,1
2017-05-26,0,11,3
2017-05-27,3,25,2
2017-05-28,7,12,0
2017-05-29,0,8,0
2017-05-30,0,6,0
2017-05-31,0,10,0
2017-06-01,1,5,3
2017-06-02,2,1,0
2017-06-03,1,4,4
2017-06-04,0,7,2
2017-06-05,0,10,1
2017-06-06,4,2,0
2017-06-07,0,17,0
2017-06-08,0,14,3
2017-06-09,0,5,0
2017-06-10,0,3,0
2017-06-11,0,7,6
2017-06-12,1,11,0
2017-06-13,5,11,3
2017-06-14,0,21,0
2017-06-15,2,13,0
2017-06-16,0,25,2
2017-06-17,2,16,5
2017-06-18,0,3,3
2017-06-19,0,21,2
2017-06-20,0,10,1
2017-06-21,0,2,2
2017-06-22,9,14,1
2017-06-23,1,11,0
2017-06-24,0,19,0
2017-06-25,0,25,0
2017-06-26,1,30,0
2017-06-27,4,13,2
2017-06-28,0,10,0
2017-06-29,0,4,0
2017-06-30,0,5,1
2017-07-01,0,12,1
2017-07-02,1,4,5
2017-07-03,1,18,2
2017-07-04,0,4,1
2017-07-05,0,18,0
2017-07-06,0,9,0
2017-07-07,0,4,0
2017-07-08,1,23,0
2017-07-09,0,4,3
2017-07-10,0,16,0
2017-07-11,0,19,1
2017-07-12,0,8,1
2017-07-13,1,12,0
2017-07-14,2,6,2
2017-07-15,1,10,3
2017-07-16,3,7,4
2017-07-17,2,19,2
2017-07-18,1,20,8
2017-07-19,2,13,0
2017-07-20,4,8,0
2017-07-21,5,7,0
2017-07-22,0,25,0
2017-07-23,2,31,4
2017-07-24,0,26,0
2017-07-25,0,36,1
2017-07-26,2,28,0
2017-07-27,0,24,0
2017-07-28,1,20,1
2017-07-29,1,10,1
2017-07-30,11,10,1
2017-07-31,1,16,3
2017-08-01,1,16,8
2017-08-02,0,17,3
2017-08-03,0,13,7
2017-08-04,1,13,0
2017-08-05,0,11,0
2017-08-06,0,11,0
2017-08-07,0,46,0
2017-08-08,0,25,1
2017-08-09,0,15,0
2017-08-10,5,11,1
2017-08-11,2,24,0
2017-08-12,4,10,0
2017-08-13,2,21,0
2017-08-14,2,11,4
2017-08-15,0,25,3
2017-08-16,2,33,2
2017-08-17,0,17,3
2017-08-18,1,23,0
2017-08-19,0,36,1
2017-08-20,0,23,8
2017-08-21,2,37,0
2017-08-22,2,42,0
2017-08-23,0,21,0
2017-08-24,2,17,1
2017-08-25,0,14,0
2017-08-26,0,30,18
2017-08-27,2,47,0
2017-08-28,4,16,3
2017-08-29,6,37,6
2017-08-30,3,37,0
2017-08-31,1,43,0
2017-09-01,1,33,0
2017-09-02,0,25,0
2017-09-03,0,21,0
2017-09-04,0,49,0
2017-09-05,0,20,1
2017-09-06,0,14,0
2017-09-07,2,20,4
2017-09-08,2,10,0
2017-09-09,2,17,2
2017-09-10,0,12,0
2017-09-11,3,33,3
2017-09-12,3,78,2
2017-09-13,0,43,0
2017-09-14,6,31,0
2017-09-15,2,17,0
2017-09-16,1,25,6
2017-09-17,0,93,0
2017-09-18,0,15,0
2017-09-19,2,32,4
2017-09-20,0,22,2
2017-09-21,4,24,0
2017-09-22,0,26,0
2017-09-23,0,20,2
2017-09-24,2,39,5
2017-09-25,4,43,0
2017-09-26,0,23,2
2017-09-27,3,13,1
2017-09-28,0,14,0
2017-09-29,3,15,0
2017-09-30,0,17,2
2017-10-01,0,21,9
2017-10-02,0,50,0
2017-10-03,1,24,0
2017-10-04,2,22,2
2017-10-05,2,13,0
2017-10-06,0,22,0
2017-10-07,0,30,3
2017-10-08,0,18,7
2017-10-09,0,47,2
2017-10-10,0,20,0
2017-10-11,0,28,0
2017-10-12,2,17,3
2017-10-13,4,28,0
2017-10-14,0,29,1
2017-10-15,8,33,8
2017-10-16,0,17,0
2017-10-17,0,18,1
2017-10-18,0,11,1
2017-10-19,0,12,0
2017-10-20,0,40,0
2017-10-21,0,37,3
2017-10-22,0,47,14
2017-10-23,0,34,0
2017-10-24,0,19,4
2017-10-25,0,13,0
2017-10-26,1,12,2
2017-10-27,0,19,0
2017-10-28,0,13,3
2017-10-29,0,26,0
2017-10-30,2,28,0
2017-10-31,0,29,2
2017-11-01,0,17,3
2017-11-02,1,8,6
2017-11-03,0,11,1
2017-11-04,0,16,0
2017-11-05,0,16,5
2017-11-06,0,15,2
2017-11-07,0,12,3
2017-11-08,1,20,4
2017-11-09,1,28,2
2017-11-10,1,36,0
2017-11-11,1,14,3
2017-11-12,0,29,6
2017-11-13,0,43,0
2017-11-14,1,17,2
2017-11-15,1,18,2
2017-11-16,1,28,1
2017-11-17,0,22,0
2017-11-18,0,14,2
2017-11-19,0,64,9
2017-11-20,0,71,1
2017-11-21,3,39,2
2017-11-22,1,22,1
2017-11-23,4,13,0
2017-11-24,2,34,3
2017-11-25,0,26,0
2017-11-26,2,44,1
2017-11-27,2,17,5
2017-11-28,2,15,1
