,grafana/grafana,netdata/netdata,cacti/cacti
2013-06-17,3,11.0,0
2013-06-18,0,1.5,0
2013-06-19,2,0.125,0
2013-06-20,0,0.9375,0
2013-06-21,3,-1.9921875,0
2013-06-22,0,-2.51171875,0
2013-06-23,0,-1.1748046875,0
2013-06-24,0,-0.77783203125,0
2013-06-25,0,-0.574188232421875,0
2013-06-26,0,-0.4494476318359375,0
2013-06-27,0,-0.2634124755859375,0
2013-06-28,0,-0.1522369384765625,0
2013-06-29,0,-0.0807342529296875,0
2013-06-30,0,-0.021820068359375,0
2013-07-01,0,0.0,0
2013-07-02,0,0.0,0
2013-07-03,0,0.0,0
2013-07-04,0,0.0,0
2013-07-05,0,0.0,0
2013-07-06,0,2.0,0
2013-07-07,0,-1.0,0
2013-07-08,0,-0.25,0
2013-07-09,0,-0.125,0
2013-07-10,3,-0.078125,0
2013-07-11,0,-0.0546875,0
2013-07-12,1,-0.041015625,0
2013-07-13,0,-0.0322265625,0
2013-07-14,7,-0.02618408203125,0
2013-07-15,6,-0.021820068359375,0
2013-07-16,2,0.0,0
2013-07-17,6,0.0,0
2013-07-18,8,0.0,0
2013-07-19,0,0.0,0
2013-07-20,4,0.0,0
2013-07-21,0,0.0,6
2013-07-22,10,0.0,4
2013-07-23,15,0.0,0
2013-07-24,7,0.0,0
2013-07-25,3,0.0,0
2013-07-26,7,0.0,0
2013-07-27,6,0.0,0
2013-07-28,0,0.0,0
2013-07-29,18,0.0,0
2013-07-30,7,0.0,0
2013-07-31,4,0.0,0
2013-08-01,2,0.0,0
2013-08-02,2,0.0,0
2013-08-03,0,0.0,0
2013-08-04,0,0.0,1
2013-08-05,0,0.0,0
2013-08-06,0,0.0,0
2013-08-07,4,0.0,1
2013-08-08,0,0.0,2
2013-08-09,2,0.0,0
2013-08-10,0,0.0,0
2013-08-11,0,0.0,0
2013-08-12,0,0.0,0
2013-08-13,2,0.0,2
2013-08-14,8,0.0,0
2013-08-15,0,0.0,0
2013-08-16,6,0.0,0
2013-08-17,0,0.0,0
2013-08-18,0,0.0,1
2013-08-19,0,0.0,0
2013-08-20,5,0.0,0
2013-08-21,4,0.0,0
2013-08-22,8,0.0,0
2013-08-23,9,0.0,0
2013-08-24,1,0.0,2
2013-08-25,0,0.0,1
2013-08-26,30,0.0,0
2013-08-27,16,0.0,0
2013-08-28,5,0.0,0
2013-08-29,4,0.0,0
2013-08-30,19,0.0,0
2013-08-31,0,0.0,0
2013-09-01,0,0.0,0
2013-09-02,1,0.0,0
2013-09-03,3,0.0,0
2013-09-04,4,0.0,0
2013-09-05,0,0.0,0
2013-09-06,5,0.0,0
2013-09-07,1,0.0,1
2013-09-08,0,0.0,0
2013-09-09,1,0.0,0
2013-09-10,1,0.0,0
2013-09-11,12,0.0,0
2013-09-12,1,0.0,0
2013-09-13,9,0.0,0
2013-09-14,1,0.0,0
2013-09-15,8,0.0,0
2013-09-16,17,0.0,0
2013-09-17,10,0.0,0
2013-09-18,0,0.0,0
2013-09-19,9,0.0,0
2013-09-20,13,0.0,0
2013-09-21,0,0.0,1
2013-09-22,0,0.0,0
2013-09-23,4,0.0,0
2013-09-24,0,0.0,0
2013-09-25,3,0.0,0
2013-09-26,2,0.0,0
2013-09-27,1,0.0,0
2013-09-28,0,0.0,0
2013-09-29,1,0.0,0
2013-09-30,7,0.0,0
2013-10-01,3,0.0,0
2013-10-02,0,0.0,0
2013-10-03,0,0.0,0
2013-10-04,0,0.0,0
2013-10-05,1,0.0,0
2013-10-06,0,0.0,0
2013-10-07,1,0.0,0
2013-10-08,1,0.0,0
2013-10-09,5,0.0,0
2013-10-10,2,0.0,0
2013-10-11,4,0.0,0
2013-10-12,3,0.0,0
2013-10-13,0,2.0,0
2013-10-14,3,-1.0,0
2013-10-15,6,-0.25,0
2013-10-16,3,-0.125,0
2013-10-17,8,-0.078125,0
2013-10-18,1,-0.0546875,0
2013-10-19,0,-0.041015625,0
2013-10-20,0,-0.0322265625,0
2013-10-21,3,-0.02618408203125,0
2013-10-22,3,10.978179931640625,0
2013-10-23,4,-5.5,0
2013-10-24,3,-1.375,0
2013-10-25,7,-0.6875,0
2013-10-26,0,-0.4296875,0
2013-10-27,0,-0.30078125,0
2013-10-28,3,-0.2255859375,0
2013-10-29,2,-0.17724609375,0
2013-10-30,9,-0.144012451171875,0
2013-10-31,1,-0.1200103759765625,0
2013-11-01,8,0.0,0
2013-11-02,0,0.0,0
2013-11-03,0,0.0,0
2013-11-04,2,0.0,0
2013-11-05,3,0.0,0
2013-11-06,3,0.0,0
2013-11-07,4,0.0,0
2013-11-08,1,0.0,0
2013-11-09,0,0.0,0
2013-11-10,0,0.0,0
2013-11-11,0,0.0,0
2013-11-12,1,0.0,0
2013-11-13,1,0.0,0
2013-11-14,2,0.0,0
2013-11-15,7,0.0,0
2013-11-16,0,0.0,0
2013-11-17,0,0.0,0
2013-11-18,0,0.0,0
2013-11-19,4,0.0,0
2013-11-20,0,0.0,0
2013-11-21,0,0.0,0
2013-11-22,0,0.0,0
