,iterate-ch/cyberduck,rclone/rclone,aws/aws-cli
2020-11-18,5,2,4
2020-11-19,4,1,3
2020-11-20,13,0,8
2020-11-21,1,0,0
2020-11-22,0,0,0
2020-11-23,7,8,4
2020-11-24,9,0,3
2020-11-25,9,9,4
2020-11-26,5,5,0
2020-11-27,5,7,0
2020-11-28,4,0,0
2020-11-29,1,10,0
2020-11-30,7,1,1
2020-12-01,5,5,8
2020-12-02,2,8,3
2020-12-03,2,0,4
2020-12-04,2,0,3
2020-12-05,0,0,1
2020-12-06,0,2,0
2020-12-07,3,4,3
2020-12-08,3,0,5
2020-12-09,8,3,3
2020-12-10,11,1,3
2020-12-11,6,3,3
2020-12-12,1,0,0
2020-12-13,0,0,0
2020-12-14,2,0,3
2020-12-15,7,0,4
2020-12-16,12,0,3
2020-12-17,0,2,4
2020-12-18,2,1,3
2020-12-19,0,0,0
2020-12-20,6,0,0
2020-12-21,8,1,4
2020-12-22,4,0,3
2020-12-23,2,0,4
2020-12-24,0,0,1
2020-12-25,0,0,0
2020-12-26,1,4,0
2020-12-27,2,15,0
2020-12-28,1,22,3
2020-12-29,2,4,4
2020-12-30,1,4,3
2020-12-31,6,5,3
2021-01-01,1,0,0
2021-01-02,3,2,0
2021-01-03,3,0,0
2021-01-04,5,0,3
2021-01-05,3,7,3
2021-01-06,12,2,3
2021-01-07,5,2,3
2021-01-08,0,10,1
2021-01-09,3,0,0
2021-01-10,1,8,0
2021-01-11,5,2,4
2021-01-12,16,1,4
2021-01-13,6,1,4
2021-01-14,22,0,3
2021-01-15,7,0,4
2021-01-16,0,0,0
2021-01-17,0,1,0
2021-01-18,10,3,0
2021-01-19,10,6,4
2021-01-20,0,2,1
2021-01-21,4,12,5
2021-01-22,6,2,4
2021-01-23,6,0,0
2021-01-24,8,0,0
2021-01-25,13,2,0
2021-01-26,20,6,3
2021-01-27,2,10,4
2021-01-28,0,9,15
2021-01-29,1,4,3
2021-01-30,0,14,1
2021-01-31,0,0,0
2021-02-01,5,3,4
2021-02-02,6,5,4
2021-02-03,1,8,4
2021-02-04,8,3,4
2021-02-05,5,0,5
2021-02-06,0,0,0
2021-02-07,0,11,1
2021-02-08,8,3,7
2021-02-09,3,1,3
2021-02-10,1,5,2
2021-02-11,6,5,4
2021-02-12,8,3,6
2021-02-13,0,11,0
2021-02-14,0,0,0
2021-02-15,3,0,3
2021-02-16,8,10,3
2021-02-17,1,12,6
2021-02-18,9,1,3
2021-02-19,1,1,5
