,elastic/elasticsearch,meilisearch/meilisearch,typesense/typesense
2022-06-22,20,9.0,0
2022-06-23,31,2.0,1
2022-06-24,15,1.0,2
2022-06-25,2,0.0,1
2022-06-26,0,0.0,2
2022-06-27,23,2.0,3
2022-06-28,29,5.0,2
2022-06-29,25,1.0,0
2022-06-30,18,0.0,1
2022-07-01,2,0.0,1
2022-07-02,0,0.0,1
2022-07-03,0,0.0,0
2022-07-04,13,1.0,1
2022-07-05,23,22.0,0
2022-07-06,13,6.0,0
2022-07-07,18,4.0,5
2022-07-08,15,0.0,1
2022-07-09,1,0.0,0
2022-07-10,0,0.0,0
2022-07-11,11,3.0,0
2022-07-12,28,32.0,1
2022-07-13,16,0.0,0
2022-07-14,20,0.0,3
2022-07-15,4,0.0,1
2022-07-16,0,0.0,0
2022-07-17,0,0.0,0
2022-07-18,23,11.0,1
2022-07-19,13,19.0,2
2022-07-20,13,2.0,4
2022-07-21,20,6.0,1
2022-07-22,28,0.0,2
2022-07-23,1,0.0,0
2022-07-24,0,0.0,1
2022-07-25,29,0.0,1
2022-07-26,30,0.0,2
2022-07-27,26,0.0,1
2022-07-28,17,5.0,1
2022-07-29,17,0.0,0
2022-07-30,1,0.0,0
2022-07-31,1,0.0,0
2022-08-01,27,0.0,1
2022-08-02,24,2.0,4
2022-08-03,31,1.0,1
2022-08-04,25,2.0,4
2022-08-05,3,0.0,3
2022-08-06,0,0.0,0
2022-08-07,1,0.0,2
2022-08-08,20,1.0,2
2022-08-09,17,0.0,1
2022-08-10,10,18.0,2
2022-08-11,16,3.0,0
2022-08-12,13,3.0,0
2022-08-13,2,0.0,1
2022-08-14,0,0.0,0
2022-08-15,15,0.0,0
2022-08-16,16,3.0,3
2022-08-17,32,52.0,2
2022-08-18,15,16.0,2
2022-08-19,0,1.0,1
2022-08-20,0,0.0,0
2022-08-21,0,0.0,0
2022-08-22,20,20.0,0
2022-08-23,16,13.0,0
2022-08-24,14,8.0,1
2022-08-25,11,0.0,2
2022-08-26,21,0.0,0
2022-08-27,1,1.0,2
2022-08-28,0,0.0,0
2022-08-29,15,3.0,2
2022-08-30,19,1.0,2
2022-08-31,12,5.0,2
2022-09-01,22,8.0,2
2022-09-02,3,3.0,2
2022-09-03,0,2.0,2
2022-09-04,0,3.0,0
2022-09-05,7,2.0,1
2022-09-06,17,2.0,2
2022-09-07,37,15.0,1
2022-09-08,34,3.0,2
2022-09-09,23,1.0,2
2022-09-10,1,0.0,1
2022-09-11,0,0.0,3
2022-09-12,25,1.0,1
2022-09-13,22,4.0,1
2022-09-14,16,4.0,1
2022-09-15,22,0.0,3
2022-09-16,1,0.0,1
2022-09-17,0,0.0,2
2022-09-18,0,0.0,0
2022-09-19,18,1.0,0
2022-09-20,28,0.0,2
2022-09-21,18,6.0,3
2022-09-22,15,4.0,2
2022-09-23,13,0.0,0
2022-09-24,1,0.0,0
2022-09-25,1,0.0,1
2022-09-26,33,0.0,0
2022-09-27,28,0.0,0
2022-09-28,18,1.0,0
2022-09-29,23,3.0,2
2022-09-30,17,1.0,0
2022-10-01,1,1.0,0
2022-10-02,0,2.0,0
2022-10-03,15,7.0,0
2022-10-04,21,8.0,0
2022-10-05,23,6.0,1
2022-10-06,15,12.0,1
2022-10-07,3,2.0,3
2022-10-08,0,0.0,0
2022-10-09,1,3.0,0
2022-10-10,25,5.0,0
2022-10-11,28,2.0,2
2022-10-12,31,11.0,0
2022-10-13,19,8.0,0
2022-10-14,38,4.0,0
2022-10-15,1,0.0,2
2022-10-16,0,0.0,0
2022-10-17,15,11.0,1
2022-10-18,21,15.0,3
2022-10-19,13,12.0,1
2022-10-20,19,3.0,1
2022-10-21,4,0.0,1
2022-10-22,0,0.0,0
2022-10-23,0,0.0,0
2022-10-24,15,7.0,1
2022-10-25,15,9.0,1
2022-10-26,13,80.0,0
2022-10-27,6,376.0,0
2022-10-28,7,6.0,0
