,MonoGame/MonoGame,godotengine/godot,4ian/GDevelop
2013-06-10,6,0,0
2013-06-11,4,0,5
2013-06-12,15,0,0
2013-06-13,7,0,5
2013-06-14,7,0,0
2013-06-15,0,0,4
2013-06-16,1,0,1
2013-06-17,7,0,9
2013-06-18,17,0,2
2013-06-19,4,0,6
2013-06-20,0,0,3
2013-06-21,7,0,0
2013-06-22,6,0,0
2013-06-23,1,0,4
2013-06-24,0,0,0
2013-06-25,3,0,9
2013-06-26,3,0,8
2013-06-27,2,0,1
2013-06-28,0,0,6
2013-06-29,0,0,2
2013-06-30,0,0,10
2013-07-01,0,0,24
2013-07-02,4,0,3
2013-07-03,6,0,4
2013-07-04,0,0,0
2013-07-05,5,0,0
2013-07-06,0,0,0
2013-07-07,10,0,0
2013-07-08,8,0,1
2013-07-09,9,0,2
2013-07-10,0,0,0
2013-07-11,1,0,0
2013-07-12,0,0,0
2013-07-13,2,0,0
2013-07-14,0,0,0
2013-07-15,6,0,3
2013-07-16,1,0,2
2013-07-17,1,0,1
2013-07-18,4,0,1
2013-07-19,3,0,2
2013-07-20,3,0,0
2013-07-21,1,0,5
2013-07-22,3,0,1
2013-07-23,6,0,0
2013-07-24,19,0,0
2013-07-25,0,0,0
2013-07-26,5,0,0
2013-07-27,0,0,0
2013-07-28,2,0,0
2013-07-29,8,0,2
2013-07-30,3,0,3
2013-07-31,3,0,1
2013-08-01,5,0,0
2013-08-02,1,0,6
2013-08-03,0,0,0
2013-08-04,3,0,0
2013-08-05,3,0,1
2013-08-06,4,0,2
2013-08-07,2,0,2
2013-08-08,0,0,3
2013-08-09,11,0,0
2013-08-10,1,0,0
2013-08-11,7,0,0
2013-08-12,4,0,0
2013-08-13,4,0,0
2013-08-14,2,0,0
2013-08-15,2,0,0
2013-08-16,0,0,0
2013-08-17,0,0,0
2013-08-18,0,0,0
2013-08-19,4,0,0
2013-08-20,1,0,0
2013-08-21,5,0,0
2013-08-22,1,0,2
2013-08-23,0,0,2
2013-08-24,0,0,0
2013-08-25,1,0,0
2013-08-26,4,0,0
2013-08-27,2,0,3
2013-08-28,0,0,0
2013-08-29,8,0,0
2013-08-30,0,0,0
2013-08-31,16,0,1
2013-09-01,2,0,0
2013-09-02,1,0,0
2013-09-03,2,0,2
2013-09-04,0,0,0
2013-09-05,1,0,0
2013-09-06,8,0,0
2013-09-07,0,0,0
2013-09-08,0,0,0
2013-09-09,0,0,0
2013-09-10,12,0,0
2013-09-11,5,0,3
2013-09-12,16,0,0
2013-09-13,0,0,0
2013-09-14,0,0,0
2013-09-15,2,0,0
2013-09-16,9,0,1
2013-09-17,4,0,0
2013-09-18,1,0,0
2013-09-19,1,0,0
2013-09-20,2,0,0
2013-09-21,5,0,0
2013-09-22,4,0,0
2013-09-23,4,0,0
2013-09-24,7,0,3
2013-09-25,4,0,2
2013-09-26,3,0,2
2013-09-27,8,0,0
2013-09-28,10,0,0
2013-09-29,6,0,3
2013-09-30,4,0,0
2013-10-01,7,0,0
2013-10-02,5,0,0
2013-10-03,6,0,0
2013-10-04,4,0,0
2013-10-05,5,0,0
2013-10-06,0,0,0
2013-10-07,4,0,4
2013-10-08,12,0,0
2013-10-09,15,0,0
2013-10-10,6,0,0
2013-10-11,1,0,0
2013-10-12,0,0,0
2013-10-13,0,0,0
2013-10-14,6,0,0
2013-10-15,1,0,1
2013-10-16,6,0,0
2013-10-17,9,0,1
2013-10-18,0,0,0
2013-10-19,5,0,0
2013-10-20,0,0,0
2013-10-21,1,0,2
2013-10-22,0,0,0
2013-10-23,1,0,0
2013-10-24,1,0,0
2013-10-25,0,0,0
2013-10-26,2,0,0
2013-10-27,2,0,0
2013-10-28,0,0,3
2013-10-29,2,0,1
2013-10-30,1,0,2
2013-10-31,0,0,3
2013-11-01,0,0,2
2013-11-02,0,0,2
2013-11-03,0,0,0
2013-11-04,0,0,2
2013-11-05,1,0,0
2013-11-06,0,0,0
2013-11-07,0,0,0
2013-11-08,2,0,0
2013-11-09,0,0,0
2013-11-10,1,0,0
2013-11-11,4,0,0
2013-11-12,0,0,2
2013-11-13,0,0,0
2013-11-14,0,0,0
2013-11-15,0,0,0
2013-11-16,0,0,0
2013-11-17,0,0,0
2013-11-18,2,0,0
2013-11-19,1,0,0
2013-11-20,0,0,0
2013-11-21,4,0,0
2013-11-22,2,0,0
2013-11-23,0,0,0
2013-11-24,2,0,3
2013-11-25,0,0,0
2013-11-26,1,0,0
2013-11-27,0,0,0
2013-11-28,1,0,1
2013-11-29,1,0,0
2013-11-30,0,0,0
2013-12-01,0,0,0
2013-12-02,2,0,0
2013-12-03,3,0,0
2013-12-04,2,0,0
2013-12-05,3,0,0
2013-12-06,0,0,0
2013-12-07,0,0,0
2013-12-08,1,0,0
2013-12-09,3,0,0
2013-12-10,2,0,0
2013-12-11,0,0,0
2013-12-12,0,0,0
2013-12-13,1,0,1
2013-12-14,0,0,0
2013-12-15,0,0,0
2013-12-16,0,0,3
2013-12-17,0,0,0
2013-12-18,2,0,0
2013-12-19,0,0,0
2013-12-20,0,0,0
2013-12-21,0,0,0
2013-12-22,0,0,0
2013-12-23,0,0,0
2013-12-24,0,0,1
2013-12-25,1,0,0
2013-12-26,0,0,2
2013-12-27,0,0,3
2013-12-28,0,0,0
2013-12-29,0,0,4
2013-12-30,0,0,0
2013-12-31,0,0,0
2014-01-01,0,0,0
2014-01-02,0,0,1
2014-01-03,4,0,0
2014-01-04,0,1,5
2014-01-05,0,0,0
2014-01-06,5,0,0
2014-01-07,11,0,0
2014-01-08,8,0,0
2014-01-09,2,0,0
2014-01-10,0,0,0
2014-01-11,0,0,0
2014-01-12,0,0,0
2014-01-13,4,0,0
2014-01-14,0,0,0
