,d3/d3,highcharts/highcharts,plotly/plotly.js
2020-06-19,0,3,1
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,13
2020-06-23,0,16,4
2020-06-24,0,0,10
2020-06-25,0,5,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,6,0
2020-06-30,0,5,7
2020-07-01,0,39,2
2020-07-02,0,4,6
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,18,11
2020-07-07,0,23,6
2020-07-08,0,8,5
2020-07-09,0,10,5
2020-07-10,0,33,1
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,9,2
2020-07-14,0,1,0
2020-07-15,0,16,0
2020-07-16,0,8,3
2020-07-17,0,0,3
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,8,9
2020-07-21,0,2,2
2020-07-22,0,2,5
2020-07-23,1,6,8
2020-07-24,0,2,7
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,1,5,3
2020-07-28,2,10,3
2020-07-29,0,9,5
2020-07-30,0,9,8
2020-07-31,1,7,3
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,19,0
2020-08-04,0,15,9
2020-08-05,0,6,0
2020-08-06,0,11,2
2020-08-07,0,10,4
2020-08-08,0,0,0
2020-08-09,0,0,0
2020-08-10,0,4,5
2020-08-11,0,10,6
2020-08-12,0,6,22
2020-08-13,0,29,17
2020-08-14,0,16,20
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,0,27,15
2020-08-18,0,8,17
2020-08-19,0,4,17
2020-08-20,0,6,6
2020-08-21,0,18,11
2020-08-22,0,0,0
2020-08-23,4,0,0
2020-08-24,27,18,0
2020-08-25,4,13,5
2020-08-26,6,23,1
2020-08-27,10,6,2
2020-08-28,1,5,1
2020-08-29,2,0,0
2020-08-30,0,1,0
2020-08-31,2,4,15
2020-09-01,0,16,11
2020-09-02,1,4,23
2020-09-03,0,4,16
2020-09-04,0,3,6
2020-09-05,0,0,0
2020-09-06,0,0,0
2020-09-07,0,9,4
2020-09-08,0,3,6
2020-09-09,0,2,0
2020-09-10,0,17,2
2020-09-11,0,4,3
2020-09-12,0,0,0
2020-09-13,0,0,1
2020-09-14,0,5,4
2020-09-15,0,6,9
2020-09-16,0,9,7
2020-09-17,0,6,14
2020-09-18,0,16,3
2020-09-19,0,2,0
2020-09-20,0,0,0
2020-09-21,0,1,6
2020-09-22,0,4,6
2020-09-23,2,5,7
2020-09-24,0,15,4
2020-09-25,0,3,14
2020-09-26,0,0,10
2020-09-27,0,0,0
2020-09-28,0,1,18
2020-09-29,0,3,14
2020-09-30,0,0,10
2020-10-01,0,0,9
2020-10-02,0,0,8
2020-10-03,0,1,2
2020-10-04,0,0,0
2020-10-05,0,2,3
2020-10-06,0,0,3
2020-10-07,0,1,2
2020-10-08,0,4,6
2020-10-09,0,0,6
2020-10-10,0,0,3
2020-10-11,0,0,2
2020-10-12,0,18,1
2020-10-13,0,2,3
2020-10-14,0,9,12
2020-10-15,0,0,6
2020-10-16,0,15,3
2020-10-17,0,0,5
2020-10-18,0,0,0
2020-10-19,0,13,7
2020-10-20,0,2,7
2020-10-21,0,16,6
2020-10-22,0,10,14
2020-10-23,0,19,7
2020-10-24,0,0,2
2020-10-25,0,0,3
2020-10-26,0,11,3
2020-10-27,0,4,2
2020-10-28,0,14,4
2020-10-29,0,1,6
2020-10-30,0,5,5
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,0,17,7
2020-11-03,0,6,5
2020-11-04,0,18,22
2020-11-05,0,6,6
2020-11-06,0,37,4
2020-11-07,0,4,0
2020-11-08,0,5,0
2020-11-09,0,30,6
2020-11-10,0,21,2
2020-11-11,0,27,0
2020-11-12,0,30,7
2020-11-13,0,29,9
2020-11-14,0,0,0
2020-11-15,0,0,1
2020-11-16,0,49,8
2020-11-17,0,8,10
2020-11-18,0,35,13
2020-11-19,0,18,10
2020-11-20,0,51,5
2020-11-21,0,0,7
2020-11-22,0,0,0
2020-11-23,0,24,6
2020-11-24,0,40,5
2020-11-25,0,22,10
2020-11-26,0,37,13
2020-11-27,0,54,12
2020-11-28,0,8,8
2020-11-29,0,0,8
2020-11-30,0,86,10
2020-12-01,0,25,2
2020-12-02,0,81,8
2020-12-03,2,24,2
2020-12-04,0,18,9
2020-12-05,0,0,0
2020-12-06,0,0,0
2020-12-07,0,6,12
2020-12-08,2,22,12
2020-12-09,0,11,14
2020-12-10,0,4,4
2020-12-11,0,4,15
2020-12-12,0,0,0
2020-12-13,0,0,0
2020-12-14,0,10,8
2020-12-15,0,1,2
2020-12-16,0,2,0
