,sveltejs/svelte,angular/angular,facebook/react
2020-11-16,1,20.0,2.0
2020-11-17,1,12.0,1.6
2020-11-18,5,28.0,2.44
2020-11-19,2,23.0,-0.8560000000000001
2020-11-20,0,19.0,3.5967999999999996
2020-11-21,0,1.0,-1.062272
2020-11-22,0,0.0,-0.5127296000000003
2020-11-23,8,13.0,-0.34331904000000024
2020-11-24,4,26.0,-0.258315264
2020-11-25,0,16.0,-0.2066382847999999
2020-11-26,0,0.0,-0.1498170367999998
2020-11-27,1,0.0,-0.10511493119999993
2020-11-28,1,0.0,-0.05755084799999976
2020-11-29,0,0.0,-0.04987740159999986
2020-11-30,3,15.0,2.0
2020-12-01,1,11.0,3.6
2020-12-02,3,26.0,0.040000000000000036
2020-12-03,0,14.0,1.3839999999999997
2020-12-04,0,7.0,5.2608
2020-12-05,0,4.0,-0.593472
2020-12-06,1,2.0,0.0473983999999994
2020-12-07,1,7.0,5.22369536
2020-12-08,0,34.0,6.302416896
2020-12-09,2,17.0,5.5449101312
2020-12-10,0,23.0,2.1921726463999995
2020-12-11,1,3.0,-0.41436989440000094
2020-12-12,0,1.0,-1.7546364928000002
2020-12-13,0,2.0,-0.10179133440000032
2020-12-14,3,19.0,1.0398642175999997
2020-12-15,0,11.0,-0.07251978239999968
2020-12-16,1,6.0,0.11345244160000045
2020-12-17,0,6.0,1.2500523008000006
2020-12-18,0,1.0,8.1737171968
2020-12-19,0,0.0,-2.2042229759999996
2020-12-20,1,0.0,-0.9578590208000006
2020-12-21,0,15.0,0.40659404799999965
2020-12-22,0,7.0,1.3679277056
2020-12-23,0,5.0,-0.8069347328
2020-12-24,3,0.0,-0.4525697024000002
2020-12-25,0,2.0,-0.3231852544
2020-12-26,0,0.0,-0.2471641087999994
2020-12-27,0,0.0,-0.1837249535999997
2020-12-28,0,0.0,-0.05778432000000003
2020-12-29,1,0.0,-0.04824115199999996
2020-12-30,1,0.0,-0.041244774399999844
2020-12-31,1,0.0,-0.02493870079999993
2021-01-01,0,0.0,0.0
2021-01-02,13,0.0,0.0
2021-01-03,0,0.0,0.0
2021-01-04,6,0.0,3.0
2021-01-05,0,24.0,-0.5999999999999999
2021-01-06,0,26.0,-0.2400000000000002
2021-01-07,0,26.0,-0.1440000000000001
2021-01-08,0,18.0,-0.10080000000000003
2021-01-09,0,1.0,-0.07660800000000004
2021-01-10,0,1.0,-0.06128640000000003
2021-01-11,0,36.0,0.9492198399999999
2021-01-12,0,0.0,2.7568368640000003
2021-01-13,0,14.0,1.2825919488000002
2021-01-14,0,12.0,2.312
2021-01-15,0,8.0,1.0623999999999998
2021-01-16,0,1.0,-0.8623360000000002
2021-01-17,0,0.0,-0.46823680000000034
2021-01-18,3,1.0,0.6739148799999999
2021-01-19,1,12.0,8.550166528
2021-01-20,1,3.0,1.9181556736000003
2021-01-21,0,23.0,-0.7258212352000002
2021-01-22,1,6.0,2.9124447231999997
2021-01-23,1,2.0,-1.4661194752
2021-01-24,0,2.0,-0.7775915008000004
2021-01-25,6,17.0,4.47147008
2021-01-26,3,8.0,0.5916206079999999
2021-01-27,1,18.0,3.8677615616
2021-01-28,1,18.0,-0.6684169215999995
2021-01-29,13,8.0,1.0040280063999996
2021-01-30,1,0.0,-0.9849001984
2021-01-31,0,0.0,-0.5790934016000002
2021-02-01,1,0.0,2.6172288
2021-02-02,0,12.0,3.0993280000000003
2021-02-03,0,11.0,7.712743424
2021-02-04,1,5.0,4.581338419200001
2021-02-05,0,3.0,0.47661209599999976
2021-02-06,0,0.0,-0.8442527744000006
2021-02-07,0,0.0,-1.2667691008000006
2021-02-08,5,1.0,4.178480639999999
2021-02-09,0,65.0,3.3777187840000003
2021-02-10,0,15.0,3.0994910208
2021-02-11,2,21.0,7.9753237504
2021-02-12,0,9.0,-2.0921470975999994
2021-02-13,0,12.0,-1.6830553088000004
2021-02-14,0,4.0,-1.0096197632000004
2021-02-15,3,0.0,-0.7109269504000003
2021-02-16,0,33.0,2.45232384
2021-02-17,2,14.0,0.9512570880000004
2021-02-18,0,6.0,1.0360186880000002
2021-02-19,0,25.0,-0.9271505919999994
2021-02-20,0,0.0,-0.49588121599999985
2021-02-21,0,0.0,-0.2522773504000001
2021-02-22,0,11.0,2.8204416
2021-02-23,0,14.0,2.25729024
2021-02-24,0,25.0,0.04212582400000009
2021-02-25,6,0.0,2.3159630848
2021-02-26,1,27.0,2.0214858752000002
2021-02-27,1,0.0,-1.0903467008
2021-02-28,0,0.0,0.4445055999999996
2021-03-01,4,13.0,0.4175974399999999
2021-03-02,0,1.0,1.428219904
2021-03-03,0,20.0,-0.7633923071999997
2021-03-04,0,15.0,-0.4054623232000001
2021-03-05,1,6.0,0.7384513536000001
2021-03-06,0,3.0,-0.3937359871999997
2021-03-07,0,2.0,3.7941644288
2021-03-08,0,24.0,8.079827968
2021-03-09,0,20.0,-1.2143105024
2021-03-10,0,6.0,4.821219225599999
2021-03-11,0,9.0,1.1082324991999999
2021-03-12,0,15.0,-0.5494707200000004
2021-03-13,0,0.0,0.9124730879999996
