,strapi/strapi,TryGhost/Ghost,decaporg/decap-cms
2020-02-25,21,1,7
2020-02-26,44,4,4
2020-02-27,25,22,3
2020-02-28,30,0,5
2020-02-29,4,0,0
2020-03-01,2,0,0
2020-03-02,39,13,3
2020-03-03,27,4,3
2020-03-04,48,9,7
2020-03-05,58,7,4
2020-03-06,35,1,1
2020-03-07,2,3,0
2020-03-08,1,0,0
2020-03-09,44,16,3
2020-03-10,20,7,0
2020-03-11,3,1,0
2020-03-12,21,3,4
2020-03-13,15,4,2
2020-03-14,2,0,0
2020-03-15,0,0,0
2020-03-16,14,21,1
2020-03-17,4,8,0
2020-03-18,6,5,1
2020-03-19,5,7,7
2020-03-20,33,24,4
2020-03-21,4,0,0
2020-03-22,2,0,4
2020-03-23,30,9,6
2020-03-24,30,4,1
2020-03-25,26,50,0
2020-03-26,51,24,1
2020-03-27,30,8,0
2020-03-28,3,0,0
2020-03-29,1,1,1
2020-03-30,55,14,1
2020-03-31,39,5,2
2020-04-01,41,15,14
2020-04-02,21,10,3
2020-04-03,31,10,1
2020-04-04,0,0,0
2020-04-05,0,6,2
2020-04-06,18,19,3
2020-04-07,31,26,5
2020-04-08,3,29,0
2020-04-09,31,7,5
2020-04-10,15,17,2
2020-04-11,2,0,0
2020-04-12,5,0,4
2020-04-13,7,13,2
2020-04-14,19,12,3
2020-04-15,41,16,4
2020-04-16,24,21,1
2020-04-17,24,26,0
2020-04-18,1,0,1
2020-04-19,0,0,3
2020-04-20,22,23,4
2020-04-21,9,30,3
2020-04-22,21,32,3
2020-04-23,16,27,0
2020-04-24,22,0,1
2020-04-25,0,0,0
2020-04-26,4,0,0
2020-04-27,23,34,1
2020-04-28,8,19,1
2020-04-29,40,18,1
2020-04-30,23,35,4
2020-05-01,0,39,0
2020-05-02,3,0,0
2020-05-03,4,0,0
2020-05-04,25,3,3
2020-05-05,21,7,1
2020-05-06,15,13,0
2020-05-07,19,14,0
2020-05-08,5,25,0
2020-05-09,1,0,0
2020-05-10,0,0,0
2020-05-11,0,6,4
2020-05-12,16,2,3
2020-05-13,19,3,3
2020-05-14,40,0,0
2020-05-15,10,1,0
2020-05-16,0,0,0
2020-05-17,2,2,4
2020-05-18,6,19,1
2020-05-19,7,18,4
2020-05-20,5,23,2
2020-05-21,1,9,0
2020-05-22,5,21,0
2020-05-23,0,0,0
2020-05-24,0,0,1
2020-05-25,24,11,6
2020-05-26,19,27,2
2020-05-27,6,10,3
2020-05-28,17,34,1
2020-05-29,21,3,0
2020-05-30,3,0,0
2020-05-31,2,0,0
2020-06-01,10,11,5
2020-06-02,11,29,1
2020-06-03,0,7,4
2020-06-04,0,17,1
2020-06-05,14,13,0
2020-06-06,0,8,0
2020-06-07,0,0,3
2020-06-08,5,29,0
2020-06-09,5,23,4
2020-06-10,0,20,0
2020-06-11,3,32,0
2020-06-12,0,35,0
2020-06-13,0,0,0
2020-06-14,2,0,0
2020-06-15,21,19,5
2020-06-16,4,14,0
2020-06-17,3,8,1
2020-06-18,7,35,7
2020-06-19,3,34,0
2020-06-20,0,0,0
2020-06-21,1,1,5
