,balderdashy/sails,hapijs/hapi,expressjs/express
2012-03-17,0,0,0
2012-03-18,14,0,0
2012-03-19,1,9,0
2012-03-20,5,1,0
2012-03-21,0,1,0
2012-03-22,2,2,0
2012-03-23,0,5,0
2012-03-24,0,1,12
2012-03-25,0,5,0
2012-03-26,0,15,0
2012-03-27,0,5,2
2012-03-28,0,0,0
2012-03-29,0,0,7
2012-03-30,0,2,2
2012-03-31,0,0,0
2012-04-01,0,0,0
2012-04-02,4,4,15
2012-04-03,0,1,4
2012-04-04,0,0,2
2012-04-05,0,0,2
2012-04-06,0,0,0
2012-04-07,0,0,0
2012-04-08,0,0,0
2012-04-09,0,0,0
2012-04-10,0,0,2
2012-04-11,0,0,14
2012-04-12,0,0,1
2012-04-13,4,0,3
2012-04-14,1,0,0
2012-04-15,12,0,8
2012-04-16,2,0,10
2012-04-17,1,2,0
2012-04-18,0,0,10
2012-04-19,0,1,5
2012-04-20,0,0,2
2012-04-21,0,0,0
2012-04-22,1,0,2
2012-04-23,4,0,0
2012-04-24,0,0,1
2012-04-25,0,5,11
2012-04-26,0,4,34
2012-04-27,0,0,5
2012-04-28,0,0,1
2012-04-29,0,0,3
2012-04-30,0,1,1
2012-05-01,0,1,2
2012-05-02,0,0,5
2012-05-03,0,0,6
2012-05-04,0,0,3
2012-05-05,0,0,1
2012-05-06,0,0,0
2012-05-07,14,0,7
2012-05-08,0,17,0
2012-05-09,0,9,2
2012-05-10,2,16,2
2012-05-11,1,22,3
2012-05-12,2,1,2
2012-05-13,0,0,0
2012-05-14,16,13,1
2012-05-15,2,4,0
2012-05-16,5,21,0
2012-05-17,6,0,1
2012-05-18,0,0,0
2012-05-19,0,0,0
2012-05-20,0,0,0
2012-05-21,0,0,1
2012-05-22,0,0,0
2012-05-23,0,2,0
2012-05-24,0,1,0
2012-05-25,4,0,0
2012-05-26,0,0,0
2012-05-27,0,0,2
2012-05-28,19,0,0
2012-05-29,2,2,0
2012-05-30,3,7,7
2012-05-31,3,1,0
2012-06-01,1,3,4
2012-06-02,7,0,0
2012-06-03,0,0,1
2012-06-04,0,1,1
2012-06-05,0,0,0
2012-06-06,0,0,9
2012-06-07,0,2,2
2012-06-08,0,0,4
2012-06-09,0,0,0
2012-06-10,0,0,1
2012-06-11,0,0,1
2012-06-12,0,0,0
2012-06-13,0,0,0
2012-06-14,0,0,3
2012-06-15,0,0,10
2012-06-16,0,0,0
2012-06-17,0,0,3
2012-06-18,0,0,13
2012-06-19,1,0,0
2012-06-20,0,0,0
2012-06-21,0,0,2
2012-06-22,0,1,3
2012-06-23,0,0,0
2012-06-24,0,0,0
2012-06-25,4,0,2
2012-06-26,1,0,1
2012-06-27,0,0,5
2012-06-28,0,0,0
2012-06-29,0,0,1
2012-06-30,0,0,1
2012-07-01,0,0,0
2012-07-02,0,0,2
2012-07-03,0,0,6
2012-07-04,0,0,3
2012-07-05,0,0,2
2012-07-06,0,0,8
2012-07-07,0,0,0
2012-07-08,1,0,0
2012-07-09,0,0,0
2012-07-10,0,2,0
2012-07-11,0,0,1
2012-07-12,0,0,2
2012-07-13,0,0,4
2012-07-14,0,0,0
2012-07-15,0,0,0
2012-07-16,0,0,2
2012-07-17,0,0,1
2012-07-18,0,8,3
2012-07-19,0,1,0
2012-07-20,0,5,0
2012-07-21,0,0,1
2012-07-22,0,0,0
2012-07-23,0,1,1
2012-07-24,4,7,12
2012-07-25,0,6,1
2012-07-26,0,1,2
2012-07-27,0,4,0
2012-07-28,5,0,0
2012-07-29,5,0,0
2012-07-30,7,1,0
2012-07-31,9,4,0
