,getsentry/sentry,elastic/kibana,grafana/grafana
2021-07-22,40,43,23
2021-07-23,31,4,11
2021-07-24,1,0,1
2021-07-25,0,2,0
2021-07-26,15,41,18
2021-07-27,28,38,10
2021-07-28,28,48,5
2021-07-29,33,41,22
2021-07-30,23,33,13
2021-07-31,0,1,0
2021-08-01,0,0,0
2021-08-02,18,40,9
2021-08-03,24,46,13
2021-08-04,23,26,26
2021-08-05,25,29,15
2021-08-06,33,5,10
2021-08-07,2,1,0
2021-08-08,0,0,0
2021-08-09,4,32,15
2021-08-10,1,56,16
2021-08-11,2,46,11
2021-08-12,1,45,12
2021-08-13,0,47,18
2021-08-14,1,9,2
2021-08-15,3,4,2
2021-08-16,0,61,11
2021-08-17,15,78,20
2021-08-18,17,44,23
2021-08-19,15,44,20
2021-08-20,9,36,11
2021-08-21,0,2,0
2021-08-22,0,4,0
2021-08-23,16,48,21
2021-08-24,17,47,19
2021-08-25,23,47,15
2021-08-26,32,55,15
2021-08-27,20,15,23
2021-08-28,0,0,1
2021-08-29,0,0,2
2021-08-30,26,38,9
2021-08-31,42,44,16
2021-09-01,30,47,25
2021-09-02,24,26,17
2021-09-03,2,46,5
2021-09-04,0,0,0
2021-09-05,0,1,0
2021-09-06,0,19,12
2021-09-07,28,41,20
2021-09-08,17,53,19
2021-09-09,23,43,23
2021-09-10,16,26,21
2021-09-11,0,0,0
2021-09-12,0,1,1
2021-09-13,31,41,26
2021-09-14,25,41,18
2021-09-15,29,46,25
2021-09-16,20,31,17
2021-09-17,18,6,22
2021-09-18,0,3,0
2021-09-19,0,5,1
2021-09-20,31,25,23
2021-09-21,33,31,15
2021-09-22,34,39,14
2021-09-23,29,45,24
2021-09-24,18,3,2
2021-09-25,0,0,2
2021-09-26,0,3,0
2021-09-27,26,35,17
2021-09-28,35,39,18
2021-09-29,38,41,26
2021-09-30,25,32,21
2021-10-01,18,28,21
2021-10-02,3,2,0
2021-10-03,0,1,0
2021-10-04,28,58,14
2021-10-05,20,59,12
2021-10-06,44,61,22
2021-10-07,31,51,19
2021-10-08,52,12,15
2021-10-09,0,2,0
2021-10-10,0,2,0
2021-10-11,14,42,18
2021-10-12,33,64,27
2021-10-13,25,57,15
2021-10-14,25,56,23
2021-10-15,24,51,15
2021-10-16,0,6,1
2021-10-17,0,5,0
2021-10-18,34,57,21
2021-10-19,27,80,22
2021-10-20,25,69,27
2021-10-21,22,68,22
2021-10-22,30,5,18
2021-10-23,1,1,0
2021-10-24,0,0,0
2021-10-25,20,48,15
2021-10-26,22,75,26
2021-10-27,26,33,24
2021-10-28,24,39,18
2021-10-29,28,46,21
2021-10-30,0,8,0
2021-10-31,0,0,0
2021-11-01,19,38,16
2021-11-02,16,70,36
2021-11-03,30,53,21
2021-11-04,41,44,17
2021-11-05,21,41,20
2021-11-06,1,2,2
2021-11-07,0,2,1
2021-11-08,18,36,16
2021-11-09,31,54,28
2021-11-10,32,43,25
2021-11-11,29,69,27
2021-11-12,19,8,20
2021-11-13,3,1,1
2021-11-14,0,0,2
2021-11-15,31,47,26
2021-11-16,16,60,23
2021-11-17,13,35,36
2021-11-18,18,39,31
2021-11-19,14,40,36
2021-11-20,1,1,2
2021-11-21,0,2,0
2021-11-22,19,36,17
2021-11-23,31,49,25
2021-11-24,34,45,36
2021-11-25,14,25,16
2021-11-26,9,6,20
2021-11-27,0,2,0
2021-11-28,0,1,0
2021-11-29,21,40,31
2021-11-30,26,48,16
2021-12-01,30,49,25
2021-12-02,35,38,21
2021-12-03,21,40,14
2021-12-04,0,3,0
2021-12-05,0,0,0
2021-12-06,37,36,14
2021-12-07,14,59,10
2021-12-08,13,47,10
2021-12-09,36,40,10
2021-12-10,21,10,4
2021-12-11,1,0,0
2021-12-12,0,0,0
2021-12-13,9,40,18
2021-12-14,45,37,27
2021-12-15,39,37,20
2021-12-16,45,34,18
2021-12-17,17,35,17
2021-12-18,0,1,2
2021-12-19,0,0,1
2021-12-20,12,31,23
2021-12-21,13,49,20
2021-12-22,11,36,11
2021-12-23,14,25,9
2021-12-24,0,3,2
2021-12-25,0,0,0
2021-12-26,0,2,0
2021-12-27,0,12,4
2021-12-28,1,13,6
2021-12-29,4,4,1
2021-12-30,1,5,4
2021-12-31,0,2,0
2022-01-01,0,2,0
2022-01-02,0,0,0
2022-01-03,18,4,8
2022-01-04,24,25,24
2022-01-05,26,28,19
2022-01-06,24,23,14
2022-01-07,21,4,26
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,32,36,21
2022-01-11,25,37,18
2022-01-12,27,45,15
2022-01-13,26,29,19
2022-01-14,18,27,14
2022-01-15,1,2,0
2022-01-16,0,0,0
2022-01-17,14,24,19
2022-01-18,19,44,15
2022-01-19,28,28,19
2022-01-20,27,45,19
2022-01-21,24,3,22
2022-01-22,1,0,1
2022-01-23,0,3,1
2022-01-24,17,28,17
2022-01-25,39,45,17
2022-01-26,27,27,15
2022-01-27,43,41,21
2022-01-28,25,35,17
2022-01-29,0,0,1
2022-01-30,0,1,0
2022-01-31,22,57,30
2022-02-01,26,65,22
2022-02-02,27,36,25
2022-02-03,23,33,33
2022-02-04,21,34,26
2022-02-05,2,2,1
2022-02-06,0,0,0
2022-02-07,22,32,25
2022-02-08,25,34,39
