,gatsbyjs/gatsby,gohugoio/hugo,vercel/next.js
2020-12-05,0.0,1,0
2020-12-06,0.0,0,0
2020-12-07,5.0,0,5
2020-12-08,6.5,0,5
2020-12-09,16.075,1,5
2020-12-10,7.842499999999998,0,3
2020-12-11,2.9321874999999986,0,1
2020-12-12,-1.6597212500000005,0,4
2020-12-13,-1.0398898124999985,0,0
2020-12-14,2.229287681250002,0,5
2020-12-15,13.086268348671876,0,0
2020-12-16,10.955230834960938,4,6
2020-12-17,13.586299685982812,3,5
2020-12-18,3.0600803954828115,1,4
2020-12-19,-1.1599553404374996,2,0
2020-12-20,-1.4017273001796862,0,0
2020-12-21,2.0263329862500026,0,3
2020-12-22,3.934534150953127,1,11
2020-12-23,-0.2663261910765611,1,0
2020-12-24,0.07494003029375118,0,0
2020-12-25,-0.6914897812171866,0,1
2020-12-26,-0.428047964918749,0,0
2020-12-27,-0.22919371573124941,0,2
2020-12-28,-0.14426925378593705,1,19
2020-12-29,6.886547817203125,0,13
2020-12-30,0.2027061685640621,2,19
2020-12-31,-0.4776562719453127,8,13
2021-01-01,-0.26246716555156263,1,7
2021-01-02,-0.18153635253593697,1,2
2021-01-03,-0.13347974999999956,1,4
2021-01-04,15.8917491625,0,36
2021-01-05,8.30918211375,0,11
2021-01-06,0.20192811264062382,0,19
2021-01-07,2.8256397192328118,0,7
2021-01-08,10.886001147464063,3,0
2021-01-09,-0.9014929999999997,0,0
2021-01-10,-1.1670846999999993,0,1
2021-01-11,12.188997235,0,20
2021-01-12,7.068729004250001,0,2
2021-01-13,-0.003963713231249777,0,7
2021-01-14,10.702939163609376,0,6
2021-01-15,4.983530175365625,0,10
2021-01-16,-1.8519891125812493,0,1
2021-01-17,-1.124836455946874,0,5
2021-01-18,9.249241483714064,1,4
2021-01-19,5.411406139546876,1,11
2021-01-20,5.361751307392188,2,5
2021-01-21,1.3800152586453125,1,3
2021-01-22,3.769601664990626,4,8
2021-01-23,-1.3080694215406243,1,4
2021-01-24,-0.7583668427515613,0,3
2021-01-25,9.479624200000002,0,14
2021-01-26,4.58286415859375,0,16
2021-01-27,6.60130762228125,0,2
2021-01-28,7.420138689889062,0,2
