,MonoGame/MonoGame,4ian/GDevelop,godotengine/godot
2017-06-10,0,0,3
2017-06-11,0,6,7
2017-06-12,1,0,11
2017-06-13,5,3,11
2017-06-14,0,0,21
2017-06-15,2,0,13
2017-06-16,0,2,25
2017-06-17,2,5,16
2017-06-18,0,3,3
2017-06-19,0,2,21
2017-06-20,0,1,10
2017-06-21,0,2,2
2017-06-22,9,1,14
2017-06-23,1,0,11
2017-06-24,0,0,19
2017-06-25,0,0,25
2017-06-26,1,0,30
2017-06-27,4,2,13
2017-06-28,0,0,10
2017-06-29,0,0,4
2017-06-30,0,1,5
2017-07-01,0,1,12
2017-07-02,1,5,4
2017-07-03,1,2,18
2017-07-04,0,1,4
2017-07-05,0,0,18
2017-07-06,0,0,9
2017-07-07,0,0,4
2017-07-08,1,0,23
2017-07-09,0,3,4
2017-07-10,0,0,16
2017-07-11,0,1,19
2017-07-12,0,1,8
2017-07-13,1,0,12
2017-07-14,2,2,6
2017-07-15,1,3,10
2017-07-16,3,4,7
2017-07-17,2,2,19
2017-07-18,1,8,20
2017-07-19,2,0,13
2017-07-20,4,0,8
2017-07-21,5,0,7
2017-07-22,0,0,25
2017-07-23,2,4,31
2017-07-24,0,0,26
2017-07-25,0,1,36
2017-07-26,2,0,28
2017-07-27,0,0,24
2017-07-28,1,1,20
2017-07-29,1,1,10
2017-07-30,11,1,10
2017-07-31,1,3,16
2017-08-01,1,8,16
2017-08-02,0,3,17
2017-08-03,0,7,13
2017-08-04,1,0,13
2017-08-05,0,0,11
2017-08-06,0,0,11
2017-08-07,0,0,46
2017-08-08,0,1,25
2017-08-09,0,0,15
2017-08-10,5,1,11
2017-08-11,2,0,24
2017-08-12,4,0,10
2017-08-13,2,0,21
2017-08-14,2,4,11
2017-08-15,0,3,25
2017-08-16,2,2,33
2017-08-17,0,3,17
2017-08-18,1,0,23
2017-08-19,0,1,36
2017-08-20,0,8,23
2017-08-21,2,0,37
2017-08-22,2,0,42
2017-08-23,0,0,21
2017-08-24,2,1,17
2017-08-25,0,0,14
2017-08-26,0,18,30
2017-08-27,2,0,47
2017-08-28,4,3,16
2017-08-29,6,6,37
2017-08-30,3,0,37
2017-08-31,1,0,43
2017-09-01,1,0,33
2017-09-02,0,0,25
2017-09-03,0,0,21
2017-09-04,0,0,49
2017-09-05,0,1,20
2017-09-06,0,0,14
2017-09-07,2,4,20
2017-09-08,2,0,10
2017-09-09,2,2,17
2017-09-10,0,0,12
2017-09-11,3,3,33
2017-09-12,3,2,78
2017-09-13,0,0,43
2017-09-14,6,0,31
2017-09-15,2,0,17
2017-09-16,1,6,25
2017-09-17,0,0,93
2017-09-18,0,0,15
2017-09-19,2,4,32
2017-09-20,0,2,22
2017-09-21,4,0,24
2017-09-22,0,0,26
2017-09-23,0,2,20
2017-09-24,2,5,39
2017-09-25,4,0,43
2017-09-26,0,2,23
2017-09-27,3,1,13
2017-09-28,0,0,14
2017-09-29,3,0,15
2017-09-30,0,2,17
2017-10-01,0,9,21
2017-10-02,0,0,50
2017-10-03,1,0,24
2017-10-04,2,2,22
2017-10-05,2,0,13
2017-10-06,0,0,22
2017-10-07,0,3,30
2017-10-08,0,7,18
2017-10-09,0,2,47
2017-10-10,0,0,20
2017-10-11,0,0,28
2017-10-12,2,3,17
2017-10-13,4,0,28
2017-10-14,0,1,29
2017-10-15,8,8,33
2017-10-16,0,0,17
2017-10-17,0,1,18
2017-10-18,0,1,11
2017-10-19,0,0,12
2017-10-20,0,0,40
2017-10-21,0,3,37
2017-10-22,0,14,47
2017-10-23,0,0,34
2017-10-24,0,4,19
2017-10-25,0,0,13
2017-10-26,1,2,12
2017-10-27,0,0,19
2017-10-28,0,3,13
2017-10-29,0,0,26
2017-10-30,2,0,28
2017-10-31,0,2,29
2017-11-01,0,3,17
2017-11-02,1,6,8
2017-11-03,0,1,11
2017-11-04,0,0,16
2017-11-05,0,5,16
2017-11-06,0,2,15
2017-11-07,0,3,12
2017-11-08,1,4,20
2017-11-09,1,2,28
2017-11-10,1,0,36
2017-11-11,1,3,14
2017-11-12,0,6,29
2017-11-13,0,0,43
2017-11-14,1,2,17
2017-11-15,1,2,18
2017-11-16,1,1,28
2017-11-17,0,0,22
2017-11-18,0,2,14
2017-11-19,0,9,64
2017-11-20,0,1,71
