,seleniumhq/selenium,DevExpress/testcafe,cypress-io/cypress
2015-04-20,2,3,5
2015-04-21,4,0,6
2015-04-22,1,0,10
2015-04-23,0,0,9
2015-04-24,0,0,14
2015-04-25,0,0,2
2015-04-26,0,0,7
2015-04-27,0,0,2
2015-04-28,1,0,4
2015-04-29,2,0,8
2015-04-30,0,0,6
2015-05-01,0,0,0
2015-05-02,0,0,2
2015-05-03,0,0,0
2015-05-04,0,0,15
2015-05-05,8,0,6
2015-05-06,5,0,3
2015-05-07,0,0,2
2015-05-08,1,0,1
2015-05-09,0,0,11
2015-05-10,1,0,8
2015-05-11,3,0,13
2015-05-12,6,0,4
2015-05-13,1,0,3
2015-05-14,0,0,10
2015-05-15,0,0,9
2015-05-16,0,0,0
2015-05-17,1,0,5
2015-05-18,0,0,0
2015-05-19,5,0,0
2015-05-20,1,0,5
2015-05-21,9,0,10
2015-05-22,15,0,0
2015-05-23,5,0,8
2015-05-24,2,0,0
2015-05-25,7,0,0
2015-05-26,6,0,0
2015-05-27,10,0,0
2015-05-28,11,0,0
2015-05-29,5,0,0
2015-05-30,0,0,0
2015-05-31,0,0,1
2015-06-01,1,0,7
2015-06-02,13,0,1
2015-06-03,3,2,17
2015-06-04,21,0,12
2015-06-05,11,0,6
2015-06-06,1,0,8
2015-06-07,7,0,7
2015-06-08,3,0,12
2015-06-09,9,0,11
2015-06-10,0,0,14
2015-06-11,4,0,9
2015-06-12,0,0,13
2015-06-13,0,0,40
2015-06-14,0,0,5
2015-06-15,4,0,13
2015-06-16,7,0,1
2015-06-17,7,0,10
2015-06-18,10,0,16
2015-06-19,8,0,5
2015-06-20,0,0,1
2015-06-21,0,0,2
2015-06-22,0,0,0
2015-06-23,6,7,10
2015-06-24,4,2,6
2015-06-25,6,13,4
2015-06-26,4,0,11
2015-06-27,0,0,4
2015-06-28,0,0,3
2015-06-29,2,4,7
2015-06-30,2,6,12
2015-07-01,4,11,3
2015-07-02,9,0,8
2015-07-03,1,0,14
2015-07-04,1,0,7
2015-07-05,0,0,16
2015-07-06,6,4,11
2015-07-07,8,1,1
2015-07-08,5,5,1
2015-07-09,2,0,9
2015-07-10,3,2,4
2015-07-11,1,0,8
2015-07-12,0,0,0
2015-07-13,2,2,6
2015-07-14,14,4,7
