,emberjs/ember.js,facebook/react,angular/angular
2022-09-18,0,0,0.0
2022-09-19,8,2,16.0
2022-09-20,1,0,0.3999999999999986
2022-09-21,5,1,4.079999999999999
2022-09-22,8,2,-1.046000000000001
2022-09-23,11,5,6.387400000000001
2022-09-24,0,1,-1.1416929999999996
2022-09-25,0,0,-0.6611381999999991
2022-09-26,1,0,1.5160930850000007
2022-09-27,4,3,6.414272036750001
2022-09-28,1,2,0.8881960021437503
2022-09-29,2,7,15.27122664235
2022-09-30,0,8,2.9495248635703115
2022-10-01,1,2,-1.520849191109375
2022-10-02,0,0,-0.9202582427515623
2022-10-03,6,8,3.380345020000002
2022-10-04,0,21,11.11570297521875
2022-10-05,0,9,5.22286076131875
2022-10-06,0,4,24.32476220371719
2022-10-07,1,1,6.434990805428123
2022-10-08,0,0,-2.864140205653125
2022-10-09,0,0,-1.6236808126796871
2022-10-10,0,1,12.862638815000002
2022-10-11,1,4,14.7108078054375
2022-10-12,3,2,5.940549134918751
2022-10-13,0,7,2.348179350959375
2022-10-14,0,11,-2.0972800686578115
2022-10-15,0,4,-1.3724502960906224
2022-10-16,1,1,-0.8707039503593728
2022-10-17,3,12,10.372570790000003
2022-10-18,4,12,-1.6215910809687495
2022-10-19,1,6,14.059101414481251
2022-10-20,0,0,-1.0978637915015632
2022-10-21,0,7,1.874281262098438
2022-10-22,0,6,-0.9917785126796874
2022-10-23,0,8,-0.6182196374999985
2022-10-24,0,9,4.530055591250001
2022-10-25,2,3,5.1192141193281255
2022-10-26,1,0,5.8546949158546875
2022-10-27,3,19,0.6933955710156245
2022-10-28,15,2,3.041855310195313
2022-10-29,3,3,-0.9311625415828123
2022-10-30,2,1,-0.5693446201078116
2022-10-31,8,1,-0.40258280624999915
2022-11-01,0,5,4.678578669921876
2022-11-02,9,2,0.23214896047656286
2022-11-03,5,5,1.4827932511750004
2022-11-04,0,9,20.490196621217187
2022-11-05,0,0,-2.3768834571343764
2022-11-06,0,0,-1.1368416601437503
2022-11-07,0,7,4.2782481875
2022-11-08,5,6,4.965223506250002
2022-11-09,6,5,4.751288963671875
2022-11-10,1,7,-0.3626522306953124
2022-11-11,2,4,2.0951844001828133
2022-11-12,0,0,-0.9382910283999991
2022-11-13,0,2,-0.6263614657546862
2022-11-14,1,2,4.662696443750001
2022-11-15,1,6,0.2285199324218754
2022-11-16,3,6,2.447521419226563
2022-11-17,33,15,19.354117272940623
2022-11-18,3,3,1.639944983018749
2022-11-19,0,1,-1.5238500415828131
2022-11-20,0,0,-0.9191108701078126
2022-11-21,2,14,9.355769256250001
2022-11-22,16,10,89.49659370117188
2022-11-23,4,1,11.03744908555468
2022-11-24,0,6,-6.791625766582817
2022-11-25,0,1,-4.006062602920314
2022-11-26,0,0,-2.846205302781242
2022-11-27,0,0,-2.065752285143743
2022-11-28,3,5,15.352868150000004
2022-11-29,13,5,17.918388248593754
2022-11-30,12,2,1.9473273689687502
2022-12-01,2,8,4.005269845901563
2022-12-02,0,7,11.903861596745312
2022-12-03,0,0,1.4061027500000005
2022-12-04,0,0,2.084319037500001
2022-12-05,5,8,11.314666901250002
2022-12-06,28,7,12.529306732484375
2022-12-07,0,4,5.990304168560938
2022-12-08,3,4,0.41167316990156255
2022-12-09,2,5,15.209089396175
2022-12-10,0,0,-1.900726434970312
2022-12-11,0,0,-1.7495518850656233
2022-12-12,1,7,12.849944849043752
2022-12-13,4,6,9.729040214403128
2022-12-14,1,14,6.483313668048438
2022-12-15,4,10,-0.3242496564296875
2022-12-16,1,3,-1.5423244606203113
2022-12-17,0,1,-1.0190360751234355
2022-12-18,0,2,-0.7729804811265603
2022-12-19,1,2,70.49196949996406
2022-12-20,1,15,-7.517772349718755
2022-12-21,3,13,-1.5535709829406263
2022-12-22,5,13,-2.4325884400718762
2022-12-23,0,3,-0.651763798854682
2022-12-24,0,0,0.6819130449281288
2022-12-25,0,0,-1.2208278874999972
2022-12-26,0,0,-0.9383859337499976
2022-12-27,0,0,-0.7833367491093732
2022-12-28,2,0,-0.6759476725515606
2022-12-29,0,0,-0.06453213853124981
2022-12-30,0,0,-0.05421542632187484
2022-12-31,0,0,-0.03175570551562491
2023-01-01,0,0,-0.02753547856718743
2023-01-02,0,0,6.983202294928125
2023-01-03,4,3,1.2999999999999994
2023-01-04,1,13,16.485
2023-01-05,3,6,13.010499999999999
2023-01-06,4,1,-1.4666375000000014
2023-01-07,2,0,-1.4136422500000005
2023-01-08,0,0,-0.9481300874999987
2023-01-09,0,11,1.2835978512500024
2023-01-10,0,10,16.224666453890627
2023-01-11,0,12,16.72993163246719
2023-01-12,6,11,16.9189735174125
2023-01-13,1,8,7.321776115404686
2023-01-14,0,4,-3.060547101054688
2023-01-15,0,1,-1.7662951275359358
2023-01-16,0,2,-1.2789098549999969
2023-01-17,0,5,5.992569800218753
2023-01-18,5,5,6.469236244912501
2023-01-19,3,15,0.1937654970921885
2023-01-20,4,9,1.767524882754688
2023-01-21,0,0,-1.0358659938906243
2023-01-22,0,0,-0.5625046278953114
2023-01-23,2,8,1.6521069125000007
2023-01-24,0,8,18.52282702625
2023-01-25,1,11,9.779597963890623
2023-01-26,0,5,5.690988098123436
2023-01-27,1,3,4.957566464931249
2023-01-28,0,1,-1.8723236441187494
2023-01-29,0,0,-1.1486888326078109
2023-01-30,0,11,-0.8304666299999981
2023-01-31,0,27,1.338567495218752
2023-02-01,0,11,-0.7498333573687486
2023-02-02,1,13,24.454718388129688
2023-02-03,0,10,-0.8119886083062515
2023-02-04,0,0,-1.5004940113968757
2023-02-05,0,0,-0.8935254677515629
2023-02-06,0,7,11.400113475000001
2023-02-07,1,14,1.3335688575000004
2023-02-08,5,12,8.77957956146875
2023-02-09,0,11,1.2025358636781247
2023-02-10,3,18,9.655154782109376
2023-02-11,0,0,-2.0044964394296874
2023-02-12,0,1,-1.010217105071874
2023-02-13,1,9,6.290734607500001
2023-02-14,5,14,10.7446412800625
2023-02-15,2,4,1.027801580521875
2023-02-16,2,20,12.661557085985937
2023-02-17,1,10,15.74363837684375
2023-02-18,0,0,-2.006715250779688
2023-02-19,0,0,-1.748909965395312
2023-02-20,3,8,0.8687747262500016
2023-02-21,1,8,7.934351916390628
2023-02-22,2,4,6.308075012310939
2023-02-23,0,2,3.2001641080218755
2023-02-24,0,3,3.470173515173438
2023-02-25,0,3,-1.4721032660343742
2023-02-26,0,0,-0.8649224336624988
2023-02-27,1,7,13.476209142464064
2023-02-28,0,5,21.191827757718748
2023-03-01,1,7,11.7319440952875
2023-03-02,0,7,6.79258527930156
2023-03-03,2,22,9.209724133384373
2023-03-04,5,11,-2.8682078277578116
2023-03-05,0,3,-1.7318851876796852
2023-03-06,5,26,10.751585715000003
2023-03-07,0,9,4.8043409165312525
2023-03-08,1,19,9.930918296387501
2023-03-09,0,11,7.5374205839390624
2023-03-10,0,7,-2.342240273195312
2023-03-11,0,6,-1.328846781546874
2023-03-12,0,1,-0.9044976304312482
2023-03-13,1,9,1.374715557500002
2023-03-14,2,3,17.288412720062503
2023-03-15,0,12,-0.3225089015406253
2023-03-16,1,9,12.648451313560937
2023-03-17,0,10,9.7592056394125
