,rails/rails,pallets/flask,django/django
2018-04-06,21,0,1.0
2018-04-07,15,0,3.0
2018-04-08,7,0,0.0
2018-04-09,7,10,0.0
2018-04-10,16,9,3.0
2018-04-11,6,0,1.0
2018-04-12,16,4,5.0
2018-04-13,19,0,3.0
2018-04-14,6,0,1.0
2018-04-15,4,0,1.0
2018-04-16,8,0,5.0
2018-04-17,12,0,3.0
2018-04-18,13,9,3.0
2018-04-19,36,4,7.0
2018-04-20,31,1,4.0
2018-04-21,12,2,1.0
2018-04-22,17,0,0.0
2018-04-23,18,3,5.0
2018-04-24,12,2,2.0
2018-04-25,14,0,1.0
2018-04-26,12,27,0.0
2018-04-27,8,17,3.0
2018-04-28,6,3,3.0
2018-04-29,11,6,1.0
2018-04-30,10,13,1.0
2018-05-01,16,7,0.0
2018-05-02,6,7,4.0
2018-05-03,7,1,4.0
2018-05-04,7,0,0.0
2018-05-05,5,0,2.0
2018-05-06,5,0,0.0
2018-05-07,6,0,4.0
2018-05-08,3,0,1.0
2018-05-09,4,6,5.0
2018-05-10,2,0,3.0
2018-05-11,5,0,1.0
2018-05-12,2,1,5.0
2018-05-13,8,1,3.0
2018-05-14,3,0,1.0
2018-05-15,1,0,4.0
2018-05-16,3,2,3.0
2018-05-17,13,2,9.0
2018-05-18,5,0,5.0
2018-05-19,5,0,0.0
2018-05-20,2,0,1.0
2018-05-21,11,4,1.0
2018-05-22,20,1,0.0
2018-05-23,8,0,1.0
2018-05-24,9,2,0.0
2018-05-25,4,0,4.0
2018-05-26,4,0,2.0
2018-05-27,4,0,8.0
2018-05-28,27,4,2.0
2018-05-29,10,5,1.0
2018-05-30,7,0,3.0
2018-05-31,10,2,3.0
2018-06-01,10,0,3.0
2018-06-02,3,0,3.0
2018-06-03,2,1,0.0
2018-06-04,10,0,3.0
2018-06-05,6,0,2.0
2018-06-06,7,0,5.0
2018-06-07,17,0,2.0
2018-06-08,12,0,5.0
2018-06-09,4,0,3.0
2018-06-10,4,0,1.0
2018-06-11,20,0,1.0
2018-06-12,5,0,6.0
2018-06-13,3,3,2.0
2018-06-14,3,4,1.0
2018-06-15,2,2,4.0
2018-06-16,1,0,6.0
2018-06-17,1,1,1.0
2018-06-18,8,1,2.0
2018-06-19,9,0,1.0
2018-06-20,5,2,11.0
2018-06-21,8,0,8.0
2018-06-22,3,0,3.0
