,apolloauto/apollo,carla-simulator/carla,commaai/openpilot
2018-12-20,29,4,0
2018-12-21,16,13,4
2018-12-22,5,1,0
2018-12-23,2,0,0
2018-12-24,0,0,0
2018-12-25,3,0,1
2018-12-26,2,1,0
2018-12-27,3,0,1
2018-12-28,2,0,0
2018-12-29,3,0,1
2018-12-30,3,0,0
2018-12-31,0,1,1
2019-01-01,0,0,0
2019-01-02,9,0,0
2019-01-03,17,0,1
2019-01-04,20,0,0
2019-01-05,8,0,0
2019-01-06,4,0,0
2019-01-07,23,0,0
2019-01-08,6,2,0
2019-01-09,18,5,1
2019-01-10,9,6,0
2019-01-11,3,7,0
2019-01-12,5,0,1
2019-01-13,0,0,0
2019-01-14,17,3,1
2019-01-15,23,7,0
2019-01-16,25,8,0
2019-01-17,20,8,0
2019-01-18,10,2,0
2019-01-19,18,0,0
2019-01-20,2,0,0
2019-01-21,4,8,0
2019-01-22,12,20,1
2019-01-23,20,11,5
2019-01-24,20,15,0
2019-01-25,12,9,0
2019-01-26,2,21,2
2019-01-27,3,4,0
2019-01-28,5,9,0
2019-01-29,6,29,1
2019-01-30,9,32,0
2019-01-31,11,15,0
2019-02-01,11,4,0
2019-02-02,8,0,0
2019-02-03,0,0,0
2019-02-04,3,5,0
2019-02-05,7,5,1
2019-02-06,10,23,0
2019-02-07,10,12,1
2019-02-08,14,5,0
2019-02-09,8,0,0
2019-02-10,0,0,0
2019-02-11,7,5,0
2019-02-12,15,17,0
2019-02-13,25,1,1
2019-02-14,21,1,1
2019-02-15,21,3,0
2019-02-16,6,0,0
2019-02-17,1,0,0
2019-02-18,2,4,0
2019-02-19,3,2,0
2019-02-20,6,3,7
2019-02-21,21,9,1
2019-02-22,25,9,2
2019-02-23,6,0,0
2019-02-24,1,1,0
2019-02-25,11,8,1
2019-02-26,15,9,0
2019-02-27,38,39,0
2019-02-28,31,61,1
2019-03-01,36,28,0
2019-03-02,20,0,0
2019-03-03,0,0,0
2019-03-04,14,1,0
2019-03-05,21,0,0
2019-03-06,21,0,0
2019-03-07,28,2,0
2019-03-08,38,0,0
2019-03-09,6,0,1
2019-03-10,11,3,1
2019-03-11,16,10,3
2019-03-12,23,5,0
2019-03-13,45,12,0
2019-03-14,14,17,0
2019-03-15,31,25,0
2019-03-16,5,0,0
2019-03-17,2,2,0
2019-03-18,20,20,0
2019-03-19,8,55,0
2019-03-20,47,18,0
2019-03-21,43,19,0
2019-03-22,20,20,0
2019-03-23,10,4,0
2019-03-24,0,1,0
2019-03-25,13,21,0
2019-03-26,30,23,7
2019-03-27,22,11,1
2019-03-28,28,18,0
2019-03-29,29,19,1
2019-03-30,13,33,0
2019-03-31,22,0,0
2019-04-01,15,9,0
2019-04-02,16,5,1
2019-04-03,95,2,0
2019-04-04,45,10,0
2019-04-05,32,1,3
2019-04-06,8,0,1
2019-04-07,2,0,0
2019-04-08,16,6,0
2019-04-09,24,0,1
2019-04-10,28,2,1
2019-04-11,37,2,0
2019-04-12,26,17,2
2019-04-13,12,0,1
2019-04-14,5,0,0
2019-04-15,16,0,0
2019-04-16,6,5,2
2019-04-17,30,1,2
2019-04-18,28,0,0
2019-04-19,25,0,0
2019-04-20,7,0,0
2019-04-21,1,0,0
2019-04-22,35,0,0
2019-04-23,21,1,5
2019-04-24,45,4,0
2019-04-25,38,0,0
2019-04-26,19,11,0
2019-04-27,10,0,0
2019-04-28,1,0,0
2019-04-29,6,10,0
2019-04-30,27,7,0
2019-05-01,24,0,0
2019-05-02,12,16,1
2019-05-03,11,17,0
2019-05-04,8,0,0
2019-05-05,4,0,2
2019-05-06,15,1,3
2019-05-07,31,4,1
2019-05-08,21,5,1
2019-05-09,39,1,1
2019-05-10,26,1,0
2019-05-11,6,0,0
2019-05-12,0,0,0
2019-05-13,1,0,0
2019-05-14,21,1,1
2019-05-15,17,0,0
2019-05-16,34,1,5
2019-05-17,28,0,0
2019-05-18,6,0,0
2019-05-19,2,0,0
2019-05-20,28,1,0
2019-05-21,21,3,0
2019-05-22,30,3,1
2019-05-23,30,4,0
2019-05-24,36,1,0
2019-05-25,8,0,0
2019-05-26,1,0,2
2019-05-27,7,1,0
2019-05-28,14,2,1
2019-05-29,17,23,1
2019-05-30,28,0,0
2019-05-31,23,1,4
2019-06-01,12,0,1
2019-06-02,3,0,2
2019-06-03,24,1,0
2019-06-04,25,3,0
2019-06-05,31,1,1
2019-06-06,25,0,8
2019-06-07,33,0,1
2019-06-08,6,0,1
2019-06-09,0,0,0
2019-06-10,14,0,0
2019-06-11,27,1,0
2019-06-12,26,2,0
2019-06-13,23,18,0
2019-06-14,18,0,1
2019-06-15,1,0,0
2019-06-16,2,0,0
2019-06-17,33,3,1
2019-06-18,20,3,0
2019-06-19,31,2,0
2019-06-20,19,7,1
2019-06-21,23,2,0
2019-06-22,3,0,0
2019-06-23,0,0,0
2019-06-24,28,0,0
2019-06-25,29,1,2
2019-06-26,25,3,1
2019-06-27,28,8,0
2019-06-28,24,1,11
2019-06-29,12,0,0
2019-06-30,4,0,0
2019-07-01,5,2,3
2019-07-02,4,0,2
2019-07-03,7,3,2
