,flutter/flutter,NativeScript/NativeScript,ionic-team/ionic-framework
2019-03-16,6,0,0
2019-03-17,2,0,0
2019-03-18,11,2,0
2019-03-19,13,0,2
2019-03-20,15,6,4
2019-03-21,21,7,5
2019-03-22,7,6,4
2019-03-23,4,0,0
2019-03-24,2,0,0
2019-03-25,6,4,5
2019-03-26,12,3,7
2019-03-27,17,0,3
2019-03-28,11,4,4
2019-03-29,17,5,5
2019-03-30,8,0,0
2019-03-31,3,0,0
2019-04-01,6,0,1
2019-04-02,14,2,1
2019-04-03,11,6,8
2019-04-04,19,0,4
2019-04-05,17,1,6
2019-04-06,3,0,1
2019-04-07,2,0,0
2019-04-08,9,0,3
2019-04-09,13,0,1
2019-04-10,16,3,1
2019-04-11,17,0,1
2019-04-12,2,3,2
2019-04-13,2,0,0
2019-04-14,0,0,0
2019-04-15,12,3,3
2019-04-16,16,0,9
2019-04-17,13,1,9
2019-04-18,18,0,1
2019-04-19,13,0,0
2019-04-20,1,0,0
2019-04-21,0,0,0
2019-04-22,19,0,2
2019-04-23,15,1,2
2019-04-24,17,0,3
2019-04-25,29,0,3
2019-04-26,17,0,3
2019-04-27,6,0,0
2019-04-28,1,0,0
2019-04-29,21,0,1
2019-04-30,17,0,0
2019-05-01,23,2,1
2019-05-02,22,0,0
2019-05-03,17,6,0
2019-05-04,9,0,0
2019-05-05,0,0,0
2019-05-06,16,3,1
2019-05-07,8,11,7
2019-05-08,9,9,6
2019-05-09,13,10,1
2019-05-10,20,6,1
2019-05-11,2,1,0
2019-05-12,3,0,0
2019-05-13,13,2,0
2019-05-14,19,2,7
2019-05-15,14,4,2
2019-05-16,13,1,0
2019-05-17,10,2,1
2019-05-18,3,0,0
2019-05-19,2,0,0
2019-05-20,20,1,4
2019-05-21,22,6,8
2019-05-22,8,9,12
2019-05-23,8,1,2
2019-05-24,9,0,4
2019-05-25,3,0,0
2019-05-26,2,0,1
2019-05-27,2,0,0
2019-05-28,13,0,0
2019-05-29,15,0,5
2019-05-30,31,0,1
2019-05-31,14,3,1
2019-06-01,8,0,0
2019-06-02,1,0,0
2019-06-03,25,5,7
2019-06-04,23,2,0
2019-06-05,14,3,0
2019-06-06,23,4,0
2019-06-07,19,2,0
2019-06-08,13,0,0
2019-06-09,6,0,0
2019-06-10,19,1,7
2019-06-11,18,0,18
2019-06-12,15,1,10
2019-06-13,16,1,1
2019-06-14,16,0,0
2019-06-15,7,0,0
2019-06-16,4,0,0
2019-06-17,5,2,0
2019-06-18,16,2,0
2019-06-19,23,0,1
2019-06-20,19,1,1
2019-06-21,11,5,4
2019-06-22,7,0,0
2019-06-23,4,0,1
2019-06-24,9,3,1
2019-06-25,13,8,3
2019-06-26,14,8,5
2019-06-27,17,6,5
2019-06-28,26,9,5
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,8,1,6
2019-07-02,5,0,5
2019-07-03,13,5,3
2019-07-04,2,2,0
2019-07-05,1,0,3
2019-07-06,0,0,1
2019-07-07,0,0,0
2019-07-08,17,2,2
2019-07-09,16,5,7
2019-07-10,13,11,8
2019-07-11,15,1,1
2019-07-12,16,0,3
2019-07-13,5,0,0
2019-07-14,0,0,0
2019-07-15,7,1,1
2019-07-16,13,13,0
2019-07-17,27,11,3
2019-07-18,14,4,3
2019-07-19,23,5,1
2019-07-20,3,1,0
2019-07-21,6,0,0
2019-07-22,19,4,5
2019-07-23,16,0,6
2019-07-24,17,1,10
2019-07-25,11,4,6
2019-07-26,15,4,4
2019-07-27,9,0,0
2019-07-28,2,2,0
2019-07-29,11,1,1
2019-07-30,16,2,4
2019-07-31,15,3,1
2019-08-01,19,4,0
2019-08-02,19,9,1
2019-08-03,5,0,0
2019-08-04,3,0,0
2019-08-05,8,2,1
2019-08-06,25,0,9
2019-08-07,19,6,13
2019-08-08,18,2,9
2019-08-09,22,0,0
2019-08-10,5,0,0
2019-08-11,0,0,0
2019-08-12,13,2,2
2019-08-13,6,2,4
2019-08-14,23,5,0
2019-08-15,30,5,1
2019-08-16,28,1,2
2019-08-17,5,0,0
2019-08-18,3,2,0
2019-08-19,14,5,1
2019-08-20,32,4,4
2019-08-21,20,2,6
2019-08-22,19,4,3
2019-08-23,16,3,6
2019-08-24,3,0,0
2019-08-25,2,0,0
2019-08-26,14,1,4
2019-08-27,17,0,11
2019-08-28,31,4,3
2019-08-29,15,3,2
2019-08-30,15,2,3
2019-08-31,10,0,0
2019-09-01,0,0,0
2019-09-02,13,0,0
2019-09-03,25,0,2
2019-09-04,5,1,5
2019-09-05,21,0,4
2019-09-06,17,0,0
2019-09-07,5,0,0
2019-09-08,0,0,0
2019-09-09,2,0,1
