,AdguardTeam/AdGuardHome,NLnetLabs/unbound,pi-hole/pi-hole
2022-08-30,8,0,0
2022-08-31,2,4,2
2022-09-01,0,5,0
2022-09-02,2,2,1
2022-09-03,0,0,3
2022-09-04,1,0,0
2022-09-05,2,0,1
2022-09-06,4,0,2
2022-09-07,4,1,0
2022-09-08,0,0,0
2022-09-09,2,0,0
2022-09-10,0,0,0
2022-09-11,0,5,0
2022-09-12,5,0,0
2022-09-13,6,0,0
2022-09-14,2,0,4
2022-09-15,0,0,4
2022-09-16,4,2,2
2022-09-17,0,0,7
2022-09-18,0,0,4
2022-09-19,6,0,7
2022-09-20,3,6,0
2022-09-21,2,8,0
2022-09-22,3,0,3
2022-09-23,1,0,0
2022-09-24,0,0,6
2022-09-25,0,0,6
2022-09-26,0,4,5
2022-09-27,0,0,0
2022-09-28,0,3,0
2022-09-29,4,0,1
2022-09-30,2,0,2
2022-10-01,0,0,9
2022-10-02,1,0,0
2022-10-03,5,6,0
2022-10-04,9,5,0
2022-10-05,3,3,0
2022-10-06,5,2,7
2022-10-07,2,3,1
2022-10-08,0,0,1
2022-10-09,0,0,3
2022-10-10,5,1,3
2022-10-11,2,1,3
2022-10-12,0,0,2
2022-10-13,1,2,1
2022-10-14,7,4,5
2022-10-15,0,0,7
2022-10-16,0,0,2
2022-10-17,0,1,2
2022-10-18,1,1,0
2022-10-19,3,0,1
2022-10-20,1,0,1
2022-10-21,4,3,1
2022-10-22,0,0,2
2022-10-23,0,0,0
2022-10-24,2,0,1
2022-10-25,2,0,0
2022-10-26,2,0,0
2022-10-27,2,0,0
2022-10-28,3,2,2
2022-10-29,0,0,3
2022-10-30,0,0,2
2022-10-31,0,0,2
2022-11-01,1,0,0
2022-11-02,4,0,2
2022-11-03,0,0,1
2022-11-04,0,0,0
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,1,2,0
2022-11-08,3,4,0
2022-11-09,1,1,3
2022-11-10,0,0,0
2022-11-11,0,1,0
2022-11-12,0,0,0
2022-11-13,0,0,1
2022-11-14,0,0,9
2022-11-15,1,0,0
2022-11-16,0,0,0
2022-11-17,0,0,0
2022-11-18,0,1,1
2022-11-19,0,0,1
2022-11-20,0,0,0
2022-11-21,0,3,0
2022-11-22,1,2,0
2022-11-23,2,1,3
2022-11-24,1,2,2
2022-11-25,2,0,0
2022-11-26,0,0,0
2022-11-27,0,0,3
2022-11-28,1,1,3
2022-11-29,0,1,0
2022-11-30,0,4,0
2022-12-01,0,2,0
2022-12-02,1,0,0
2022-12-03,0,0,0
2022-12-04,0,0,1
2022-12-05,2,1,2
2022-12-06,0,0,0
2022-12-07,3,0,0
2022-12-08,1,0,1
2022-12-09,0,0,0
2022-12-10,0,0,1
2022-12-11,0,0,13
2022-12-12,0,0,0
2022-12-13,0,11,1
2022-12-14,1,2,0
2022-12-15,4,0,2
2022-12-16,0,0,1
2022-12-17,0,0,4
2022-12-18,0,0,5
2022-12-19,0,0,11
2022-12-20,2,0,0
2022-12-21,3,0,0
2022-12-22,0,0,3
2022-12-23,1,0,0
2022-12-24,0,0,2
