,pallets/flask,rails/rails,django/django
2022-04-06,0,11,4.0
2022-04-07,0,2,3.0
2022-04-08,7,4,0.0
2022-04-09,0,0,0.0
2022-04-10,0,0,0.0
2022-04-11,1,11,7.0
2022-04-12,0,5,5.0
2022-04-13,2,9,8.0
2022-04-14,0,10,7.0
2022-04-15,0,1,2.0
2022-04-16,0,0,1.0
2022-04-17,0,2,0.0
2022-04-18,0,5,4.0
2022-04-19,0,0,5.0
2022-04-20,0,0,9.0
2022-04-21,0,4,4.0
2022-04-22,0,7,3.0
2022-04-23,0,3,0.0
2022-04-24,8,3,0.0
2022-04-25,2,6,1.0
2022-04-26,0,9,4.0
2022-04-27,0,1,2.0
2022-04-28,7,4,7.0
2022-04-29,0,8,5.0
2022-04-30,0,1,0.0
2022-05-01,0,1,0.0
2022-05-02,4,8,4.0
2022-05-03,4,11,6.0
2022-05-04,2,4,6.0
2022-05-05,0,7,2.0
2022-05-06,0,4,3.0
2022-05-07,0,2,0.0
2022-05-08,0,3,0.0
2022-05-09,0,13,1.0
2022-05-10,5,6,3.0
2022-05-11,2,18,2.0
2022-05-12,3,4,5.0
2022-05-13,0,7,3.0
2022-05-14,3,13,0.0
2022-05-15,2,5,0.0
2022-05-16,0,11,5.0
2022-05-17,0,5,15.0
2022-05-18,0,16,3.0
2022-05-19,0,15,4.0
2022-05-20,0,19,3.0
2022-05-21,0,5,3.0
2022-05-22,0,9,0.0
2022-05-23,16,6,2.0
2022-05-24,0,6,1.0
2022-05-25,0,9,4.0
2022-05-26,0,15,4.0
2022-05-27,0,2,0.0
2022-05-28,0,7,0.0
2022-05-29,0,8,0.0
2022-05-30,0,13,0.0
2022-05-31,2,17,5.0
2022-06-01,5,7,10.0
2022-06-02,0,8,3.0
2022-06-03,0,14,6.0
2022-06-04,0,3,0.0
2022-06-05,6,2,0.0
2022-06-06,11,13,0.0
2022-06-07,0,9,0.0
2022-06-08,1,6,1.0
2022-06-09,2,9,1.0
2022-06-10,0,10,0.0
2022-06-11,3,0,0.0
2022-06-12,5,5,0.0
2022-06-13,1,17,4.0
2022-06-14,0,19,1.0
2022-06-15,3,11,0.0
2022-06-16,0,11,4.0
2022-06-17,7,11,5.0
2022-06-18,3,7,1.0
2022-06-19,0,0,0.0
2022-06-20,0,18,3.0
2022-06-21,0,11,2.0
2022-06-22,0,9,1.0
2022-06-23,2,19,3.0
2022-06-24,0,7,2.0
2022-06-25,0,7,0.0
2022-06-26,0,4,0.0
2022-06-27,0,5,5.0
2022-06-28,4,10,9.0
2022-06-29,0,10,0.0
2022-06-30,2,4,1.0
2022-07-01,7,4,2.0
2022-07-02,0,1,1.0
2022-07-03,6,2,0.0
2022-07-04,2,8,4.0
2022-07-05,1,11,3.0
2022-07-06,3,16,4.0
2022-07-07,0,4,2.0
2022-07-08,11,6,3.0
2022-07-09,2,5,1.0
2022-07-10,2,7,0.0
2022-07-11,2,9,3.0
2022-07-12,0,10,2.0
2022-07-13,10,18,1.0
2022-07-14,2,2,1.0
2022-07-15,0,3,0.0
2022-07-16,0,1,1.0
2022-07-17,0,0,1.0
2022-07-18,0,6,2.0
2022-07-19,0,21,1.0
2022-07-20,0,3,1.0
2022-07-21,0,5,2.0
2022-07-22,0,2,1.0
2022-07-23,0,3,4.0
2022-07-24,0,6,0.0
2022-07-25,5,8,6.0
2022-07-26,0,22,6.0
2022-07-27,0,9,11.0
2022-07-28,0,14,1.0
2022-07-29,0,20,1.0
2022-07-30,0,6,1.0
2022-07-31,0,7,2.0
2022-08-01,9,14,2.0
2022-08-02,7,16,4.0
2022-08-03,6,30,11.0
2022-08-04,5,13,4.0
2022-08-05,4,9,1.0
2022-08-06,0,26,2.0
2022-08-07,0,3,0.0
2022-08-08,7,9,4.0
2022-08-09,4,8,8.0
2022-08-10,0,9,3.0
2022-08-11,0,8,5.0
2022-08-12,0,6,3.0
2022-08-13,2,0,0.0
2022-08-14,0,0,0.0
2022-08-15,3,5,4.0
2022-08-16,0,5,2.0
2022-08-17,2,3,5.0
2022-08-18,0,16,3.0
2022-08-19,0,11,0.0
2022-08-20,0,1,0.0
2022-08-21,2,0,0.0
2022-08-22,2,12,0.0
