,elastic/kibana,getsentry/sentry,grafana/grafana
2021-05-22,2,0,1
2021-05-23,0,0,0
2021-05-24,15,7,19
2021-05-25,18,27,18
2021-05-26,40,17,29
2021-05-27,37,20,35
2021-05-28,30,6,39
2021-05-29,3,0,4
2021-05-30,0,0,0
2021-05-31,11,15,25
2021-06-01,31,16,27
2021-06-02,30,27,30
2021-06-03,31,14,34
2021-06-04,33,16,39
2021-06-05,1,0,1
2021-06-06,0,0,0
2021-06-07,24,13,13
2021-06-08,38,33,11
2021-06-09,43,30,17
2021-06-10,41,25,17
2021-06-11,7,25,18
2021-06-12,3,2,0
2021-06-13,0,0,0
2021-06-14,34,22,18
2021-06-15,44,36,27
2021-06-16,50,26,14
2021-06-17,51,26,24
2021-06-18,21,16,10
2021-06-19,0,0,1
2021-06-20,0,0,0
2021-06-21,46,34,11
2021-06-22,60,33,10
2021-06-23,62,34,15
2021-06-24,69,25,13
2021-06-25,10,14,6
2021-06-26,1,0,1
2021-06-27,1,0,2
2021-06-28,59,21,13
2021-06-29,81,31,12
2021-06-30,86,48,12
2021-07-01,48,30,17
2021-07-02,3,20,13
2021-07-03,1,0,0
2021-07-04,0,0,1
2021-07-05,17,13,14
2021-07-06,46,38,13
2021-07-07,42,34,24
2021-07-08,51,28,15
2021-07-09,41,35,14
2021-07-10,4,2,2
2021-07-11,0,0,2
2021-07-12,33,42,19
2021-07-13,43,34,20
2021-07-14,39,46,19
2021-07-15,36,38,17
2021-07-16,35,22,18
2021-07-17,1,0,2
2021-07-18,2,0,0
2021-07-19,31,34,17
2021-07-20,38,35,16
2021-07-21,34,40,27
2021-07-22,43,40,23
2021-07-23,4,31,11
2021-07-24,0,1,1
2021-07-25,2,0,0
2021-07-26,41,15,18
2021-07-27,38,28,10
2021-07-28,48,28,5
2021-07-29,41,33,22
2021-07-30,33,23,13
2021-07-31,1,0,0
2021-08-01,0,0,0
2021-08-02,40,18,9
2021-08-03,46,24,13
2021-08-04,26,23,26
2021-08-05,29,25,15
2021-08-06,5,33,10
2021-08-07,1,2,0
2021-08-08,0,0,0
2021-08-09,32,4,15
2021-08-10,56,1,16
2021-08-11,46,2,11
2021-08-12,45,1,12
2021-08-13,47,0,18
2021-08-14,9,1,2
2021-08-15,4,3,2
2021-08-16,61,0,11
2021-08-17,78,15,20
2021-08-18,44,17,23
2021-08-19,44,15,20
2021-08-20,36,9,11
2021-08-21,2,0,0
2021-08-22,4,0,0
2021-08-23,48,16,21
2021-08-24,47,17,19
2021-08-25,47,23,15
2021-08-26,55,32,15
2021-08-27,15,20,23
2021-08-28,0,0,1
2021-08-29,0,0,2
2021-08-30,38,26,9
2021-08-31,44,42,16
2021-09-01,47,30,25
2021-09-02,26,24,17
2021-09-03,46,2,5
2021-09-04,0,0,0
2021-09-05,1,0,0
2021-09-06,19,0,12
2021-09-07,41,28,20
2021-09-08,53,17,19
2021-09-09,43,23,23
2021-09-10,26,16,21
2021-09-11,0,0,0
2021-09-12,1,0,1
2021-09-13,41,31,26
2021-09-14,41,25,18
2021-09-15,46,29,25
2021-09-16,31,20,17
2021-09-17,6,18,22
2021-09-18,3,0,0
2021-09-19,5,0,1
2021-09-20,25,31,23
2021-09-21,31,33,15
2021-09-22,39,34,14
2021-09-23,45,29,24
2021-09-24,3,18,2
2021-09-25,0,0,2
2021-09-26,3,0,0
2021-09-27,35,26,17
2021-09-28,39,35,18
2021-09-29,41,38,26
2021-09-30,32,25,21
2021-10-01,28,18,21
2021-10-02,2,3,0
2021-10-03,1,0,0
2021-10-04,58,28,14
2021-10-05,59,20,12
2021-10-06,61,44,22
2021-10-07,51,31,19
2021-10-08,12,52,15
2021-10-09,2,0,0
2021-10-10,2,0,0
2021-10-11,42,14,18
2021-10-12,64,33,27
2021-10-13,57,25,15
2021-10-14,56,25,23
2021-10-15,51,24,15
2021-10-16,6,0,1
2021-10-17,5,0,0
2021-10-18,57,34,21
2021-10-19,80,27,22
2021-10-20,69,25,27
2021-10-21,68,22,22
2021-10-22,5,30,18
2021-10-23,1,1,0
2021-10-24,0,0,0
2021-10-25,48,20,15
2021-10-26,75,22,26
2021-10-27,33,26,24
2021-10-28,39,24,18
2021-10-29,46,28,21
2021-10-30,8,0,0
2021-10-31,0,0,0
2021-11-01,38,19,16
2021-11-02,70,16,36
2021-11-03,53,30,21
2021-11-04,44,41,17
2021-11-05,41,21,20
2021-11-06,2,1,2
2021-11-07,2,0,1
2021-11-08,36,18,16
2021-11-09,54,31,28
2021-11-10,43,32,25
2021-11-11,69,29,27
2021-11-12,8,19,20
2021-11-13,1,3,1
2021-11-14,0,0,2
2021-11-15,47,31,26
2021-11-16,60,16,23
2021-11-17,35,13,36
2021-11-18,39,18,31
2021-11-19,40,14,36
2021-11-20,1,1,2
2021-11-21,2,0,0
2021-11-22,36,19,17
2021-11-23,49,31,25
2021-11-24,45,34,36
2021-11-25,25,14,16
2021-11-26,6,9,20
2021-11-27,2,0,0
2021-11-28,1,0,0
2021-11-29,40,21,31
2021-11-30,48,26,16
2021-12-01,49,30,25
2021-12-02,38,35,21
2021-12-03,40,21,14
2021-12-04,3,0,0
2021-12-05,0,0,0
2021-12-06,36,37,14
2021-12-07,59,14,10
2021-12-08,47,13,10
2021-12-09,40,36,10
2021-12-10,10,21,4
2021-12-11,0,1,0
2021-12-12,0,0,0
2021-12-13,40,9,18
2021-12-14,37,45,27
2021-12-15,37,39,20
2021-12-16,34,45,18
2021-12-17,35,17,17
2021-12-18,1,0,2
2021-12-19,0,0,1
2021-12-20,31,12,23
2021-12-21,49,13,20
2021-12-22,36,11,11
2021-12-23,25,14,9
2021-12-24,3,0,2
2021-12-25,0,0,0
2021-12-26,2,0,0
2021-12-27,12,0,4
2021-12-28,13,1,6
2021-12-29,4,4,1
2021-12-30,5,1,4
2021-12-31,2,0,0
2022-01-01,2,0,0
2022-01-02,0,0,0
2022-01-03,4,18,8
2022-01-04,25,24,24
2022-01-05,28,26,19
2022-01-06,23,24,14
2022-01-07,4,21,26
2022-01-08,0,0,0
2022-01-09,0,0,0
2022-01-10,36,32,21
2022-01-11,37,25,18
2022-01-12,45,27,15
2022-01-13,29,26,19
2022-01-14,27,18,14
2022-01-15,2,1,0
2022-01-16,0,0,0
2022-01-17,24,14,19
2022-01-18,44,19,15
2022-01-19,28,28,19
2022-01-20,45,27,19
2022-01-21,3,24,22
2022-01-22,0,1,1
2022-01-23,3,0,1
2022-01-24,28,17,17
2022-01-25,45,39,17
2022-01-26,27,27,15
2022-01-27,41,43,21
2022-01-28,35,25,17
2022-01-29,0,0,1
2022-01-30,1,0,0
2022-01-31,57,22,30
2022-02-01,65,26,22
2022-02-02,36,27,25
2022-02-03,33,23,33
2022-02-04,34,21,26
2022-02-05,2,2,1
2022-02-06,0,0,0
2022-02-07,32,22,25
2022-02-08,34,25,39
2022-02-09,35,19,40
2022-02-10,49,20,36
2022-02-11,41,18,33
2022-02-12,2,0,0
2022-02-13,0,0,0
2022-02-14,35,31,1
2022-02-15,43,38,27
2022-02-16,48,28,25
2022-02-17,43,21,30
2022-02-18,2,17,28
2022-02-19,0,0,2
2022-02-20,0,0,0
2022-02-21,14,9,17
2022-02-22,22,24,13
2022-02-23,37,50,20
2022-02-24,34,27,25
2022-02-25,4,25,22
2022-02-26,0,1,1
2022-02-27,1,0,0
2022-02-28,30,27,17
2022-03-01,34,40,18
2022-03-02,24,43,27
2022-03-03,40,41,33
2022-03-04,32,38,23
2022-03-05,0,3,0
2022-03-06,1,0,0
2022-03-07,39,46,8
2022-03-08,41,30,11
2022-03-09,59,29,11
2022-03-10,46,23,12
2022-03-11,3,28,11
2022-03-12,0,3,1
2022-03-13,0,0,0
2022-03-14,37,36,17
2022-03-15,61,44,18
2022-03-16,56,32,21
2022-03-17,38,34,19
2022-03-18,42,32,17
2022-03-19,2,0,1
2022-03-20,1,0,0
2022-03-21,51,21,25
2022-03-22,36,23,19
2022-03-23,39,28,22
2022-03-24,64,29,18
2022-03-25,9,22,12
2022-03-26,0,1,4
2022-03-27,3,0,0
2022-03-28,59,31,0
2022-03-29,79,53,23
2022-03-30,58,60,26
2022-03-31,50,28,31
2022-04-01,40,32,24
2022-04-02,3,1,2
2022-04-03,0,0,0
2022-04-04,37,42,28
2022-04-05,27,48,32
2022-04-06,32,29,35
2022-04-07,44,52,19
2022-04-08,6,28,22
2022-04-09,1,0,0
2022-04-10,1,0,0
2022-04-11,41,27,15
2022-04-12,39,33,33
2022-04-13,46,32,27
2022-04-14,52,30,23
2022-04-15,21,17,13
2022-04-16,5,1,0
2022-04-17,2,0,0
2022-04-18,28,28,4
2022-04-19,63,46,13
2022-04-20,39,43,41
2022-04-21,29,31,35
2022-04-22,5,24,22
2022-04-23,0,0,2
2022-04-24,1,0,2
2022-04-25,16,47,19
2022-04-26,33,35,22
2022-04-27,36,42,24
2022-04-28,29,39,38
2022-04-29,28,38,28
2022-04-30,1,0,0
2022-05-01,1,0,0
2022-05-02,25,16,22
2022-05-03,36,45,26
2022-05-04,55,33,31
2022-05-05,27,44,36
2022-05-06,34,23,24
2022-05-07,0,3,0
2022-05-08,1,1,1
2022-05-09,27,40,6
2022-05-10,35,47,4
2022-05-11,48,42,8
2022-05-12,46,38,13
2022-05-13,2,25,8
2022-05-14,0,14,0
2022-05-15,3,1,2
2022-05-16,35,42,28
2022-05-17,50,37,35
2022-05-18,53,43,29
2022-05-19,45,36,30
2022-05-20,51,33,27
2022-05-21,0,0,5
