,exercism/exercism,ossu/computer-science,freecodecamp/freecodecamp
2022-07-13,0,0.0,7
2022-07-14,0,0.0,4
2022-07-15,0,0.0,4
2022-07-16,0,3.0,2
2022-07-17,0,-0.30000000000000027,3
2022-07-18,0,-0.1350000000000001,5
2022-07-19,0,-0.08550000000000006,9
2022-07-20,0,-0.06198749999999977,2
2022-07-21,0,-0.048350249999999845,7
2022-07-22,0,-0.03948603749999988,8
2022-07-23,0,-0.0332810887499999,3
2022-07-24,0,-0.028704939046874926,5
2022-07-25,0,-0.025196557607812434,8
2022-07-26,0,0.0,4
2022-07-27,0,0.0,12
2022-07-28,0,0.0,10
2022-07-29,0,0.0,5
2022-07-30,0,0.0,1
2022-07-31,0,0.0,0
2022-08-01,0,1.0,4
2022-08-02,0,-0.10000000000000009,7
2022-08-03,0,1.955,9
2022-08-04,0,-0.2285000000000002,4
2022-08-05,0,-0.1106625,4
2022-08-06,0,-0.07311675,1
2022-08-07,0,-0.05448701249999981,2
2022-08-08,0,-0.04332719624999986,12
2022-08-09,0,-0.0358923380156249,9
2022-08-10,0,-0.03058624503593741,6
2022-08-11,0,-0.01913662603124995,3
2022-08-12,0,-0.016797705071874957,4
2022-08-13,0,0.0,0
2022-08-14,0,0.0,2
2022-08-15,0,0.0,4
2022-08-16,0,0.0,4
2022-08-17,0,0.0,3
2022-08-18,0,0.0,2
2022-08-19,0,0.0,10
2022-08-20,0,0.0,3
2022-08-21,0,0.0,0
2022-08-22,0,0.0,9
2022-08-23,0,1.0,4
2022-08-24,0,-0.10000000000000009,6
2022-08-25,0,-0.04500000000000003,4
2022-08-26,0,-0.028500000000000022,3
2022-08-27,0,-0.020662499999999924,1
2022-08-28,0,-0.016116749999999947,0
2022-08-29,0,-0.01316201249999996,6
2022-08-30,0,-0.011093696249999967,5
2022-08-31,0,-0.009568313015624975,4
2022-09-01,0,-0.008398852535937478,3
2022-09-02,0,0.0,3
2022-09-03,0,0.0,0
2022-09-04,0,0.0,2
2022-09-05,0,0.0,0
2022-09-06,0,0.0,1
2022-09-07,0,0.0,6
2022-09-08,0,0.0,3
2022-09-09,0,1.0,1
2022-09-10,0,-0.10000000000000009,1
2022-09-11,0,-0.04500000000000003,0
2022-09-12,0,-0.028500000000000022,8
2022-09-13,0,-0.020662499999999924,3
2022-09-14,0,-0.016116749999999947,1
2022-09-15,0,-0.01316201249999996,8
2022-09-16,0,1.98890630375,5
2022-09-17,0,-0.20956831301562515,0
2022-09-18,0,-0.09839885253593754,1
2022-09-19,0,-0.057000000000000044,3
2022-09-20,0,-0.04132499999999985,6
2022-09-21,0,-0.032233499999999894,7
2022-09-22,0,-0.02632402499999992,6
2022-09-23,0,-0.022187392499999934,4
2022-09-24,0,-0.01913662603124995,0
2022-09-25,0,0.983202294928125,1
2022-09-26,0,-0.10000000000000009,3
2022-09-27,0,-0.04500000000000003,8
2022-09-28,0,-0.028500000000000022,8
2022-09-29,0,-0.020662499999999924,8
2022-09-30,0,-0.016116749999999947,7
2022-10-01,0,-0.01316201249999996,6
2022-10-02,0,0.98890630375,1
2022-10-03,0,-0.10956831301562506,7
2022-10-04,0,-0.05339885253593751,12
2022-10-05,0,-0.028500000000000022,12
2022-10-06,0,-0.020662499999999924,8
2022-10-07,0,-0.016116749999999947,6
2022-10-08,0,-0.01316201249999996,3
2022-10-09,0,-0.011093696249999967,3
2022-10-10,0,-0.009568313015624975,11
2022-10-11,0,-0.008398852535937478,17
2022-10-12,0,1.0,12
2022-10-13,0,0.8999999999999999,4
2022-10-14,0,-0.14500000000000013,7
2022-10-15,0,-0.07350000000000005,4
2022-10-16,0,-0.04916249999999994,0
2022-10-17,0,-0.036779249999999875,8
2022-10-18,0,-0.02927876249999991,7
2022-10-19,0,-0.024255708749999928,12
2022-10-20,0,-0.02066200926562494,6
2022-10-21,0,-0.017967165551562456,12
2022-10-22,0,-0.008398852535937478,3
2022-10-23,0,0.0,2
2022-10-24,0,0.0,7
2022-10-25,0,0.0,4
2022-10-26,1,1.0,10
2022-10-27,0,-0.10000000000000009,11
2022-10-28,0,-0.04500000000000003,5
2022-10-29,0,-0.028500000000000022,8
2022-10-30,1,-0.020662499999999924,0
2022-10-31,0,-0.016116749999999947,8
2022-11-01,0,-0.01316201249999996,6
2022-11-02,0,-0.011093696249999967,3
2022-11-03,0,-0.009568313015624975,4
2022-11-04,0,-0.008398852535937478,8
2022-11-05,0,0.0,0
2022-11-06,0,0.0,0
2022-11-07,0,0.0,5
2022-11-08,0,0.0,5
2022-11-09,0,0.0,7
2022-11-10,0,0.0,5
2022-11-11,0,0.0,8
2022-11-12,0,0.0,0
2022-11-13,0,2.0,0
2022-11-14,0,-0.20000000000000018,9
