,getredash/redash,metabase/metabase,apache/superset
2019-07-02,0,2,3
2019-07-03,2,3,4
2019-07-04,3,0,7
2019-07-05,1,1,0
2019-07-06,0,0,0
2019-07-07,2,0,0
2019-07-08,2,4,3
2019-07-09,1,2,4
2019-07-10,4,5,0
2019-07-11,2,2,3
2019-07-12,0,0,5
2019-07-13,1,2,1
2019-07-14,1,0,1
2019-07-15,3,0,2
2019-07-16,3,1,5
2019-07-17,3,1,1
2019-07-18,3,0,7
2019-07-19,1,1,1
2019-07-20,1,0,1
2019-07-21,3,0,0
2019-07-22,3,3,4
2019-07-23,1,2,4
2019-07-24,1,0,2
2019-07-25,0,1,1
2019-07-26,2,16,0
2019-07-27,1,1,2
2019-07-28,2,0,3
2019-07-29,2,4,5
2019-07-30,2,4,1
2019-07-31,4,2,1
2019-08-01,1,1,3
2019-08-02,0,1,2
2019-08-03,0,0,0
2019-08-04,3,0,0
2019-08-05,2,2,5
2019-08-06,2,4,7
2019-08-07,1,2,5
2019-08-08,1,6,4
2019-08-09,2,9,3
2019-08-10,0,1,0
2019-08-11,6,0,1
2019-08-12,4,6,2
2019-08-13,3,9,4
2019-08-14,3,14,3
2019-08-15,3,8,3
2019-08-16,1,6,3
2019-08-17,0,1,0
2019-08-18,3,0,0
2019-08-19,0,8,1
2019-08-20,0,8,5
2019-08-21,1,7,3
2019-08-22,1,6,3
2019-08-23,0,7,8
2019-08-24,0,1,1
2019-08-25,1,0,0
2019-08-26,1,7,4
2019-08-27,0,2,6
2019-08-28,0,12,1
2019-08-29,1,14,1
2019-08-30,2,3,6
2019-08-31,0,0,0
2019-09-01,3,0,0
2019-09-02,5,2,2
2019-09-03,1,2,2
2019-09-04,2,9,2
2019-09-05,0,4,2
2019-09-06,0,2,2
2019-09-07,0,2,0
2019-09-08,0,1,5
2019-09-09,6,0,5
2019-09-10,0,0,7
2019-09-11,2,3,3
2019-09-12,2,4,1
2019-09-13,1,9,2
2019-09-14,0,0,0
2019-09-15,2,0,0
2019-09-16,3,2,0
2019-09-17,0,2,5
2019-09-18,2,4,8
2019-09-19,0,3,5
2019-09-20,1,16,1
2019-09-21,0,2,0
2019-09-22,6,1,2
2019-09-23,1,2,5
2019-09-24,2,2,1
2019-09-25,2,1,1
2019-09-26,0,3,0
2019-09-27,1,8,2
2019-09-28,0,1,1
2019-09-29,0,0,2
2019-09-30,1,2,2
2019-10-01,0,10,4
2019-10-02,2,10,2
2019-10-03,1,4,0
2019-10-04,0,3,6
2019-10-05,1,1,0
2019-10-06,6,0,3
2019-10-07,2,9,0
2019-10-08,0,7,1
2019-10-09,0,10,1
2019-10-10,3,2,3
2019-10-11,2,0,2
2019-10-12,0,0,1
2019-10-13,0,0,0
2019-10-14,1,0,0
2019-10-15,5,7,2
2019-10-16,2,1,1
2019-10-17,3,1,3
2019-10-18,0,0,1
2019-10-19,2,1,0
2019-10-20,0,0,0
2019-10-21,0,6,3
2019-10-22,2,0,2
2019-10-23,3,2,4
2019-10-24,5,0,3
2019-10-25,1,0,3
2019-10-26,0,0,1
2019-10-27,1,0,0
2019-10-28,3,1,5
2019-10-29,1,0,2
2019-10-30,1,3,5
2019-10-31,1,8,5
2019-11-01,0,0,1
2019-11-02,1,0,2
2019-11-03,0,0,0
2019-11-04,0,3,7
2019-11-05,1,0,7
2019-11-06,1,2,3
2019-11-07,2,4,2
2019-11-08,0,8,2
2019-11-09,0,1,0
2019-11-10,1,0,2
2019-11-11,4,1,0
2019-11-12,0,2,8
2019-11-13,4,2,5
2019-11-14,4,0,2
2019-11-15,0,1,9
2019-11-16,0,2,1
2019-11-17,0,0,0
2019-11-18,1,3,3
2019-11-19,0,4,7
2019-11-20,2,0,13
2019-11-21,1,2,3
2019-11-22,0,0,3
2019-11-23,0,0,2
2019-11-24,5,0,1
2019-11-25,1,4,2
2019-11-26,2,1,3
2019-11-27,6,3,8
2019-11-28,0,0,2
2019-11-29,0,0,1
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,1,7,5
2019-12-03,1,5,13
2019-12-04,4,1,15
2019-12-05,3,2,6
2019-12-06,0,4,5
2019-12-07,0,0,0
2019-12-08,0,0,7
2019-12-09,0,4,1
2019-12-10,1,1,8
2019-12-11,6,11,4
2019-12-12,1,5,3
2019-12-13,1,5,2
2019-12-14,1,9,0
2019-12-15,0,0,0
2019-12-16,1,2,4
2019-12-17,1,4,5
2019-12-18,0,6,3
2019-12-19,0,7,2
2019-12-20,1,3,4
2019-12-21,0,0,0
2019-12-22,0,0,1
2019-12-23,0,0,0
2019-12-24,5,0,0
2019-12-25,7,0,0
2019-12-26,3,1,0
2019-12-27,0,1,0
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,5,0,0
2019-12-31,1,0,3
2020-01-01,1,0,0
2020-01-02,0,0,1
2020-01-03,0,2,3
2020-01-04,0,0,1
2020-01-05,0,0,0
2020-01-06,2,6,2
2020-01-07,0,4,1
2020-01-08,2,5,2
2020-01-09,1,3,0
2020-01-10,1,13,5
2020-01-11,0,4,0
2020-01-12,3,0,0
2020-01-13,3,14,4
2020-01-14,3,13,2
2020-01-15,0,1,6
2020-01-16,2,8,4
2020-01-17,0,6,1
2020-01-18,0,3,0
2020-01-19,0,0,0
2020-01-20,4,0,0
2020-01-21,4,8,2
2020-01-22,2,12,4
2020-01-23,7,9,6
2020-01-24,0,7,6
2020-01-25,0,3,3
2020-01-26,1,0,2
2020-01-27,0,3,2
2020-01-28,1,2,4
2020-01-29,1,0,7
2020-01-30,0,1,4
2020-01-31,0,8,3
2020-02-01,0,0,1
2020-02-02,0,0,3
2020-02-03,1,3,5
2020-02-04,0,6,4
2020-02-05,0,5,6
2020-02-06,1,3,2
2020-02-07,0,0,4
2020-02-08,0,0,2
2020-02-09,11,0,0
2020-02-10,4,2,1
2020-02-11,2,0,1
2020-02-12,0,0,2
2020-02-13,1,5,0
2020-02-14,0,4,6
2020-02-15,0,6,0
2020-02-16,1,0,0
2020-02-17,0,1,4
2020-02-18,3,2,3
2020-02-19,1,1,5
2020-02-20,2,3,4
2020-02-21,0,8,0
2020-02-22,0,0,1
2020-02-23,2,0,1
2020-02-24,3,1,9
2020-02-25,1,5,2
2020-02-26,4,5,5
2020-02-27,2,2,2
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,6,0,0
2020-03-02,0,6,3
2020-03-03,3,3,4
2020-03-04,3,7,2
2020-03-05,0,1,6
2020-03-06,1,4,4
2020-03-07,0,2,3
2020-03-08,1,0,3
2020-03-09,0,12,3
2020-03-10,2,8,5
2020-03-11,1,6,5
2020-03-12,0,6,2
2020-03-13,0,4,6
2020-03-14,0,1,1
2020-03-15,1,0,0
2020-03-16,1,5,3
2020-03-17,3,2,4
2020-03-18,1,8,5
2020-03-19,0,1,3
2020-03-20,0,2,3
2020-03-21,0,0,0
2020-03-22,0,0,1
2020-03-23,0,3,2
2020-03-24,4,2,11
2020-03-25,0,2,3
2020-03-26,0,1,13
2020-03-27,0,5,6
2020-03-28,0,1,1
2020-03-29,0,0,2
2020-03-30,1,1,4
2020-03-31,1,4,0
2020-04-01,0,2,2
2020-04-02,1,2,5
2020-04-03,3,0,2
2020-04-04,0,0,3
2020-04-05,1,0,0
2020-04-06,2,0,4
2020-04-07,0,0,7
2020-04-08,1,6,2
2020-04-09,0,3,8
2020-04-10,0,2,2
2020-04-11,0,0,3
2020-04-12,1,0,0
2020-04-13,2,2,3
2020-04-14,13,2,8
2020-04-15,0,3,9
2020-04-16,0,2,3
2020-04-17,0,0,6
2020-04-18,0,1,1
2020-04-19,1,0,3
2020-04-20,1,4,4
2020-04-21,1,3,6
2020-04-22,0,0,6
2020-04-23,0,0,2
2020-04-24,3,1,8
2020-04-25,3,0,0
2020-04-26,0,0,0
2020-04-27,0,1,3
2020-04-28,1,4,5
2020-04-29,2,1,8
2020-04-30,2,3,9
2020-05-01,0,2,4
2020-05-02,1,2,1
2020-05-03,3,0,1
2020-05-04,2,2,2
2020-05-05,1,1,7
2020-05-06,1,2,11
2020-05-07,1,0,5
2020-05-08,4,2,5
2020-05-09,0,0,0
2020-05-10,0,0,1
2020-05-11,3,4,5
2020-05-12,5,6,2
2020-05-13,0,4,6
2020-05-14,1,8,4
2020-05-15,2,1,2
2020-05-16,0,0,0
2020-05-17,0,0,4
2020-05-18,0,0,5
2020-05-19,0,2,7
2020-05-20,3,3,12
2020-05-21,2,2,4
2020-05-22,1,1,2
2020-05-23,0,0,1
2020-05-24,4,0,1
2020-05-25,0,1,2
2020-05-26,3,29,5
2020-05-27,1,2,5
2020-05-28,0,5,5
2020-05-29,1,7,0
2020-05-30,0,1,0
2020-05-31,4,0,0
2020-06-01,0,1,2
2020-06-02,1,2,4
2020-06-03,1,1,6
2020-06-04,0,2,5
2020-06-05,0,2,3
2020-06-06,0,0,0
2020-06-07,2,0,1
2020-06-08,0,3,1
2020-06-09,4,0,3
2020-06-10,0,1,10
2020-06-11,4,0,4
2020-06-12,0,4,4
2020-06-13,0,0,0
2020-06-14,0,0,0
2020-06-15,3,5,1
2020-06-16,0,2,7
2020-06-17,1,2,11
2020-06-18,4,3,4
2020-06-19,0,10,2
2020-06-20,0,0,0
2020-06-21,0,0,3
2020-06-22,0,2,10
2020-06-23,3,2,3
2020-06-24,1,1,10
2020-06-25,5,3,7
2020-06-26,0,1,8
2020-06-27,0,0,1
2020-06-28,1,0,0
2020-06-29,3,1,8
2020-06-30,3,1,2
2020-07-01,5,0,5
