,golang/go,rust-lang/rust,swiftlang/swift
2023-04-27,8,109,49
2023-04-28,18,92,48
2023-04-29,0,95,18
2023-04-30,2,56,4
2023-05-01,7,64,38
2023-05-02,17,150,103
2023-05-03,20,68,68
2023-05-04,23,67,75
2023-05-05,23,120,57
2023-05-06,0,118,35
2023-05-07,0,64,6
2023-05-08,11,83,63
2023-05-09,16,70,59
2023-05-10,26,67,30
2023-05-11,28,72,49
2023-05-12,39,74,46
2023-05-13,1,63,18
2023-05-14,0,57,10
2023-05-15,9,79,39
2023-05-16,21,72,56
2023-05-17,29,54,37
2023-05-18,22,102,40
2023-05-19,45,39,38
2023-05-20,8,62,12
2023-05-21,0,44,0
2023-05-22,26,64,31
2023-05-23,57,75,52
2023-05-24,63,75,38
2023-05-25,29,105,49
2023-05-26,19,119,44
2023-05-27,3,46,12
2023-05-28,0,51,8
2023-05-29,0,66,16
2023-05-30,21,72,30
2023-05-31,27,80,43
2023-06-01,28,100,49
2023-06-02,10,105,44
2023-06-03,3,61,24
2023-06-04,1,53,3
2023-06-05,10,116,55
2023-06-06,23,67,80
2023-06-07,12,73,108
2023-06-08,11,76,53
2023-06-09,8,66,46
2023-06-10,2,72,35
2023-06-11,4,62,5
2023-06-12,12,108,56
2023-06-13,16,84,56
2023-06-14,9,102,67
2023-06-15,9,78,61
2023-06-16,16,81,60
2023-06-17,1,73,19
2023-06-18,0,58,3
2023-06-19,1,125,17
2023-06-20,9,107,39
2023-06-21,8,111,67
2023-06-22,5,85,56
2023-06-23,6,77,54
2023-06-24,2,55,11
2023-06-25,0,61,0
2023-06-26,7,62,28
2023-06-27,6,113,33
2023-06-28,3,101,55
2023-06-29,9,93,62
2023-06-30,1,99,54
2023-07-01,0,61,14
2023-07-02,0,72,3
2023-07-03,0,112,24
2023-07-04,3,67,62
2023-07-05,4,100,50
2023-07-06,6,69,57
2023-07-07,5,89,70
2023-07-08,0,83,10
2023-07-09,0,41,6
2023-07-10,4,103,23
2023-07-11,8,53,49
2023-07-12,6,81,58
2023-07-13,4,84,38
2023-07-14,3,92,44
2023-07-15,0,33,4
2023-07-16,0,74,2
