,facebook/react,emberjs/ember.js,angular/angular
2019-04-17,12,6,17.0
2019-04-18,21,2,6.0
2019-04-19,24,3,34.0
2019-04-20,15,0,4.0
2019-04-21,7,0,0.0
2019-04-22,19,4,15.0
2019-04-23,13,5,20.0
2019-04-24,21,10,26.0
2019-04-25,27,8,44.0
2019-04-26,14,3,38.0
2019-04-27,0,0,1.0
2019-04-28,8,0,0.0
2019-04-29,5,1,27.0
2019-04-30,16,4,6.0
2019-05-01,20,0,7.0
2019-05-02,6,4,1.0
2019-05-03,16,4,0.0
2019-05-04,3,0,0.0
2019-05-05,2,0,0.0
2019-05-06,9,0,11.0
2019-05-07,7,0,12.0
2019-05-08,14,0,19.0
2019-05-09,9,1,14.0
2019-05-10,14,0,12.0
2019-05-11,0,0,0.0
2019-05-12,3,0,0.0
2019-05-13,14,6,13.0
2019-05-14,4,3,19.0
2019-05-15,5,0,11.0
2019-05-16,8,0,43.0
2019-05-17,3,1,23.0
2019-05-18,1,0,0.0
2019-05-19,0,0,0.0
2019-05-20,10,0,8.0
2019-05-21,7,0,23.0
2019-05-22,26,1,23.0
2019-05-23,23,2,20.0
2019-05-24,8,5,16.0
2019-05-25,2,0,0.0
2019-05-26,3,0,0.0
2019-05-27,1,0,0.0
2019-05-28,10,0,7.0
2019-05-29,10,11,2.0
2019-05-30,8,6,31.0
2019-05-31,9,2,16.0
2019-06-01,9,3,0.0
2019-06-02,8,0,0.0
2019-06-03,16,5,10.0
2019-06-04,12,3,10.0
2019-06-05,11,2,5.0
2019-06-06,3,1,11.0
2019-06-07,8,6,7.0
2019-06-08,9,2,0.0
2019-06-09,11,2,0.0
2019-06-10,8,1,2.0
2019-06-11,4,1,29.0
2019-06-12,12,0,3.0
2019-06-13,4,3,3.0
2019-06-14,6,8,25.0
2019-06-15,4,0,0.0
2019-06-16,0,0,0.0
2019-06-17,7,5,5.0
2019-06-18,12,8,15.0
2019-06-19,11,0,16.0
2019-06-20,8,6,9.0
2019-06-21,8,0,21.0
2019-06-22,8,0,0.0
2019-06-23,0,0,0.0
2019-06-24,9,0,5.0
2019-06-25,3,1,35.0
2019-06-26,4,5,26.0
2019-06-27,3,11,18.0
2019-06-28,2,3,8.0
2019-06-29,0,0,0.0
2019-06-30,0,1,0.0
2019-07-01,5,0,11.0
2019-07-02,5,0,13.0
2019-07-03,4,3,3.0
2019-07-04,3,1,0.0
2019-07-05,2,2,0.0
2019-07-06,1,0,0.0
2019-07-07,0,0,0.0
2019-07-08,5,0,8.0
2019-07-09,1,1,13.0
2019-07-10,2,4,7.0
2019-07-11,4,4,31.0
2019-07-12,3,3,13.0
2019-07-13,2,0,0.0
2019-07-14,1,1,0.0
2019-07-15,2,0,7.0
2019-07-16,2,1,8.0
2019-07-17,4,1,9.0
2019-07-18,5,1,30.0
2019-07-19,5,3,3.0
2019-07-20,3,0,2.0
2019-07-21,0,0,0.0
2019-07-22,5,0,9.0
2019-07-23,8,0,11.0
2019-07-24,15,0,30.0
2019-07-25,11,1,8.0
2019-07-26,8,2,11.0
2019-07-27,3,0,0.0
2019-07-28,2,0,0.0
2019-07-29,4,0,6.0
2019-07-30,5,6,16.0
2019-07-31,10,5,8.0
2019-08-01,3,1,8.0
2019-08-02,8,1,10.0
2019-08-03,1,0,0.0
2019-08-04,2,1,0.0
2019-08-05,6,0,21.0
2019-08-06,7,1,0.0
2019-08-07,4,4,0.0
2019-08-08,7,6,29.0
2019-08-09,9,3,17.0
2019-08-10,2,0,3.0
2019-08-11,0,0,0.0
2019-08-12,13,4,8.0
2019-08-13,14,5,18.0
2019-08-14,26,6,11.0
2019-08-15,17,5,16.0
2019-08-16,11,15,5.0
2019-08-17,4,4,0.0
2019-08-18,5,2,0.0
2019-08-19,11,4,13.0
2019-08-20,11,7,9.0
2019-08-21,9,3,21.0
2019-08-22,6,3,17.0
2019-08-23,1,4,3.0
2019-08-24,1,1,0.0
2019-08-25,0,1,0.0
2019-08-26,10,0,21.0
2019-08-27,14,2,14.0
2019-08-28,9,2,7.0
2019-08-29,12,2,41.0
2019-08-30,1,5,29.0
2019-08-31,0,4,0.0
2019-09-01,0,12,0.0
2019-09-02,1,10,0.0
2019-09-03,2,12,9.0
2019-09-04,6,1,18.0
2019-09-05,8,2,15.0
2019-09-06,6,3,4.0
2019-09-07,0,2,1.0
2019-09-08,0,0,0.0
2019-09-09,7,1,23.0
2019-09-10,10,3,25.0
2019-09-11,19,3,14.0
2019-09-12,5,1,30.0
2019-09-13,7,5,12.0
2019-09-14,1,5,0.0
2019-09-15,0,2,0.0
2019-09-16,4,8,12.0
2019-09-17,10,7,15.0
