,yuzutech/kroki,plantuml/plantuml,mermaid-js/mermaid
2023-01-10,0,1,0
2023-01-11,1,1,10
2023-01-12,0,0,7
2023-01-13,4,3,8
2023-01-14,0,2,1
2023-01-15,0,0,4
2023-01-16,0,1,6
2023-01-17,0,3,10
2023-01-18,3,0,1
2023-01-19,0,0,7
2023-01-20,0,0,9
2023-01-21,0,0,0
2023-01-22,0,0,5
2023-01-23,0,0,0
2023-01-24,0,0,10
2023-01-25,1,2,13
2023-01-26,0,0,8
2023-01-27,0,0,0
2023-01-28,0,0,3
2023-01-29,0,1,2
2023-01-30,0,0,3
2023-01-31,0,2,0
2023-02-01,0,0,0
2023-02-02,0,1,0
2023-02-03,0,0,0
2023-02-04,0,1,0
2023-02-05,0,0,4
2023-02-06,0,2,1
2023-02-07,0,0,4
2023-02-08,1,1,12
2023-02-09,0,0,12
2023-02-10,0,0,4
2023-02-11,0,0,0
2023-02-12,0,0,0
2023-02-13,0,0,16
2023-02-14,0,0,2
2023-02-15,0,0,9
2023-02-16,0,0,32
2023-02-17,0,0,0
2023-02-18,0,3,14
2023-02-19,0,0,35
2023-02-20,0,0,14
2023-02-21,0,0,19
2023-02-22,0,6,8
2023-02-23,0,0,7
2023-02-24,0,1,19
2023-02-25,0,0,7
2023-02-26,1,1,2
2023-02-27,0,0,0
2023-02-28,0,3,33
2023-03-01,0,1,5
2023-03-02,0,0,3
2023-03-03,0,0,2
2023-03-04,0,1,6
2023-03-05,0,2,11
2023-03-06,1,0,9
2023-03-07,0,0,14
2023-03-08,1,3,2
2023-03-09,0,2,1
2023-03-10,1,0,7
2023-03-11,1,0,3
2023-03-12,0,2,0
2023-03-13,2,5,0
2023-03-14,0,5,2
2023-03-15,0,1,6
2023-03-16,0,8,6
2023-03-17,0,4,6
2023-03-18,5,2,0
2023-03-19,2,2,0
2023-03-20,0,4,3
2023-03-21,0,1,0
2023-03-22,0,1,2
2023-03-23,0,0,14
2023-03-24,0,1,0
2023-03-25,1,3,6
2023-03-26,2,4,0
2023-03-27,0,2,2
2023-03-28,0,0,2
2023-03-29,6,1,12
2023-03-30,0,0,8
2023-03-31,0,3,9
2023-04-01,0,0,1
2023-04-02,3,0,0
2023-04-03,0,13,8
2023-04-04,0,2,15
2023-04-05,0,3,8
2023-04-06,0,0,1
2023-04-07,0,0,0
2023-04-08,0,0,2
2023-04-09,0,0,2
2023-04-10,0,1,2
2023-04-11,0,5,0
2023-04-12,0,0,0
2023-04-13,0,0,23
2023-04-14,3,0,4
2023-04-15,0,0,2
2023-04-16,2,0,0
2023-04-17,0,0,11
2023-04-18,4,7,7
2023-04-19,0,0,3
2023-04-20,0,0,2
2023-04-21,2,0,0
2023-04-22,0,0,13
2023-04-23,1,0,20
2023-04-24,0,0,2
2023-04-25,1,0,9
2023-04-26,0,0,8
2023-04-27,3,0,2
2023-04-28,0,0,0
2023-04-29,1,0,11
2023-04-30,0,0,5
2023-05-01,3,0,2
2023-05-02,0,0,6
2023-05-03,0,0,6
2023-05-04,0,0,5
2023-05-05,0,0,0
2023-05-06,0,0,4
2023-05-07,2,1,3
2023-05-08,2,0,24
2023-05-09,1,0,11
2023-05-10,0,1,0
2023-05-11,0,3,1
2023-05-12,0,21,2
2023-05-13,0,0,4
2023-05-14,4,0,1
2023-05-15,0,2,11
2023-05-16,0,0,8
2023-05-17,0,4,11
2023-05-18,2,1,0
2023-05-19,3,0,0
2023-05-20,5,0,3
2023-05-21,0,2,0
2023-05-22,0,2,0
2023-05-23,2,0,2
2023-05-24,0,0,9
2023-05-25,0,0,1
2023-05-26,0,0,1
2023-05-27,1,0,0
2023-05-28,0,0,0
2023-05-29,0,0,1
2023-05-30,0,0,1
2023-05-31,0,1,12
2023-06-01,0,0,6
2023-06-02,2,0,7
2023-06-03,2,0,0
2023-06-04,1,0,2
2023-06-05,0,0,2
2023-06-06,0,0,0
2023-06-07,0,0,8
2023-06-08,0,0,10
2023-06-09,0,0,17
2023-06-10,4,0,3
2023-06-11,0,2,0
2023-06-12,0,1,33
2023-06-13,0,4,18
2023-06-14,6,3,15
2023-06-15,1,0,25
2023-06-16,0,0,24
2023-06-17,3,0,25
2023-06-18,0,0,31
2023-06-19,0,0,16
2023-06-20,0,0,13
2023-06-21,0,1,4
2023-06-22,0,0,10
2023-06-23,2,0,6
2023-06-24,0,0,14
2023-06-25,0,0,2
2023-06-26,0,0,14
2023-06-27,0,1,43
2023-06-28,0,0,13
2023-06-29,0,0,19
2023-06-30,0,0,21
2023-07-01,0,0,7
2023-07-02,0,0,18
2023-07-03,0,3,14
2023-07-04,0,4,5
2023-07-05,0,0,14
2023-07-06,0,0,45
2023-07-07,0,0,28
2023-07-08,0,4,20
2023-07-09,0,1,1
2023-07-10,0,0,5
2023-07-11,0,0,6
2023-07-12,0,2,1
2023-07-13,0,0,9
2023-07-14,8,0,18
2023-07-15,0,0,10
2023-07-16,0,0,1
2023-07-17,0,0,10
2023-07-18,0,0,6
2023-07-19,0,1,29
2023-07-20,0,0,14
2023-07-21,0,1,11
2023-07-22,0,1,4
2023-07-23,0,0,1
2023-07-24,0,11,7
2023-07-25,0,1,34
2023-07-26,0,3,11
2023-07-27,0,3,4
2023-07-28,0,0,1
2023-07-29,0,0,1
2023-07-30,0,0,5
