,facebook/react,angular/angular,emberjs/ember.js
2015-03-13,5,19.0,0
2015-03-14,12,5.0,1
2015-03-15,0,0.0,8
2015-03-16,21,2.0,17
2015-03-17,13,12.0,1
2015-03-18,2,15.0,2
2015-03-19,7,15.0,17
2015-03-20,7,2.0,15
2015-03-21,2,14.0,4
2015-03-22,1,2.0,5
2015-03-23,10,4.0,9
2015-03-24,13,14.0,14
2015-03-25,25,4.0,10
2015-03-26,21,18.0,14
2015-03-27,10,13.0,2
2015-03-28,6,5.0,14
2015-03-29,3,0.0,4
2015-03-30,15,2.0,7
2015-03-31,5,11.0,11
2015-04-01,14,11.0,3
2015-04-02,14,18.0,104
2015-04-03,2,10.0,20
2015-04-04,1,3.0,5
2015-04-05,7,0.0,5
2015-04-06,0,8.0,11
2015-04-07,8,6.0,11
2015-04-08,19,8.0,3
2015-04-09,18,5.0,7
2015-04-10,7,34.0,6
2015-04-11,1,6.0,2
2015-04-12,0,1.0,9
2015-04-13,8,24.0,9
2015-04-14,4,17.0,16
2015-04-15,2,10.0,6
2015-04-16,3,26.0,20
2015-04-17,7,18.0,10
2015-04-18,8,6.0,3
2015-04-19,2,0.0,8
2015-04-20,8,15.0,25
2015-04-21,3,16.0,7
2015-04-22,11,2.0,9
2015-04-23,2,7.0,2
2015-04-24,5,5.0,5
2015-04-25,2,2.0,0
2015-04-26,4,0.0,13
2015-04-27,8,29.0,8
2015-04-28,6,24.0,11
2015-04-29,11,14.0,12
2015-04-30,3,8.0,13
2015-05-01,5,14.0,15
2015-05-02,3,0.0,16
2015-05-03,2,0.0,16
2015-05-04,6,8.0,16
2015-05-05,9,7.0,18
2015-05-06,1,18.0,10
2015-05-07,7,21.0,28
2015-05-08,7,32.0,9
2015-05-09,0,2.0,3
2015-05-10,2,2.0,17
2015-05-11,6,15.0,15
2015-05-12,3,28.0,18
2015-05-13,13,18.0,20
2015-05-14,7,12.0,22
2015-05-15,2,9.0,11
2015-05-16,12,2.0,5
2015-05-17,1,0.0,4
2015-05-18,4,24.0,11
2015-05-19,6,43.0,8
2015-05-20,10,28.0,13
2015-05-21,7,10.0,5
2015-05-22,16,33.0,6
2015-05-23,0,5.0,4
2015-05-24,1,0.0,8
2015-05-25,0,0.0,14
2015-05-26,3,8.0,8
2015-05-27,7,18.0,5
2015-05-28,6,20.0,7
2015-05-29,3,24.0,6
2015-05-30,1,7.0,7
2015-05-31,2,0.0,2
2015-06-01,8,10.0,2
2015-06-02,12,33.0,10
2015-06-03,4,20.0,1
2015-06-04,27,18.0,20
2015-06-05,8,18.0,4
2015-06-06,2,2.0,5
2015-06-07,2,1.0,20
2015-06-08,15,14.0,18
2015-06-09,7,24.0,8
2015-06-10,11,18.0,13
2015-06-11,13,23.0,36
2015-06-12,8,28.0,17
2015-06-13,5,6.0,8
2015-06-14,1,6.0,6
2015-06-15,11,16.0,28
2015-06-16,13,21.0,6
2015-06-17,16,14.0,0
2015-06-18,11,11.0,14
2015-06-19,4,17.0,6
2015-06-20,2,6.0,7
2015-06-21,2,1.0,7
2015-06-22,13,7.0,1
2015-06-23,3,6.0,1
2015-06-24,15,15.0,5
2015-06-25,8,10.0,1
2015-06-26,10,16.0,7
2015-06-27,7,0.0,1
2015-06-28,1,0.0,10
2015-06-29,8,22.0,19
2015-06-30,5,8.0,5
2015-07-01,4,20.0,20
2015-07-02,17,4.0,2
2015-07-03,8,9.0,12
2015-07-04,8,0.0,9
2015-07-05,8,0.0,0
2015-07-06,6,7.0,19
2015-07-07,6,16.0,9
2015-07-08,10,28.0,35
2015-07-09,23,13.0,5
2015-07-10,11,9.0,16
2015-07-11,8,4.0,10
2015-07-12,5,4.0,8
2015-07-13,13,9.0,4
2015-07-14,5,10.0,8
2015-07-15,9,15.0,16
2015-07-16,4,18.0,24
2015-07-17,14,16.0,25
2015-07-18,2,0.0,15
2015-07-19,2,0.0,3
2015-07-20,9,7.0,15
2015-07-21,14,7.0,58
2015-07-22,8,11.0,4
2015-07-23,13,15.0,19
2015-07-24,8,19.0,16
2015-07-25,4,4.0,9
2015-07-26,1,0.0,7
2015-07-27,11,13.0,3
2015-07-28,7,18.0,2
2015-07-29,5,12.0,5
2015-07-30,6,12.0,4
2015-07-31,7,24.0,7
2015-08-01,5,0.0,13
2015-08-02,1,0.0,37
2015-08-03,6,10.0,37
2015-08-04,3,14.0,15
2015-08-05,3,2.0,14
2015-08-06,11,5.0,11
2015-08-07,5,14.0,24
2015-08-08,5,2.0,20
2015-08-09,1,2.0,22
2015-08-10,6,10.0,9
2015-08-11,14,7.0,16
2015-08-12,11,13.0,18
2015-08-13,8,13.0,17
2015-08-14,13,6.0,13
2015-08-15,2,3.0,17
2015-08-16,0,1.0,22
2015-08-17,7,7.0,13
2015-08-18,2,16.0,8
2015-08-19,16,24.0,4
2015-08-20,12,15.0,7
2015-08-21,6,11.0,11
2015-08-22,13,2.0,13
2015-08-23,0,10.0,20
2015-08-24,3,11.0,8
2015-08-25,5,13.0,10
2015-08-26,1,3.0,10
2015-08-27,1,10.0,10
2015-08-28,9,11.0,8
2015-08-29,4,0.0,3
2015-08-30,1,0.0,6
2015-08-31,5,24.0,2
2015-09-01,18,10.0,9
2015-09-02,4,4.0,18
2015-09-03,7,13.0,10
2015-09-04,9,15.0,11
2015-09-05,3,13.0,5
2015-09-06,0,0.0,4
2015-09-07,0,0.0,0
2015-09-08,5,6.0,2
2015-09-09,26,12.0,7
2015-09-10,15,9.0,8
2015-09-11,1,37.0,5
2015-09-12,3,7.0,1
2015-09-13,2,2.0,4
2015-09-14,11,13.0,7
2015-09-15,6,31.0,3
2015-09-16,10,15.0,3
2015-09-17,2,17.0,1
2015-09-18,4,6.0,6
2015-09-19,4,1.0,5
2015-09-20,3,3.0,0
2015-09-21,0,13.0,6
2015-09-22,13,13.0,2
2015-09-23,11,18.0,3
2015-09-24,19,12.0,7
2015-09-25,15,16.0,8
2015-09-26,12,0.0,16
2015-09-27,4,1.0,7
2015-09-28,7,3.0,2
2015-09-29,1,10.0,23
2015-09-30,12,3.0,8
2015-10-01,21,10.0,10
2015-10-02,5,22.0,8
2015-10-03,2,21.0,0
2015-10-04,0,0.0,13
2015-10-05,3,10.0,10
2015-10-06,9,18.0,2
2015-10-07,30,19.0,8
2015-10-08,16,18.0,3
2015-10-09,22,13.0,5
2015-10-10,5,7.0,0
2015-10-11,4,8.0,0
2015-10-12,14,6.0,0
2015-10-13,15,22.0,1
2015-10-14,11,6.0,0
2015-10-15,9,19.0,1
2015-10-16,12,2.0,2
2015-10-17,2,0.0,10
2015-10-18,3,3.0,1
2015-10-19,11,4.0,7
2015-10-20,1,3.0,1
2015-10-21,7,7.0,5
2015-10-22,0,1.0,0
2015-10-23,9,2.0,2
2015-10-24,8,0.0,5
2015-10-25,0,0.0,1
2015-10-26,12,16.0,0
2015-10-27,8,33.0,2
2015-10-28,5,34.0,0
2015-10-29,14,41.0,0
2015-10-30,21,13.0,5
2015-10-31,6,3.0,2
2015-11-01,2,3.0,5
2015-11-02,8,9.0,2
2015-11-03,12,16.0,5
2015-11-04,23,6.0,7
2015-11-05,23,23.0,7
2015-11-06,0,14.0,8
2015-11-07,1,5.0,0
2015-11-08,1,0.0,0
2015-11-09,7,5.0,2
2015-11-10,10,6.0,8
2015-11-11,3,5.0,2
2015-11-12,12,9.0,2
2015-11-13,1,15.0,7
2015-11-14,1,3.0,4
2015-11-15,0,0.0,16
2015-11-16,3,11.0,9
2015-11-17,5,12.0,2
2015-11-18,11,10.0,0
2015-11-19,12,5.0,6
2015-11-20,6,7.0,2
2015-11-21,1,0.0,1
2015-11-22,1,0.0,0
2015-11-23,4,17.0,1
2015-11-24,5,8.0,0
2015-11-25,5,9.0,1
2015-11-26,3,0.0,0
2015-11-27,1,0.0,7
2015-11-28,4,0.0,0
2015-11-29,0,0.0,4
2015-11-30,3,11.0,1
2015-12-01,6,14.0,4
2015-12-02,5,21.0,1
2015-12-03,5,19.0,3
2015-12-04,10,10.0,3
2015-12-05,1,4.0,1
2015-12-06,3,0.0,2
2015-12-07,1,5.0,0
2015-12-08,0,21.0,18
2015-12-09,1,22.0,6
2015-12-10,6,36.0,2
2015-12-11,6,17.0,2
2015-12-12,0,4.0,2
2015-12-13,4,2.0,0
2015-12-14,6,9.0,4
2015-12-15,4,37.0,0
2015-12-16,8,1.0,0
2015-12-17,5,4.0,1
2015-12-18,9,4.0,3
2015-12-19,0,0.0,7
2015-12-20,0,0.0,4
2015-12-21,18,1.0,1
2015-12-22,16,0.0,2
2015-12-23,11,3.0,2
2015-12-24,7,1.0,0
2015-12-25,4,0.0,0
2015-12-26,1,0.0,0
2015-12-27,0,0.0,13
2015-12-28,0,1.0,2
2015-12-29,15,0.0,2
2015-12-30,1,0.0,3
2015-12-31,0,0.0,0
2016-01-01,0,0.0,0
2016-01-02,1,0.0,0
2016-01-03,1,0.0,0
2016-01-04,2,5.0,5
2016-01-05,8,2.0,0
2016-01-06,2,1.0,3
2016-01-07,8,0.0,8
2016-01-08,3,3.0,4
2016-01-09,5,2.0,2
2016-01-10,0,0.0,1
2016-01-11,5,1.0,1
2016-01-12,14,3.0,2
2016-01-13,4,4.0,5
2016-01-14,4,3.0,3
2016-01-15,1,6.0,2
2016-01-16,5,1.0,10
2016-01-17,4,0.0,3
2016-01-18,1,0.0,5
2016-01-19,5,4.0,2
2016-01-20,5,1.0,5
2016-01-21,4,6.0,4
2016-01-22,4,35.0,3
2016-01-23,0,0.0,0
2016-01-24,0,0.0,0
2016-01-25,3,0.0,0
2016-01-26,3,7.0,1
2016-01-27,3,9.0,0
2016-01-28,4,5.0,2
2016-01-29,6,3.0,16
2016-01-30,2,0.0,4
2016-01-31,0,1.0,10
2016-02-01,4,11.0,2
2016-02-02,4,15.0,12
2016-02-03,1,15.0,18
2016-02-04,4,3.0,10
2016-02-05,4,3.0,2
2016-02-06,2,0.0,8
2016-02-07,0,0.0,4
2016-02-08,6,7.0,4
2016-02-09,2,18.0,9
2016-02-10,6,5.0,9
2016-02-11,2,13.0,3
2016-02-12,7,2.0,11
2016-02-13,7,2.0,2
2016-02-14,0,0.0,1
2016-02-15,1,0.0,0
2016-02-16,8,0.0,3
2016-02-17,6,1.0,2
2016-02-18,16,6.0,5
2016-02-19,9,3.0,5
2016-02-20,0,4.0,4
2016-02-21,1,0.0,4
2016-02-22,8,0.0,2
2016-02-23,2,0.0,13
2016-02-24,4,5.0,9
2016-02-25,3,11.0,9
2016-02-26,10,2.0,2
2016-02-27,3,0.0,0
2016-02-28,3,0.0,2
2016-02-29,8,4.0,6
2016-03-01,6,15.0,2
2016-03-02,4,3.0,7
2016-03-03,5,11.0,5
2016-03-04,7,9.0,6
2016-03-05,7,15.0,2
2016-03-06,3,0.0,19
2016-03-07,6,0.0,4
2016-03-08,11,6.0,2
2016-03-09,8,4.0,5
2016-03-10,1,9.0,4
2016-03-11,21,8.0,4
2016-03-12,0,0.0,12
2016-03-13,2,0.0,7
2016-03-14,1,4.0,8
2016-03-15,5,0.0,6
2016-03-16,11,3.0,4
2016-03-17,11,6.0,6
2016-03-18,2,5.0,8
2016-03-19,2,0.0,14
2016-03-20,1,0.0,7
2016-03-21,14,1.0,14
2016-03-22,1,15.0,4
2016-03-23,9,4.0,8
2016-03-24,9,13.0,7
2016-03-25,3,3.0,4
2016-03-26,0,0.0,8
2016-03-27,3,0.0,21
2016-03-28,1,8.0,13
2016-03-29,15,3.0,4
2016-03-30,7,2.0,4
2016-03-31,4,3.0,8
2016-04-01,4,1.0,5
2016-04-02,7,0.0,6
2016-04-03,0,0.0,18
2016-04-04,6,3.0,10
2016-04-05,13,0.0,10
2016-04-06,11,7.0,14
2016-04-07,23,11.0,5
2016-04-08,23,8.0,7
2016-04-09,0,0.0,12
2016-04-10,0,0.0,12
2016-04-11,2,10.0,27
2016-04-12,1,1.0,12
2016-04-13,3,13.0,22
2016-04-14,9,1.0,7
2016-04-15,4,0.0,4
2016-04-16,1,0.0,4
2016-04-17,0,0.0,1
2016-04-18,1,11.0,11
2016-04-19,1,5.0,10
2016-04-20,30,13.0,11
2016-04-21,11,5.0,7
2016-04-22,10,1.0,12
2016-04-23,3,0.0,3
2016-04-24,4,0.0,4
2016-04-25,3,15.0,11
2016-04-26,6,7.0,8
2016-04-27,3,3.0,5
2016-04-28,11,10.0,14
2016-04-29,8,32.0,8
2016-04-30,3,17.0,0
2016-05-01,1,7.0,0
2016-05-02,12,25.0,6
2016-05-03,21,25.0,5
2016-05-04,7,20.0,9
2016-05-05,4,5.0,6
2016-05-06,3,0.0,8
2016-05-07,1,0.0,0
2016-05-08,0,0.0,2
2016-05-09,4,6.0,5
2016-05-10,6,3.0,7
2016-05-11,9,6.0,9
2016-05-12,8,6.0,10
2016-05-13,6,4.0,23
2016-05-14,8,1.0,1
2016-05-15,2,1.0,0
2016-05-16,3,1.0,7
2016-05-17,7,5.0,12
2016-05-18,0,2.0,4
2016-05-19,3,10.0,6
2016-05-20,10,37.0,5
2016-05-21,1,0.0,1
2016-05-22,2,0.0,3
2016-05-23,2,15.0,3
2016-05-24,10,17.0,4
2016-05-25,21,38.0,5
2016-05-26,11,40.0,10
2016-05-27,12,6.0,1
2016-05-28,2,2.0,0
2016-05-29,0,0.0,0
2016-05-30,1,0.0,0
2016-05-31,7,2.0,5
2016-06-01,3,21.0,3
2016-06-02,2,6.0,5
2016-06-03,8,13.0,3
2016-06-04,2,2.0,14
2016-06-05,0,5.0,3
2016-06-06,5,3.0,1
2016-06-07,5,7.0,7
2016-06-08,8,14.0,13
2016-06-09,6,13.0,5
2016-06-10,2,11.0,23
2016-06-11,1,4.0,5
2016-06-12,1,2.0,13
2016-06-13,1,10.0,0
2016-06-14,7,5.0,0
2016-06-15,2,16.0,15
2016-06-16,3,19.0,17
2016-06-17,3,14.0,5
2016-06-18,0,2.0,20
2016-06-19,2,3.0,14
2016-06-20,1,8.0,7
2016-06-21,2,128.0,19
2016-06-22,5,11.0,8
2016-06-23,3,29.0,1
2016-06-24,0,17.0,1
2016-06-25,0,4.0,1
2016-06-26,3,3.0,3
2016-06-27,4,13.0,32
2016-06-28,0,14.0,7
2016-06-29,1,7.0,2
2016-06-30,29,16.0,7
2016-07-01,3,9.0,4
2016-07-02,3,2.0,6
2016-07-03,0,1.0,1
2016-07-04,2,0.0,1
2016-07-05,16,0.0,7
2016-07-06,2,15.0,2
2016-07-07,2,15.0,4
2016-07-08,1,16.0,0
2016-07-09,2,2.0,1
2016-07-10,0,0.0,0
2016-07-11,0,10.0,4
2016-07-12,6,19.0,3
2016-07-13,10,15.0,5
2016-07-14,4,7.0,7
2016-07-15,0,3.0,5
2016-07-16,2,0.0,2
2016-07-17,0,0.0,5
2016-07-18,0,6.0,19
2016-07-19,7,5.0,11
2016-07-20,2,6.0,5
2016-07-21,2,6.0,3
2016-07-22,4,11.0,21
2016-07-23,4,6.0,17
2016-07-24,0,0.0,15
2016-07-25,5,2.0,9
2016-07-26,3,17.0,28
2016-07-27,0,9.0,26
2016-07-28,1,11.0,6
2016-07-29,10,26.0,25
2016-07-30,0,4.0,22
2016-07-31,1,1.0,5
2016-08-01,2,15.0,9
2016-08-02,5,23.0,13
2016-08-03,1,5.0,5
2016-08-04,0,10.0,9
2016-08-05,16,19.0,11
2016-08-06,0,0.0,6
2016-08-07,0,0.0,0
2016-08-08,2,13.0,17
2016-08-09,5,21.0,2
2016-08-10,4,6.0,4
2016-08-11,4,6.0,5
2016-08-12,4,24.0,6
2016-08-13,4,13.0,4
2016-08-14,3,6.0,4
2016-08-15,3,9.0,13
2016-08-16,1,12.0,3
2016-08-17,2,29.0,14
2016-08-18,4,7.0,4
2016-08-19,6,7.0,18
2016-08-20,1,1.0,2
2016-08-21,0,0.0,12
2016-08-22,1,7.0,4
2016-08-23,2,16.0,10
2016-08-24,2,5.0,9
2016-08-25,9,20.0,6
2016-08-26,6,26.0,10
2016-08-27,3,0.0,4
2016-08-28,9,0.0,24
2016-08-29,7,10.0,4
2016-08-30,8,7.0,18
2016-08-31,4,32.0,26
2016-09-01,6,15.0,11
2016-09-02,9,9.0,23
2016-09-03,5,0.0,28
2016-09-04,0,0.0,18
2016-09-05,0,0.0,17
2016-09-06,4,16.0,4
2016-09-07,1,8.0,12
2016-09-08,7,8.0,23
2016-09-09,1,11.0,13
2016-09-10,2,6.0,9
2016-09-11,0,0.0,0
2016-09-12,2,15.0,23
2016-09-13,31,24.0,7
2016-09-14,7,27.0,4
2016-09-15,1,12.0,9
2016-09-16,1,0.0,9
2016-09-17,1,0.0,3
2016-09-18,0,8.0,3
2016-09-19,7,11.0,1
2016-09-20,1,7.0,7
2016-09-21,1,1.0,2
2016-09-22,1,8.0,4
2016-09-23,0,12.0,0
2016-09-24,0,0.0,11
2016-09-25,0,0.0,18
2016-09-26,6,0.0,3
2016-09-27,3,5.0,10
2016-09-28,4,5.0,18
2016-09-29,3,1.0,6
2016-09-30,1,20.0,15
2016-10-01,1,4.0,5
2016-10-02,0,2.0,1
2016-10-03,7,3.0,4
2016-10-04,10,7.0,10
2016-10-05,3,5.0,9
2016-10-06,0,23.0,18
2016-10-07,1,7.0,10
2016-10-08,0,1.0,1
2016-10-09,0,0.0,0
2016-10-10,1,8.0,2
2016-10-11,4,9.0,17
2016-10-12,4,4.0,10
2016-10-13,5,2.0,14
2016-10-14,4,1.0,6
2016-10-15,1,0.0,11
2016-10-16,0,0.0,0
2016-10-17,27,0.0,3
2016-10-18,5,15.0,7
2016-10-19,1,15.0,2
2016-10-20,2,12.0,3
2016-10-21,12,3.0,0
2016-10-22,16,0.0,1
2016-10-23,8,0.0,3
2016-10-24,11,3.0,1
2016-10-25,17,0.0,0
2016-10-26,9,22.0,6
2016-10-27,15,7.0,12
2016-10-28,13,9.0,7
2016-10-29,6,0.0,3
2016-10-30,1,0.0,12
2016-10-31,4,16.0,7
2016-11-01,5,8.0,8
2016-11-02,22,5.0,6
2016-11-03,4,21.0,2
2016-11-04,4,11.0,4
2016-11-05,9,0.0,0
2016-11-06,0,0.0,1
2016-11-07,8,7.0,8
2016-11-08,15,8.0,10
2016-11-09,6,5.0,6
2016-11-10,8,15.0,4
2016-11-11,5,12.0,2
2016-11-12,1,3.0,3
2016-11-13,3,2.0,1
2016-11-14,17,16.0,0
2016-11-15,8,11.0,3
2016-11-16,12,15.0,0
2016-11-17,10,5.0,3
2016-11-18,48,18.0,1
2016-11-19,1,1.0,0
2016-11-20,1,0.0,5
2016-11-21,1,2.0,0
2016-11-22,10,4.0,0
2016-11-23,24,5.0,2
2016-11-24,12,1.0,6
2016-11-25,2,0.0,1
2016-11-26,0,0.0,7
2016-11-27,2,0.0,4
2016-11-28,9,13.0,6
2016-11-29,8,1.0,0
2016-11-30,4,13.0,7
2016-12-01,10,7.0,2
2016-12-02,6,11.0,8
2016-12-03,6,0.0,2
2016-12-04,1,0.0,0
2016-12-05,0,12.0,0
2016-12-06,2,6.0,5
2016-12-07,11,8.0,7
2016-12-08,19,5.0,3
2016-12-09,0,24.0,8
2016-12-10,0,0.0,2
2016-12-11,2,0.0,0
2016-12-12,6,8.0,1
2016-12-13,7,11.0,1
2016-12-14,7,33.0,7
2016-12-15,18,10.0,3
2016-12-16,6,6.0,1
2016-12-17,8,0.0,1
