,apache/avro,protocolbuffers/protobuf,apache/thrift
2021-07-09,0,2,4
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,0,2,0
2021-07-13,1,2,0
2021-07-14,0,0,0
2021-07-15,0,0,0
2021-07-16,1,2,0
2021-07-17,0,0,1
2021-07-18,0,0,0
2021-07-19,0,0,0
2021-07-20,0,2,0
2021-07-21,0,0,0
2021-07-22,0,0,0
2021-07-23,0,0,0
2021-07-24,0,0,1
2021-07-25,0,0,0
2021-07-26,1,3,1
2021-07-27,0,0,0
2021-07-28,0,0,0
2021-07-29,0,2,0
2021-07-30,0,2,1
2021-07-31,1,5,0
2021-08-01,0,3,3
2021-08-02,0,15,0
2021-08-03,0,16,2
2021-08-04,0,11,0
2021-08-05,0,0,0
2021-08-06,1,7,0
2021-08-07,1,0,0
2021-08-08,0,0,0
2021-08-09,1,2,0
2021-08-10,0,0,1
2021-08-11,0,3,12
2021-08-12,0,4,1
2021-08-13,0,6,10
2021-08-14,0,4,0
2021-08-15,0,0,0
2021-08-16,0,13,0
2021-08-17,0,10,0
2021-08-18,0,13,0
2021-08-19,0,3,2
2021-08-20,0,3,0
2021-08-21,0,0,0
2021-08-22,0,0,4
2021-08-23,0,3,0
2021-08-24,0,7,0
2021-08-25,0,9,3
2021-08-26,2,7,0
2021-08-27,1,12,2
2021-08-28,0,5,0
2021-08-29,1,2,0
2021-08-30,1,5,4
2021-08-31,3,5,2
2021-09-01,0,7,2
2021-09-02,0,0,5
2021-09-03,1,2,0
2021-09-04,0,0,3
2021-09-05,0,0,0
2021-09-06,1,0,0
2021-09-07,0,0,0
2021-09-08,2,0,0
2021-09-09,6,14,1
2021-09-10,2,13,1
2021-09-11,0,5,2
2021-09-12,0,0,0
2021-09-13,13,13,0
2021-09-14,1,2,0
2021-09-15,4,1,0
2021-09-16,0,3,0
2021-09-17,0,0,0
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,0,4,1
2021-09-21,2,1,0
2021-09-22,1,9,0
2021-09-23,0,4,0
2021-09-24,0,9,0
2021-09-25,0,1,0
2021-09-26,0,0,2
2021-09-27,1,6,0
2021-09-28,2,10,0
2021-09-29,0,6,0
2021-09-30,0,10,0
2021-10-01,0,6,0
2021-10-02,0,3,0
2021-10-03,0,4,0
2021-10-04,0,21,0
2021-10-05,2,13,0
2021-10-06,6,12,0
2021-10-07,0,11,0
2021-10-08,0,2,0
2021-10-09,0,4,0
2021-10-10,0,1,0
2021-10-11,0,4,0
2021-10-12,2,21,0
2021-10-13,1,19,0
2021-10-14,1,18,3
2021-10-15,0,13,2
2021-10-16,0,3,0
2021-10-17,0,1,0
2021-10-18,0,1,5
2021-10-19,0,7,0
2021-10-20,2,9,0
2021-10-21,0,8,1
2021-10-22,0,1,0
2021-10-23,0,0,1
2021-10-24,0,0,0
2021-10-25,0,7,0
2021-10-26,0,4,0
2021-10-27,0,6,1
2021-10-28,0,6,1
2021-10-29,0,1,0
2021-10-30,0,1,0
2021-10-31,0,0,1
2021-11-01,0,6,0
