,typesense/typesense,elastic/elasticsearch,meilisearch/meilisearch
2018-07-22,0.0,2,0.0
2018-07-23,0.0,21,0.0
2018-07-24,0.0,23,0.0
2018-07-25,0.0,26,0.0
2018-07-26,0.0,24,0.0
2018-07-27,0.0,15,0.0
2018-07-28,0.0,5,0.0
2018-07-29,0.0,0,0.0
2018-07-30,3.0,19,0.0
2018-07-31,-0.9000000000000001,28,0.0
2018-08-01,-0.3149999999999998,24,0.0
2018-08-02,-0.1784999999999999,19,0.0
2018-08-03,0.8795125,29,0.0
2018-08-04,-0.38916075000000006,1,0.0
2018-08-05,-0.17484258749999992,1,0.0
2018-08-06,-0.11637182124999998,23,0.0
2018-08-07,-0.08779265029687514,24,0.0
2018-08-08,-0.07047048969843757,16,0.0
2018-08-09,-0.023280862499999996,19,0.0
2018-08-10,0.98104272625,26,0.0
2018-08-11,-0.31587671676562507,1,0.0
2018-08-12,-0.11858341323281245,0,0.0
2018-08-13,-0.05949999999999997,18,0.0
2018-08-14,-0.0401625,19,0.0
2018-08-15,1.97027975,24,0.0
2018-08-16,-0.6232808625,24,0.0
2018-08-17,-0.22895727374999986,24,0.0
2018-08-18,0.865123283234375,7,0.0
2018-08-19,-0.39390841323281256,0,0.0
2018-08-20,-0.16444049999999993,29,0.0
2018-08-21,-0.10606172499999997,30,0.0
2018-08-22,-0.0780770475,23,0.0
2018-08-23,-0.06147368353125009,22,0.0
2018-08-24,-0.05044768896562504,26,0.0
2018-08-25,-0.018957273750000003,3,46.0
2018-08-26,0.9841232832343749,5,0.0
2018-08-27,-0.3135834132328126,23,0.0
2018-08-28,-0.10499999999999993,28,0.0
2018-08-29,-0.05949999999999997,25,1.0
2018-08-30,-0.0401625,27,0.0
2018-08-31,0.97027975,36,0.0
2018-09-01,0.6767191374999999,4,0.0
2018-09-02,-0.42395727375,6,0.0
2018-09-03,-0.18037671676562494,19,0.0
2018-09-04,1.8867540867671875,20,0.0
2018-09-05,-0.6698827500000001,31,0.0
2018-09-06,-0.26300111249999986,23,0.0
2018-09-07,-0.16123813624999994,26,0.0
2018-09-08,0.8848410094843749,7,0.0
2018-09-09,-0.3889006299984376,10,3.0
2018-09-10,-0.16514513823281243,20,2.0
2018-09-11,-0.09741454749999998,20,0.0
2018-09-12,-0.07191593353125009,28,0.0
2018-09-13,-0.05688707646562505,24,0.0
2018-09-14,-0.023280862499999996,31,2.0
2018-09-15,-0.018957273750000003,3,3.0
2018-09-16,-0.015876716765625045,4,0.0
2018-09-17,-0.013583413232812524,28,0.0
