,RevenueCat/purchases-ios,apphud/ApphudSDK,bizz84/swiftystorekit
2019-09-04,0.0,0,0
2019-09-05,0.0,0,1
2019-09-06,0.0,3,0
2019-09-07,0.0,0,0
2019-09-08,0.0,0,0
2019-09-09,0.0,1,0
2019-09-10,0.0,1,0
2019-09-11,0.0,0,0
2019-09-12,0.0,0,0
2019-09-13,0.0,0,0
2019-09-14,0.0,0,0
2019-09-15,0.0,0,0
2019-09-16,0.0,0,0
2019-09-17,0.0,0,0
2019-09-18,0.0,0,0
2019-09-19,0.0,1,0
2019-09-20,0.0,0,0
2019-09-21,0.0,0,0
2019-09-22,0.0,0,0
2019-09-23,0.0,1,0
2019-09-24,0.0,2,0
2019-09-25,0.0,1,0
2019-09-26,1.0,2,0
2019-09-27,-0.19999999999999996,1,0
2019-09-28,-0.08000000000000007,0,0
2019-09-29,-0.048000000000000036,1,0
2019-09-30,-0.03360000000000001,0,9
2019-10-01,-0.025536000000000014,1,0
2019-10-02,-0.02042880000000001,0,0
2019-10-03,-0.01692672000000001,0,0
2019-10-04,-0.01438771199999994,2,0
2019-10-05,-0.012469350399999964,0,0
2019-10-06,0.0,0,0
2019-10-07,0.0,0,0
2019-10-08,1.0,0,0
2019-10-09,1.8,0,0
2019-10-10,-0.48,5,0
2019-10-11,-0.20800000000000018,0,0
2019-10-12,-0.12960000000000008,6,0
2019-10-13,-0.09273600000000004,0,0
2019-10-14,-0.07150080000000003,0,0
2019-10-15,-0.05778432000000003,0,0
2019-10-16,-0.04824115199999996,1,0
2019-10-17,-0.041244774399999844,0,0
2019-10-18,-0.02493870079999993,2,0
2019-10-19,0.0,0,0
2019-10-20,0.0,0,0
2019-10-21,0.0,0,0
2019-10-22,0.0,0,0
2019-10-23,0.0,1,0
2019-10-24,0.0,0,0
2019-10-25,0.0,0,0
2019-10-26,0.0,0,0
2019-10-27,0.0,0,0
2019-10-28,0.0,0,0
2019-10-29,0.0,1,0
2019-10-30,0.0,0,2
2019-10-31,0.0,4,0
2019-11-01,0.0,0,0
2019-11-02,0.0,0,0
2019-11-03,0.0,0,0
2019-11-04,0.0,0,0
2019-11-05,4.0,0,0
2019-11-06,-0.7999999999999998,0,0
2019-11-07,-0.3200000000000003,0,0
2019-11-08,-0.19200000000000014,0,0
2019-11-09,-0.13440000000000005,0,0
2019-11-10,-0.10214400000000005,0,0
2019-11-11,-0.08171520000000004,0,0
2019-11-12,-0.06770688000000004,0,0
2019-11-13,2.9424491520000005,0,0
2019-11-14,-0.6498774015999997,0,0
2019-11-15,0.7599999999999998,0,0
2019-11-16,-0.3440000000000001,1,0
2019-11-17,-0.1808000000000001,0,0
2019-11-18,-0.12460800000000008,0,0
2019-11-19,-0.09488640000000004,0,0
2019-11-20,-0.07631616000000005,0,0
2019-11-21,-0.06359193599999982,0,0
2019-11-22,-0.054334771199999896,0,0
2019-11-23,-0.01438771199999994,0,0
2019-11-24,-0.012469350399999964,1,0
2019-11-25,0.0,0,0
2019-11-26,0.0,0,0
2019-11-27,0.0,0,0
2019-11-28,0.0,0,0
2019-11-29,0.0,0,0
2019-11-30,0.0,0,0
2019-12-01,0.0,3,0
2019-12-02,0.0,0,0
2019-12-03,0.0,0,0
2019-12-04,0.0,0,0
2019-12-05,0.0,0,0
2019-12-06,0.0,0,0
2019-12-07,0.0,0,0
2019-12-08,0.0,0,0
2019-12-09,0.0,2,0
2019-12-10,0.0,0,0
2019-12-11,0.0,0,0
2019-12-12,0.0,0,0
2019-12-13,1.0,0,0
2019-12-14,-0.19999999999999996,0,0
2019-12-15,-0.08000000000000007,0,0
2019-12-16,-0.048000000000000036,1,0
2019-12-17,2.9664,0,0
2019-12-18,-0.6255359999999999,0,0
2019-12-19,-0.26042880000000024,0,0
2019-12-20,-0.1609267200000001,0,0
2019-12-21,-0.11518771199999997,0,0
2019-12-22,-0.0890773504,0,0
2019-12-23,-0.06128640000000003,0,0
2019-12-24,-0.05078016000000003,0,0
2019-12-25,-0.04316313599999982,0,0
2019-12-26,-0.03740805119999989,0,0
2019-12-27,0.0,0,0
2019-12-28,0.0,0,0
2019-12-29,0.0,1,0
2019-12-30,0.0,0,0
2019-12-31,0.0,0,0
2020-01-01,0.0,0,0
2020-01-02,0.0,0,0
2020-01-03,0.0,0,0
2020-01-04,0.0,0,0
2020-01-05,0.0,1,0
2020-01-06,0.0,0,0
2020-01-07,0.0,0,0
2020-01-08,0.0,0,0
2020-01-09,0.0,0,0
2020-01-10,0.0,0,0
2020-01-11,0.0,4,0
2020-01-12,0.0,0,0
2020-01-13,0.0,0,0
2020-01-14,0.0,0,0
2020-01-15,0.0,0,0
2020-01-16,1.0,0,0
2020-01-17,1.8,0,0
2020-01-18,-0.48,0,0
2020-01-19,-0.20800000000000018,0,0
2020-01-20,1.8703999999999998,0,0
2020-01-21,-0.49273599999999995,1,0
2020-01-22,2.7684992,0,0
2020-01-23,0.24621568000000005,2,0
2020-01-24,-0.5554411520000002,0,0
2020-01-25,-0.31631677440000006,0,1
2020-01-26,-0.21459630080000003,0,0
2020-01-27,-0.14406144000000007,0,0
2020-01-28,-0.11559782399999993,0,0
2020-01-29,-0.09614766079999996,0,0
2020-01-30,0.9399101440000002,0,0
2020-01-31,-0.2517957631999998,0,0
2020-02-01,-0.09246935040000004,0,0
2020-02-02,-0.048000000000000036,0,0
2020-02-03,-0.03360000000000001,0,0
2020-02-04,-0.025536000000000014,0,0
2020-02-05,0.9795712,0,0
2020-02-06,2.78307328,0,0
2020-02-07,3.305612288,0,0
2020-02-08,-1.1004693504,0,0
2020-02-09,-0.4976000000000004,0,0
2020-02-10,-0.3183360000000002,0,0
2020-02-11,-0.2314368000000001,0,0
2020-02-12,-0.1803571200000001,3,0
2020-02-13,4.853116928,1,0
2020-02-14,-1.1233393663999995,2,0
2020-02-15,-0.4949588992,0,0
2020-02-16,-0.28987740160000003,0,0
2020-02-17,-0.16800000000000007,0,0
2020-02-18,-0.12768000000000007,0,7
2020-02-19,-0.10214400000000005,0,3
2020-02-20,-0.08463360000000004,0,6
2020-02-21,-0.0719385599999997,0,3
2020-02-22,-0.062346751999999825,0,0
2020-02-23,1.0,1,0
2020-02-24,-0.19999999999999996,0,1
2020-02-25,-0.08000000000000007,1,0
2020-02-26,-0.048000000000000036,0,0
2020-02-27,-0.03360000000000001,0,0
2020-02-28,-0.025536000000000014,0,0
2020-02-29,-0.02042880000000001,0,0
2020-03-01,-0.01692672000000001,0,0
2020-03-02,-0.01438771199999994,0,0
2020-03-03,0.9875306496,0,0
2020-03-04,-0.19999999999999996,0,0
2020-03-05,1.92,0,0
2020-03-06,-0.44799999999999995,0,0
2020-03-07,-0.19360000000000016,0,0
2020-03-08,-0.12153600000000009,0,0
2020-03-09,-0.08762880000000003,3,0
2020-03-10,-0.06799872000000004,0,0
2020-03-11,-0.05524531199999996,0,0
2020-03-12,-0.04632279039999998,0,0
2020-03-13,-0.02877542399999988,0,0
2020-03-14,-0.02493870079999993,0,0
2020-03-15,0.0,0,0
2020-03-16,4.0,0,0
2020-03-17,3.2,0,0
2020-03-18,-1.12,0,1
2020-03-19,0.48799999999999955,2,0
2020-03-20,0.4735999999999998,0,0
2020-03-21,-0.5165440000000001,0,2
2020-03-22,-0.3118592000000002,0,2
2020-03-23,-0.23102208000000013,0,0
2020-03-24,0.8156062720000001,0,0
2020-03-25,3.6466069504000003,0,0
2020-03-26,0.03276707840000026,0,0
2020-03-27,0.40068556799999977,0,0
2020-03-28,-0.5324570624,0,0
2020-03-29,-0.30040535040000016,0,0
2020-03-30,-0.20417280000000013,1,0
2020-03-31,-0.15777792000000007,0,0
2020-04-01,4.871940608,0,1
2020-04-02,-1.1073757183999995,0,0
2020-04-03,-0.4811918336000002,0,0
2020-04-04,-0.26685706240000007,1,0
2020-04-05,-0.18046935040000003,0,0
2020-04-06,-0.12768000000000007,1,0
2020-04-07,0.897856,0,0
2020-04-08,-0.2846336,2,0
2020-04-09,-0.15193855999999978,0,0
2020-04-10,-0.11034675199999985,0,9
2020-04-11,-0.03360000000000001,0,0
2020-04-12,-0.025536000000000014,0,0
2020-04-13,-0.02042880000000001,0,0
2020-04-14,-0.01692672000000001,0,0
2020-04-15,-0.01438771199999994,0,0
2020-04-16,-0.012469350399999964,0,0
2020-04-17,1.0,0,0
2020-04-18,-0.19999999999999996,0,0
2020-04-19,-0.08000000000000007,0,0
2020-04-20,-0.048000000000000036,0,0
2020-04-21,-0.03360000000000001,0,0
2020-04-22,-0.025536000000000014,0,0
2020-04-23,-0.02042880000000001,0,0
2020-04-24,-0.01692672000000001,0,0
2020-04-25,-0.01438771199999994,0,0
2020-04-26,-0.012469350399999964,1,0
2020-04-27,0.0,0,0
2020-04-28,0.0,0,0
2020-04-29,1.0,0,0
2020-04-30,1.8,0,0
2020-05-01,0.52,0,0
2020-05-02,-0.40800000000000014,0,0
2020-05-03,-0.20960000000000015,0,0
2020-05-04,-0.14073600000000008,1,0
2020-05-05,0.8948992,0,0
2020-05-06,0.7166796799999999,0,0
2020-05-07,-0.348669952,0,0
2020-05-08,0.8138285056000001,0,0
2020-05-09,-0.3209264127999999,0,0
2020-05-10,-0.15160535040000006,0,0
2020-05-11,0.9060351999999999,0,0
2020-05-12,2.7290444799999998,1,0
2020-05-13,1.2631495680000002,0,0
2020-05-14,2.2647141376,0,0
2020-05-15,-0.9669960704000001,0,0
2020-05-16,-0.47672371200000024,0,0
2020-05-17,-0.32070615040000017,0,0
2020-05-18,0.76991488,0,0
2020-05-19,-0.382633472,0,0
2020-05-20,0.7692276736000001,0,0
2020-05-21,-0.3649636351999998,0,0
2020-05-22,-0.18170183679999982,1,0
2020-05-23,-0.11094405119999995,0,0
2020-05-24,-0.05402880000000002,0,0
2020-05-25,-0.04246272000000002,0,0
2020-05-26,-0.03481651199999995,0,0
2020-05-27,-0.029396070399999974,0,0
2020-05-28,0.9856122880000001,0,0
2020-05-29,-0.21246935039999992,0,6
