,facebook/react,emberjs/ember.js,angular/angular
2022-12-18,2,0,0.0
2022-12-19,2,1,71.0
2022-12-20,15,1,-21.300000000000004
2022-12-21,13,3,-5.454999999999995
2022-12-22,13,5,-4.824499999999999
2022-12-23,3,0,-2.0615374999999996
2022-12-24,0,0,-0.5291377499999994
2022-12-25,0,0,-2.4382662374999997
2022-12-26,0,0,-1.6749069362500002
2022-12-27,0,0,-1.3329711153593782
2022-12-28,0,2,-1.1123821370296891
2022-12-29,0,0,-0.11447479603125008
2022-12-30,0,0,-0.09268582521562505
2022-12-31,0,0,-0.053791264265625055
2023-01-01,0,0,-0.04533684676406261
2023-01-02,0,0,6.972833173534375
2023-01-03,3,4,-0.10000000000000053
2023-01-04,13,1,15.665000000000001
2023-01-05,6,3,9.2735
2023-01-06,1,4,-5.6851375
2023-01-07,0,2,-3.174866749999998
2023-01-08,0,0,-1.9026690374999995
2023-01-09,11,0,0.6535556087500001
2023-01-10,10,0,15.369207522640625
2023-01-11,12,0,12.86195583258906
2023-01-12,11,6,11.79128901976875
2023-01-13,8,1,1.425148949807813
2023-01-14,4,0,-7.492330915257812
2023-01-15,1,0,-3.673476888232811
2023-01-16,2,0,-2.4561239599999993
2023-01-17,5,0,5.16744402521875
2023-01-18,5,5,4.450200787268749
2023-01-19,15,3,-2.302810606004689
2023-01-20,9,4,0.3593508020140619
2023-01-21,0,0,-2.313449649078126
2023-01-22,0,0,-1.1127592955609373
2023-01-23,8,2,1.3404469625000002
2023-01-24,8,0,17.90112418375
2023-01-25,11,1,5.691482317640624
2023-01-26,5,0,1.9561452382453126
2023-01-27,3,1,1.9318824393562508
2023-01-28,1,0,-4.5513249767624995
2023-01-29,0,0,-2.3449467146984366
2023-01-30,11,0,-1.5746939349999995
2023-01-31,27,0,0.8097885152187498
2023-02-01,11,0,-1.550600380012501
2023-02-02,13,1,24.02677031988906
2023-02-03,10,0,-6.041715609168751
2023-02-04,0,0,-3.525129323221874
2023-02-05,0,0,-1.8520243926296867
2023-02-06,7,0,10.830375775
2023-02-07,14,1,-1.4612457975000002
2023-02-08,12,5,7.166784503968751
2023-02-09,11,0,-1.576660395215625
2023-02-10,18,3,7.954717533359374
2023-02-11,0,0,-5.058469264351563
2023-02-12,1,0,-2.130822926465624
2023-02-13,9,1,5.6304801275
2023-02-14,14,5,8.888850702562499
2023-02-15,4,2,-2.131969184090625
2023-02-16,20,2,10.911021283895312
2023-02-17,10,1,12.097868206125
2023-02-18,0,0,-6.953885874120312
2023-02-19,0,0,-3.812514083060936
2023-02-20,8,3,-0.2395070162499997
2023-02-21,8,1,6.793024610140625
2023-02-22,4,2,3.846464609932811
2023-02-23,2,0,0.6111912834093749
2023-02-24,3,0,1.4166389355828128
2023-02-25,3,0,-3.416808960790626
2023-02-26,0,0,-1.71822212995625
2023-02-27,7,1,13.002899776767187
2023-02-28,5,0,18.06197045271875
2023-03-01,7,1,6.043278970143749
2023-03-02,7,0,1.791544865529687
2023-03-03,22,2,5.211387741559376
2023-03-04,11,5,-7.029621649992187
2023-03-05,3,0,-3.534852391164061
2023-03-06,26,5,9.637709580000001
2023-03-07,9,0,1.6133432315312488
2023-03-08,19,1,7.210856997881249
2023-03-09,11,0,3.931487656660937
2023-03-10,7,0,-5.748455651148438
2023-03-11,6,0,-2.7281352335156246
2023-03-12,1,0,-1.7273630587937499
2023-03-13,9,1,0.8512786775000001
2023-03-14,3,2,16.500205632562498
2023-03-15,12,0,-4.3444338861531255
2023-03-16,9,1,10.915822768682812
2023-03-17,10,0,6.116906873549999
2023-03-18,2,0,-6.107199632328125
2023-03-19,0,0,-2.7548512249999986
2023-03-20,8,4,6.2073144275
2023-03-21,12,25,20.28242041396875
2023-03-22,19,3,13.926562649253125
2023-03-23,5,0,1.2829729457781252
2023-03-24,12,0,-1.2412281461843726
2023-03-25,3,0,-6.310850386446875
2023-03-26,0,0,-3.435271358793749
2023-03-27,16,0,6.70758536
2023-03-28,9,0,5.544771358375
2023-03-29,8,0,13.641862095512499
2023-03-30,22,0,14.632880274303123
2023-03-31,15,0,-1.4871025217921883
2023-04-01,1,0,-6.188745226153123
2023-04-02,1,0,-3.9784016551296864
2023-04-03,4,4,1.4676536612500004
2023-04-04,14,0,37.92067217410938
2023-04-05,12,1,0.7956893244984347
2023-04-06,8,2,0.8442429403750005
2023-04-07,4,0,-7.292295663282813
2023-04-08,0,1,-4.5873097289953115
2023-04-09,1,0,-2.811718635860937
2023-04-10,10,0,3.008980879267188
2023-04-11,13,0,32.9429467216875
2023-04-12,2,4,2.399552115928122
2023-04-13,3,1,-0.6043815677796864
2023-04-14,3,0,0.9848351433359381
2023-04-15,2,0,-5.997245512326562
2023-04-16,0,0,-3.1778542257328115
2023-04-17,7,5,25.78383633125
2023-04-18,8,4,35.90015937367187
2023-04-19,11,21,6.888872261523435
2023-04-20,13,12,-12.080015991615623
2023-04-21,13,0,-6.88484983938281
2023-04-22,3,0,-5.031406453220311
2023-04-23,2,0,-3.4152254558625
2023-04-24,7,3,16.47528291
2023-04-25,9,34,0.27207252556249806
2023-04-26,18,10,9.920840777012499
2023-04-27,7,0,-1.8724076116000017
2023-04-28,3,8,1.8747397451328123
2023-04-29,2,0,-4.624611706464062
2023-04-30,0,0,-2.4282818007328117
2023-05-01,6,7,32.32056589875
2023-05-02,11,2,1.5147313914531235
2023-05-03,12,2,-0.5061418905484363
2023-05-04,8,15,6.572595545887501
2023-05-05,2,4,-7.32432082856875
2023-05-06,0,0,-3.5662384967562497
2023-05-07,1,0,-2.367796467629687
2023-05-08,9,2,20.29292698
2023-05-09,4,0,13.041136921218747
2023-05-10,3,1,1.2674572296312494
2023-05-11,8,0,-2.364042664901561
2023-05-12,6,0,0.8968603761843754
