,typesense/typesense,elastic/elasticsearch,meilisearch/meilisearch
2022-04-22,0,5,0.0
2022-04-23,0,0,0.0
2022-04-24,0,2,0.0
2022-04-25,1,24,11.0
2022-04-26,1,22,6.0
2022-04-27,3,15,2.0
2022-04-28,1,20,1.0
2022-04-29,0,22,2.0
2022-04-30,4,1,0.0
2022-05-01,0,3,0.0
2022-05-02,0,18,2.0
2022-05-03,0,22,2.0
2022-05-04,0,23,8.0
2022-05-05,1,23,0.0
2022-05-06,0,27,0.0
2022-05-07,2,0,0.0
2022-05-08,3,1,0.0
2022-05-09,0,25,1.0
2022-05-10,3,25,0.0
2022-05-11,2,18,0.0
2022-05-12,2,31,0.0
2022-05-13,2,7,0.0
2022-05-14,0,0,0.0
2022-05-15,0,1,0.0
2022-05-16,0,23,4.0
2022-05-17,0,28,2.0
2022-05-18,1,12,4.0
2022-05-19,3,10,2.0
2022-05-20,0,36,1.0
2022-05-21,1,1,0.0
2022-05-22,0,1,0.0
2022-05-23,1,29,1.0
2022-05-24,1,33,7.0
2022-05-25,1,18,29.0
2022-05-26,1,16,3.0
2022-05-27,4,2,0.0
2022-05-28,2,0,0.0
2022-05-29,1,0,0.0
2022-05-30,2,9,4.0
2022-05-31,0,17,16.0
2022-06-01,1,11,28.0
2022-06-02,3,12,22.0
2022-06-03,0,18,0.0
2022-06-04,1,5,0.0
2022-06-05,2,1,5.0
2022-06-06,0,10,6.0
2022-06-07,1,29,12.0
2022-06-08,1,25,22.0
2022-06-09,0,22,23.0
2022-06-10,0,0,0.0
2022-06-11,0,1,2.0
2022-06-12,0,0,0.0
2022-06-13,4,17,3.0
2022-06-14,1,20,1.0
2022-06-15,0,12,7.0
2022-06-16,1,28,5.0
2022-06-17,3,26,0.0
2022-06-18,1,2,0.0
2022-06-19,2,1,0.0
2022-06-20,0,23,4.0
2022-06-21,0,21,5.0
2022-06-22,0,20,9.0
2022-06-23,1,31,2.0
2022-06-24,2,15,1.0
2022-06-25,1,2,0.0
2022-06-26,2,0,0.0
2022-06-27,3,23,2.0
2022-06-28,2,29,5.0
2022-06-29,0,25,1.0
2022-06-30,1,18,0.0
2022-07-01,1,2,0.0
2022-07-02,1,0,0.0
2022-07-03,0,0,0.0
2022-07-04,1,13,1.0
2022-07-05,0,23,22.0
2022-07-06,0,13,6.0
2022-07-07,5,18,4.0
2022-07-08,1,15,0.0
2022-07-09,0,1,0.0
2022-07-10,0,0,0.0
2022-07-11,0,11,3.0
2022-07-12,1,28,32.0
2022-07-13,0,16,0.0
2022-07-14,3,20,0.0
2022-07-15,1,4,0.0
2022-07-16,0,0,0.0
2022-07-17,0,0,0.0
2022-07-18,1,23,11.0
2022-07-19,2,13,19.0
2022-07-20,4,13,2.0
2022-07-21,1,20,6.0
2022-07-22,2,28,0.0
2022-07-23,0,1,0.0
2022-07-24,1,0,0.0
2022-07-25,1,29,0.0
2022-07-26,2,30,0.0
2022-07-27,1,26,0.0
2022-07-28,1,17,5.0
2022-07-29,0,17,0.0
2022-07-30,0,1,0.0
2022-07-31,0,1,0.0
2022-08-01,1,27,0.0
2022-08-02,4,24,2.0
2022-08-03,1,31,1.0
2022-08-04,4,25,2.0
2022-08-05,3,3,0.0
2022-08-06,0,0,0.0
2022-08-07,2,1,0.0
2022-08-08,2,20,1.0
2022-08-09,1,17,0.0
2022-08-10,2,10,18.0
