,cacti/cacti,grafana/grafana,netdata/netdata
2013-06-17,0,3,11.0
2013-06-18,0,0,1.5
2013-06-19,0,2,0.125
2013-06-20,0,0,0.9375
2013-06-21,0,3,-1.9921875
2013-06-22,0,0,-2.51171875
2013-06-23,0,0,-1.1748046875
2013-06-24,0,0,-0.77783203125
2013-06-25,0,0,-0.574188232421875
2013-06-26,0,0,-0.4494476318359375
2013-06-27,0,0,-0.2634124755859375
2013-06-28,0,0,-0.1522369384765625
2013-06-29,0,0,-0.0807342529296875
2013-06-30,0,0,-0.021820068359375
2013-07-01,0,0,0.0
2013-07-02,0,0,0.0
2013-07-03,0,0,0.0
2013-07-04,0,0,0.0
2013-07-05,0,0,0.0
2013-07-06,0,0,2.0
2013-07-07,0,0,-1.0
2013-07-08,0,0,-0.25
2013-07-09,0,0,-0.125
2013-07-10,0,3,-0.078125
2013-07-11,0,0,-0.0546875
2013-07-12,0,1,-0.041015625
2013-07-13,0,0,-0.0322265625
2013-07-14,0,7,-0.02618408203125
2013-07-15,0,6,-0.021820068359375
2013-07-16,0,2,0.0
2013-07-17,0,6,0.0
2013-07-18,0,8,0.0
2013-07-19,0,0,0.0
2013-07-20,0,4,0.0
2013-07-21,6,0,0.0
2013-07-22,4,10,0.0
2013-07-23,0,15,0.0
2013-07-24,0,7,0.0
2013-07-25,0,3,0.0
2013-07-26,0,7,0.0
2013-07-27,0,6,0.0
2013-07-28,0,0,0.0
2013-07-29,0,18,0.0
2013-07-30,0,7,0.0
2013-07-31,0,4,0.0
2013-08-01,0,2,0.0
2013-08-02,0,2,0.0
2013-08-03,0,0,0.0
2013-08-04,1,0,0.0
2013-08-05,0,0,0.0
2013-08-06,0,0,0.0
2013-08-07,1,4,0.0
2013-08-08,2,0,0.0
2013-08-09,0,2,0.0
2013-08-10,0,0,0.0
2013-08-11,0,0,0.0
2013-08-12,0,0,0.0
2013-08-13,2,2,0.0
2013-08-14,0,8,0.0
2013-08-15,0,0,0.0
2013-08-16,0,6,0.0
2013-08-17,0,0,0.0
2013-08-18,1,0,0.0
2013-08-19,0,0,0.0
2013-08-20,0,5,0.0
2013-08-21,0,4,0.0
2013-08-22,0,8,0.0
2013-08-23,0,9,0.0
2013-08-24,2,1,0.0
2013-08-25,1,0,0.0
2013-08-26,0,30,0.0
2013-08-27,0,16,0.0
2013-08-28,0,5,0.0
2013-08-29,0,4,0.0
2013-08-30,0,19,0.0
2013-08-31,0,0,0.0
2013-09-01,0,0,0.0
2013-09-02,0,1,0.0
2013-09-03,0,3,0.0
2013-09-04,0,4,0.0
2013-09-05,0,0,0.0
2013-09-06,0,5,0.0
2013-09-07,1,1,0.0
2013-09-08,0,0,0.0
2013-09-09,0,1,0.0
2013-09-10,0,1,0.0
2013-09-11,0,12,0.0
2013-09-12,0,1,0.0
2013-09-13,0,9,0.0
2013-09-14,0,1,0.0
2013-09-15,0,8,0.0
2013-09-16,0,17,0.0
2013-09-17,0,10,0.0
2013-09-18,0,0,0.0
2013-09-19,0,9,0.0
2013-09-20,0,13,0.0
2013-09-21,1,0,0.0
2013-09-22,0,0,0.0
2013-09-23,0,4,0.0
2013-09-24,0,0,0.0
2013-09-25,0,3,0.0
2013-09-26,0,2,0.0
2013-09-27,0,1,0.0
2013-09-28,0,0,0.0
2013-09-29,0,1,0.0
2013-09-30,0,7,0.0
2013-10-01,0,3,0.0
2013-10-02,0,0,0.0
2013-10-03,0,0,0.0
2013-10-04,0,0,0.0
2013-10-05,0,1,0.0
2013-10-06,0,0,0.0
2013-10-07,0,1,0.0
2013-10-08,0,1,0.0
2013-10-09,0,5,0.0
2013-10-10,0,2,0.0
2013-10-11,0,4,0.0
2013-10-12,0,3,0.0
2013-10-13,0,0,2.0
2013-10-14,0,3,-1.0
2013-10-15,0,6,-0.25
2013-10-16,0,3,-0.125
2013-10-17,0,8,-0.078125
2013-10-18,0,1,-0.0546875
2013-10-19,0,0,-0.041015625
2013-10-20,0,0,-0.0322265625
2013-10-21,0,3,-0.02618408203125
2013-10-22,0,3,10.978179931640625
2013-10-23,0,4,-5.5
2013-10-24,0,3,-1.375
2013-10-25,0,7,-0.6875
2013-10-26,0,0,-0.4296875
2013-10-27,0,0,-0.30078125
2013-10-28,0,3,-0.2255859375
2013-10-29,0,2,-0.17724609375
2013-10-30,0,9,-0.144012451171875
2013-10-31,0,1,-0.1200103759765625
2013-11-01,0,8,0.0
2013-11-02,0,0,0.0
2013-11-03,0,0,0.0
2013-11-04,0,2,0.0
2013-11-05,0,3,0.0
2013-11-06,0,3,0.0
2013-11-07,0,4,0.0
2013-11-08,0,1,0.0
2013-11-09,0,0,0.0
2013-11-10,0,0,0.0
2013-11-11,0,0,0.0
2013-11-12,0,1,0.0
2013-11-13,0,1,0.0
2013-11-14,0,2,0.0
2013-11-15,0,7,0.0
2013-11-16,0,0,0.0
2013-11-17,0,0,0.0
2013-11-18,0,0,0.0
2013-11-19,0,4,0.0
2013-11-20,0,0,0.0
2013-11-21,0,0,0.0
2013-11-22,0,0,0.0
2013-11-23,0,1,0.0
2013-11-24,0,0,0.0
2013-11-25,0,1,0.0
2013-11-26,0,2,0.0
2013-11-27,0,0,0.0
2013-11-28,0,0,0.0
2013-11-29,0,2,0.0
2013-11-30,0,0,0.0
2013-12-01,0,0,0.0
2013-12-02,0,6,0.0
2013-12-03,0,12,0.0
2013-12-04,0,7,0.0
2013-12-05,0,2,0.0
2013-12-06,0,6,0.0
2013-12-07,0,2,0.0
2013-12-08,0,4,0.0
2013-12-09,0,5,0.0
2013-12-10,0,5,0.0
2013-12-11,0,4,0.0
