,plotly/plotly.js,highcharts/highcharts,apache/echarts
2013-05-31,0,4,2.0
2013-06-01,2,0,0.0
2013-06-02,4,0,0.0
2013-06-03,0,2,5.0
2013-06-04,2,2,1.0
2013-06-05,2,4,2.0
2013-06-06,0,4,0.0
2013-06-07,2,2,1.0
2013-06-08,0,1,1.0
2013-06-09,4,0,1.0
2013-06-10,7,7,0.0
2013-06-11,3,6,0.0
2013-06-12,22,10,0.0
2013-06-13,1,19,1.0
2013-06-14,4,11,2.0
2013-06-15,7,0,0.0
2013-06-16,1,0,0.0
2013-06-17,4,8,1.0
2013-06-18,3,8,2.0
2013-06-19,0,16,2.0
2013-06-20,4,6,1.0
2013-06-21,0,15,5.0
2013-06-22,1,1,0.0
2013-06-23,0,0,0.0
2013-06-24,2,10,1.0
2013-06-25,0,3,3.0
2013-06-26,1,8,3.0
2013-06-27,5,4,0.0
2013-06-28,5,0,2.0
2013-06-29,0,0,0.0
2013-06-30,0,0,0.0
2013-07-01,0,4,5.0
2013-07-02,0,3,4.0
2013-07-03,3,3,6.0
2013-07-04,2,1,0.0
2013-07-05,0,1,0.0
2013-07-06,0,0,0.0
2013-07-07,0,0,0.0
2013-07-08,0,0,1.0
2013-07-09,7,0,2.0
2013-07-10,3,0,1.0
2013-07-11,3,0,0.0
2013-07-12,0,0,0.0
2013-07-13,3,0,0.0
2013-07-14,4,0,0.0
2013-07-15,5,0,0.0
2013-07-16,1,0,1.0
2013-07-17,0,0,1.0
2013-07-18,2,0,0.0
2013-07-19,0,0,0.0
2013-07-20,0,0,0.0
2013-07-21,0,0,0.0
2013-07-22,0,4,0.0
2013-07-23,6,7,1.0
2013-07-24,0,7,1.0
2013-07-25,0,3,2.0
2013-07-26,0,12,2.0
2013-07-27,1,0,0.0
2013-07-28,0,0,0.0
2013-07-29,0,8,2.0
2013-07-30,0,5,3.0
2013-07-31,1,6,1.0
2013-08-01,2,7,2.0
2013-08-02,0,17,3.0
2013-08-03,0,2,0.0
2013-08-04,2,0,0.0
2013-08-05,0,0,0.0
2013-08-06,0,2,0.0
2013-08-07,1,3,0.0
2013-08-08,4,7,3.0
2013-08-09,8,13,7.0
2013-08-10,0,1,0.0
2013-08-11,3,0,0.0
2013-08-12,8,7,2.0
2013-08-13,7,4,2.0
2013-08-14,7,3,1.0
2013-08-15,7,6,1.0
2013-08-16,9,0,0.0
2013-08-17,5,0,0.0
2013-08-18,5,0,0.0
2013-08-19,3,1,4.0
2013-08-20,10,6,0.0
2013-08-21,6,2,1.0
2013-08-22,1,0,2.0
2013-08-23,0,4,3.0
2013-08-24,0,0,0.0
2013-08-25,0,0,0.0
2013-08-26,6,6,1.0
2013-08-27,2,3,1.0
2013-08-28,2,7,5.0
2013-08-29,2,5,1.0
2013-08-30,0,18,3.0
2013-08-31,4,0,0.0
2013-09-01,1,2,0.0
2013-09-02,5,11,0.0
2013-09-03,4,9,3.0
2013-09-04,2,35,1.0
2013-09-05,5,9,0.0
2013-09-06,2,3,3.0
2013-09-07,2,3,0.0
2013-09-08,2,0,0.0
2013-09-09,5,0,6.0
2013-09-10,6,1,1.0
2013-09-11,21,5,3.0
2013-09-12,18,3,0.0
2013-09-13,12,2,1.0
2013-09-14,17,0,0.0
2013-09-15,9,0,0.0
2013-09-16,6,5,8.0
2013-09-17,7,7,2.0
2013-09-18,12,1,0.0
2013-09-19,32,2,0.0
2013-09-20,18,4,1.0
2013-09-21,1,0,0.0
2013-09-22,4,1,0.0
2013-09-23,4,4,5.0
2013-09-24,0,11,7.0
2013-09-25,0,5,1.0
2013-09-26,3,1,4.0
2013-09-27,14,4,2.0
2013-09-28,12,0,0.0
2013-09-29,4,0,4.0
2013-09-30,15,6,3.0
2013-10-01,10,5,0.0
2013-10-02,10,5,0.0
2013-10-03,2,6,0.0
2013-10-04,7,14,0.0
2013-10-05,5,0,0.0
2013-10-06,4,2,0.0
2013-10-07,17,5,0.0
2013-10-08,18,7,0.0
2013-10-09,8,7,1.0
2013-10-10,8,8,0.0
2013-10-11,8,5,0.0
2013-10-12,8,0,0.0
2013-10-13,3,0,0.0
2013-10-14,5,0,0.0
2013-10-15,17,1,0.0
2013-10-16,5,2,0.0
2013-10-17,12,16,0.0
2013-10-18,12,6,0.0
2013-10-19,7,0,0.0
2013-10-20,1,0,0.0
2013-10-21,4,1,0.0
2013-10-22,8,3,0.0
2013-10-23,7,1,0.0
2013-10-24,8,5,0.0
2013-10-25,26,2,2.0
2013-10-26,9,0,0.0
2013-10-27,2,0,0.0
2013-10-28,13,9,8.0
2013-10-29,18,3,9.0
2013-10-30,16,0,6.0
2013-10-31,11,7,2.0
2013-11-01,11,1,5.0
2013-11-02,5,0,0.0
2013-11-03,10,0,0.0
2013-11-04,16,2,8.0
2013-11-05,14,2,11.0
2013-11-06,24,5,0.0
2013-11-07,7,7,0.0
2013-11-08,9,12,1.0
2013-11-09,0,0,0.0
2013-11-10,5,0,0.0
2013-11-11,12,7,3.0
2013-11-12,13,5,2.0
2013-11-13,13,10,1.0
2013-11-14,11,9,4.0
2013-11-15,12,2,1.0
2013-11-16,0,0,0.0
2013-11-17,2,0,0.0
2013-11-18,13,5,2.0
2013-11-19,2,4,2.0
2013-11-20,9,7,4.0
2013-11-21,13,6,7.0
2013-11-22,10,7,4.0
2013-11-23,6,0,0.0
2013-11-24,12,0,0.0
2013-11-25,21,9,2.0
2013-11-26,11,2,1.0
2013-11-27,34,13,0.0
2013-11-28,12,5,4.0
2013-11-29,5,1,0.0
2013-11-30,2,0,0.0
2013-12-01,3,0,0.0
2013-12-02,22,6,0.0
2013-12-03,7,2,0.0
2013-12-04,2,5,0.0
2013-12-05,4,5,0.0
2013-12-06,5,1,0.0
2013-12-07,4,1,0.0
2013-12-08,5,0,0.0
2013-12-09,10,10,0.0
2013-12-10,11,2,8.0
2013-12-11,16,4,3.0
2013-12-12,6,5,3.0
2013-12-13,14,5,5.0
2013-12-14,3,0,0.0
2013-12-15,4,0,0.0
2013-12-16,8,11,4.0
2013-12-17,1,2,1.0
2013-12-18,3,2,5.0
2013-12-19,13,3,7.0
2013-12-20,7,3,3.0
2013-12-21,1,0,0.0
2013-12-22,0,0,0.0
2013-12-23,1,0,2.0
2013-12-24,3,0,4.0
2013-12-25,0,0,1.0
2013-12-26,0,0,1.0
2013-12-27,5,0,2.0
2013-12-28,0,0,0.0
2013-12-29,7,0,0.0
2013-12-30,14,0,2.0
2013-12-31,7,0,1.0
2014-01-01,0,0,0.0
2014-01-02,14,7,4.0
2014-01-03,6,4,2.0
2014-01-04,14,0,0.0
2014-01-05,0,0,0.0
2014-01-06,7,0,2.0
2014-01-07,7,4,3.0
2014-01-08,4,12,1.0
2014-01-09,7,7,7.0
2014-01-10,5,8,0.0
2014-01-11,0,0,0.0
2014-01-12,0,2,0.0
2014-01-13,0,12,6.0
2014-01-14,3,5,6.0
2014-01-15,5,17,4.0
2014-01-16,5,6,2.0
2014-01-17,10,5,3.0
2014-01-18,3,0,0.0
2014-01-19,2,0,0.0
2014-01-20,18,5,5.0
2014-01-21,8,1,0.0
2014-01-22,31,1,7.0
2014-01-23,14,1,12.0
2014-01-24,8,1,0.0
2014-01-25,10,0,0.0
2014-01-26,6,0,1.0
2014-01-27,5,5,5.0
2014-01-28,7,8,0.0
2014-01-29,8,11,0.0
2014-01-30,11,6,0.0
2014-01-31,12,3,0.0
2014-02-01,2,0,0.0
2014-02-02,7,0,0.0
2014-02-03,3,5,0.0
2014-02-04,19,3,0.0
2014-02-05,12,7,0.0
2014-02-06,15,4,0.0
2014-02-07,12,8,0.0
2014-02-08,5,0,0.0
2014-02-09,5,0,0.0
2014-02-10,1,10,2.0
2014-02-11,2,12,0.0
2014-02-12,6,4,0.0
2014-02-13,6,4,0.0
2014-02-14,14,1,0.0
2014-02-15,2,0,0.0
2014-02-16,0,0,0.0
2014-02-17,4,5,6.0
2014-02-18,0,3,0.0
2014-02-19,3,4,3.0
2014-02-20,8,5,0.0
2014-02-21,14,15,0.0
2014-02-22,1,2,0.0
2014-02-23,5,1,0.0
2014-02-24,12,6,4.0
2014-02-25,12,8,5.0
2014-02-26,11,1,0.0
2014-02-27,9,9,0.0
2014-02-28,11,14,5.0
2014-03-01,5,0,2.0
2014-03-02,1,0,0.0
2014-03-03,15,5,8.0
2014-03-04,4,10,7.0
2014-03-05,3,5,5.0
2014-03-06,9,11,5.0
2014-03-07,2,1,2.0
2014-03-08,2,1,0.0
2014-03-09,5,7,1.0
2014-03-10,9,13,3.0
2014-03-11,0,8,6.0
2014-03-12,9,8,1.0
2014-03-13,6,8,5.0
2014-03-14,7,7,4.0
2014-03-15,0,0,0.0
2014-03-16,0,1,6.0
2014-03-17,2,11,17.0
2014-03-18,0,7,5.0
2014-03-19,0,2,7.0
2014-03-20,1,4,3.0
2014-03-21,1,0,8.0
2014-03-22,7,3,0.0
2014-03-23,1,0,0.0
2014-03-24,0,8,5.0
2014-03-25,0,5,8.0
2014-03-26,0,5,3.0
2014-03-27,1,6,0.0
2014-03-28,3,9,0.0
2014-03-29,2,0,0.0
2014-03-30,0,0,0.0
2014-03-31,2,0,14.0
2014-04-01,1,5,11.0
2014-04-02,2,4,4.0
2014-04-03,3,14,0.0
2014-04-04,4,2,2.0
2014-04-05,0,0,0.0
2014-04-06,2,3,0.0
2014-04-07,2,16,3.0
2014-04-08,1,10,2.0
2014-04-09,0,7,0.0
2014-04-10,16,5,0.0
2014-04-11,5,15,0.0
2014-04-12,14,4,0.0
2014-04-13,2,2,0.0
2014-04-14,6,9,3.0
2014-04-15,1,3,2.0
2014-04-16,2,1,0.0
2014-04-17,8,0,2.0
2014-04-18,23,0,13.0
2014-04-19,11,0,0.0
2014-04-20,0,0,0.0
2014-04-21,16,0,5.0
2014-04-22,8,16,27.0
2014-04-23,22,12,4.0
2014-04-24,16,13,14.0
2014-04-25,15,6,5.0
2014-04-26,6,0,0.0
2014-04-27,2,0,0.0
2014-04-28,19,11,8.0
2014-04-29,9,4,6.0
2014-04-30,16,19,5.0
2014-05-01,22,0,0.0
2014-05-02,14,2,0.0
2014-05-03,0,1,0.0
2014-05-04,3,0,14.0
2014-05-05,13,3,11.0
2014-05-06,6,11,0.0
2014-05-07,17,10,0.0
2014-05-08,19,11,0.0
2014-05-09,15,5,1.0
2014-05-10,8,0,0.0
2014-05-11,0,0,0.0
2014-05-12,8,12,4.0
2014-05-13,17,8,2.0
2014-05-14,26,15,4.0
2014-05-15,11,9,4.0
2014-05-16,9,4,6.0
2014-05-17,8,1,0.0
2014-05-18,0,0,0.0
2014-05-19,0,10,4.0
2014-05-20,11,4,0.0
2014-05-21,6,4,0.0
2014-05-22,8,2,1.0
2014-05-23,13,1,0.0
2014-05-24,7,0,0.0
2014-05-25,0,0,1.0
2014-05-26,5,3,3.0
2014-05-27,7,5,4.0
2014-05-28,12,5,4.0
2014-05-29,6,3,8.0
2014-05-30,6,6,4.0
2014-05-31,2,0,0.0
2014-06-01,0,0,0.0
2014-06-02,3,5,0.0
2014-06-03,12,3,7.0
2014-06-04,9,5,5.0
2014-06-05,6,8,10.0
2014-06-06,18,6,4.0
2014-06-07,2,0,0.0
2014-06-08,1,0,0.0
2014-06-09,11,1,1.0
2014-06-10,10,8,4.0
2014-06-11,12,3,5.0
2014-06-12,22,13,7.0
2014-06-13,3,10,3.0
2014-06-14,0,0,0.0
2014-06-15,3,0,0.0
2014-06-16,4,3,3.0
2014-06-17,7,5,4.0
2014-06-18,17,1,0.0
2014-06-19,7,0,0.0
2014-06-20,4,0,0.0
2014-06-21,2,0,0.0
2014-06-22,0,0,1.0
2014-06-23,8,4,15.0
2014-06-24,2,3,25.0
2014-06-25,9,3,1.0
2014-06-26,12,6,4.0
2014-06-27,4,2,14.0
2014-06-28,9,0,12.0
2014-06-29,2,0,1.0
2014-06-30,9,8,3.0
2014-07-01,5,6,0.0
2014-07-02,6,0,2.0
2014-07-03,9,1,0.0
2014-07-04,5,1,6.0
2014-07-05,1,0,0.0
2014-07-06,0,0,0.0
2014-07-07,3,7,0.0
2014-07-08,9,0,5.0
2014-07-09,7,1,0.0
2014-07-10,6,1,2.0
2014-07-11,2,3,0.0
2014-07-12,2,0,0.0
2014-07-13,1,0,0.0
2014-07-14,4,0,5.0
2014-07-15,6,0,2.0
2014-07-16,9,1,8.0
2014-07-17,3,0,10.0
2014-07-18,5,0,0.0
2014-07-19,3,0,0.0
2014-07-20,1,0,0.0
2014-07-21,10,0,0.0
2014-07-22,10,1,8.0
2014-07-23,15,2,7.0
2014-07-24,9,0,10.0
2014-07-25,3,0,4.0
2014-07-26,1,0,0.0
2014-07-27,1,0,0.0
2014-07-28,1,1,1.0
2014-07-29,1,0,1.0
2014-07-30,0,0,2.0
2014-07-31,7,1,0.0
2014-08-01,5,7,0.0
2014-08-02,6,0,0.0
2014-08-03,2,0,0.0
2014-08-04,2,7,0.0
2014-08-05,2,4,0.0
2014-08-06,1,5,1.0
2014-08-07,10,2,3.0
2014-08-08,2,1,0.0
2014-08-09,1,0,0.0
2014-08-10,0,0,0.0
2014-08-11,4,6,2.0
2014-08-12,2,3,0.0
2014-08-13,6,4,4.0
2014-08-14,14,4,1.0
2014-08-15,3,7,2.0
2014-08-16,4,1,0.0
2014-08-17,0,0,0.0
2014-08-18,1,5,0.0
2014-08-19,5,6,1.0
2014-08-20,4,7,1.0
2014-08-21,6,5,0.0
2014-08-22,9,4,0.0
2014-08-23,10,0,0.0
2014-08-24,14,0,0.0
2014-08-25,16,2,0.0
2014-08-26,17,4,1.0
2014-08-27,8,0,0.0
2014-08-28,16,4,9.0
2014-08-29,9,2,1.0
2014-08-30,0,0,0.0
2014-08-31,8,0,0.0
2014-09-01,3,6,2.0
2014-09-02,6,9,4.0
2014-09-03,14,5,5.0
2014-09-04,12,4,8.0
2014-09-05,9,3,9.0
2014-09-06,1,0,0.0
2014-09-07,6,0,1.0
2014-09-08,13,8,0.0
2014-09-09,13,3,3.0
2014-09-10,9,3,27.0
2014-09-11,4,6,4.0
2014-09-12,2,10,0.0
2014-09-13,1,0,0.0
2014-09-14,0,0,0.0
2014-09-15,4,9,2.0
2014-09-16,19,6,0.0
2014-09-17,3,11,2.0
2014-09-18,11,6,0.0
2014-09-19,4,8,0.0
2014-09-20,11,2,0.0
2014-09-21,0,0,0.0
2014-09-22,11,8,1.0
2014-09-23,5,1,6.0
2014-09-24,1,1,5.0
2014-09-25,4,2,2.0
2014-09-26,5,4,2.0
2014-09-27,0,0,1.0
2014-09-28,0,1,2.0
2014-09-29,9,3,5.0
2014-09-30,10,4,0.0
2014-10-01,11,0,0.0
2014-10-02,12,6,0.0
2014-10-03,18,4,1.0
2014-10-04,1,0,1.0
2014-10-05,9,0,0.0
2014-10-06,8,0,0.0
2014-10-07,8,1,1.0
2014-10-08,4,2,2.0
2014-10-09,6,5,5.0
2014-10-10,8,0,1.0
2014-10-11,1,0,0.0
2014-10-12,9,0,3.0
2014-10-13,2,6,0.0
2014-10-14,10,2,1.0
2014-10-15,25,1,1.0
2014-10-16,4,1,0.0
2014-10-17,11,0,0.0
2014-10-18,6,0,0.0
2014-10-19,15,0,0.0
2014-10-20,30,1,0.0
2014-10-21,17,5,3.0
2014-10-22,30,1,4.0
2014-10-23,13,5,4.0
2014-10-24,21,4,3.0
2014-10-25,7,0,0.0
2014-10-26,12,0,0.0
2014-10-27,9,5,7.0
2014-10-28,10,0,8.0
2014-10-29,6,3,6.0
2014-10-30,1,2,20.0
2014-10-31,15,1,1.0
2014-11-01,1,0,0.0
2014-11-02,4,0,0.0
2014-11-03,13,11,11.0
2014-11-04,18,7,6.0
2014-11-05,23,4,5.0
2014-11-06,27,3,22.0
2014-11-07,38,5,3.0
2014-11-08,4,0,0.0
2014-11-09,10,0,0.0
2014-11-10,17,9,25.0
2014-11-11,14,9,3.0
2014-11-12,14,4,1.0
2014-11-13,16,3,9.0
2014-11-14,11,0,5.0
2014-11-15,8,0,0.0
2014-11-16,1,0,0.0
2014-11-17,10,0,1.0
2014-11-18,12,3,5.0
2014-11-19,10,6,1.0
2014-11-20,2,1,2.0
2014-11-21,7,0,2.0
2014-11-22,7,0,0.0
2014-11-23,4,0,0.0
2014-11-24,8,2,0.0
2014-11-25,8,7,0.0
2014-11-26,5,2,0.0
2014-11-27,13,3,2.0
2014-11-28,20,2,0.0
2014-11-29,1,0,0.0
2014-11-30,3,0,0.0
2014-12-01,15,2,0.0
2014-12-02,15,4,0.0
2014-12-03,10,4,17.0
2014-12-04,41,5,10.0
2014-12-05,18,3,1.0
2014-12-06,1,0,0.0
2014-12-07,0,0,0.0
2014-12-08,16,6,6.0
2014-12-09,9,7,0.0
2014-12-10,7,8,1.0
2014-12-11,13,7,3.0
2014-12-12,23,6,1.0
2014-12-13,2,0,0.0
2014-12-14,0,0,0.0
2014-12-15,27,6,0.0
2014-12-16,9,6,0.0
2014-12-17,8,7,0.0
2014-12-18,6,1,0.0
2014-12-19,4,2,4.0
2014-12-20,2,0,0.0
2014-12-21,2,0,0.0
2014-12-22,13,1,5.0
2014-12-23,4,1,7.0
2014-12-24,3,0,8.0
2014-12-25,7,0,3.0
2014-12-26,0,0,7.0
2014-12-27,0,0,0.0
2014-12-28,0,0,0.0
2014-12-29,3,0,1.0
2014-12-30,1,0,0.0
2014-12-31,5,0,0.0
2015-01-01,0,0,0.0
2015-01-02,0,0,0.0
2015-01-03,1,0,0.0
2015-01-04,3,0,19.0
2015-01-05,4,0,1.0
2015-01-06,5,4,1.0
2015-01-07,6,7,2.0
2015-01-08,21,2,2.0
2015-01-09,29,5,15.0
2015-01-10,9,0,0.0
2015-01-11,0,0,0.0
2015-01-12,1,4,4.0
2015-01-13,7,18,0.0
2015-01-14,6,12,3.0
2015-01-15,6,10,7.0
2015-01-16,11,8,4.0
2015-01-17,7,0,0.0
2015-01-18,0,0,1.0
2015-01-19,0,3,5.0
2015-01-20,3,1,7.0
2015-01-21,3,7,2.0
2015-01-22,16,5,8.0
2015-01-23,6,5,0.0
2015-01-24,2,0,0.0
2015-01-25,1,0,3.0
2015-01-26,7,3,9.0
2015-01-27,6,3,6.0
2015-01-28,13,2,10.0
2015-01-29,16,0,8.0
2015-01-30,22,0,5.0
2015-01-31,1,0,1.0
2015-02-01,2,0,0.0
2015-02-02,22,7,4.0
2015-02-03,28,9,7.0
2015-02-04,28,20,2.0
2015-02-05,8,7,3.0
2015-02-06,11,0,1.0
2015-02-07,1,0,1.0
2015-02-08,2,0,0.0
2015-02-09,9,15,0.0
2015-02-10,22,1,1.0
2015-02-11,9,11,0.0
2015-02-12,14,12,3.0
2015-02-13,26,2,1.0
2015-02-14,1,0,2.0
2015-02-15,0,0,1.0
2015-02-16,11,24,1.0
2015-02-17,14,12,1.0
2015-02-18,18,15,0.0
2015-02-19,18,9,0.0
2015-02-20,20,9,0.0
2015-02-21,4,0,1.0
2015-02-22,3,0,0.0
2015-02-23,25,11,0.0
2015-02-24,30,10,0.0
2015-02-25,34,3,0.0
2015-02-26,39,4,0.0
2015-02-27,15,23,7.0
2015-02-28,12,2,1.0
2015-03-01,7,3,0.0
2015-03-02,19,14,0.0
2015-03-03,4,10,0.0
2015-03-04,4,0,5.0
2015-03-05,10,43,3.0
2015-03-06,2,8,1.0
2015-03-07,0,1,1.0
2015-03-08,0,1,2.0
2015-03-09,3,10,1.0
2015-03-10,5,10,0.0
2015-03-11,7,7,8.0
2015-03-12,4,0,7.0
2015-03-13,16,6,0.0
2015-03-14,2,0,2.0
2015-03-15,5,4,0.0
2015-03-16,19,3,0.0
2015-03-17,14,6,1.0
2015-03-18,19,14,1.0
2015-03-19,3,0,0.0
2015-03-20,5,2,2.0
2015-03-21,1,0,1.0
2015-03-22,0,0,0.0
2015-03-23,5,6,2.0
2015-03-24,6,3,4.0
2015-03-25,5,7,2.0
2015-03-26,0,4,1.0
2015-03-27,5,7,4.0
2015-03-28,0,0,0.0
2015-03-29,0,0,0.0
2015-03-30,4,5,1.0
2015-03-31,14,9,0.0
2015-04-01,13,3,0.0
2015-04-02,18,0,0.0
2015-04-03,8,0,0.0
2015-04-04,0,0,0.0
2015-04-05,7,0,0.0
2015-04-06,15,1,0.0
2015-04-07,11,7,0.0
2015-04-08,5,10,0.0
2015-04-09,11,8,3.0
2015-04-10,19,9,0.0
2015-04-11,3,0,0.0
2015-04-12,2,0,0.0
2015-04-13,10,10,0.0
2015-04-14,13,6,1.0
2015-04-15,17,2,1.0
2015-04-16,7,6,0.0
2015-04-17,9,2,0.0
2015-04-18,2,0,0.0
2015-04-19,4,0,0.0
2015-04-20,10,7,1.0
2015-04-21,16,13,1.0
2015-04-22,26,11,2.0
2015-04-23,19,1,6.0
2015-04-24,22,0,0.0
2015-04-25,10,0,0.0
2015-04-26,2,0,0.0
2015-04-27,19,32,1.0
2015-04-28,30,11,2.0
2015-04-29,15,14,13.0
2015-04-30,11,2,0.0
2015-05-01,10,0,0.0
2015-05-02,0,0,0.0
2015-05-03,0,0,0.0
2015-05-04,9,11,1.0
2015-05-05,26,44,0.0
2015-05-06,19,22,0.0
2015-05-07,26,7,4.0
2015-05-08,20,2,1.0
2015-05-09,0,0,0.0
2015-05-10,4,0,0.0
2015-05-11,25,10,0.0
2015-05-12,26,2,4.0
2015-05-13,26,5,0.0
2015-05-14,26,0,0.0
2015-05-15,26,1,1.0
2015-05-16,2,3,0.0
2015-05-17,2,0,0.0
2015-05-18,2,4,0.0
2015-05-19,6,4,2.0
2015-05-20,11,7,4.0
2015-05-21,15,4,0.0
2015-05-22,29,1,1.0
2015-05-23,18,0,0.0
2015-05-24,4,0,0.0
2015-05-25,32,0,1.0
2015-05-26,24,13,3.0
2015-05-27,39,10,12.0
2015-05-28,48,4,4.0
2015-05-29,32,5,12.0
2015-05-30,5,0,0.0
2015-05-31,1,0,1.0
2015-06-01,25,14,3.0
2015-06-02,18,15,0.0
2015-06-03,24,11,0.0
2015-06-04,51,6,0.0
2015-06-05,10,2,0.0
2015-06-06,22,0,0.0
2015-06-07,5,0,0.0
2015-06-08,15,0,2.0
2015-06-09,48,5,1.0
2015-06-10,30,12,0.0
2015-06-11,40,9,0.0
2015-06-12,19,11,1.0
2015-06-13,8,0,0.0
2015-06-14,0,0,0.0
2015-06-15,26,7,0.0
2015-06-16,17,8,2.0
2015-06-17,27,11,5.0
2015-06-18,16,0,2.0
2015-06-19,5,0,7.0
2015-06-20,0,0,0.0
2015-06-21,0,0,0.0
2015-06-22,7,7,0.0
2015-06-23,8,14,1.0
2015-06-24,0,28,5.0
2015-06-25,2,9,2.0
2015-06-26,11,8,0.0
2015-06-27,0,0,1.0
2015-06-28,3,0,0.0
2015-06-29,12,24,12.0
2015-06-30,3,11,2.0
2015-07-01,6,4,3.0
2015-07-02,20,11,2.0
2015-07-03,17,11,0.0
2015-07-04,0,0,0.0
2015-07-05,0,0,0.0
2015-07-06,16,3,0.0
2015-07-07,16,4,0.0
2015-07-08,18,11,0.0
2015-07-09,27,8,6.0
2015-07-10,19,3,0.0
2015-07-11,1,0,0.0
2015-07-12,1,0,0.0
2015-07-13,12,1,0.0
2015-07-14,24,0,8.0
2015-07-15,11,0,7.0
2015-07-16,23,0,1.0
2015-07-17,11,0,0.0
2015-07-18,3,0,0.0
2015-07-19,0,0,1.0
2015-07-20,37,0,0.0
2015-07-21,24,0,0.0
2015-07-22,13,0,3.0
2015-07-23,13,0,0.0
2015-07-24,28,0,1.0
2015-07-25,3,0,0.0
2015-07-26,1,0,0.0
2015-07-27,17,0,0.0
2015-07-28,14,0,2.0
2015-07-29,11,0,0.0
2015-07-30,18,1,0.0
2015-07-31,10,0,1.0
2015-08-01,0,0,0.0
2015-08-02,0,0,0.0
2015-08-03,13,4,4.0
2015-08-04,14,4,0.0
2015-08-05,10,11,1.0
2015-08-06,17,14,1.0
2015-08-07,12,6,0.0
2015-08-08,0,0,0.0
2015-08-09,0,0,0.0
2015-08-10,8,0,0.0
2015-08-11,17,8,0.0
2015-08-12,13,8,0.0
2015-08-13,7,3,1.0
2015-08-14,18,1,1.0
2015-08-15,1,0,1.0
2015-08-16,4,1,1.0
2015-08-17,19,2,0.0
2015-08-18,43,6,2.0
2015-08-19,10,5,2.0
2015-08-20,17,6,2.0
2015-08-21,30,6,1.0
2015-08-22,5,0,1.0
2015-08-23,0,0,2.0
2015-08-24,32,2,2.0
2015-08-25,22,0,6.0
2015-08-26,8,0,7.0
2015-08-27,9,0,4.0
2015-08-28,30,7,3.0
2015-08-29,3,0,0.0
2015-08-30,1,0,0.0
2015-08-31,18,13,7.0
2015-09-01,22,28,3.0
2015-09-02,18,9,1.0
2015-09-03,2,2,0.0
2015-09-04,12,8,0.0
2015-09-05,0,0,1.0
2015-09-06,0,0,1.0
