,ioBroker/ioBroker,node-red/node-red,home-assistant/core
2022-08-12,0,5,29
2022-08-13,0,1,16
2022-08-14,0,5,6
2022-08-15,0,0,31
2022-08-16,0,1,51
2022-08-17,0,1,33
2022-08-18,0,2,42
2022-08-19,0,0,30
2022-08-20,0,0,23
2022-08-21,0,0,13
2022-08-22,0,0,24
2022-08-23,0,0,15
2022-08-24,0,0,23
2022-08-25,0,0,47
2022-08-26,0,0,37
2022-08-27,0,1,14
2022-08-28,0,0,14
2022-08-29,0,0,36
2022-08-30,0,1,45
2022-08-31,0,0,47
2022-09-01,0,0,33
2022-09-02,0,5,32
2022-09-03,0,6,18
2022-09-04,0,4,38
2022-09-05,0,1,45
2022-09-06,0,4,64
2022-09-07,0,0,33
2022-09-08,0,1,48
2022-09-09,0,0,26
2022-09-10,0,1,51
2022-09-11,0,0,24
2022-09-12,0,10,36
2022-09-13,0,2,84
2022-09-14,0,0,41
2022-09-15,0,5,45
2022-09-16,0,1,20
2022-09-17,0,1,29
2022-09-18,0,3,50
2022-09-19,0,1,43
2022-09-20,0,2,23
2022-09-21,0,0,36
2022-09-22,0,2,45
2022-09-23,0,0,28
2022-09-24,0,0,7
2022-09-25,0,0,19
2022-09-26,0,0,59
2022-09-27,0,0,31
2022-09-28,0,0,62
2022-09-29,0,5,63
2022-09-30,0,1,36
2022-10-01,0,0,20
2022-10-02,0,1,48
2022-10-03,0,0,43
2022-10-04,0,14,50
2022-10-05,0,0,33
2022-10-06,0,0,34
2022-10-07,0,0,35
2022-10-08,0,0,28
2022-10-09,0,0,32
2022-10-10,0,0,54
2022-10-11,0,0,44
2022-10-12,0,2,36
2022-10-13,0,0,23
2022-10-14,0,0,69
2022-10-15,0,0,10
2022-10-16,0,4,20
2022-10-17,0,0,24
2022-10-18,0,0,35
2022-10-19,0,0,31
2022-10-20,0,0,47
2022-10-21,0,0,38
2022-10-22,0,0,18
2022-10-23,0,0,34
2022-10-24,0,0,35
2022-10-25,0,4,51
2022-10-26,0,0,64
2022-10-27,0,0,42
2022-10-28,0,0,20
2022-10-29,0,4,53
2022-10-30,0,0,20
2022-10-31,0,2,58
2022-11-01,0,5,51
2022-11-02,2,0,39
2022-11-03,0,0,32
2022-11-04,0,1,8
2022-11-05,0,2,16
2022-11-06,0,0,16
2022-11-07,0,11,33
2022-11-08,0,0,87
2022-11-09,1,1,28
2022-11-10,0,1,20
2022-11-11,0,0,11
2022-11-12,0,0,6
2022-11-13,0,0,22
2022-11-14,0,0,19
2022-11-15,0,3,29
2022-11-16,0,0,91
2022-11-17,0,0,44
2022-11-18,1,0,17
2022-11-19,0,0,14
2022-11-20,0,0,29
2022-11-21,0,0,24
2022-11-22,0,0,31
2022-11-23,0,0,25
2022-11-24,0,0,46
2022-11-25,0,0,29
2022-11-26,0,0,16
2022-11-27,0,0,18
2022-11-28,0,2,59
2022-11-29,0,3,57
2022-11-30,0,20,59
2022-12-01,3,3,37
2022-12-02,0,6,29
2022-12-03,0,13,58
2022-12-04,0,1,19
2022-12-05,0,11,78
2022-12-06,0,9,77
2022-12-07,0,2,35
2022-12-08,0,4,47
2022-12-09,8,1,38
2022-12-10,0,0,26
2022-12-11,0,1,28
2022-12-12,0,0,53
2022-12-13,0,0,39
2022-12-14,0,0,26
2022-12-15,0,0,12
2022-12-16,3,0,12
2022-12-17,0,0,13
2022-12-18,0,0,27
2022-12-19,0,3,42
2022-12-20,0,0,32
2022-12-21,0,0,64
2022-12-22,3,0,32
2022-12-23,0,0,12
2022-12-24,0,3,11
2022-12-25,0,0,2
2022-12-26,0,0,8
2022-12-27,0,9,42
2022-12-28,0,0,45
2022-12-29,0,1,35
2022-12-30,4,1,58
2022-12-31,0,0,18
2023-01-01,0,7,17
2023-01-02,0,0,56
2023-01-03,0,1,57
2023-01-04,0,0,32
2023-01-05,0,3,33
