,scala/scala,jetbrains/kotlin,apache/groovy
2019-10-22,10,10,10
2019-10-23,8,43,3
2019-10-24,3,52,0
2019-10-25,4,23,5
2019-10-26,0,3,6
2019-10-27,3,1,4
2019-10-28,4,50,6
2019-10-29,7,87,8
2019-10-30,5,32,7
2019-10-31,4,59,4
2019-11-01,5,61,6
2019-11-02,0,0,13
2019-11-03,1,0,22
2019-11-04,0,5,6
2019-11-05,1,34,4
2019-11-06,5,29,4
2019-11-07,7,40,2
2019-11-08,6,59,0
2019-11-09,1,2,10
2019-11-10,0,4,2
2019-11-11,3,47,7
2019-11-12,6,39,1
2019-11-13,0,31,0
2019-11-14,0,49,3
2019-11-15,4,12,9
2019-11-16,0,1,0
2019-11-17,1,1,5
2019-11-18,4,29,4
2019-11-19,10,70,1
2019-11-20,2,46,4
2019-11-21,3,41,5
2019-11-22,2,42,10
2019-11-23,3,4,9
2019-11-24,0,0,2
2019-11-25,4,57,5
2019-11-26,6,48,4
2019-11-27,5,59,2
2019-11-28,5,45,0
2019-11-29,0,75,8
2019-11-30,2,3,8
2019-12-01,1,2,5
2019-12-02,8,40,8
2019-12-03,4,48,8
2019-12-04,3,13,3
2019-12-05,4,26,2
2019-12-06,2,15,0
2019-12-07,0,0,7
2019-12-08,2,0,0
2019-12-09,10,23,1
2019-12-10,17,39,4
2019-12-11,4,45,8
2019-12-12,10,51,8
2019-12-13,3,29,6
2019-12-14,1,1,3
2019-12-15,1,3,2
2019-12-16,3,70,5
2019-12-17,5,67,3
2019-12-18,0,45,2
2019-12-19,3,58,6
2019-12-20,1,23,7
2019-12-21,0,3,5
2019-12-22,2,1,5
2019-12-23,0,22,4
2019-12-24,1,28,2
2019-12-25,0,76,2
2019-12-26,2,40,4
2019-12-27,0,55,8
2019-12-28,0,3,5
2019-12-29,0,1,4
2019-12-30,0,18,1
2019-12-31,1,5,5
2020-01-01,3,0,1
2020-01-02,2,3,1
2020-01-03,2,8,2
2020-01-04,0,0,8
2020-01-05,1,0,0
2020-01-06,0,2,0
2020-01-07,3,5,1
2020-01-08,5,15,1
2020-01-09,5,64,0
2020-01-10,4,45,7
2020-01-11,0,1,14
2020-01-12,3,1,5
2020-01-13,11,28,1
2020-01-14,7,58,1
2020-01-15,2,47,10
2020-01-16,2,51,7
2020-01-17,20,93,3
2020-01-18,12,4,1
2020-01-19,2,6,7
2020-01-20,6,38,4
2020-01-21,14,54,9
2020-01-22,6,51,7
2020-01-23,6,69,5
2020-01-24,9,119,9
2020-01-25,2,4,6
2020-01-26,0,11,4
2020-01-27,3,54,1
2020-01-28,14,60,3
2020-01-29,2,67,6
2020-01-30,8,44,2
2020-01-31,12,29,6
2020-02-01,2,9,7
2020-02-02,3,1,5
2020-02-03,21,24,6
2020-02-04,15,41,8
2020-02-05,10,44,3
2020-02-06,3,116,0
2020-02-07,2,56,2
2020-02-08,11,3,11
