,pytorch/pytorch,tensorflow/tensorflow,apache/mxnet
2020-12-25,1,6,0
2020-12-26,0,2,0
2020-12-27,0,6,0
2020-12-28,7,48,0
2020-12-29,8,42,0
2020-12-30,13,54,1
2020-12-31,5,20,1
2021-01-01,1,5,1
2021-01-02,0,7,0
2021-01-03,1,7,0
2021-01-04,21,27,1
2021-01-05,40,86,2
2021-01-06,46,85,0
2021-01-07,28,79,0
2021-01-08,43,91,0
2021-01-09,8,15,0
2021-01-10,4,8,0
2021-01-11,28,82,0
2021-01-12,43,112,1
2021-01-13,33,107,0
2021-01-14,27,74,0
2021-01-15,23,73,2
2021-01-16,11,21,1
2021-01-17,1,8,0
2021-01-18,7,28,0
2021-01-19,30,62,0
2021-01-20,44,100,2
2021-01-21,28,95,0
2021-01-22,45,104,0
2021-01-23,13,24,0
2021-01-24,2,17,0
2021-01-25,20,98,0
2021-01-26,30,75,0
2021-01-27,35,109,0
2021-01-28,49,90,1
2021-01-29,37,73,1
2021-01-30,9,44,0
2021-01-31,3,4,1
2021-02-01,23,74,0
2021-02-02,61,100,1
2021-02-03,44,86,3
2021-02-04,68,95,0
2021-02-05,37,78,2
2021-02-06,13,27,0
2021-02-07,3,6,2
2021-02-08,25,72,1
2021-02-09,28,79,0
2021-02-10,37,93,0
2021-02-11,42,71,0
2021-02-12,17,82,0
2021-02-13,11,38,0
2021-02-14,12,4,0
2021-02-15,3,48,2
2021-02-16,10,54,3
2021-02-17,40,92,0
2021-02-18,47,68,2
2021-02-19,47,41,1
2021-02-20,12,38,0
2021-02-21,3,15,2
2021-02-22,29,91,1
2021-02-23,30,113,0
2021-02-24,26,99,2
2021-02-25,40,114,0
2021-02-26,33,115,1
2021-02-27,8,33,1
2021-02-28,6,11,0
2021-03-01,38,66,2
2021-03-02,74,77,0
2021-03-03,59,98,0
2021-03-04,31,98,0
2021-03-05,48,133,0
2021-03-06,7,23,1
2021-03-07,3,12,0
2021-03-08,28,60,0
2021-03-09,44,79,2
2021-03-10,48,116,1
2021-03-11,47,93,1
2021-03-12,73,105,4
2021-03-13,10,43,0
2021-03-14,7,22,1
2021-03-15,30,75,2
2021-03-16,27,135,2
2021-03-17,35,89,0
2021-03-18,41,107,1
2021-03-19,28,132,1
2021-03-20,7,41,0
2021-03-21,3,17,2
2021-03-22,28,71,1
2021-03-23,43,113,0
2021-03-24,31,89,3
2021-03-25,30,91,0
2021-03-26,33,33,3
2021-03-27,29,6,0
2021-03-28,6,8,0
2021-03-29,46,62,0
2021-03-30,42,80,1
2021-03-31,46,101,1
2021-04-01,64,75,0
2021-04-02,53,81,1
2021-04-03,10,15,2
2021-04-04,1,12,0
2021-04-05,33,61,1
2021-04-06,56,52,1
2021-04-07,51,89,2
2021-04-08,38,93,0
2021-04-09,38,72,0
2021-04-10,17,14,0
2021-04-11,7,5,1
2021-04-12,30,47,1
2021-04-13,72,74,0
2021-04-14,58,79,1
2021-04-15,88,77,2
2021-04-16,54,70,0
2021-04-17,12,18,0
2021-04-18,6,9,0
2021-04-19,33,94,1
2021-04-20,51,104,2
2021-04-21,73,96,0
2021-04-22,56,95,2
2021-04-23,44,87,0
2021-04-24,12,15,0
2021-04-25,12,7,0
2021-04-26,38,61,3
2021-04-27,87,65,1
2021-04-28,43,86,0
2021-04-29,60,52,1
2021-04-30,56,75,6
2021-05-01,25,12,1
2021-05-02,15,7,0
2021-05-03,38,59,2
2021-05-04,46,71,1
2021-05-05,38,72,0
2021-05-06,62,83,0
2021-05-07,52,81,0
2021-05-08,14,31,1
2021-05-09,4,12,0
2021-05-10,35,62,0
2021-05-11,59,85,0
2021-05-12,73,89,0
2021-05-13,72,94,1
2021-05-14,61,61,1
2021-05-15,10,37,1
2021-05-16,2,12,0
2021-05-17,41,92,0
2021-05-18,39,76,1
2021-05-19,32,80,0
2021-05-20,40,76,0
2021-05-21,68,102,1
2021-05-22,24,21,0
2021-05-23,11,8,0
2021-05-24,24,53,1
2021-05-25,46,82,1
2021-05-26,43,101,0
2021-05-27,39,94,0
2021-05-28,16,39,0
2021-05-29,6,6,0
2021-05-30,6,4,0
2021-05-31,7,23,0
2021-06-01,30,53,1
2021-06-02,52,70,1
2021-06-03,33,85,0
2021-06-04,55,70,0
2021-06-05,22,12,0
2021-06-06,6,5,0
2021-06-07,21,51,0
2021-06-08,47,89,1
2021-06-09,48,100,0
2021-06-10,38,80,0
2021-06-11,37,84,0
2021-06-12,9,17,0
2021-06-13,5,6,0
2021-06-14,20,58,1
2021-06-15,38,92,1
2021-06-16,33,71,0
2021-06-17,54,97,1
2021-06-18,29,114,0
2021-06-19,8,15,0
2021-06-20,4,10,0
2021-06-21,28,79,2
2021-06-22,47,85,2
2021-06-23,50,98,0
2021-06-24,50,104,1
2021-06-25,46,71,1
2021-06-26,9,18,0
2021-06-27,2,3,0
2021-06-28,39,49,1
2021-06-29,34,78,3
2021-06-30,53,77,4
2021-07-01,35,78,0
2021-07-02,11,62,1
2021-07-03,7,9,0
2021-07-04,0,8,0
2021-07-05,0,37,0
2021-07-06,13,48,3
2021-07-07,54,71,1
2021-07-08,38,106,1
2021-07-09,50,77,0
2021-07-10,18,21,0
2021-07-11,10,11,0
2021-07-12,35,53,0
2021-07-13,20,73,2
2021-07-14,21,97,0
2021-07-15,25,93,0
2021-07-16,35,84,1
2021-07-17,5,15,0
2021-07-18,9,2,0
2021-07-19,27,57,0
2021-07-20,51,64,0
2021-07-21,41,73,0
2021-07-22,37,81,0
2021-07-23,35,72,0
2021-07-24,12,19,0
2021-07-25,3,4,0
2021-07-26,36,57,1
2021-07-27,46,79,0
2021-07-28,32,76,1
2021-07-29,28,81,0
2021-07-30,43,81,1
2021-07-31,7,36,0
2021-08-01,1,16,0
2021-08-02,27,90,1
2021-08-03,49,79,0
2021-08-04,28,77,2
2021-08-05,28,77,0
2021-08-06,28,80,0
2021-08-07,7,30,0
2021-08-08,0,11,0
2021-08-09,34,69,2
2021-08-10,35,97,0
2021-08-11,27,94,0
2021-08-12,19,79,1
2021-08-13,36,92,1
2021-08-14,8,22,2
2021-08-15,5,9,0
2021-08-16,29,52,0
2021-08-17,36,70,1
2021-08-18,50,88,1
2021-08-19,34,57,2
2021-08-20,34,57,0
2021-08-21,8,19,1
2021-08-22,1,12,0
2021-08-23,15,59,1
2021-08-24,45,75,1
2021-08-25,45,78,1
2021-08-26,41,62,1
2021-08-27,42,57,0
2021-08-28,9,19,0
2021-08-29,8,5,0
2021-08-30,35,44,0
2021-08-31,34,52,0
2021-09-01,44,53,0
2021-09-02,48,49,0
2021-09-03,11,49,0
2021-09-04,3,22,0
2021-09-05,6,14,1
2021-09-06,1,23,1
2021-09-07,24,57,0
2021-09-08,48,63,1
2021-09-09,37,88,1
2021-09-10,30,85,2
2021-09-11,9,32,0
2021-09-12,6,13,0
2021-09-13,29,84,1
2021-09-14,37,82,1
2021-09-15,41,48,0
2021-09-16,29,84,1
2021-09-17,56,81,1
2021-09-18,12,22,0
2021-09-19,0,9,0
2021-09-20,18,33,1
2021-09-21,34,74,0
2021-09-22,34,69,1
2021-09-23,28,92,2
2021-09-24,39,63,1
2021-09-25,10,18,0
2021-09-26,1,8,0
2021-09-27,13,58,0
2021-09-28,27,57,7
2021-09-29,32,64,2
2021-09-30,34,72,1
2021-10-01,62,67,0
2021-10-02,13,34,0
2021-10-03,4,8,0
2021-10-04,6,48,1
2021-10-05,33,77,1
2021-10-06,39,104,1
2021-10-07,35,72,1
2021-10-08,53,72,2
2021-10-09,26,38,1
2021-10-10,9,12,0
2021-10-11,27,70,0
2021-10-12,31,103,1
2021-10-13,45,54,2
2021-10-14,29,73,3
2021-10-15,38,181,2
2021-10-16,5,23,0
2021-10-17,6,13,1
2021-10-18,34,58,2
2021-10-19,54,89,4
2021-10-20,43,105,3
2021-10-21,34,136,1
2021-10-22,39,40,0
2021-10-23,10,9,0
2021-10-24,5,28,0
2021-10-25,29,61,0
2021-10-26,40,75,0
2021-10-27,32,50,3
2021-10-28,56,69,4
2021-10-29,39,58,1
2021-10-30,8,17,9
2021-10-31,3,29,1
2021-11-01,19,59,2
2021-11-02,27,67,0
2021-11-03,46,66,3
2021-11-04,38,71,2
2021-11-05,39,45,0
2021-11-06,4,27,1
2021-11-07,2,10,0
2021-11-08,25,75,0
2021-11-09,41,77,0
2021-11-10,27,65,1
2021-11-11,37,83,0
2021-11-12,20,90,0
2021-11-13,11,25,0
2021-11-14,1,7,0
2021-11-15,20,54,1
2021-11-16,39,71,0
2021-11-17,33,60,1
2021-11-18,25,63,4
2021-11-19,42,104,2
2021-11-20,18,17,0
2021-11-21,11,11,2
2021-11-22,13,49,2
2021-11-23,21,65,1
2021-11-24,20,56,1
2021-11-25,3,32,2
2021-11-26,0,26,1
2021-11-27,1,9,0
2021-11-28,2,10,0
2021-11-29,24,51,2
2021-11-30,52,69,0
2021-12-01,30,62,1
2021-12-02,59,56,3
2021-12-03,30,56,0
2021-12-04,10,73,0
2021-12-05,1,16,0
2021-12-06,20,68,0
2021-12-07,37,84,0
2021-12-08,37,71,0
2021-12-09,28,68,0
2021-12-10,25,53,0
2021-12-11,7,29,0
2021-12-12,9,10,0
2021-12-13,5,63,0
2021-12-14,44,88,2
2021-12-15,34,72,0
2021-12-16,39,51,1
2021-12-17,47,29,1
2021-12-18,8,11,0
2021-12-19,7,5,0
2021-12-20,17,44,0
2021-12-21,32,44,2
2021-12-22,34,60,0
2021-12-23,27,59,1
