,nwjs/nw.js,electron/electron,AvaloniaUI/Avalonia
2021-12-05,1,0,10
2021-12-06,0,4,21
2021-12-07,0,3,17
2021-12-08,0,1,1
2021-12-09,0,1,14
2021-12-10,0,1,9
2021-12-11,0,0,5
2021-12-12,0,0,7
2021-12-13,0,2,17
2021-12-14,0,2,2
2021-12-15,0,2,8
2021-12-16,0,2,5
2021-12-17,0,1,17
2021-12-18,1,1,13
2021-12-19,4,0,14
2021-12-20,3,1,18
2021-12-21,6,1,4
2021-12-22,0,1,25
2021-12-23,0,1,28
2021-12-24,0,0,4
2021-12-25,13,0,7
2021-12-26,1,0,2
2021-12-27,0,2,14
2021-12-28,0,1,4
2021-12-29,0,1,4
2021-12-30,0,0,16
2021-12-31,0,1,10
2022-01-01,0,0,8
2022-01-02,1,0,2
2022-01-03,2,7,20
2022-01-04,1,3,6
2022-01-05,1,3,9
2022-01-06,2,7,3
2022-01-07,0,4,7
2022-01-08,10,0,0
2022-01-09,2,0,0
2022-01-10,2,7,2
2022-01-11,0,3,10
2022-01-12,0,5,5
2022-01-13,0,7,9
2022-01-14,0,1,5
2022-01-15,0,0,1
2022-01-16,0,0,20
2022-01-17,0,5,14
2022-01-18,0,4,10
2022-01-19,0,3,13
2022-01-20,0,4,20
2022-01-21,0,4,8
2022-01-22,0,0,19
2022-01-23,0,0,13
2022-01-24,0,5,20
2022-01-25,0,6,17
2022-01-26,0,6,22
2022-01-27,0,4,25
2022-01-28,0,2,21
2022-01-29,0,0,5
2022-01-30,0,0,13
2022-01-31,0,6,18
2022-02-01,3,6,13
2022-02-02,0,7,15
2022-02-03,0,3,25
2022-02-04,0,1,7
2022-02-05,0,0,7
2022-02-06,0,0,0
2022-02-07,2,2,11
2022-02-08,0,5,14
2022-02-09,0,4,3
2022-02-10,0,2,6
2022-02-11,1,5,5
2022-02-12,0,0,7
2022-02-13,0,0,3
2022-02-14,0,2,6
2022-02-15,0,3,25
2022-02-16,0,2,17
2022-02-17,0,5,5
2022-02-18,0,2,1
2022-02-19,0,0,2
2022-02-20,7,0,15
2022-02-21,3,6,7
2022-02-22,2,2,5
2022-02-23,0,5,7
2022-02-24,0,3,13
2022-02-25,0,2,12
2022-02-26,0,0,1
2022-02-27,0,0,0
2022-02-28,1,3,16
2022-03-01,0,3,9
2022-03-02,0,3,22
2022-03-03,0,4,2
2022-03-04,0,1,0
2022-03-05,2,1,7
2022-03-06,2,0,10
2022-03-07,0,7,11
2022-03-08,0,8,8
2022-03-09,0,5,6
2022-03-10,1,1,55
2022-03-11,0,3,19
2022-03-12,0,1,9
2022-03-13,2,0,0
2022-03-14,0,2,12
2022-03-15,0,5,19
2022-03-16,0,9,9
2022-03-17,0,4,10
2022-03-18,0,1,6
2022-03-19,0,2,12
2022-03-20,1,0,3
2022-03-21,2,13,38
2022-03-22,3,9,17
2022-03-23,0,10,20
2022-03-24,0,4,2
2022-03-25,0,5,7
2022-03-26,1,0,2
2022-03-27,2,0,20
2022-03-28,0,8,18
2022-03-29,14,13,11
2022-03-30,6,9,15
2022-03-31,1,3,8
2022-04-01,0,2,3
2022-04-02,0,0,4
2022-04-03,0,0,9
2022-04-04,0,17,23
2022-04-05,0,5,8
2022-04-06,0,4,11
2022-04-07,0,4,7
2022-04-08,0,2,7
2022-04-09,0,0,23
2022-04-10,2,0,25
2022-04-11,0,8,18
2022-04-12,1,12,20
2022-04-13,1,8,15
2022-04-14,1,5,44
2022-04-15,0,5,32
2022-04-16,0,0,29
2022-04-17,0,0,15
2022-04-18,2,7,8
2022-04-19,0,1,3
2022-04-20,0,4,16
2022-04-21,1,4,20
2022-04-22,0,6,5
2022-04-23,0,0,3
2022-04-24,0,0,0
2022-04-25,0,5,3
2022-04-26,0,2,9
2022-04-27,4,5,11
2022-04-28,2,4,23
2022-04-29,0,3,11
2022-04-30,0,1,0
2022-05-01,1,0,0
2022-05-02,3,5,4
2022-05-03,0,6,10
2022-05-04,0,5,20
2022-05-05,0,5,20
2022-05-06,1,8,23
2022-05-07,0,0,1
2022-05-08,0,0,3
2022-05-09,0,5,12
2022-05-10,0,9,32
2022-05-11,0,10,6
2022-05-12,0,4,6
2022-05-13,0,2,10
2022-05-14,1,0,2
2022-05-15,2,0,13
2022-05-16,0,3,11
2022-05-17,0,5,37
2022-05-18,0,2,34
2022-05-19,0,4,9
2022-05-20,0,1,5
2022-05-21,0,0,1
2022-05-22,0,1,1
2022-05-23,0,10,2
2022-05-24,0,4,19
2022-05-25,0,6,40
2022-05-26,0,1,19
2022-05-27,0,1,26
2022-05-28,0,0,22
2022-05-29,0,0,5
2022-05-30,11,3,28
2022-05-31,1,3,40
2022-06-01,1,7,29
2022-06-02,1,7,30
2022-06-03,0,3,64
2022-06-04,0,0,11
2022-06-05,0,0,12
2022-06-06,1,4,8
2022-06-07,0,8,2
2022-06-08,0,3,17
2022-06-09,2,3,11
2022-06-10,2,2,22
2022-06-11,0,0,8
2022-06-12,0,0,2
2022-06-13,0,8,1
2022-06-14,0,5,0
2022-06-15,2,2,3
2022-06-16,7,3,4
2022-06-17,0,2,2
2022-06-18,0,0,0
2022-06-19,2,0,3
2022-06-20,0,8,3
2022-06-21,1,8,20
2022-06-22,0,11,28
2022-06-23,0,3,7
2022-06-24,0,1,26
2022-06-25,0,0,5
2022-06-26,0,0,12
2022-06-27,0,5,29
2022-06-28,2,10,13
2022-06-29,0,10,4
2022-06-30,0,2,14
2022-07-01,0,1,2
2022-07-02,0,0,9
2022-07-03,0,0,10
2022-07-04,0,1,30
2022-07-05,0,6,11
2022-07-06,0,1,32
2022-07-07,0,3,15
2022-07-08,2,3,18
2022-07-09,2,0,9
2022-07-10,0,0,6
2022-07-11,0,7,73
2022-07-12,0,4,23
2022-07-13,0,4,23
2022-07-14,0,3,7
2022-07-15,0,5,31
2022-07-16,0,0,2
2022-07-17,0,0,1
2022-07-18,0,1,14
2022-07-19,0,7,17
2022-07-20,0,6,18
2022-07-21,0,5,20
2022-07-22,0,1,37
2022-07-23,0,0,14
2022-07-24,0,0,16
2022-07-25,0,5,19
2022-07-26,0,11,19
2022-07-27,0,9,20
2022-07-28,9,2,15
2022-07-29,8,4,19
2022-07-30,4,0,6
2022-07-31,0,0,4
2022-08-01,2,5,11
2022-08-02,1,6,27
2022-08-03,0,12,29
2022-08-04,4,4,19
2022-08-05,3,5,10
2022-08-06,0,1,7
2022-08-07,0,0,13
2022-08-08,0,4,5
2022-08-09,2,4,23
2022-08-10,2,2,17
2022-08-11,0,3,10
2022-08-12,0,1,7
