,4ian/GDevelop,godotengine/godot,MonoGame/MonoGame
2017-04-10,2,18,1
2017-04-11,0,7,0
2017-04-12,1,4,0
2017-04-13,0,4,0
2017-04-14,0,14,0
2017-04-15,3,4,0
2017-04-16,0,6,1
2017-04-17,1,15,0
2017-04-18,0,6,0
2017-04-19,0,3,0
2017-04-20,0,9,0
2017-04-21,0,1,1
2017-04-22,0,0,0
2017-04-23,0,6,0
2017-04-24,0,22,5
2017-04-25,0,9,1
2017-04-26,0,19,6
2017-04-27,2,8,0
2017-04-28,2,10,0
2017-04-29,3,5,0
2017-04-30,0,2,2
2017-05-01,0,4,6
2017-05-02,0,19,14
2017-05-03,0,2,5
2017-05-04,0,3,0
2017-05-05,0,13,1
2017-05-06,1,8,1
2017-05-07,0,5,0
2017-05-08,0,9,0
2017-05-09,2,5,4
2017-05-10,0,1,0
2017-05-11,0,5,0
2017-05-12,0,13,0
2017-05-13,2,2,0
2017-05-14,1,7,0
2017-05-15,0,9,4
2017-05-16,1,5,2
2017-05-17,0,7,0
2017-05-18,2,14,0
2017-05-19,0,8,0
2017-05-20,4,16,0
2017-05-21,5,2,0
2017-05-22,0,17,2
2017-05-23,0,16,0
2017-05-24,0,5,0
2017-05-25,1,12,2
2017-05-26,3,11,0
2017-05-27,2,25,3
2017-05-28,0,12,7
2017-05-29,0,8,0
2017-05-30,0,6,0
2017-05-31,0,10,0
2017-06-01,3,5,1
2017-06-02,0,1,2
2017-06-03,4,4,1
2017-06-04,2,7,0
2017-06-05,1,10,0
2017-06-06,0,2,4
2017-06-07,0,17,0
2017-06-08,3,14,0
2017-06-09,0,5,0
2017-06-10,0,3,0
2017-06-11,6,7,0
2017-06-12,0,11,1
2017-06-13,3,11,5
2017-06-14,0,21,0
2017-06-15,0,13,2
2017-06-16,2,25,0
2017-06-17,5,16,2
2017-06-18,3,3,0
2017-06-19,2,21,0
2017-06-20,1,10,0
2017-06-21,2,2,0
2017-06-22,1,14,9
2017-06-23,0,11,1
2017-06-24,0,19,0
2017-06-25,0,25,0
2017-06-26,0,30,1
2017-06-27,2,13,4
2017-06-28,0,10,0
2017-06-29,0,4,0
2017-06-30,1,5,0
2017-07-01,1,12,0
2017-07-02,5,4,1
2017-07-03,2,18,1
2017-07-04,1,4,0
2017-07-05,0,18,0
2017-07-06,0,9,0
2017-07-07,0,4,0
2017-07-08,0,23,1
2017-07-09,3,4,0
2017-07-10,0,16,0
2017-07-11,1,19,0
2017-07-12,1,8,0
2017-07-13,0,12,1
2017-07-14,2,6,2
2017-07-15,3,10,1
2017-07-16,4,7,3
2017-07-17,2,19,2
2017-07-18,8,20,1
2017-07-19,0,13,2
2017-07-20,0,8,4
2017-07-21,0,7,5
2017-07-22,0,25,0
2017-07-23,4,31,2
2017-07-24,0,26,0
2017-07-25,1,36,0
2017-07-26,0,28,2
2017-07-27,0,24,0
2017-07-28,1,20,1
2017-07-29,1,10,1
2017-07-30,1,10,11
2017-07-31,3,16,1
2017-08-01,8,16,1
2017-08-02,3,17,0
2017-08-03,7,13,0
2017-08-04,0,13,1
2017-08-05,0,11,0
2017-08-06,0,11,0
2017-08-07,0,46,0
2017-08-08,1,25,0
2017-08-09,0,15,0
2017-08-10,1,11,5
2017-08-11,0,24,2
2017-08-12,0,10,4
2017-08-13,0,21,2
2017-08-14,4,11,2
2017-08-15,3,25,0
2017-08-16,2,33,2
2017-08-17,3,17,0
2017-08-18,0,23,1
2017-08-19,1,36,0
2017-08-20,8,23,0
2017-08-21,0,37,2
2017-08-22,0,42,2
2017-08-23,0,21,0
2017-08-24,1,17,2
2017-08-25,0,14,0
2017-08-26,18,30,0
2017-08-27,0,47,2
2017-08-28,3,16,4
2017-08-29,6,37,6
2017-08-30,0,37,3
2017-08-31,0,43,1
2017-09-01,0,33,1
2017-09-02,0,25,0
2017-09-03,0,21,0
2017-09-04,0,49,0
2017-09-05,1,20,0
2017-09-06,0,14,0
2017-09-07,4,20,2
2017-09-08,0,10,2
2017-09-09,2,17,2
2017-09-10,0,12,0
2017-09-11,3,33,3
2017-09-12,2,78,3
2017-09-13,0,43,0
2017-09-14,0,31,6
2017-09-15,0,17,2
2017-09-16,6,25,1
2017-09-17,0,93,0
2017-09-18,0,15,0
2017-09-19,4,32,2
2017-09-20,2,22,0
2017-09-21,0,24,4
2017-09-22,0,26,0
2017-09-23,2,20,0
2017-09-24,5,39,2
2017-09-25,0,43,4
2017-09-26,2,23,0
2017-09-27,1,13,3
2017-09-28,0,14,0
2017-09-29,0,15,3
2017-09-30,2,17,0
2017-10-01,9,21,0
2017-10-02,0,50,0
2017-10-03,0,24,1
2017-10-04,2,22,2
2017-10-05,0,13,2
2017-10-06,0,22,0
2017-10-07,3,30,0
2017-10-08,7,18,0
2017-10-09,2,47,0
2017-10-10,0,20,0
2017-10-11,0,28,0
2017-10-12,3,17,2
2017-10-13,0,28,4
2017-10-14,1,29,0
2017-10-15,8,33,8
2017-10-16,0,17,0
2017-10-17,1,18,0
2017-10-18,1,11,0
2017-10-19,0,12,0
2017-10-20,0,40,0
2017-10-21,3,37,0
2017-10-22,14,47,0
2017-10-23,0,34,0
2017-10-24,4,19,0
2017-10-25,0,13,0
2017-10-26,2,12,1
2017-10-27,0,19,0
2017-10-28,3,13,0
2017-10-29,0,26,0
2017-10-30,0,28,2
2017-10-31,2,29,0
2017-11-01,3,17,0
2017-11-02,6,8,1
2017-11-03,1,11,0
2017-11-04,0,16,0
2017-11-05,5,16,0
2017-11-06,2,15,0
2017-11-07,3,12,0
2017-11-08,4,20,1
2017-11-09,2,28,1
2017-11-10,0,36,1
2017-11-11,3,14,1
2017-11-12,6,29,0
2017-11-13,0,43,0
2017-11-14,2,17,1
2017-11-15,2,18,1
2017-11-16,1,28,1
2017-11-17,0,22,0
2017-11-18,2,14,0
2017-11-19,9,64,0
2017-11-20,1,71,0
2017-11-21,2,39,3
2017-11-22,1,22,1
2017-11-23,0,13,4
2017-11-24,3,34,2
2017-11-25,0,26,0
2017-11-26,1,44,2
2017-11-27,5,17,2
2017-11-28,1,15,2
2017-11-29,0,18,0
2017-11-30,0,14,0
2017-12-01,0,17,1
2017-12-02,0,6,0
2017-12-03,3,10,1
2017-12-04,2,23,1
2017-12-05,2,25,0
2017-12-06,4,56,0
2017-12-07,0,35,0
2017-12-08,0,22,0
2017-12-09,6,66,0
2017-12-10,2,50,0
2017-12-11,1,24,0
2017-12-12,2,13,1
2017-12-13,0,18,1
2017-12-14,0,25,1
2017-12-15,3,46,0
2017-12-16,10,46,0
2017-12-17,3,56,0
2017-12-18,0,19,0
2017-12-19,1,26,0
2017-12-20,3,24,0
2017-12-21,0,17,0
2017-12-22,1,15,0
2017-12-23,9,15,0
2017-12-24,13,14,1
2017-12-25,5,26,0
2017-12-26,3,24,0
2017-12-27,0,25,0
