,carla-simulator/carla,commaai/openpilot,apolloauto/apollo
2021-07-04,5,1,0
2021-07-05,0,4,35
2021-07-06,1,10,1
2021-07-07,0,6,0
2021-07-08,0,19,0
2021-07-09,0,11,0
2021-07-10,0,12,0
2021-07-11,0,9,0
2021-07-12,2,12,0
2021-07-13,11,15,0
2021-07-14,0,19,1
2021-07-15,5,12,0
2021-07-16,4,8,0
2021-07-17,0,8,0
2021-07-18,0,3,0
2021-07-19,0,11,0
2021-07-20,16,4,8
2021-07-21,5,4,2
2021-07-22,0,9,43
2021-07-23,11,10,3
2021-07-24,0,7,0
2021-07-25,0,6,0
2021-07-26,11,9,2
2021-07-27,12,16,4
2021-07-28,24,15,4
2021-07-29,49,11,0
2021-07-30,14,17,2
2021-07-31,1,3,0
2021-08-01,0,0,0
2021-08-02,8,10,2
2021-08-03,0,20,2
2021-08-04,0,11,0
2021-08-05,0,8,12
2021-08-06,1,6,0
2021-08-07,2,1,0
2021-08-08,0,2,0
2021-08-09,0,4,2
2021-08-10,3,6,3
2021-08-11,0,4,2
2021-08-12,0,9,4
2021-08-13,0,9,10
2021-08-14,0,0,0
2021-08-15,0,2,0
2021-08-16,0,5,2
2021-08-17,0,6,1
2021-08-18,0,10,1
2021-08-19,0,13,1
2021-08-20,0,10,1
2021-08-21,0,3,0
2021-08-22,0,6,0
2021-08-23,0,5,0
2021-08-24,0,5,0
2021-08-25,0,4,0
2021-08-26,0,5,0
2021-08-27,0,2,0
2021-08-28,0,4,0
2021-08-29,0,3,0
2021-08-30,2,15,0
2021-08-31,0,22,1
2021-09-01,0,13,2
2021-09-02,3,11,5
2021-09-03,0,7,0
2021-09-04,0,4,1
2021-09-05,0,0,0
2021-09-06,0,11,1
2021-09-07,0,20,0
2021-09-08,0,9,0
2021-09-09,6,6,1
2021-09-10,0,8,1
2021-09-11,0,4,1
2021-09-12,0,8,0
2021-09-13,0,6,0
2021-09-14,0,19,1
2021-09-15,1,9,0
2021-09-16,20,11,0
2021-09-17,0,10,0
2021-09-18,0,5,0
2021-09-19,0,10,0
2021-09-20,2,4,0
2021-09-21,0,10,0
2021-09-22,0,7,0
2021-09-23,0,15,0
2021-09-24,0,14,0
2021-09-25,0,4,0
2021-09-26,0,0,0
2021-09-27,0,4,0
2021-09-28,3,12,0
2021-09-29,0,13,0
2021-09-30,0,7,0
2021-10-01,0,8,0
2021-10-02,0,2,0
2021-10-03,0,2,0
2021-10-04,1,20,0
2021-10-05,5,7,0
2021-10-06,0,7,0
2021-10-07,0,24,0
2021-10-08,0,11,0
2021-10-09,0,4,1
2021-10-10,0,10,0
2021-10-11,1,10,0
2021-10-12,0,11,1
2021-10-13,0,8,0
2021-10-14,0,13,0
2021-10-15,0,11,0
2021-10-16,0,9,0
2021-10-17,0,2,0
2021-10-18,6,15,1
2021-10-19,0,10,0
2021-10-20,0,12,0
2021-10-21,0,12,0
2021-10-22,0,4,0
2021-10-23,0,8,0
2021-10-24,0,1,0
2021-10-25,0,10,1
2021-10-26,4,13,0
2021-10-27,1,11,2
2021-10-28,1,14,0
2021-10-29,0,18,0
2021-10-30,0,7,0
2021-10-31,0,3,0
2021-11-01,0,12,1
2021-11-02,0,11,1
2021-11-03,1,1,0
2021-11-04,0,14,1
2021-11-05,17,7,0
2021-11-06,0,0,0
2021-11-07,0,1,0
2021-11-08,9,13,1
2021-11-09,11,10,0
2021-11-10,3,14,0
2021-11-11,1,11,1
2021-11-12,0,16,0
2021-11-13,0,7,0
2021-11-14,0,5,0
2021-11-15,3,6,0
2021-11-16,0,19,1
2021-11-17,0,29,0
2021-11-18,0,22,0
2021-11-19,2,15,1
2021-11-20,0,5,1
2021-11-21,0,7,0
2021-11-22,0,5,4
2021-11-23,0,5,0
2021-11-24,0,13,0
2021-11-25,0,2,1
2021-11-26,0,10,2
2021-11-27,0,3,0
2021-11-28,0,6,0
2021-11-29,0,18,1
2021-11-30,0,11,1
2021-12-01,0,10,1
2021-12-02,0,15,4
2021-12-03,0,7,0
2021-12-04,0,6,0
2021-12-05,0,12,0
2021-12-06,0,10,0
2021-12-07,0,11,0
2021-12-08,0,15,0
2021-12-09,0,11,0
2021-12-10,0,2,0
2021-12-11,0,8,2
2021-12-12,0,5,0
2021-12-13,0,7,0
2021-12-14,0,20,0
2021-12-15,0,15,0
2021-12-16,0,9,0
2021-12-17,0,4,6
2021-12-18,0,3,0
2021-12-19,0,1,0
2021-12-20,0,2,0
2021-12-21,0,6,0
2021-12-22,0,3,0
2021-12-23,0,2,0
2021-12-24,0,4,3
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,5,3
2021-12-28,0,6,1
2021-12-29,0,1,0
2021-12-30,0,0,0
2021-12-31,0,1,0
2022-01-01,0,5,0
2022-01-02,0,8,0
2022-01-03,0,11,0
2022-01-04,0,40,0
2022-01-05,0,13,0
2022-01-06,0,8,0
2022-01-07,0,8,0
2022-01-08,0,2,0
2022-01-09,0,2,0
2022-01-10,0,16,0
2022-01-11,7,7,0
2022-01-12,0,11,0
2022-01-13,0,13,0
2022-01-14,0,22,1
2022-01-15,0,3,0
2022-01-16,0,2,0
2022-01-17,0,8,0
2022-01-18,0,9,0
2022-01-19,0,8,0
2022-01-20,0,6,0
2022-01-21,0,5,0
2022-01-22,0,6,0
2022-01-23,0,0,0
2022-01-24,0,7,0
2022-01-25,0,12,0
2022-01-26,0,8,0
2022-01-27,0,16,0
2022-01-28,0,15,0
2022-01-29,0,3,0
2022-01-30,0,7,0
2022-01-31,0,5,0
2022-02-01,0,4,0
2022-02-02,0,2,0
2022-02-03,7,5,0
2022-02-04,0,1,0
2022-02-05,0,5,0
2022-02-06,0,5,0
2022-02-07,0,4,0
2022-02-08,16,4,0
2022-02-09,0,6,0
2022-02-10,0,9,0
2022-02-11,0,11,0
2022-02-12,0,1,0
2022-02-13,0,1,0
2022-02-14,0,3,1
2022-02-15,0,5,0
2022-02-16,0,6,0
2022-02-17,0,4,1
2022-02-18,3,2,3
2022-02-19,0,4,0
2022-02-20,0,5,0
2022-02-21,0,9,6
2022-02-22,0,10,2
2022-02-23,0,13,4
2022-02-24,0,4,0
2022-02-25,0,3,1
2022-02-26,0,1,0
2022-02-27,0,2,2
2022-02-28,0,8,0
2022-03-01,0,2,1
2022-03-02,0,8,0
2022-03-03,1,5,0
2022-03-04,0,1,0
2022-03-05,0,3,0
2022-03-06,0,1,1
2022-03-07,1,9,2
2022-03-08,1,5,0
2022-03-09,0,5,2
2022-03-10,15,3,0
2022-03-11,0,6,1
2022-03-12,0,2,1
2022-03-13,0,2,5
2022-03-14,0,14,1
2022-03-15,0,2,7
2022-03-16,2,6,1
2022-03-17,0,10,0
2022-03-18,0,7,0
2022-03-19,0,4,1
2022-03-20,0,3,1
2022-03-21,0,4,1
2022-03-22,0,7,3
2022-03-23,0,6,0
2022-03-24,0,3,3
2022-03-25,0,8,0
2022-03-26,0,8,1
2022-03-27,0,4,0
2022-03-28,2,5,1
2022-03-29,0,2,0
2022-03-30,0,11,1
2022-03-31,3,6,1
2022-04-01,0,9,0
2022-04-02,0,3,0
2022-04-03,0,1,0
2022-04-04,1,6,0
2022-04-05,5,19,0
2022-04-06,2,12,4
2022-04-07,0,13,4
2022-04-08,0,2,1
2022-04-09,0,2,0
2022-04-10,0,1,0
2022-04-11,0,7,0
2022-04-12,2,6,1
2022-04-13,1,8,4
2022-04-14,5,6,0
2022-04-15,0,7,0
2022-04-16,0,4,0
2022-04-17,0,0,0
2022-04-18,0,8,0
2022-04-19,0,18,1
2022-04-20,1,19,2
2022-04-21,0,8,3
2022-04-22,0,8,0
2022-04-23,0,2,1
2022-04-24,0,4,5
2022-04-25,0,7,3
2022-04-26,16,9,2
2022-04-27,1,13,5
2022-04-28,0,7,2
2022-04-29,1,16,0
2022-04-30,0,4,0
2022-05-01,0,0,0
2022-05-02,1,9,1
2022-05-03,0,10,1
2022-05-04,1,12,1
2022-05-05,4,6,1
2022-05-06,0,15,0
2022-05-07,0,5,0
2022-05-08,0,1,0
2022-05-09,1,9,1
2022-05-10,0,6,4
2022-05-11,0,5,3
2022-05-12,0,20,0
2022-05-13,3,16,0
2022-05-14,0,5,0
2022-05-15,0,4,0
2022-05-16,1,20,1
2022-05-17,3,14,1
2022-05-18,1,13,7
2022-05-19,0,8,2
2022-05-20,0,7,0
2022-05-21,0,3,2
2022-05-22,0,1,3
2022-05-23,0,8,1
2022-05-24,1,11,2
2022-05-25,0,9,2
2022-05-26,2,5,0
2022-05-27,0,6,0
2022-05-28,0,1,0
2022-05-29,0,0,0
2022-05-30,0,6,0
2022-05-31,0,3,0
2022-06-01,2,8,0
2022-06-02,1,12,1
2022-06-03,1,19,2
2022-06-04,0,6,3
2022-06-05,0,0,1
2022-06-06,0,4,1
2022-06-07,0,5,5
2022-06-08,0,9,2
2022-06-09,0,11,1
2022-06-10,0,10,1
2022-06-11,0,10,0
2022-06-12,0,8,4
