,plotly/plotly.js,apache/echarts,highcharts/highcharts
2017-08-31,1,6.0,31
2017-09-01,3,2.0,16
2017-09-02,0,0.0,0
2017-09-03,0,0.0,0
2017-09-04,0,1.0,13
2017-09-05,7,0.0,15
2017-09-06,5,5.0,11
2017-09-07,1,0.0,2
2017-09-08,1,8.0,4
2017-09-09,0,0.0,0
2017-09-10,0,0.0,0
2017-09-11,1,2.0,11
2017-09-12,2,0.0,15
2017-09-13,25,2.0,21
2017-09-14,3,2.0,21
2017-09-15,6,6.0,14
2017-09-16,0,0.0,4
2017-09-17,0,0.0,0
2017-09-18,3,0.0,13
2017-09-19,15,0.0,9
2017-09-20,23,0.0,15
2017-09-21,4,0.0,4
2017-09-22,28,1.0,5
2017-09-23,0,0.0,0
2017-09-24,0,0.0,0
2017-09-25,9,5.0,9
2017-09-26,2,5.0,25
2017-09-27,10,4.0,14
2017-09-28,15,3.0,36
2017-09-29,3,0.0,41
2017-09-30,5,0.0,16
2017-10-01,0,0.0,3
2017-10-02,8,0.0,42
2017-10-03,20,0.0,19
2017-10-04,23,0.0,24
2017-10-05,27,0.0,13
2017-10-06,19,0.0,9
2017-10-07,0,0.0,11
2017-10-08,0,0.0,3
2017-10-09,12,2.0,0
2017-10-10,9,2.0,3
2017-10-11,0,5.0,1
2017-10-12,5,13.0,7
2017-10-13,1,3.0,11
2017-10-14,0,3.0,3
2017-10-15,1,0.0,13
2017-10-16,14,4.0,7
2017-10-17,9,2.0,10
2017-10-18,14,1.0,12
2017-10-19,14,0.0,13
2017-10-20,19,3.0,9
2017-10-21,0,0.0,1
2017-10-22,0,3.0,3
2017-10-23,23,2.0,6
2017-10-24,14,3.0,1
2017-10-25,7,0.0,0
2017-10-26,13,2.0,1
2017-10-27,8,1.0,0
2017-10-28,0,0.0,3
2017-10-29,0,0.0,4
2017-10-30,1,2.0,11
2017-10-31,15,6.0,11
2017-11-01,6,13.0,13
2017-11-02,25,3.0,9
2017-11-03,4,10.0,13
2017-11-04,0,2.0,4
2017-11-05,0,5.0,6
2017-11-06,1,9.0,7
2017-11-07,0,2.0,4
2017-11-08,1,9.0,7
2017-11-09,0,3.0,8
2017-11-10,0,10.0,11
2017-11-11,0,1.0,2
2017-11-12,0,4.0,0
2017-11-13,4,3.0,5
2017-11-14,6,1.0,8
2017-11-15,15,3.0,15
2017-11-16,12,2.0,5
2017-11-17,8,1.0,0
2017-11-18,0,0.0,0
2017-11-19,0,0.0,0
2017-11-20,6,1.0,6
2017-11-21,2,0.0,4
2017-11-22,3,0.0,5
2017-11-23,2,1.0,2
2017-11-24,4,1.0,0
2017-11-25,0,0.0,0
2017-11-26,0,0.0,0
2017-11-27,8,5.0,9
2017-11-28,6,7.0,1
2017-11-29,1,6.0,3
2017-11-30,0,1.0,0
2017-12-01,1,2.0,2
2017-12-02,0,3.0,0
2017-12-03,0,0.0,0
2017-12-04,1,5.0,10
2017-12-05,1,3.0,25
2017-12-06,1,7.0,11
2017-12-07,11,2.0,15
2017-12-08,14,5.0,5
2017-12-09,1,4.0,0
2017-12-10,0,0.0,0
2017-12-11,19,3.0,8
2017-12-12,1,1.0,12
2017-12-13,0,0.0,1
2017-12-14,0,6.0,15
2017-12-15,17,4.0,13
2017-12-16,1,0.0,0
2017-12-17,0,0.0,0
2017-12-18,13,2.0,10
2017-12-19,8,19.0,16
2017-12-20,6,10.0,11
2017-12-21,1,12.0,7
2017-12-22,6,1.0,12
2017-12-23,1,0.0,0
2017-12-24,0,1.0,0
2017-12-25,0,4.0,0
2017-12-26,0,17.0,0
2017-12-27,1,17.0,0
2017-12-28,4,16.0,0
2017-12-29,9,12.0,0
2017-12-30,7,9.0,0
2017-12-31,0,14.0,0
2018-01-01,0,1.0,0
2018-01-02,0,7.0,12
2018-01-03,6,1.0,1
2018-01-04,10,16.0,2
2018-01-05,1,5.0,5
2018-01-06,0,2.0,0
2018-01-07,1,0.0,1
2018-01-08,4,8.0,7
2018-01-09,4,12.0,8
2018-01-10,10,6.0,11
2018-01-11,21,19.0,2
2018-01-12,4,26.0,9
2018-01-13,0,24.0,0
2018-01-14,0,11.0,0
2018-01-15,11,22.0,13
2018-01-16,6,2.0,4
2018-01-17,35,9.0,2
2018-01-18,27,2.0,0
2018-01-19,9,1.0,1
2018-01-20,1,0.0,0
2018-01-21,1,0.0,0
2018-01-22,11,1.0,5
2018-01-23,12,5.0,14
2018-01-24,10,2.0,10
2018-01-25,9,0.0,16
2018-01-26,6,0.0,23
