,seaweedfs/seaweedfs,minio/minio,ceph/ceph
2019-01-31,0,3,85.0
2019-02-01,0,4,33.0
2019-02-02,0,1,18.0
2019-02-03,0,0,17.0
2019-02-04,0,1,19.0
2019-02-05,0,4,29.0
2019-02-06,2,7,24.0
2019-02-07,0,2,123.0
2019-02-08,0,1,31.0
2019-02-09,3,4,5.0
2019-02-10,2,2,1.0
2019-02-11,0,3,31.0
2019-02-12,0,7,61.0
2019-02-13,0,5,82.0
2019-02-14,2,3,57.0
2019-02-15,5,2,40.0
2019-02-16,4,1,23.0
2019-02-17,0,0,8.0
2019-02-18,3,0,28.0
2019-02-19,7,1,68.0
2019-02-20,4,5,63.0
2019-02-21,0,4,119.0
2019-02-22,0,0,39.0
2019-02-23,0,2,8.0
2019-02-24,0,2,3.0
2019-02-25,6,2,55.0
2019-02-26,2,3,25.0
2019-02-27,2,4,49.0
2019-02-28,2,3,54.0
2019-03-01,0,1,59.0
2019-03-02,1,0,11.0
2019-03-03,1,1,8.0
2019-03-04,5,1,40.0
2019-03-05,0,4,27.0
2019-03-06,3,4,28.0
2019-03-07,0,2,41.0
2019-03-08,0,2,46.0
2019-03-09,1,1,14.0
2019-03-10,0,0,27.0
2019-03-11,5,0,42.0
2019-03-12,0,1,52.0
2019-03-13,0,2,34.0
2019-03-14,2,6,29.0
2019-03-15,7,0,81.0
2019-03-16,5,0,29.0
2019-03-17,0,2,10.0
2019-03-18,8,3,21.0
2019-03-19,3,3,31.0
2019-03-20,10,4,94.0
2019-03-21,2,3,109.0
2019-03-22,0,0,88.0
2019-03-23,5,1,9.0
2019-03-24,0,0,6.0
2019-03-25,3,7,45.0
2019-03-26,6,2,51.0
2019-03-27,2,4,36.0
2019-03-28,3,1,29.0
2019-03-29,0,0,162.0
2019-03-30,2,0,6.0
2019-03-31,5,1,4.0
2019-04-01,3,1,27.0
2019-04-02,2,5,49.0
2019-04-03,1,2,49.0
2019-04-04,1,5,36.0
2019-04-05,11,2,63.0
2019-04-06,17,0,4.0
2019-04-07,3,0,7.0
2019-04-08,1,2,62.0
2019-04-09,12,4,40.0
2019-04-10,2,3,17.0
2019-04-11,10,0,37.0
2019-04-12,3,4,54.0
2019-04-13,0,1,21.0
2019-04-14,0,0,8.0
2019-04-15,3,0,23.0
2019-04-16,14,0,55.0
2019-04-17,2,2,46.0
2019-04-18,4,7,27.0
2019-04-19,9,1,13.0
2019-04-20,4,0,13.0
2019-04-21,12,0,2.0
2019-04-22,1,2,34.0
2019-04-23,0,3,33.0
2019-04-24,9,2,58.0
