,4ian/GDevelop,godotengine/godot,MonoGame/MonoGame
2021-07-10,4,11,0
2021-07-11,6,17,0
2021-07-12,3,27,0
2021-07-13,5,43,0
2021-07-14,4,12,0
2021-07-15,2,30,0
2021-07-16,0,10,0
2021-07-17,1,19,0
2021-07-18,0,10,0
2021-07-19,2,25,0
2021-07-20,3,45,0
2021-07-21,1,39,1
2021-07-22,1,23,1
2021-07-23,0,31,0
2021-07-24,0,17,0
2021-07-25,0,24,0
2021-07-26,0,41,0
2021-07-27,1,24,0
2021-07-28,0,15,0
2021-07-29,0,30,0
2021-07-30,0,45,0
2021-07-31,1,23,0
2021-08-01,3,22,0
2021-08-02,2,32,0
2021-08-03,3,32,0
2021-08-04,4,16,0
2021-08-05,3,25,0
2021-08-06,0,36,0
2021-08-07,1,19,0
2021-08-08,0,11,0
2021-08-09,1,40,0
2021-08-10,0,34,1
2021-08-11,1,48,0
2021-08-12,4,74,0
2021-08-13,2,56,1
2021-08-14,0,17,0
2021-08-15,0,12,0
2021-08-16,5,50,0
2021-08-17,4,44,0
2021-08-18,2,44,0
2021-08-19,3,19,0
2021-08-20,4,24,0
2021-08-21,0,13,0
2021-08-22,0,34,0
2021-08-23,3,34,0
2021-08-24,2,23,0
2021-08-25,2,34,0
2021-08-26,0,21,1
2021-08-27,3,34,0
2021-08-28,1,23,0
2021-08-29,0,15,0
2021-08-30,3,25,0
2021-08-31,2,21,3
2021-09-01,0,27,0
2021-09-02,0,20,1
2021-09-03,1,18,1
2021-09-04,0,5,0
2021-09-05,0,9,0
2021-09-06,3,18,0
2021-09-07,3,35,0
2021-09-08,0,19,0
2021-09-09,3,16,2
2021-09-10,0,24,1
2021-09-11,0,15,1
2021-09-12,0,12,0
2021-09-13,5,43,0
2021-09-14,2,57,0
2021-09-15,1,76,0
2021-09-16,3,41,0
2021-09-17,0,26,1
2021-09-18,2,9,3
2021-09-19,4,6,0
2021-09-20,1,41,0
2021-09-21,1,51,0
2021-09-22,7,31,0
2021-09-23,6,17,0
2021-09-24,8,43,0
2021-09-25,0,18,0
2021-09-26,0,13,0
2021-09-27,0,34,0
2021-09-28,0,35,0
2021-09-29,5,50,0
2021-09-30,6,44,0
2021-10-01,8,42,0
2021-10-02,0,7,0
2021-10-03,2,8,0
2021-10-04,4,47,0
2021-10-05,4,43,0
2021-10-06,2,34,0
2021-10-07,8,48,0
2021-10-08,4,30,0
2021-10-09,0,23,0
2021-10-10,0,7,0
2021-10-11,2,29,0
2021-10-12,0,43,0
2021-10-13,0,33,3
