,neovim/neovim,microsoft/vscode,pulsar-edit/pulsar
2017-08-06,16,1,4
2017-08-07,0,9,13
2017-08-08,1,24,11
2017-08-09,7,38,15
2017-08-10,5,24,8
2017-08-11,3,42,7
2017-08-12,12,13,15
2017-08-13,23,5,3
2017-08-14,7,33,8
2017-08-15,11,58,17
2017-08-16,25,50,21
2017-08-17,1,39,18
2017-08-18,7,50,15
2017-08-19,1,10,4
2017-08-20,7,11,5
2017-08-21,8,47,12
2017-08-22,12,46,14
2017-08-23,0,41,18
2017-08-24,4,39,9
2017-08-25,1,50,4
2017-08-26,5,19,5
2017-08-27,0,5,0
2017-08-28,0,96,14
2017-08-29,0,35,19
2017-08-30,3,72,14
2017-08-31,1,44,11
2017-09-01,0,29,6
2017-09-02,0,3,2
2017-09-03,3,11,0
2017-09-04,4,66,3
2017-09-05,15,34,11
2017-09-06,2,55,11
2017-09-07,1,62,13
2017-09-08,0,85,9
2017-09-09,7,11,15
2017-09-10,4,12,36
2017-09-11,2,36,5
2017-09-12,2,56,37
2017-09-13,1,55,4
2017-09-14,1,45,12
2017-09-15,0,62,8
2017-09-16,3,5,7
2017-09-17,12,12,5
2017-09-18,0,63,7
2017-09-19,1,80,33
2017-09-20,0,67,26
2017-09-21,0,70,22
2017-09-22,1,69,9
2017-09-23,5,7,8
2017-09-24,14,8,3
2017-09-25,0,90,9
2017-09-26,9,74,0
2017-09-27,8,88,19
2017-09-28,5,50,11
2017-09-29,0,25,9
2017-09-30,6,1,4
2017-10-01,6,1,5
2017-10-02,3,52,4
2017-10-03,2,45,15
2017-10-04,1,65,0
2017-10-05,4,44,19
2017-10-06,0,30,9
2017-10-07,9,4,4
2017-10-08,20,3,1
2017-10-09,3,21,4
2017-10-10,3,67,3
2017-10-11,0,49,6
2017-10-12,0,49,0
2017-10-13,0,62,4
2017-10-14,2,5,4
2017-10-15,39,2,10
2017-10-16,15,56,7
2017-10-17,4,39,15
2017-10-18,1,66,9
2017-10-19,8,43,19
2017-10-20,1,76,8
2017-10-21,7,14,7
2017-10-22,6,6,1
2017-10-23,0,42,31
2017-10-24,2,75,14
2017-10-25,1,67,33
2017-10-26,23,51,17
2017-10-27,6,74,5
2017-10-28,8,12,3
2017-10-29,34,16,4
2017-10-30,3,77,8
2017-10-31,6,38,19
2017-11-01,0,74,25
2017-11-02,1,40,32
2017-11-03,1,20,14
2017-11-04,3,4,2
2017-11-05,9,5,1
2017-11-06,21,67,17
2017-11-07,31,63,11
2017-11-08,4,85,7
2017-11-09,2,55,8
2017-11-10,7,67,1
2017-11-11,6,14,2
2017-11-12,10,7,3
2017-11-13,6,51,13
2017-11-14,4,88,9
2017-11-15,0,64,19
2017-11-16,3,53,9
2017-11-17,4,64,21
2017-11-18,5,5,6
2017-11-19,16,9,7
2017-11-20,4,65,16
2017-11-21,3,50,18
2017-11-22,11,42,7
2017-11-23,2,34,3
2017-11-24,5,43,0
2017-11-25,18,7,0
2017-11-26,9,1,0
2017-11-27,6,67,5
2017-11-28,4,29,6
2017-11-29,7,46,16
2017-11-30,4,83,8
2017-12-01,3,57,5
2017-12-02,7,9,1
2017-12-03,8,5,0
2017-12-04,0,92,24
2017-12-05,16,50,8
2017-12-06,5,69,7
2017-12-07,1,51,26
2017-12-08,0,19,11
2017-12-09,1,12,7
2017-12-10,26,6,12
2017-12-11,8,74,4
2017-12-12,3,82,0
2017-12-13,5,81,4
2017-12-14,1,53,3
2017-12-15,4,66,2
2017-12-16,5,8,4
2017-12-17,13,12,1
2017-12-18,10,57,1
2017-12-19,10,39,1
2017-12-20,1,49,4
2017-12-21,2,47,13
2017-12-22,0,19,10
2017-12-23,8,3,0
2017-12-24,12,2,2
2017-12-25,0,3,0
2017-12-26,3,5,6
2017-12-27,6,11,10
2017-12-28,6,18,3
2017-12-29,6,4,0
2017-12-30,8,0,2
2017-12-31,7,4,3
2018-01-01,7,2,2
2018-01-02,4,16,0
2018-01-03,14,24,15
2018-01-04,1,48,16
2018-01-05,1,54,25
2018-01-06,8,3,8
2018-01-07,5,2,2
2018-01-08,3,40,16
2018-01-09,8,50,20
2018-01-10,3,25,15
2018-01-11,3,43,7
2018-01-12,0,61,9
2018-01-13,6,12,4
2018-01-14,3,5,3
2018-01-15,22,35,2
2018-01-16,7,70,5
2018-01-17,1,85,7
2018-01-18,13,35,24
2018-01-19,5,58,27
2018-01-20,7,24,7
2018-01-21,19,9,1
2018-01-22,8,57,3
2018-01-23,5,107,13
2018-01-24,1,80,2
2018-01-25,2,47,5
2018-01-26,8,74,19
2018-01-27,3,9,1
2018-01-28,23,8,0
2018-01-29,12,71,1
2018-01-30,4,34,0
2018-01-31,2,64,2
2018-02-01,6,69,2
2018-02-02,10,43,0
2018-02-03,0,4,1
2018-02-04,4,3,0
2018-02-05,1,33,6
2018-02-06,6,24,3
2018-02-07,12,42,4
2018-02-08,0,56,10
2018-02-09,3,64,0
2018-02-10,7,11,0
2018-02-11,79,5,1
2018-02-12,3,40,9
2018-02-13,2,64,2
2018-02-14,3,53,13
2018-02-15,0,58,13
2018-02-16,6,45,11
2018-02-17,1,16,8
2018-02-18,6,14,2
2018-02-19,25,28,8
2018-02-20,4,63,8
2018-02-21,4,65,13
2018-02-22,11,54,9
2018-02-23,1,77,2
2018-02-24,2,13,2
2018-02-25,3,3,8
2018-02-26,4,93,15
2018-02-27,1,86,13
2018-02-28,1,108,11
2018-03-01,13,84,7
2018-03-02,5,68,11
2018-03-03,3,8,3
2018-03-04,14,2,0
2018-03-05,2,72,10
2018-03-06,0,48,13
2018-03-07,3,80,1
2018-03-08,4,83,2
2018-03-09,0,108,22
2018-03-10,4,7,1
2018-03-11,17,3,0
2018-03-12,1,38,14
2018-03-13,0,88,9
2018-03-14,10,72,0
2018-03-15,2,58,0
2018-03-16,7,47,5
2018-03-17,3,14,0
2018-03-18,19,9,0
2018-03-19,0,47,13
2018-03-20,3,103,6
2018-03-21,0,46,14
2018-03-22,1,32,7
2018-03-23,2,26,10
2018-03-24,15,4,0
2018-03-25,6,5,0
2018-03-26,18,110,6
2018-03-27,3,63,12
2018-03-28,0,78,1
2018-03-29,6,35,13
2018-03-30,3,13,8
2018-03-31,2,22,0
2018-04-01,11,5,0
2018-04-02,15,15,5
2018-04-03,1,47,4
2018-04-04,4,46,0
2018-04-05,0,53,3
2018-04-06,2,63,0
2018-04-07,3,3,0
2018-04-08,4,3,2
2018-04-09,17,59,14
2018-04-10,4,51,4
2018-04-11,5,64,6
2018-04-12,18,71,13
2018-04-13,4,66,10
2018-04-14,3,22,0
2018-04-15,38,8,0
2018-04-16,17,75,6
2018-04-17,2,114,5
2018-04-18,3,106,9
2018-04-19,2,68,1
2018-04-20,2,67,2
2018-04-21,7,5,0
2018-04-22,40,14,0
2018-04-23,2,98,8
2018-04-24,2,49,5
2018-04-25,1,69,13
2018-04-26,0,73,2
2018-04-27,6,73,0
2018-04-28,1,7,1
2018-04-29,0,15,0
2018-04-30,3,66,7
2018-05-01,4,19,10
2018-05-02,1,84,4
2018-05-03,0,85,1
2018-05-04,7,88,3
2018-05-05,1,13,0
2018-05-06,8,28,0
2018-05-07,0,61,13
2018-05-08,0,63,4
2018-05-09,5,72,2
2018-05-10,7,50,1
2018-05-11,5,41,7
2018-05-12,3,15,1
2018-05-13,1,12,1
2018-05-14,2,71,3
2018-05-15,1,57,4
2018-05-16,0,71,4
2018-05-17,9,73,6
2018-05-18,8,60,7
2018-05-19,9,28,0
2018-05-20,13,14,0
2018-05-21,2,33,1
2018-05-22,2,65,3
2018-05-23,32,61,8
2018-05-24,2,31,3
2018-05-25,5,58,3
2018-05-26,3,16,0
2018-05-27,2,10,1
2018-05-28,0,71,2
2018-05-29,0,30,7
2018-05-30,4,79,6
2018-05-31,2,61,2
2018-06-01,5,40,11
2018-06-02,9,11,1
2018-06-03,14,4,1
2018-06-04,16,88,3
2018-06-05,14,62,7
2018-06-06,0,53,7
2018-06-07,7,69,4
2018-06-08,11,83,1
2018-06-09,3,6,0
2018-06-10,16,1,0
2018-06-11,1,78,7
2018-06-12,5,63,3
2018-06-13,7,58,23
2018-06-14,6,62,1
2018-06-15,1,98,6
2018-06-16,20,17,3
2018-06-17,8,9,0
2018-06-18,12,108,5
2018-06-19,17,71,2
2018-06-20,4,85,2
2018-06-21,8,42,2
2018-06-22,4,55,2
2018-06-23,1,16,1
2018-06-24,10,18,0
2018-06-25,6,78,1
2018-06-26,4,33,6
2018-06-27,5,77,6
2018-06-28,1,56,8
2018-06-29,2,25,9
2018-06-30,2,4,2
2018-07-01,7,7,2
2018-07-02,3,70,2
2018-07-03,0,54,5
2018-07-04,4,68,0
2018-07-05,0,43,13
2018-07-06,1,71,19
2018-07-07,7,1,3
2018-07-08,5,1,1
2018-07-09,2,64,13
2018-07-10,8,60,9
2018-07-11,7,83,9
2018-07-12,5,77,13
2018-07-13,6,45,9
2018-07-14,2,6,0
2018-07-15,4,2,0
2018-07-16,1,45,14
2018-07-17,3,47,3
2018-07-18,5,66,3
2018-07-19,4,73,12
2018-07-20,1,36,19
2018-07-21,7,6,6
2018-07-22,3,15,0
2018-07-23,17,70,4
2018-07-24,11,73,26
2018-07-25,14,66,8
2018-07-26,1,69,22
2018-07-27,8,77,7
2018-07-28,4,14,0
2018-07-29,26,7,0
2018-07-30,4,56,12
2018-07-31,0,27,3
2018-08-01,19,44,13
2018-08-02,11,52,20
2018-08-03,1,28,3
2018-08-04,4,2,0
2018-08-05,5,3,2
2018-08-06,15,39,14
2018-08-07,29,53,11
2018-08-08,8,47,15
2018-08-09,22,43,8
2018-08-10,9,61,7
2018-08-11,18,12,2
2018-08-12,12,14,1
2018-08-13,7,59,4
2018-08-14,8,34,8
2018-08-15,15,53,2
2018-08-16,11,61,1
2018-08-17,7,53,0
2018-08-18,6,10,0
2018-08-19,3,0,0
2018-08-20,10,59,18
2018-08-21,15,61,19
2018-08-22,4,67,14
2018-08-23,13,49,10
2018-08-24,3,81,29
2018-08-25,9,10,1
2018-08-26,12,3,0
2018-08-27,3,85,7
2018-08-28,12,53,8
2018-08-29,7,68,4
2018-08-30,0,32,8
2018-08-31,3,40,13
2018-09-01,3,13,0
2018-09-02,0,0,0
2018-09-03,10,62,0
2018-09-04,11,70,7
2018-09-05,21,114,11
2018-09-06,4,61,26
2018-09-07,7,63,2
2018-09-08,10,10,0
2018-09-09,15,4,0
2018-09-10,5,54,3
2018-09-11,8,75,6
2018-09-12,16,97,5
2018-09-13,6,76,5
2018-09-14,9,35,9
2018-09-15,0,4,6
2018-09-16,10,2,0
2018-09-17,6,55,12
2018-09-18,9,61,7
2018-09-19,2,87,3
2018-09-20,4,66,8
2018-09-21,10,78,9
2018-09-22,6,12,0
2018-09-23,13,7,0
2018-09-24,5,77,10
2018-09-25,5,38,6
2018-09-26,4,70,8
2018-09-27,7,53,5
2018-09-28,2,24,7
2018-09-29,2,7,2
2018-09-30,13,5,0
2018-10-01,3,133,6
2018-10-02,4,113,15
2018-10-03,4,84,2
2018-10-04,2,60,0
2018-10-05,4,67,3
2018-10-06,7,9,0
2018-10-07,4,5,0
2018-10-08,4,58,0
2018-10-09,4,59,0
2018-10-10,4,42,0
2018-10-11,9,70,1
2018-10-12,8,38,0
2018-10-13,18,12,0
2018-10-14,5,21,0
2018-10-15,3,71,2
2018-10-16,3,73,4
2018-10-17,7,54,8
2018-10-18,1,55,10
2018-10-19,0,45,8
2018-10-20,2,19,3
2018-10-21,17,2,0
2018-10-22,3,62,1
2018-10-23,1,86,4
2018-10-24,0,60,5
2018-10-25,7,29,7
2018-10-26,1,24,8
2018-10-27,6,19,2
2018-10-28,10,18,6
2018-10-29,29,84,5
2018-10-30,3,21,11
2018-10-31,4,48,1
2018-11-01,17,32,4
2018-11-02,4,33,3
2018-11-03,2,0,8
2018-11-04,6,2,3
2018-11-05,11,41,2
2018-11-06,5,64,1
2018-11-07,1,69,2
2018-11-08,4,36,5
2018-11-09,1,54,2
2018-11-10,1,12,0
2018-11-11,4,3,1
2018-11-12,11,51,1
2018-11-13,1,41,0
2018-11-14,5,43,9
2018-11-15,5,41,8
2018-11-16,0,72,2
2018-11-17,3,1,0
2018-11-18,9,1,1
2018-11-19,1,56,0
2018-11-20,13,49,6
2018-11-21,4,40,16
2018-11-22,0,47,1
2018-11-23,0,37,8
2018-11-24,6,0,0
2018-11-25,4,7,0
2018-11-26,0,52,1
2018-11-27,7,84,8
2018-11-28,7,82,4
2018-11-29,3,80,2
2018-11-30,3,63,1
2018-12-01,14,20,0
2018-12-02,3,14,0
2018-12-03,4,63,3
2018-12-04,4,27,1
2018-12-05,2,47,1
2018-12-06,1,45,2
2018-12-07,5,43,3
2018-12-08,3,5,0
2018-12-09,16,0,0
2018-12-10,1,81,1
2018-12-11,6,74,2
2018-12-12,7,60,0
2018-12-13,6,59,3
2018-12-14,1,67,0
2018-12-15,5,4,0
2018-12-16,8,4,0
2018-12-17,0,59,0
2018-12-18,0,73,0
2018-12-19,3,108,8
2018-12-20,4,79,1
2018-12-21,6,42,3
2018-12-22,1,6,0
2018-12-23,1,6,0
2018-12-24,2,15,0
2018-12-25,0,0,0
2018-12-26,1,5,0
2018-12-27,7,33,0
2018-12-28,5,28,0
2018-12-29,6,1,3
2018-12-30,15,0,0
2018-12-31,36,6,0
2019-01-01,22,5,0
2019-01-02,8,15,7
2019-01-03,3,37,12
2019-01-04,22,98,12
2019-01-05,5,17,0
2019-01-06,6,2,0
2019-01-07,8,41,0
2019-01-08,3,65,2
2019-01-09,11,35,2
2019-01-10,3,58,0
2019-01-11,8,54,4
2019-01-12,4,2,0
2019-01-13,25,5,0
2019-01-14,7,20,4
2019-01-15,2,47,10
2019-01-16,0,43,5
2019-01-17,12,61,4
2019-01-18,4,48,21
2019-01-19,5,9,3
