,sinatra/sinatra,rails/rails,django/django
2016-04-19,0,38,7.0
2016-04-20,0,25,4.0
2016-04-21,1,28,8.0
2016-04-22,1,11,10.0
2016-04-23,0,20,4.0
2016-04-24,0,32,1.0
2016-04-25,0,8,5.0
2016-04-26,1,9,4.0
2016-04-27,0,11,8.0
2016-04-28,1,16,5.0
2016-04-29,0,17,8.0
2016-04-30,0,11,6.0
2016-05-01,0,8,1.0
2016-05-02,0,7,7.0
2016-05-03,13,14,10.0
2016-05-04,6,12,5.0
2016-05-05,2,32,0.0
2016-05-06,1,30,7.0
2016-05-07,0,9,9.0
2016-05-08,1,9,6.0
2016-05-09,14,12,2.0
2016-05-10,9,25,5.0
2016-05-11,1,22,5.0
2016-05-12,0,7,3.0
2016-05-13,1,6,14.0
2016-05-14,0,9,6.0
2016-05-15,0,8,2.0
2016-05-16,6,17,9.0
2016-05-17,3,9,8.0
2016-05-18,0,7,8.0
2016-05-19,1,6,7.0
2016-05-20,0,5,6.0
2016-05-21,0,31,4.0
2016-05-22,0,2,0.0
2016-05-23,2,7,1.0
2016-05-24,0,20,1.0
2016-05-25,0,9,2.0
2016-05-26,0,4,1.0
2016-05-27,0,16,7.0
2016-05-28,0,15,5.0
2016-05-29,1,15,3.0
2016-05-30,1,8,6.0
2016-05-31,0,22,8.0
2016-06-01,0,5,7.0
2016-06-02,0,13,10.0
2016-06-03,0,9,12.0
2016-06-04,1,15,12.0
2016-06-05,1,4,1.0
2016-06-06,0,11,10.0
2016-06-07,0,19,6.0
2016-06-08,0,10,5.0
2016-06-09,0,13,8.0
2016-06-10,0,16,4.0
2016-06-11,0,11,1.0
2016-06-12,0,7,3.0
2016-06-13,0,16,6.0
2016-06-14,0,9,3.0
2016-06-15,0,11,2.0
2016-06-16,0,8,4.0
2016-06-17,0,7,4.0
2016-06-18,0,0,8.0
2016-06-19,0,3,1.0
2016-06-20,0,9,5.0
2016-06-21,1,13,9.0
2016-06-22,1,9,4.0
2016-06-23,0,9,2.0
2016-06-24,7,16,4.0
2016-06-25,1,14,1.0
2016-06-26,2,9,0.0
2016-06-27,0,8,8.0
2016-06-28,5,17,10.0
2016-06-29,0,20,8.0
2016-06-30,1,44,3.0
2016-07-01,3,25,3.0
2016-07-02,0,32,3.0
2016-07-03,0,8,2.0
2016-07-04,0,14,1.0
2016-07-05,0,20,0.0
2016-07-06,0,16,7.0
2016-07-07,0,10,7.0
2016-07-08,0,11,9.0
2016-07-09,0,5,3.0
2016-07-10,0,10,0.0
2016-07-11,0,12,2.0
2016-07-12,0,12,4.0
2016-07-13,0,15,4.0
2016-07-14,0,12,10.0
2016-07-15,3,6,5.0
2016-07-16,1,9,3.0
2016-07-17,0,30,1.0
2016-07-18,0,10,3.0
2016-07-19,4,8,2.0
2016-07-20,18,28,2.0
2016-07-21,7,15,9.0
2016-07-22,1,3,3.0
2016-07-23,9,6,0.0
2016-07-24,0,9,3.0
2016-07-25,16,5,5.0
2016-07-26,19,18,0.0
2016-07-27,6,13,4.0
2016-07-28,7,22,5.0
2016-07-29,0,13,3.0
2016-07-30,1,2,2.0
2016-07-31,3,3,2.0
2016-08-01,4,10,9.0
2016-08-02,1,21,5.0
2016-08-03,1,13,5.0
2016-08-04,2,9,6.0
2016-08-05,1,5,8.0
2016-08-06,0,49,4.0
2016-08-07,0,24,1.0
2016-08-08,1,7,13.0
2016-08-09,2,7,14.0
2016-08-10,0,9,11.0
2016-08-11,2,17,12.0
2016-08-12,2,13,11.0
2016-08-13,0,10,4.0
2016-08-14,0,15,0.0
2016-08-15,0,17,7.0
2016-08-16,1,27,10.0
2016-08-17,12,31,5.0
2016-08-18,0,6,7.0
2016-08-19,0,29,17.0
2016-08-20,0,7,2.0
2016-08-21,0,5,0.0
2016-08-22,11,17,0.0
2016-08-23,0,14,6.0
2016-08-24,0,11,12.0
2016-08-25,0,5,5.0
2016-08-26,0,12,7.0
2016-08-27,0,8,0.0
2016-08-28,0,7,0.0
2016-08-29,0,39,7.0
2016-08-30,0,10,3.0
2016-08-31,0,25,14.0
2016-09-01,0,9,13.0
2016-09-02,0,12,5.0
2016-09-03,0,12,7.0
2016-09-04,0,4,0.0
2016-09-05,0,7,0.0
2016-09-06,0,20,2.0
2016-09-07,0,10,7.0
2016-09-08,0,4,4.0
2016-09-09,0,0,8.0
2016-09-10,0,7,6.0
2016-09-11,0,11,0.0
2016-09-12,0,5,7.0
2016-09-13,0,9,10.0
2016-09-14,1,16,2.0
2016-09-15,0,5,3.0
2016-09-16,0,13,7.0
2016-09-17,1,11,6.0
2016-09-18,0,2,1.0
2016-09-19,0,6,2.0
2016-09-20,4,9,4.0
2016-09-21,0,2,8.0
2016-09-22,0,8,6.0
2016-09-23,0,15,6.0
2016-09-24,0,6,2.0
2016-09-25,0,18,1.0
2016-09-26,0,13,9.0
2016-09-27,0,8,10.0
2016-09-28,0,10,5.0
2016-09-29,2,7,3.0
2016-09-30,0,5,8.0
2016-10-01,0,10,5.0
2016-10-02,0,19,1.0
2016-10-03,0,13,1.0
2016-10-04,1,8,11.0
2016-10-05,0,6,4.0
2016-10-06,0,6,5.0
2016-10-07,0,14,5.0
2016-10-08,0,7,1.0
2016-10-09,0,0,0.0
2016-10-10,0,42,3.0
2016-10-11,0,18,6.0
2016-10-12,0,1,5.0
2016-10-13,0,6,10.0
2016-10-14,0,6,9.0
2016-10-15,0,14,3.0
2016-10-16,0,3,0.0
2016-10-17,0,2,3.0
2016-10-18,0,2,1.0
2016-10-19,0,6,1.0
2016-10-20,0,10,2.0
2016-10-21,0,23,1.0
2016-10-22,0,8,1.0
2016-10-23,1,11,0.0
2016-10-24,0,9,3.0
2016-10-25,0,16,4.0
2016-10-26,0,11,3.0
2016-10-27,0,9,7.0
2016-10-28,1,14,7.0
2016-10-29,0,5,3.0
2016-10-30,0,3,0.0
2016-10-31,1,14,8.0
2016-11-01,0,10,6.0
2016-11-02,0,5,0.0
2016-11-03,0,3,2.0
2016-11-04,0,5,2.0
2016-11-05,0,9,6.0
2016-11-06,1,6,9.0
2016-11-07,2,4,2.0
2016-11-08,0,6,5.0
2016-11-09,0,1,5.0
2016-11-10,0,6,4.0
2016-11-11,0,4,8.0
2016-11-12,0,12,5.0
2016-11-13,0,23,0.0
2016-11-14,0,27,6.0
2016-11-15,0,9,9.0
2016-11-16,0,9,5.0
2016-11-17,0,17,3.0
2016-11-18,0,10,0.0
2016-11-19,0,12,1.0
2016-11-20,0,18,2.0
2016-11-21,1,16,5.0
2016-11-22,5,10,8.0
2016-11-23,0,5,9.0
2016-11-24,0,16,5.0
2016-11-25,0,8,5.0
2016-11-26,1,12,0.0
2016-11-27,0,11,0.0
2016-11-28,0,10,4.0
2016-11-29,0,12,6.0
2016-11-30,0,16,14.0
2016-12-01,0,8,7.0
2016-12-02,1,6,4.0
2016-12-03,0,3,0.0
2016-12-04,0,2,0.0
2016-12-05,0,19,3.0
2016-12-06,0,17,8.0
2016-12-07,0,6,4.0
2016-12-08,0,16,9.0
2016-12-09,0,15,1.0
2016-12-10,0,9,1.0
2016-12-11,0,8,0.0
2016-12-12,0,10,2.0
2016-12-13,0,5,1.0
2016-12-14,2,11,10.0
2016-12-15,0,8,15.0
2016-12-16,0,9,1.0
2016-12-17,0,7,7.0
2016-12-18,0,8,0.0
2016-12-19,0,14,11.0
2016-12-20,0,17,5.0
2016-12-21,0,7,6.0
2016-12-22,1,10,4.0
2016-12-23,0,15,10.0
2016-12-24,0,35,3.0
2016-12-25,10,7,0.0
2016-12-26,0,4,0.0
2016-12-27,0,12,7.0
2016-12-28,2,4,9.0
2016-12-29,2,58,10.0
2016-12-30,5,18,4.0
2016-12-31,1,26,3.0
2017-01-01,0,18,1.0
2017-01-02,0,12,5.0
2017-01-03,0,27,6.0
2017-01-04,0,43,6.0
2017-01-05,2,14,3.0
2017-01-06,0,11,5.0
2017-01-07,0,6,8.0
2017-01-08,0,4,1.0
2017-01-09,0,15,8.0
2017-01-10,0,12,6.0
2017-01-11,0,12,3.0
2017-01-12,0,12,5.0
2017-01-13,1,15,6.0
2017-01-14,5,14,8.0
2017-01-15,0,21,2.0
2017-01-16,0,23,8.0
2017-01-17,0,14,19.0
2017-01-18,0,47,52.0
2017-01-19,0,18,18.0
2017-01-20,0,5,11.0
2017-01-21,2,5,5.0
2017-01-22,0,10,3.0
2017-01-23,0,7,6.0
2017-01-24,1,4,6.0
2017-01-25,0,18,12.0
2017-01-26,1,4,7.0
2017-01-27,2,12,9.0
2017-01-28,0,11,6.0
2017-01-29,1,3,1.0
2017-01-30,3,28,8.0
2017-01-31,3,35,5.0
2017-02-01,2,3,4.0
2017-02-02,0,12,5.0
2017-02-03,0,8,4.0
2017-02-04,0,9,10.0
2017-02-05,0,3,0.0
2017-02-06,1,12,4.0
2017-02-07,0,25,9.0
2017-02-08,0,7,4.0
2017-02-09,1,6,8.0
2017-02-10,1,11,4.0
2017-02-11,0,4,8.0
2017-02-12,0,7,0.0
2017-02-13,0,27,3.0
2017-02-14,0,16,2.0
2017-02-15,0,10,2.0
2017-02-16,0,3,5.0
2017-02-17,0,10,3.0
2017-02-18,0,6,0.0
2017-02-19,0,8,0.0
2017-02-20,0,57,2.0
2017-02-21,0,42,5.0
2017-02-22,0,21,6.0
2017-02-23,0,38,5.0
2017-02-24,0,20,10.0
2017-02-25,0,18,2.0
2017-02-26,0,38,0.0
2017-02-27,0,15,3.0
2017-02-28,0,23,4.0
2017-03-01,0,11,9.0
2017-03-02,0,13,1.0
2017-03-03,0,27,3.0
2017-03-04,8,24,3.0
2017-03-05,0,12,0.0
2017-03-06,0,18,3.0
2017-03-07,2,8,6.0
2017-03-08,0,7,4.0
2017-03-09,0,12,3.0
2017-03-10,1,13,1.0
2017-03-11,1,8,1.0
2017-03-12,0,14,0.0
2017-03-13,2,16,2.0
2017-03-14,0,11,5.0
2017-03-15,0,21,5.0
2017-03-16,0,10,6.0
2017-03-17,0,18,7.0
2017-03-18,1,3,5.0
2017-03-19,7,17,0.0
2017-03-20,0,17,5.0
2017-03-21,0,17,12.0
2017-03-22,0,31,3.0
2017-03-23,0,14,6.0
2017-03-24,0,4,2.0
2017-03-25,0,18,4.0
2017-03-26,0,6,0.0
2017-03-27,1,15,4.0
2017-03-28,3,15,5.0
2017-03-29,0,23,5.0
2017-03-30,0,13,3.0
2017-03-31,2,7,3.0
2017-04-01,3,4,8.0
2017-04-02,0,9,8.0
2017-04-03,0,6,4.0
2017-04-04,0,7,8.0
2017-04-05,0,6,5.0
2017-04-06,0,6,3.0
2017-04-07,0,10,13.0
2017-04-08,7,10,1.0
2017-04-09,3,12,0.0
2017-04-10,2,10,9.0
2017-04-11,0,13,6.0
2017-04-12,0,10,4.0
2017-04-13,0,7,2.0
2017-04-14,0,7,3.0
2017-04-15,0,11,2.0
2017-04-16,0,10,0.0
2017-04-17,0,10,3.0
2017-04-18,0,23,2.0
2017-04-19,0,15,3.0
2017-04-20,0,23,5.0
2017-04-21,0,3,3.0
2017-04-22,0,4,4.0
2017-04-23,0,16,1.0
2017-04-24,0,11,2.0
2017-04-25,0,11,7.0
2017-04-26,0,18,14.0
2017-04-27,0,43,8.0
2017-04-28,0,4,7.0
2017-04-29,0,8,3.0
2017-04-30,0,9,0.0
2017-05-01,0,9,6.0
2017-05-02,0,10,3.0
2017-05-03,0,10,6.0
2017-05-04,0,17,6.0
2017-05-05,0,7,7.0
2017-05-06,20,6,5.0
2017-05-07,2,1,0.0
2017-05-08,2,6,4.0
2017-05-09,0,4,4.0
2017-05-10,0,6,5.0
2017-05-11,0,6,2.0
2017-05-12,0,8,5.0
2017-05-13,0,4,1.0
2017-05-14,0,6,4.0
2017-05-15,0,13,5.0
2017-05-16,3,8,0.0
2017-05-17,0,11,0.0
2017-05-18,0,8,4.0
2017-05-19,0,11,1.0
2017-05-20,0,10,3.0
2017-05-21,0,17,2.0
2017-05-22,0,12,4.0
2017-05-23,1,2,4.0
2017-05-24,1,33,5.0
2017-05-25,1,18,9.0
2017-05-26,1,24,2.0
2017-05-27,0,12,9.0
2017-05-28,0,27,1.0
2017-05-29,0,32,4.0
2017-05-30,0,19,10.0
2017-05-31,0,15,5.0
2017-06-01,0,15,10.0
2017-06-02,0,12,10.0
2017-06-03,1,16,7.0
2017-06-04,0,9,1.0
2017-06-05,0,5,10.0
2017-06-06,0,18,10.0
2017-06-07,0,6,7.0
2017-06-08,1,8,6.0
2017-06-09,0,8,4.0
2017-06-10,0,7,0.0
2017-06-11,0,13,2.0
2017-06-12,0,7,1.0
2017-06-13,0,5,11.0
2017-06-14,0,10,8.0
2017-06-15,0,19,2.0
2017-06-16,0,12,3.0
2017-06-17,0,10,6.0
2017-06-18,0,7,0.0
2017-06-19,3,13,10.0
2017-06-20,0,20,5.0
2017-06-21,1,10,7.0
2017-06-22,0,7,2.0
2017-06-23,0,6,1.0
2017-06-24,0,9,0.0
2017-06-25,1,5,0.0
2017-06-26,0,15,6.0
2017-06-27,0,18,2.0
2017-06-28,0,38,4.0
2017-06-29,0,12,6.0
2017-06-30,0,21,2.0
2017-07-01,0,53,2.0
2017-07-02,0,12,0.0
2017-07-03,2,23,2.0
2017-07-04,12,36,1.0
2017-07-05,0,32,3.0
2017-07-06,0,52,7.0
2017-07-07,0,22,1.0
2017-07-08,1,21,2.0
2017-07-09,1,36,0.0
2017-07-10,0,15,5.0
2017-07-11,3,17,10.0
2017-07-12,0,12,6.0
2017-07-13,0,12,6.0
2017-07-14,0,11,4.0
2017-07-15,0,28,3.0
2017-07-16,0,31,0.0
2017-07-17,0,40,5.0
2017-07-18,1,18,5.0
2017-07-19,0,18,4.0
2017-07-20,0,25,8.0
2017-07-21,0,41,7.0
2017-07-22,0,19,0.0
2017-07-23,0,44,0.0
2017-07-24,0,64,4.0
2017-07-25,0,39,3.0
2017-07-26,0,10,5.0
2017-07-27,0,15,6.0
2017-07-28,0,18,1.0
2017-07-29,0,6,3.0
2017-07-30,0,12,0.0
2017-07-31,0,30,7.0
2017-08-01,1,30,7.0
2017-08-02,0,17,6.0
2017-08-03,0,37,1.0
2017-08-04,0,20,0.0
2017-08-05,0,14,0.0
2017-08-06,0,12,0.0
2017-08-07,0,19,7.0
2017-08-08,0,30,8.0
2017-08-09,0,15,4.0
2017-08-10,0,12,8.0
2017-08-11,0,40,11.0
2017-08-12,1,9,2.0
2017-08-13,0,30,2.0
2017-08-14,0,47,1.0
2017-08-15,0,20,6.0
2017-08-16,0,17,2.0
2017-08-17,0,21,0.0
2017-08-18,3,14,0.0
2017-08-19,0,11,1.0
2017-08-20,3,21,0.0
2017-08-21,1,22,7.0
2017-08-22,0,33,8.0
2017-08-23,0,14,8.0
2017-08-24,0,17,4.0
2017-08-25,0,13,1.0
2017-08-26,3,16,5.0
2017-08-27,2,19,1.0
2017-08-28,1,9,1.0
2017-08-29,0,20,2.0
2017-08-30,0,6,2.0
2017-08-31,0,11,7.0
2017-09-01,0,24,3.0
2017-09-02,0,13,11.0
2017-09-03,0,6,4.0
2017-09-04,0,8,13.0
2017-09-05,0,4,16.0
2017-09-06,0,7,10.0
2017-09-07,0,12,2.0
2017-09-08,2,1,6.0
2017-09-09,6,2,5.0
2017-09-10,0,3,1.0
2017-09-11,2,5,9.0
2017-09-12,0,3,5.0
2017-09-13,0,11,3.0
2017-09-14,0,9,3.0
2017-09-15,0,9,3.0
2017-09-16,0,10,3.0
2017-09-17,0,24,1.0
2017-09-18,0,21,8.0
2017-09-19,0,10,4.0
2017-09-20,0,16,5.0
2017-09-21,0,6,6.0
2017-09-22,0,7,24.0
2017-09-23,0,8,0.0
2017-09-24,0,25,3.0
2017-09-25,0,15,8.0
2017-09-26,0,17,1.0
2017-09-27,0,16,7.0
2017-09-28,0,6,9.0
2017-09-29,0,7,9.0
2017-09-30,0,11,5.0
2017-10-01,0,3,1.0
2017-10-02,0,6,8.0
2017-10-03,0,8,4.0
2017-10-04,0,6,3.0
2017-10-05,0,8,5.0
2017-10-06,0,6,4.0
2017-10-07,0,8,0.0
2017-10-08,0,21,0.0
2017-10-09,0,16,6.0
2017-10-10,0,5,3.0
2017-10-11,0,3,0.0
2017-10-12,0,10,8.0
2017-10-13,0,19,11.0
2017-10-14,0,5,2.0
2017-10-15,0,14,1.0
2017-10-16,0,3,2.0
2017-10-17,0,7,4.0
2017-10-18,0,17,2.0
2017-10-19,0,7,4.0
2017-10-20,0,8,8.0
2017-10-21,1,14,2.0
2017-10-22,0,7,3.0
2017-10-23,0,38,2.0
2017-10-24,0,16,3.0
2017-10-25,0,15,8.0
2017-10-26,1,8,0.0
2017-10-27,0,9,1.0
2017-10-28,2,14,5.0
2017-10-29,3,0,1.0
2017-10-30,2,7,3.0
2017-10-31,0,8,5.0
2017-11-01,0,13,6.0
2017-11-02,0,9,5.0
2017-11-03,0,10,2.0
2017-11-04,0,7,5.0
2017-11-05,0,10,0.0
2017-11-06,0,25,3.0
2017-11-07,0,10,10.0
2017-11-08,0,18,4.0
2017-11-09,0,40,1.0
2017-11-10,0,26,1.0
2017-11-11,0,2,0.0
2017-11-12,0,6,5.0
2017-11-13,0,23,2.0
2017-11-14,0,26,3.0
2017-11-15,0,16,4.0
2017-11-16,0,9,2.0
2017-11-17,0,6,4.0
2017-11-18,0,5,0.0
2017-11-19,0,10,2.0
2017-11-20,0,6,1.0
2017-11-21,0,18,4.0
2017-11-22,0,10,1.0
2017-11-23,0,2,2.0
2017-11-24,0,10,2.0
2017-11-25,0,20,0.0
2017-11-26,0,13,1.0
2017-11-27,0,31,1.0
2017-11-28,0,17,4.0
2017-11-29,3,19,2.0
2017-11-30,0,14,1.0
2017-12-01,0,12,4.0
2017-12-02,0,11,8.0
2017-12-03,0,14,0.0
2017-12-04,0,3,5.0
2017-12-05,0,18,6.0
2017-12-06,0,11,7.0
2017-12-07,0,10,7.0
2017-12-08,0,9,6.0
2017-12-09,1,6,0.0
2017-12-10,0,4,0.0
2017-12-11,1,15,2.0
2017-12-12,0,21,0.0
2017-12-13,0,20,5.0
2017-12-14,1,15,0.0
2017-12-15,0,27,0.0
2017-12-16,0,6,1.0
2017-12-17,0,13,0.0
2017-12-18,0,10,3.0
2017-12-19,0,14,2.0
2017-12-20,0,10,5.0
2017-12-21,0,9,1.0
2017-12-22,0,13,6.0
2017-12-23,0,3,1.0
2017-12-24,0,2,0.0
2017-12-25,0,8,1.0
2017-12-26,0,4,8.0
2017-12-27,0,11,6.0
2017-12-28,0,6,7.0
2017-12-29,0,6,4.0
2017-12-30,0,5,9.0
2017-12-31,0,16,0.0
2018-01-01,0,4,0.0
2018-01-02,0,6,8.0
2018-01-03,0,9,10.0
2018-01-04,0,10,4.0
2018-01-05,0,5,7.0
2018-01-06,1,2,1.0
2018-01-07,0,18,2.0
2018-01-08,0,10,3.0
2018-01-09,1,9,3.0
2018-01-10,0,19,6.0
2018-01-11,0,7,6.0
2018-01-12,0,9,6.0
2018-01-13,1,4,6.0
2018-01-14,0,6,1.0
2018-01-15,0,4,3.0
2018-01-16,3,1,0.0
2018-01-17,0,11,4.0
2018-01-18,0,21,4.0
2018-01-19,0,6,1.0
2018-01-20,0,5,5.0
2018-01-21,0,2,2.0
2018-01-22,0,24,0.0
2018-01-23,0,9,4.0
2018-01-24,0,12,7.0
2018-01-25,0,10,2.0
2018-01-26,0,18,1.0
2018-01-27,0,4,6.0
2018-01-28,1,11,0.0
2018-01-29,0,15,2.0
2018-01-30,0,14,5.0
2018-01-31,0,12,13.0
2018-02-01,0,9,7.0
2018-02-02,1,6,3.0
2018-02-03,0,5,1.0
2018-02-04,0,6,0.0
2018-02-05,0,6,6.0
2018-02-06,7,7,3.0
2018-02-07,0,11,6.0
2018-02-08,0,12,3.0
2018-02-09,0,7,1.0
2018-02-10,1,5,6.0
2018-02-11,2,5,2.0
2018-02-12,6,15,8.0
2018-02-13,0,7,3.0
2018-02-14,0,37,2.0
2018-02-15,0,15,5.0
2018-02-16,1,8,2.0
2018-02-17,0,25,0.0
2018-02-18,0,21,0.0
2018-02-19,5,14,2.0
2018-02-20,8,6,2.0
2018-02-21,8,10,9.0
2018-02-22,7,14,1.0
2018-02-23,1,14,5.0
2018-02-24,0,10,2.0
2018-02-25,0,8,1.0
2018-02-26,2,13,5.0
2018-02-27,0,21,1.0
2018-02-28,2,17,4.0
2018-03-01,1,7,7.0
2018-03-02,0,2,3.0
2018-03-03,0,7,4.0
2018-03-04,0,15,1.0
2018-03-05,0,17,2.0
2018-03-06,1,14,6.0
2018-03-07,0,4,3.0
2018-03-08,0,6,4.0
2018-03-09,0,11,2.0
2018-03-10,0,1,1.0
2018-03-11,0,6,0.0
2018-03-12,0,10,8.0
2018-03-13,0,16,6.0
2018-03-14,0,6,3.0
2018-03-15,0,8,5.0
2018-03-16,0,7,4.0
2018-03-17,0,2,3.0
2018-03-18,1,5,1.0
2018-03-19,1,12,2.0
2018-03-20,1,9,6.0
2018-03-21,0,18,7.0
2018-03-22,1,10,4.0
2018-03-23,0,7,3.0
2018-03-24,0,3,2.0
2018-03-25,0,4,0.0
2018-03-26,0,2,2.0
2018-03-27,0,5,0.0
2018-03-28,0,1,5.0
2018-03-29,0,7,2.0
2018-03-30,2,12,1.0
2018-03-31,0,24,2.0
2018-04-01,2,9,1.0
2018-04-02,0,13,4.0
2018-04-03,0,16,9.0
2018-04-04,0,19,10.0
2018-04-05,0,3,1.0
2018-04-06,0,21,1.0
2018-04-07,0,15,3.0
2018-04-08,0,7,0.0
2018-04-09,0,7,0.0
2018-04-10,0,16,3.0
2018-04-11,0,6,1.0
2018-04-12,0,16,5.0
2018-04-13,0,19,3.0
2018-04-14,0,6,1.0
2018-04-15,2,4,1.0
2018-04-16,0,8,5.0
2018-04-17,0,12,3.0
2018-04-18,0,13,3.0
2018-04-19,0,36,7.0
2018-04-20,0,31,4.0
2018-04-21,0,12,1.0
2018-04-22,0,17,0.0
2018-04-23,1,18,5.0
2018-04-24,2,12,2.0
2018-04-25,0,14,1.0
2018-04-26,0,12,0.0
2018-04-27,0,8,3.0
2018-04-28,3,6,3.0
2018-04-29,0,11,1.0
2018-04-30,0,10,1.0
2018-05-01,0,16,0.0
2018-05-02,0,6,4.0
2018-05-03,0,7,4.0
2018-05-04,0,7,0.0
2018-05-05,1,5,2.0
2018-05-06,0,5,0.0
2018-05-07,0,6,4.0
2018-05-08,0,3,1.0
2018-05-09,0,4,5.0
2018-05-10,0,2,3.0
2018-05-11,0,5,1.0
2018-05-12,0,2,5.0
2018-05-13,0,8,3.0
2018-05-14,0,3,1.0
2018-05-15,0,1,4.0
2018-05-16,0,3,3.0
2018-05-17,0,13,9.0
2018-05-18,0,5,5.0
2018-05-19,0,5,0.0
2018-05-20,0,2,1.0
2018-05-21,0,11,1.0
2018-05-22,0,20,0.0
2018-05-23,0,8,1.0
2018-05-24,1,9,0.0
2018-05-25,0,4,4.0
2018-05-26,0,4,2.0
2018-05-27,0,4,8.0
2018-05-28,2,27,2.0
2018-05-29,0,10,1.0
2018-05-30,1,7,3.0
2018-05-31,1,10,3.0
2018-06-01,0,10,3.0
2018-06-02,3,3,3.0
2018-06-03,1,2,0.0
2018-06-04,0,10,3.0
2018-06-05,8,6,2.0
2018-06-06,4,7,5.0
2018-06-07,0,17,2.0
2018-06-08,4,12,5.0
2018-06-09,0,4,3.0
2018-06-10,0,4,1.0
2018-06-11,1,20,1.0
2018-06-12,1,5,6.0
2018-06-13,1,3,2.0
2018-06-14,0,3,1.0
2018-06-15,2,2,4.0
2018-06-16,0,1,6.0
2018-06-17,0,1,1.0
2018-06-18,0,8,2.0
2018-06-19,2,9,1.0
2018-06-20,0,5,11.0
2018-06-21,3,8,8.0
2018-06-22,3,3,3.0
2018-06-23,3,7,0.0
2018-06-24,2,5,0.0
