,elastic/kibana,getsentry/sentry,grafana/grafana
2021-07-22,43,40,23
2021-07-23,4,31,11
2021-07-24,0,1,1
2021-07-25,2,0,0
2021-07-26,41,15,18
2021-07-27,38,28,10
2021-07-28,48,28,5
2021-07-29,41,33,22
2021-07-30,33,23,13
2021-07-31,1,0,0
2021-08-01,0,0,0
2021-08-02,40,18,9
2021-08-03,46,24,13
2021-08-04,26,23,26
2021-08-05,29,25,15
2021-08-06,5,33,10
2021-08-07,1,2,0
2021-08-08,0,0,0
2021-08-09,32,4,15
2021-08-10,56,1,16
2021-08-11,46,2,11
2021-08-12,45,1,12
2021-08-13,47,0,18
2021-08-14,9,1,2
2021-08-15,4,3,2
2021-08-16,61,0,11
2021-08-17,78,15,20
2021-08-18,44,17,23
2021-08-19,44,15,20
2021-08-20,36,9,11
2021-08-21,2,0,0
2021-08-22,4,0,0
2021-08-23,48,16,21
2021-08-24,47,17,19
2021-08-25,47,23,15
2021-08-26,55,32,15
2021-08-27,15,20,23
2021-08-28,0,0,1
2021-08-29,0,0,2
2021-08-30,38,26,9
2021-08-31,44,42,16
2021-09-01,47,30,25
2021-09-02,26,24,17
2021-09-03,46,2,5
2021-09-04,0,0,0
2021-09-05,1,0,0
2021-09-06,19,0,12
2021-09-07,41,28,20
2021-09-08,53,17,19
2021-09-09,43,23,23
2021-09-10,26,16,21
2021-09-11,0,0,0
2021-09-12,1,0,1
2021-09-13,41,31,26
2021-09-14,41,25,18
2021-09-15,46,29,25
2021-09-16,31,20,17
2021-09-17,6,18,22
2021-09-18,3,0,0
2021-09-19,5,0,1
2021-09-20,25,31,23
2021-09-21,31,33,15
2021-09-22,39,34,14
2021-09-23,45,29,24
2021-09-24,3,18,2
2021-09-25,0,0,2
2021-09-26,3,0,0
2021-09-27,35,26,17
2021-09-28,39,35,18
2021-09-29,41,38,26
2021-09-30,32,25,21
2021-10-01,28,18,21
2021-10-02,2,3,0
2021-10-03,1,0,0
2021-10-04,58,28,14
2021-10-05,59,20,12
2021-10-06,61,44,22
2021-10-07,51,31,19
2021-10-08,12,52,15
2021-10-09,2,0,0
2021-10-10,2,0,0
2021-10-11,42,14,18
2021-10-12,64,33,27
2021-10-13,57,25,15
2021-10-14,56,25,23
2021-10-15,51,24,15
2021-10-16,6,0,1
2021-10-17,5,0,0
2021-10-18,57,34,21
2021-10-19,80,27,22
2021-10-20,69,25,27
2021-10-21,68,22,22
2021-10-22,5,30,18
2021-10-23,1,1,0
2021-10-24,0,0,0
2021-10-25,48,20,15
2021-10-26,75,22,26
2021-10-27,33,26,24
2021-10-28,39,24,18
2021-10-29,46,28,21
2021-10-30,8,0,0
2021-10-31,0,0,0
2021-11-01,38,19,16
2021-11-02,70,16,36
2021-11-03,53,30,21
2021-11-04,44,41,17
2021-11-05,41,21,20
2021-11-06,2,1,2
2021-11-07,2,0,1
2021-11-08,36,18,16
2021-11-09,54,31,28
2021-11-10,43,32,25
2021-11-11,69,29,27
2021-11-12,8,19,20
2021-11-13,1,3,1
2021-11-14,0,0,2
2021-11-15,47,31,26
2021-11-16,60,16,23
2021-11-17,35,13,36
2021-11-18,39,18,31
2021-11-19,40,14,36
2021-11-20,1,1,2
2021-11-21,2,0,0
2021-11-22,36,19,17
2021-11-23,49,31,25
2021-11-24,45,34,36
2021-11-25,25,14,16
2021-11-26,6,9,20
2021-11-27,2,0,0
2021-11-28,1,0,0
2021-11-29,40,21,31
2021-11-30,48,26,16
2021-12-01,49,30,25
2021-12-02,38,35,21
2021-12-03,40,21,14
2021-12-04,3,0,0
2021-12-05,0,0,0
2021-12-06,36,37,14
2021-12-07,59,14,10
2021-12-08,47,13,10
2021-12-09,40,36,10
2021-12-10,10,21,4
2021-12-11,0,1,0
2021-12-12,0,0,0
2021-12-13,40,9,18
2021-12-14,37,45,27
2021-12-15,37,39,20
2021-12-16,34,45,18
2021-12-17,35,17,17
2021-12-18,1,0,2
2021-12-19,0,0,1
2021-12-20,31,12,23
2021-12-21,49,13,20
2021-12-22,36,11,11
2021-12-23,25,14,9
2021-12-24,3,0,2
2021-12-25,0,0,0
2021-12-26,2,0,0
2021-12-27,12,0,4
2021-12-28,13,1,6
2021-12-29,4,4,1
2021-12-30,5,1,4
2021-12-31,2,0,0
2022-01-01,2,0,0
