,seleniumhq/selenium,scrapy/scrapy,microlinkhq/metascraper
2020-09-06,1,0,0
2020-09-07,20,0,0
2020-09-08,3,1,0
2020-09-09,3,0,0
2020-09-10,4,1,0
2020-09-11,2,1,0
2020-09-12,0,0,0
2020-09-13,1,0,0
2020-09-14,6,1,0
2020-09-15,12,0,2
2020-09-16,9,1,0
2020-09-17,5,0,0
2020-09-18,2,0,6
2020-09-19,0,0,0
2020-09-20,0,2,2
2020-09-21,6,9,0
2020-09-22,2,2,0
2020-09-23,0,0,0
2020-09-24,1,0,0
2020-09-25,8,0,0
2020-09-26,0,1,0
2020-09-27,0,0,0
2020-09-28,6,2,0
2020-09-29,18,0,2
2020-09-30,7,2,0
2020-10-01,1,18,0
2020-10-02,8,2,0
2020-10-03,0,1,0
2020-10-04,0,0,0
2020-10-05,4,5,0
2020-10-06,6,13,0
2020-10-07,13,3,0
2020-10-08,0,4,0
2020-10-09,4,3,0
2020-10-10,1,0,0
2020-10-11,0,3,0
2020-10-12,6,0,2
2020-10-13,7,3,3
2020-10-14,4,0,3
2020-10-15,3,1,0
2020-10-16,0,0,0
2020-10-17,0,0,0
2020-10-18,1,0,0
2020-10-19,3,0,0
2020-10-20,18,1,0
2020-10-21,5,0,5
2020-10-22,0,0,0
2020-10-23,3,0,0
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,5,0,0
2020-10-27,5,0,0
2020-10-28,4,0,0
2020-10-29,9,0,0
2020-10-30,3,6,0
2020-10-31,0,0,0
2020-11-01,5,0,2
2020-11-02,12,0,0
2020-11-03,8,0,0
2020-11-04,9,3,0
2020-11-05,11,2,0
2020-11-06,10,10,0
2020-11-07,5,0,0
2020-11-08,4,1,0
2020-11-09,19,2,0
2020-11-10,27,3,6
2020-11-11,6,10,0
2020-11-12,13,0,0
2020-11-13,13,0,0
2020-11-14,2,0,0
2020-11-15,4,0,0
2020-11-16,9,1,0
2020-11-17,16,4,3
2020-11-18,6,2,0
2020-11-19,11,1,0
2020-11-20,8,1,0
2020-11-21,3,0,0
2020-11-22,12,0,0
2020-11-23,24,10,0
2020-11-24,39,1,0
2020-11-25,5,0,0
2020-11-26,8,0,0
2020-11-27,11,0,0
2020-11-28,10,0,3
2020-11-29,13,2,2
2020-11-30,11,3,3
2020-12-01,7,1,0
2020-12-02,14,1,1
2020-12-03,7,2,11
2020-12-04,12,0,0
2020-12-05,6,0,0
2020-12-06,13,0,0
2020-12-07,12,0,0
2020-12-08,7,0,1
2020-12-09,8,0,4
2020-12-10,6,0,0
2020-12-11,5,0,0
2020-12-12,0,0,0
2020-12-13,0,0,0
2020-12-14,2,0,0
2020-12-15,10,0,0
2020-12-16,2,1,0
2020-12-17,7,0,5
2020-12-18,9,0,0
2020-12-19,0,0,0
2020-12-20,4,0,0
2020-12-21,4,7,0
2020-12-22,3,1,3
2020-12-23,0,0,2
2020-12-24,2,1,2
2020-12-25,1,0,0
2020-12-26,0,0,0
2020-12-27,0,0,1
2020-12-28,1,0,4
2020-12-29,1,0,11
2020-12-30,1,1,0
2020-12-31,0,2,0
2021-01-01,0,1,0
2021-01-02,2,0,0
2021-01-03,5,0,3
2021-01-04,3,1,0
2021-01-05,4,0,0
2021-01-06,2,0,0
2021-01-07,5,0,5
2021-01-08,10,0,5
2021-01-09,3,0,0
2021-01-10,1,0,2
2021-01-11,4,0,5
2021-01-12,3,0,0
2021-01-13,11,0,0
2021-01-14,9,2,0
2021-01-15,5,0,0
2021-01-16,0,0,0
2021-01-17,2,0,0
2021-01-18,0,0,0
2021-01-19,5,0,0
2021-01-20,2,0,3
2021-01-21,12,0,0
2021-01-22,15,0,0
2021-01-23,5,0,0
2021-01-24,4,0,0
2021-01-25,9,0,3
2021-01-26,10,0,4
2021-01-27,5,0,0
2021-01-28,9,0,0
2021-01-29,3,0,0
2021-01-30,4,0,4
2021-01-31,6,0,2
2021-02-01,9,0,2
2021-02-02,25,2,3
2021-02-03,7,9,0
2021-02-04,11,1,2
2021-02-05,5,12,1
2021-02-06,7,0,13
2021-02-07,7,0,3
2021-02-08,9,2,0
2021-02-09,22,4,0
2021-02-10,12,2,3
2021-02-11,20,3,3
2021-02-12,9,1,1
2021-02-13,20,0,0
2021-02-14,5,0,0
2021-02-15,13,0,0
2021-02-16,6,0,2
2021-02-17,10,3,6
2021-02-18,4,5,6
2021-02-19,6,1,0
2021-02-20,4,0,0
2021-02-21,4,0,2
2021-02-22,15,9,9
2021-02-23,11,3,0
2021-02-24,5,8,3
2021-02-25,2,0,0
2021-02-26,0,0,1
2021-02-27,0,0,0
2021-02-28,1,2,2
2021-03-01,12,0,0
2021-03-02,8,4,0
2021-03-03,10,2,1
2021-03-04,4,0,0
2021-03-05,2,1,0
2021-03-06,3,0,0
2021-03-07,1,0,0
2021-03-08,3,0,9
2021-03-09,5,4,1
2021-03-10,6,0,5
2021-03-11,7,2,0
2021-03-12,7,4,0
2021-03-13,4,0,0
2021-03-14,0,0,0
2021-03-15,34,2,2
2021-03-16,15,0,0
2021-03-17,9,0,0
2021-03-18,9,5,1
2021-03-19,9,4,1
2021-03-20,0,0,0
2021-03-21,1,0,4
2021-03-22,4,4,0
2021-03-23,11,3,2
2021-03-24,3,0,0
2021-03-25,2,6,0
2021-03-26,3,3,0
2021-03-27,1,0,0
2021-03-28,0,0,0
2021-03-29,5,1,0
2021-03-30,9,0,3
2021-03-31,1,0,0
2021-04-01,3,15,0
2021-04-02,0,3,0
2021-04-03,0,3,0
2021-04-04,0,3,2
2021-04-05,0,1,3
2021-04-06,2,3,0
2021-04-07,6,2,0
2021-04-08,8,0,0
2021-04-09,5,2,0
2021-04-10,0,0,0
2021-04-11,3,0,0
2021-04-12,14,1,0
2021-04-13,17,12,0
2021-04-14,1,7,0
2021-04-15,2,1,0
2021-04-16,0,0,0
2021-04-17,0,0,0
2021-04-18,0,0,0
2021-04-19,5,0,0
2021-04-20,9,3,0
2021-04-21,6,1,0
2021-04-22,6,0,0
2021-04-23,0,0,5
2021-04-24,2,0,2
2021-04-25,0,0,0
2021-04-26,5,2,4
2021-04-27,5,1,0
2021-04-28,0,2,0
2021-04-29,4,0,0
2021-04-30,0,0,0
2021-05-01,0,1,0
2021-05-02,2,0,0
2021-05-03,1,0,0
2021-05-04,2,0,0
2021-05-05,4,0,0
2021-05-06,9,1,0
2021-05-07,2,0,0
2021-05-08,0,0,0
2021-05-09,1,0,0
2021-05-10,9,2,0
2021-05-11,11,2,0
2021-05-12,11,1,0
2021-05-13,2,0,0
2021-05-14,0,0,0
2021-05-15,0,0,0
2021-05-16,0,1,0
2021-05-17,1,0,0
2021-05-18,5,1,0
2021-05-19,6,0,0
2021-05-20,0,0,3
2021-05-21,1,0,2
2021-05-22,0,0,0
2021-05-23,0,0,0
2021-05-24,13,0,3
2021-05-25,3,0,0
2021-05-26,6,0,0
2021-05-27,3,0,0
2021-05-28,0,1,0
2021-05-29,0,0,0
2021-05-30,0,0,4
2021-05-31,0,0,4
2021-06-01,2,6,0
2021-06-02,4,0,0
2021-06-03,5,0,0
2021-06-04,13,1,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,6,1,0
2021-06-08,8,0,0
2021-06-09,6,0,4
2021-06-10,18,0,0
2021-06-11,2,4,0
2021-06-12,0,0,0
2021-06-13,2,0,0
2021-06-14,3,6,0
2021-06-15,3,2,0
2021-06-16,5,0,0
2021-06-17,4,0,0
2021-06-18,0,0,0
2021-06-19,0,0,0
2021-06-20,0,0,0
2021-06-21,0,0,0
2021-06-22,3,0,0
2021-06-23,0,1,1
2021-06-24,2,1,0
2021-06-25,3,0,1
2021-06-26,0,1,1
2021-06-27,0,0,4
2021-06-28,4,0,3
2021-06-29,3,3,2
2021-06-30,4,0,2
2021-07-01,4,0,1
2021-07-02,4,0,1
2021-07-03,2,0,0
2021-07-04,0,0,0
2021-07-05,3,0,0
2021-07-06,8,0,0
2021-07-07,1,0,0
2021-07-08,3,4,3
2021-07-09,1,0,0
2021-07-10,0,0,9
2021-07-11,0,0,10
2021-07-12,7,2,0
2021-07-13,7,1,0
2021-07-14,1,4,0
2021-07-15,6,0,0
2021-07-16,7,3,0
2021-07-17,0,0,0
2021-07-18,0,0,0
2021-07-19,2,1,1
2021-07-20,3,0,0
2021-07-21,2,1,1
2021-07-22,0,1,0
2021-07-23,1,0,0
2021-07-24,0,1,0
2021-07-25,0,0,0
2021-07-26,0,1,4
2021-07-27,2,3,3
2021-07-28,3,5,0
2021-07-29,1,2,0
2021-07-30,3,2,1
2021-07-31,0,0,0
2021-08-01,0,1,3
2021-08-02,0,1,2
2021-08-03,2,3,0
2021-08-04,0,0,0
2021-08-05,10,1,0
2021-08-06,3,0,0
2021-08-07,0,1,0
2021-08-08,0,1,0
2021-08-09,5,1,1
2021-08-10,8,5,0
2021-08-11,5,6,0
2021-08-12,1,0,0
2021-08-13,3,0,0
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,9,9,1
2021-08-17,0,1,0
2021-08-18,4,5,0
2021-08-19,0,3,2
2021-08-20,3,1,0
2021-08-21,1,0,0
2021-08-22,0,0,0
2021-08-23,3,1,0
2021-08-24,4,4,0
2021-08-25,0,0,0
2021-08-26,4,0,0
2021-08-27,2,0,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,7,0,0
2021-08-31,8,0,0
2021-09-01,14,0,1
2021-09-02,2,0,1
2021-09-03,1,0,0
2021-09-04,0,0,0
2021-09-05,5,0,0
2021-09-06,3,0,1
2021-09-07,3,0,0
2021-09-08,7,0,0
2021-09-09,1,0,0
2021-09-10,4,0,0
2021-09-11,0,0,0
2021-09-12,1,1,5
2021-09-13,6,0,0
2021-09-14,5,0,0
2021-09-15,2,0,0
2021-09-16,6,0,0
2021-09-17,5,0,0
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,10,0,0
2021-09-21,11,1,0
2021-09-22,10,0,0
2021-09-23,0,0,0
2021-09-24,17,0,0
2021-09-25,2,1,0
2021-09-26,0,2,0
2021-09-27,11,2,2
2021-09-28,38,0,0
2021-09-29,17,0,0
2021-09-30,11,1,0
