,iterate-ch/cyberduck,rclone/rclone,aws/aws-cli
2013-02-18,0,0,1
2013-02-19,0,0,5
2013-02-20,0,0,0
2013-02-21,0,0,0
2013-02-22,0,0,6
2013-02-23,0,0,1
2013-02-24,0,0,2
2013-02-25,0,0,1
2013-02-26,0,0,0
2013-02-27,0,0,2
2013-02-28,0,0,0
2013-03-01,0,0,2
2013-03-02,0,0,0
2013-03-03,0,0,0
2013-03-04,0,0,0
2013-03-05,0,0,0
2013-03-06,0,0,10
2013-03-07,0,0,1
2013-03-08,1,0,0
2013-03-09,0,0,6
2013-03-10,0,0,4
2013-03-11,0,0,15
2013-03-12,0,0,0
2013-03-13,0,0,2
2013-03-14,0,0,4
2013-03-15,0,0,5
2013-03-16,2,0,0
2013-03-17,0,0,0
2013-03-18,0,0,2
2013-03-19,0,0,0
2013-03-20,0,0,0
2013-03-21,11,0,0
2013-03-22,3,0,0
2013-03-23,3,0,0
2013-03-24,2,0,0
2013-03-25,0,0,2
2013-03-26,0,0,3
2013-03-27,0,0,0
2013-03-28,0,0,0
2013-03-29,0,0,0
2013-03-30,0,0,0
2013-03-31,0,0,0
2013-04-01,0,0,0
2013-04-02,0,0,0
2013-04-03,16,0,1
2013-04-04,9,0,0
2013-04-05,6,0,0
2013-04-06,0,0,0
2013-04-07,1,0,0
2013-04-08,13,0,1
2013-04-09,2,0,0
2013-04-10,12,0,5
2013-04-11,12,0,4
2013-04-12,0,0,7
2013-04-13,0,0,0
2013-04-14,0,0,0
2013-04-15,3,0,0
2013-04-16,10,0,0
2013-04-17,8,0,1
2013-04-18,9,0,6
2013-04-19,12,0,5
2013-04-20,8,0,3
2013-04-21,0,0,2
2013-04-22,4,0,1
2013-04-23,27,0,6
2013-04-24,9,0,1
2013-04-25,9,0,1
2013-04-26,0,0,0
2013-04-27,0,0,0
2013-04-28,0,0,0
2013-04-29,21,0,2
2013-04-30,3,0,5
2013-05-01,2,0,3
2013-05-02,21,0,8
2013-05-03,12,0,0
2013-05-04,0,0,0
2013-05-05,0,0,2
2013-05-06,8,0,0
2013-05-07,0,0,7
2013-05-08,0,0,1
2013-05-09,3,0,2
2013-05-10,3,0,1
2013-05-11,0,0,2
2013-05-12,0,0,2
2013-05-13,6,0,1
2013-05-14,0,0,2
2013-05-15,0,0,1
2013-05-16,10,0,7
2013-05-17,3,0,8
2013-05-18,0,0,0
2013-05-19,0,0,1
2013-05-20,0,0,5
2013-05-21,2,0,7
2013-05-22,1,0,1
2013-05-23,7,0,3
2013-05-24,15,0,2
2013-05-25,0,0,3
2013-05-26,0,0,0
2013-05-27,0,0,0
2013-05-28,0,0,3
2013-05-29,0,0,2
2013-05-30,5,0,4
2013-05-31,1,0,2
2013-06-01,0,0,0
2013-06-02,0,0,0
2013-06-03,3,0,0
2013-06-04,8,0,0
2013-06-05,3,0,4
2013-06-06,0,0,1
2013-06-07,17,0,0
2013-06-08,1,0,0
2013-06-09,0,0,0
2013-06-10,12,0,8
2013-06-11,26,0,19
2013-06-12,0,0,2
2013-06-13,0,0,0
2013-06-14,20,0,3
2013-06-15,0,0,0
2013-06-16,3,0,0
2013-06-17,0,0,0
2013-06-18,6,0,0
2013-06-19,6,0,0
2013-06-20,6,0,0
2013-06-21,69,0,0
2013-06-22,2,0,1
2013-06-23,20,0,0
2013-06-24,12,0,0
2013-06-25,58,0,0
2013-06-26,71,0,3
2013-06-27,29,6,0
2013-06-28,39,2,2
2013-06-29,64,5,0
2013-06-30,6,0,0
2013-07-01,7,0,6
2013-07-02,38,1,9
2013-07-03,21,0,0
2013-07-04,28,0,0
2013-07-05,47,0,0
2013-07-06,7,0,0
2013-07-07,38,0,0
2013-07-08,39,0,0
2013-07-09,51,0,4
2013-07-10,42,0,14
2013-07-11,15,2,7
2013-07-12,0,0,5
2013-07-13,46,0,3
2013-07-14,15,0,3
2013-07-15,37,0,8
2013-07-16,55,0,0
2013-07-17,34,0,4
2013-07-18,37,0,18
2013-07-19,38,0,2
2013-07-20,2,0,0
2013-07-21,28,0,0
2013-07-22,9,0,2
2013-07-23,46,0,0
2013-07-24,56,0,0
2013-07-25,9,0,3
2013-07-26,30,0,2
2013-07-27,3,0,2
2013-07-28,45,0,4
2013-07-29,20,0,0
2013-07-30,37,0,3
2013-07-31,25,0,6
2013-08-01,0,0,3
2013-08-02,0,0,3
2013-08-03,0,0,0
2013-08-04,2,0,0
2013-08-05,3,0,2
2013-08-06,0,0,1
2013-08-07,5,0,1
2013-08-08,8,0,1
2013-08-09,13,0,1
2013-08-10,3,0,0
2013-08-11,5,0,0
2013-08-12,2,0,5
2013-08-13,13,0,25
2013-08-14,4,0,11
2013-08-15,2,0,0
2013-08-16,0,0,19
2013-08-17,0,0,0
2013-08-18,22,0,0
2013-08-19,3,0,13
2013-08-20,1,0,5
2013-08-21,10,0,20
2013-08-22,8,0,5
2013-08-23,10,0,15
2013-08-24,0,0,0
2013-08-25,12,0,0
2013-08-26,7,0,12
2013-08-27,0,0,6
2013-08-28,18,0,13
2013-08-29,0,0,25
2013-08-30,0,0,17
