,microsoft/TypeScript,sindresorhus/type-fest,definitelytyped/definitelytyped
2023-05-13,2,0,4
2023-05-14,1,0,2
2023-05-15,4,0,7
2023-05-16,3,0,8
2023-05-17,3,1,9
2023-05-18,4,0,6
2023-05-19,3,0,3
2023-05-20,4,3,0
2023-05-21,1,0,7
2023-05-22,4,0,13
2023-05-23,1,0,8
2023-05-24,11,0,12
2023-05-25,4,0,6
2023-05-26,7,0,3
2023-05-27,0,0,3
2023-05-28,0,0,5
2023-05-29,0,0,3
2023-05-30,5,3,5
2023-05-31,1,0,5
2023-06-01,5,0,3
2023-06-02,3,0,3
2023-06-03,1,0,0
2023-06-04,0,1,0
2023-06-05,5,0,5
2023-06-06,5,0,18
2023-06-07,2,0,4
2023-06-08,6,0,21
2023-06-09,4,0,3
2023-06-10,1,0,5
2023-06-11,1,0,3
2023-06-12,5,0,13
2023-06-13,6,0,13
2023-06-14,2,2,6
2023-06-15,1,0,2
2023-06-16,2,0,8
2023-06-17,1,0,0
2023-06-18,0,0,0
2023-06-19,0,0,11
2023-06-20,5,1,7
2023-06-21,3,0,5
2023-06-22,4,0,3
2023-06-23,5,0,9
2023-06-24,1,0,2
2023-06-25,1,0,3
2023-06-26,9,0,6
2023-06-27,5,0,5
2023-06-28,2,1,8
2023-06-29,4,0,14
2023-06-30,6,0,7
2023-07-01,2,0,0
2023-07-02,0,0,2
2023-07-03,3,0,3
2023-07-04,1,0,1
2023-07-05,2,0,10
2023-07-06,4,0,9
2023-07-07,3,0,12
2023-07-08,1,0,2
2023-07-09,0,3,5
2023-07-10,3,0,9
2023-07-11,1,0,5
2023-07-12,4,0,12
2023-07-13,5,0,9
2023-07-14,2,0,3
2023-07-15,1,0,2
2023-07-16,0,9,2
2023-07-17,2,0,7
2023-07-18,3,0,3
2023-07-19,3,0,4
2023-07-20,7,0,6
2023-07-21,4,0,3
2023-07-22,1,0,4
2023-07-23,1,0,1
2023-07-24,6,0,10
2023-07-25,2,0,20
2023-07-26,3,0,9
2023-07-27,1,1,6
2023-07-28,6,0,7
2023-07-29,1,0,3
2023-07-30,0,2,2
2023-07-31,3,0,19
2023-08-01,2,0,10
2023-08-02,2,0,6
2023-08-03,6,0,7
2023-08-04,2,0,8
2023-08-05,4,0,8
2023-08-06,1,0,3
2023-08-07,7,0,12
2023-08-08,5,4,8
2023-08-09,5,0,11
2023-08-10,1,0,4
2023-08-11,2,0,7
2023-08-12,1,0,3
2023-08-13,0,1,1
2023-08-14,7,1,11
2023-08-15,8,0,8
2023-08-16,8,0,1
2023-08-17,4,0,4
2023-08-18,0,0,7
2023-08-19,1,0,2
2023-08-20,0,0,3
2023-08-21,1,0,5
2023-08-22,3,0,8
2023-08-23,8,0,5
2023-08-24,8,1,12
2023-08-25,2,1,3
2023-08-26,5,3,4
2023-08-27,0,2,0
2023-08-28,11,0,8
2023-08-29,4,0,6
2023-08-30,4,0,11
2023-08-31,2,0,7
2023-09-01,3,0,6
2023-09-02,1,0,6
2023-09-03,1,0,4
2023-09-04,0,1,3
2023-09-05,1,0,7
2023-09-06,4,0,8
2023-09-07,2,0,3
2023-09-08,2,0,7
2023-09-09,1,0,5
2023-09-10,0,0,1
2023-09-11,3,0,14
2023-09-12,5,0,12
2023-09-13,13,0,16
2023-09-14,4,0,7
2023-09-15,4,0,12
2023-09-16,1,0,10
2023-09-17,1,0,2
2023-09-18,2,0,13
2023-09-19,5,0,8
2023-09-20,5,0,9
2023-09-21,6,0,6
2023-09-22,11,0,8
2023-09-23,3,0,5
2023-09-24,1,0,5
2023-09-25,3,0,10
2023-09-26,5,3,13
2023-09-27,3,0,9
2023-09-28,2,0,2
2023-09-29,8,0,4
2023-09-30,1,3,3
2023-10-01,1,0,2
2023-10-02,4,0,15
2023-10-03,3,0,12
2023-10-04,5,0,20
2023-10-05,5,0,12
2023-10-06,2,0,9
2023-10-07,1,2,6
2023-10-08,1,0,7
2023-10-09,3,0,31
2023-10-10,4,0,22
2023-10-11,1,0,15
2023-10-12,4,0,15
2023-10-13,2,0,9
2023-10-14,1,0,5
2023-10-15,1,0,1
2023-10-16,4,1,5
2023-10-17,1,3,13
2023-10-18,1,3,18
2023-10-19,4,0,18
2023-10-20,2,0,6
2023-10-21,1,3,1
2023-10-22,0,0,6
2023-10-23,2,1,5
2023-10-24,5,1,5
2023-10-25,5,6,11
2023-10-26,5,1,11
2023-10-27,3,0,11
2023-10-28,5,0,2
2023-10-29,1,0,4
2023-10-30,4,1,14
2023-10-31,2,0,9
2023-11-01,1,0,8
2023-11-02,3,1,6
2023-11-03,10,0,12
2023-11-04,1,1,4
2023-11-05,1,0,5
2023-11-06,3,0,9
2023-11-07,3,1,9
2023-11-08,2,4,7
2023-11-09,3,2,5
2023-11-10,1,0,7
2023-11-11,0,1,3
2023-11-12,0,0,2
2023-11-13,4,4,3
2023-11-14,2,0,3
2023-11-15,5,3,4
2023-11-16,6,0,12
2023-11-17,4,4,4
2023-11-18,1,1,1
2023-11-19,1,0,0
2023-11-20,4,1,12
2023-11-21,13,2,16
2023-11-22,5,0,15
2023-11-23,0,0,9
2023-11-24,0,1,3
2023-11-25,0,0,1
2023-11-26,0,0,2
2023-11-27,5,0,9
2023-11-28,7,1,21
2023-11-29,10,0,10
2023-11-30,10,0,9
2023-12-01,4,0,10
2023-12-02,2,2,7
2023-12-03,0,0,16
2023-12-04,3,2,66
2023-12-05,3,0,38
2023-12-06,3,0,76
2023-12-07,5,1,11
2023-12-08,7,0,10
2023-12-09,0,0,4
2023-12-10,1,0,0
2023-12-11,7,0,9
2023-12-12,2,0,24
2023-12-13,6,0,10
2023-12-14,0,0,6
2023-12-15,4,1,25
2023-12-16,1,0,5
2023-12-17,0,0,6
2023-12-18,1,0,9
2023-12-19,1,0,4
2023-12-20,1,0,3
2023-12-21,1,0,12
2023-12-22,0,0,7
2023-12-23,0,0,2
2023-12-24,0,0,2
2023-12-25,0,0,3
2023-12-26,1,0,8
2023-12-27,0,2,21
2023-12-28,0,0,17
2023-12-29,0,0,14
2023-12-30,1,0,6
2023-12-31,0,0,1
2024-01-01,0,0,21
2024-01-02,9,1,17
2024-01-03,3,0,16
2024-01-04,5,1,4
2024-01-05,3,0,5
2024-01-06,1,0,6
2024-01-07,0,0,2
2024-01-08,2,0,11
2024-01-09,9,0,12
2024-01-10,5,0,5
2024-01-11,7,0,8
2024-01-12,3,0,5
2024-01-13,1,0,1
2024-01-14,0,0,5
2024-01-15,1,0,5
2024-01-16,6,0,10
2024-01-17,2,0,9
2024-01-18,3,0,5
2024-01-19,9,0,9
2024-01-20,1,0,5
2024-01-21,0,2,4
2024-01-22,2,1,14
2024-01-23,2,0,6
2024-01-24,2,2,7
2024-01-25,3,0,21
2024-01-26,1,0,16
2024-01-27,1,0,5
2024-01-28,2,0,5
2024-01-29,4,0,11
2024-01-30,4,2,8
2024-01-31,3,0,11
2024-02-01,4,0,23
2024-02-02,3,0,5
2024-02-03,0,0,9
2024-02-04,1,0,4
2024-02-05,1,0,9
2024-02-06,1,0,11
2024-02-07,5,0,18
2024-02-08,1,0,15
2024-02-09,2,0,8
2024-02-10,1,0,4
2024-02-11,1,0,4
2024-02-12,3,0,14
2024-02-13,6,0,11
2024-02-14,2,0,5
2024-02-15,4,0,13
2024-02-16,5,0,5
2024-02-17,1,0,6
2024-02-18,0,0,2
2024-02-19,1,0,8
2024-02-20,3,0,6
2024-02-21,3,0,7
2024-02-22,4,2,11
2024-02-23,8,0,23
2024-02-24,1,0,10
2024-02-25,1,0,0
2024-02-26,4,0,27
2024-02-27,3,0,20
2024-02-28,5,0,10
2024-02-29,2,0,34
2024-03-01,5,0,24
2024-03-02,4,0,5
2024-03-03,1,0,2
2024-03-04,6,3,13
2024-03-05,0,2,14
2024-03-06,3,0,7
2024-03-07,1,0,8
2024-03-08,4,2,8
2024-03-09,0,0,1
2024-03-10,1,0,2
2024-03-11,7,0,10
2024-03-12,6,1,3
2024-03-13,4,0,3
2024-03-14,3,0,7
2024-03-15,9,0,7
2024-03-16,2,1,2
2024-03-17,1,0,7
2024-03-18,7,2,20
2024-03-19,5,2,19
2024-03-20,6,3,10
2024-03-21,7,0,21
2024-03-22,1,1,20
2024-03-23,0,0,5
2024-03-24,0,2,1
2024-03-25,8,0,14
2024-03-26,4,0,8
2024-03-27,15,0,4
2024-03-28,5,0,8
2024-03-29,9,0,9
2024-03-30,1,1,8
2024-03-31,0,1,2
2024-04-01,2,0,6
2024-04-02,7,4,5
2024-04-03,7,1,14
2024-04-04,11,0,13
2024-04-05,5,0,16
2024-04-06,1,0,1
2024-04-07,1,0,6
2024-04-08,4,1,5
2024-04-09,4,1,22
2024-04-10,3,1,11
2024-04-11,2,0,7
2024-04-12,8,1,6
2024-04-13,1,1,3
2024-04-14,0,0,6
2024-04-15,2,0,13
2024-04-16,6,0,7
2024-04-17,5,0,7
2024-04-18,5,0,5
2024-04-19,17,0,12
2024-04-20,1,0,3
2024-04-21,0,0,1
2024-04-22,1,2,3
2024-04-23,0,0,3
2024-04-24,5,3,3
2024-04-25,5,0,3
2024-04-26,6,0,3
2024-04-27,0,0,4
2024-04-28,0,0,0
2024-04-29,4,6,5
2024-04-30,3,0,3
2024-05-01,4,2,14
2024-05-02,1,0,12
2024-05-03,1,0,11
2024-05-04,0,0,5
2024-05-05,0,0,1
2024-05-06,4,2,8
2024-05-07,6,0,4
2024-05-08,4,0,4
2024-05-09,2,0,2
2024-05-10,6,0,5
2024-05-11,0,0,3
2024-05-12,0,0,3
