,google/closure-compiler,rescript-lang/rescript-compiler,microsoft/typescript
2018-09-08,1,0,2
2018-09-09,0,0,0
2018-09-10,0,6,17
2018-09-11,20,8,34
2018-09-12,2,6,17
2018-09-13,23,13,22
2018-09-14,9,2,24
2018-09-15,0,12,8
2018-09-16,0,4,2
2018-09-17,0,11,47
2018-09-18,26,3,27
2018-09-19,7,10,4
2018-09-20,0,1,4
2018-09-21,17,8,8
2018-09-22,16,2,0
2018-09-23,0,1,1
2018-09-24,0,0,9
2018-09-25,0,0,7
2018-09-26,0,0,23
2018-09-27,27,7,5
2018-09-28,27,0,10
2018-09-29,0,0,1
2018-09-30,0,0,1
2018-10-01,0,10,22
2018-10-02,22,15,10
2018-10-03,0,4,15
2018-10-04,14,1,18
2018-10-05,15,3,12
2018-10-06,0,9,5
2018-10-07,0,7,5
2018-10-08,2,3,21
2018-10-09,5,9,15
2018-10-10,2,12,11
2018-10-11,4,6,16
2018-10-12,6,2,4
2018-10-13,0,2,0
2018-10-14,0,0,0
2018-10-15,2,0,10
2018-10-16,3,0,10
2018-10-17,3,0,5
2018-10-18,0,0,8
2018-10-19,11,11,7
2018-10-20,0,4,4
2018-10-21,0,3,6
2018-10-22,0,7,16
2018-10-23,5,5,9
2018-10-24,4,2,9
2018-10-25,0,6,12
2018-10-26,0,7,15
2018-10-27,0,2,1
2018-10-28,0,6,3
2018-10-29,0,4,14
2018-10-30,29,9,22
2018-10-31,5,1,46
2018-11-01,0,3,16
2018-11-02,7,3,15
2018-11-03,3,8,4
2018-11-04,0,2,0
2018-11-05,4,2,31
2018-11-06,0,1,17
2018-11-07,10,0,17
2018-11-08,6,0,19
2018-11-09,0,8,31
2018-11-10,0,1,14
2018-11-11,0,9,1
2018-11-12,12,6,23
2018-11-13,6,5,11
2018-11-14,5,0,4
2018-11-15,3,0,17
2018-11-16,0,0,16
2018-11-17,9,3,6
2018-11-18,0,10,0
2018-11-19,9,0,13
2018-11-20,4,8,13
2018-11-21,3,1,8
2018-11-22,0,8,1
2018-11-23,0,8,0
2018-11-24,0,3,0
2018-11-25,0,12,0
2018-11-26,5,7,4
2018-11-27,0,2,0
2018-11-28,6,8,8
2018-11-29,0,3,4
2018-11-30,8,11,9
2018-12-01,0,2,9
2018-12-02,0,16,0
2018-12-03,0,10,7
2018-12-04,7,5,13
2018-12-05,0,3,13
2018-12-06,2,0,26
2018-12-07,17,1,6
2018-12-08,1,0,9
2018-12-09,0,1,5
2018-12-10,0,6,11
2018-12-11,2,0,20
2018-12-12,0,5,5
2018-12-13,11,9,7
2018-12-14,0,5,3
2018-12-15,6,3,0
2018-12-16,0,1,4
2018-12-17,9,8,9
2018-12-18,5,0,19
2018-12-19,9,0,11
2018-12-20,0,0,25
2018-12-21,17,5,14
2018-12-22,0,3,1
2018-12-23,0,0,1
2018-12-24,0,0,0
2018-12-25,0,2,1
2018-12-26,5,0,3
2018-12-27,0,12,3
2018-12-28,2,11,10
2018-12-29,0,10,1
2018-12-30,0,2,0
2018-12-31,0,5,14
2019-01-01,0,11,4
2019-01-02,0,6,1
2019-01-03,2,1,15
2019-01-04,3,18,4
2019-01-05,0,3,0
2019-01-06,0,11,1
2019-01-07,7,0,4
2019-01-08,6,0,5
2019-01-09,5,15,13
2019-01-10,2,2,13
2019-01-11,12,7,18
2019-01-12,0,0,2
2019-01-13,0,0,1
2019-01-14,10,18,11
2019-01-15,7,6,18
2019-01-16,5,9,15
2019-01-17,7,5,19
2019-01-18,8,6,8
2019-01-19,0,0,12
2019-01-20,0,17,4
2019-01-21,0,10,0
2019-01-22,13,16,7
2019-01-23,7,10,7
2019-01-24,0,11,30
2019-01-25,11,13,38
2019-01-26,8,0,6
2019-01-27,0,0,4
2019-01-28,0,16,15
2019-01-29,15,1,15
2019-01-30,8,17,21
2019-01-31,3,7,21
2019-02-01,4,0,31
2019-02-02,3,0,13
2019-02-03,0,0,10
2019-02-04,2,6,19
2019-02-05,0,5,12
2019-02-06,15,7,23
2019-02-07,8,9,32
2019-02-08,14,7,7
2019-02-09,0,9,1
2019-02-10,0,1,7
2019-02-11,0,2,18
2019-02-12,12,4,0
2019-02-13,7,6,7
2019-02-14,4,9,9
2019-02-15,13,9,8
2019-02-16,0,1,1
2019-02-17,0,2,1
2019-02-18,0,5,2
2019-02-19,5,3,11
2019-02-20,0,6,14
2019-02-21,19,12,14
2019-02-22,5,3,15
2019-02-23,0,4,6
2019-02-24,0,0,0
2019-02-25,4,6,10
2019-02-26,6,0,21
2019-02-27,4,10,12
2019-02-28,8,0,16
2019-03-01,4,13,19
2019-03-02,0,11,7
2019-03-03,0,6,1
2019-03-04,3,0,8
2019-03-05,14,4,13
2019-03-06,9,3,10
2019-03-07,11,2,6
2019-03-08,6,0,19
2019-03-09,2,0,11
2019-03-10,0,0,2
2019-03-11,11,4,9
2019-03-12,0,0,15
2019-03-13,3,14,22
2019-03-14,7,16,16
2019-03-15,0,0,10
2019-03-16,11,0,2
2019-03-17,0,0,0
2019-03-18,0,3,12
2019-03-19,11,7,10
2019-03-20,10,1,6
2019-03-21,6,4,4
2019-03-22,3,0,5
2019-03-23,0,5,2
2019-03-24,0,12,37
2019-03-25,3,12,2
2019-03-26,4,1,9
2019-03-27,10,12,8
2019-03-28,10,1,7
2019-03-29,0,4,6
2019-03-30,0,3,1
2019-03-31,0,1,2
2019-04-01,0,6,5
2019-04-02,0,15,17
2019-04-03,17,0,15
2019-04-04,4,1,19
2019-04-05,8,1,9
2019-04-06,0,2,7
2019-04-07,0,3,2
2019-04-08,4,13,18
2019-04-09,6,2,2
2019-04-10,5,2,4
2019-04-11,11,5,9
2019-04-12,4,1,8
2019-04-13,0,0,3
2019-04-14,0,0,0
2019-04-15,10,14,8
2019-04-16,2,11,15
2019-04-17,0,5,25
2019-04-18,12,9,34
2019-04-19,12,0,16
2019-04-20,6,5,0
2019-04-21,0,5,0
2019-04-22,0,10,4
2019-04-23,0,7,20
2019-04-24,14,0,22
2019-04-25,13,2,26
2019-04-26,2,5,12
2019-04-27,0,2,9
2019-04-28,0,13,5
2019-04-29,3,7,29
2019-04-30,10,1,23
2019-05-01,9,0,19
2019-05-02,9,0,14
2019-05-03,4,0,6
2019-05-04,0,0,0
2019-05-05,0,0,3
2019-05-06,12,0,6
2019-05-07,10,0,10
2019-05-08,6,0,10
2019-05-09,6,0,4
2019-05-10,6,0,7
2019-05-11,0,0,4
2019-05-12,0,0,2
2019-05-13,10,0,11
2019-05-14,10,0,7
2019-05-15,2,0,7
2019-05-16,12,0,4
2019-05-17,9,0,5
2019-05-18,0,0,0
2019-05-19,0,1,0
2019-05-20,7,12,11
2019-05-21,11,4,13
2019-05-22,0,0,17
2019-05-23,6,0,15
2019-05-24,7,0,14
2019-05-25,9,0,0
2019-05-26,0,0,0
2019-05-27,0,3,1
2019-05-28,0,11,6
2019-05-29,10,14,5
2019-05-30,10,2,14
2019-05-31,6,7,33
2019-06-01,0,0,4
2019-06-02,0,0,3
2019-06-03,2,13,7
2019-06-04,9,7,6
2019-06-05,0,10,18
2019-06-06,6,4,22
2019-06-07,1,0,9
2019-06-08,1,1,2
2019-06-09,0,4,7
2019-06-10,0,7,3
2019-06-11,6,6,7
2019-06-12,1,11,6
2019-06-13,0,16,4
2019-06-14,9,8,32
2019-06-15,0,0,1
2019-06-16,0,4,0
2019-06-17,3,5,9
2019-06-18,6,13,8
2019-06-19,4,1,23
2019-06-20,4,15,20
2019-06-21,1,8,19
2019-06-22,0,0,6
2019-06-23,0,0,5
2019-06-24,3,9,8
2019-06-25,3,4,15
2019-06-26,12,4,19
2019-06-27,8,5,17
2019-06-28,2,2,18
