,elastic/elasticsearch,typesense/typesense,meilisearch/meilisearch
2018-06-22,19,0.0,0.0
2018-06-23,5,0.0,0.0
2018-06-24,3,0.0,1.0
2018-06-25,18,0.0,0.0
2018-06-26,16,0.0,0.0
2018-06-27,14,0.0,0.0
2018-06-28,27,0.0,0.0
2018-06-29,22,0.0,0.0
2018-06-30,1,0.0,0.0
2018-07-01,3,0.0,0.0
2018-07-02,10,0.0,0.0
2018-07-03,20,0.0,0.0
2018-07-04,11,0.0,0.0
2018-07-05,20,0.0,0.0
2018-07-06,18,0.0,0.0
2018-07-07,2,0.0,0.0
2018-07-08,3,0.0,0.0
2018-07-09,14,0.0,0.0
2018-07-10,16,0.0,0.0
2018-07-11,21,0.0,0.0
2018-07-12,23,0.0,0.0
2018-07-13,30,0.0,0.0
2018-07-14,3,0.0,0.0
2018-07-15,0,0.0,0.0
2018-07-16,28,0.0,0.0
2018-07-17,25,0.0,0.0
2018-07-18,23,0.0,0.0
2018-07-19,15,0.0,0.0
2018-07-20,30,0.0,0.0
2018-07-21,4,0.0,0.0
2018-07-22,2,0.0,0.0
2018-07-23,21,0.0,0.0
2018-07-24,23,0.0,0.0
2018-07-25,26,0.0,0.0
2018-07-26,24,0.0,0.0
2018-07-27,15,0.0,0.0
2018-07-28,5,0.0,0.0
2018-07-29,0,0.0,0.0
2018-07-30,19,3.0,0.0
2018-07-31,28,-0.5999999999999999,0.0
2018-08-01,24,-0.2400000000000002,0.0
2018-08-02,19,-0.1440000000000001,0.0
2018-08-03,29,0.8992,0.0
2018-08-04,1,-0.27660799999999997,0.0
2018-08-05,1,-0.1412864000000001,0.0
2018-08-06,23,-0.09878016000000006,0.0
2018-08-07,24,-0.07676313599999983,0.0
2018-08-08,16,-0.0629440511999999,0.0
2018-08-09,19,-0.02042880000000001,0.0
2018-08-10,26,0.9830732799999999,0.0
2018-08-11,1,-0.2143877119999999,0.0
2018-08-12,0,-0.09246935040000004,0.0
2018-08-13,18,-0.048000000000000036,0.0
2018-08-14,19,-0.03360000000000001,0.0
2018-08-15,24,1.974464,0.0
2018-08-16,24,-0.42042879999999994,0.0
2018-08-17,24,-0.17692672000000015,0.0
2018-08-18,7,0.889612288,0.0
2018-08-19,0,-0.27966935039999996,0.0
2018-08-20,29,-0.1310720000000001,0.0
2018-08-21,30,-0.08885760000000006,0.0
2018-08-22,23,-0.06745344000000003,0.0
2018-08-23,22,-0.05431142399999989,0.0
2018-08-24,26,-0.04536750079999994,0.0
2018-08-25,3,-0.01692672000000001,46.0
2018-08-26,5,0.9856122880000001,0.0
2018-08-27,23,-0.21246935039999992,0.0
2018-08-28,28,-0.08000000000000007,0.0
2018-08-29,25,-0.048000000000000036,1.0
2018-08-30,27,-0.03360000000000001,0.0
2018-08-31,36,0.974464,0.0
2018-09-01,4,0.7795712,0.0
2018-09-02,6,-0.29692672000000003,0.0
2018-09-03,19,-0.14238771200000006,0.0
2018-09-04,20,1.9059306496,0.0
2018-09-05,31,-0.45913599999999993,0.0
2018-09-06,23,-0.20596480000000017,0.0
2018-09-07,26,-0.1333555200000001,0.0
2018-09-08,7,0.901485568,0.0
2018-09-09,10,-0.27792906239999987,3.0
2018-09-10,20,-0.13332695040000006,2.0
2018-09-11,20,-0.08185344000000006,0.0
2018-09-12,28,-0.06237542399999989,0.0
2018-09-13,24,-0.05047470079999994,0.0
2018-09-14,31,-0.02042880000000001,2.0
2018-09-15,3,-0.01692672000000001,3.0
2018-09-16,4,-0.01438771199999994,0.0
2018-09-17,28,-0.012469350399999964,0.0
2018-09-18,33,0.0,1.0
2018-09-19,32,0.0,0.0
2018-09-20,32,0.0,1.0
2018-09-21,12,0.0,3.0
2018-09-22,8,0.0,0.0
2018-09-23,0,0.0,0.0
2018-09-24,24,0.0,3.0
2018-09-25,27,0.0,1.0
2018-09-26,26,0.0,2.0
2018-09-27,20,0.0,3.0
2018-09-28,30,0.0,0.0
2018-09-29,3,0.0,0.0
2018-09-30,5,0.0,0.0
2018-10-01,14,0.0,0.0
2018-10-02,33,0.0,0.0
2018-10-03,21,0.0,1.0
2018-10-04,22,0.0,1.0
2018-10-05,23,0.0,0.0
2018-10-06,6,0.0,0.0
2018-10-07,0,0.0,0.0
2018-10-08,7,0.0,0.0
2018-10-09,1,0.0,1.0
2018-10-10,4,0.0,1.0
2018-10-11,4,0.0,2.0
2018-10-12,6,0.0,0.0
2018-10-13,1,0.0,0.0
2018-10-14,4,0.0,0.0
2018-10-15,20,0.0,0.0
2018-10-16,32,0.0,0.0
2018-10-17,26,0.0,3.0
2018-10-18,22,0.0,3.0
2018-10-19,34,0.0,0.0
2018-10-20,16,0.0,0.0
2018-10-21,3,0.0,4.0
2018-10-22,19,0.0,0.0
2018-10-23,44,0.0,0.0
2018-10-24,37,0.0,0.0
2018-10-25,36,0.0,0.0
2018-10-26,38,0.0,0.0
2018-10-27,3,0.0,0.0
2018-10-28,3,0.0,0.0
2018-10-29,31,0.0,0.0
2018-10-30,35,0.0,0.0
2018-10-31,24,0.0,0.0
2018-11-01,27,0.0,0.0
2018-11-02,26,0.0,0.0
2018-11-03,2,0.0,0.0
2018-11-04,2,0.0,0.0
2018-11-05,21,0.0,0.0
2018-11-06,30,0.0,0.0
2018-11-07,26,0.0,0.0
2018-11-08,39,0.0,0.0
2018-11-09,17,0.0,0.0
2018-11-10,3,0.0,0.0
2018-11-11,1,0.0,0.0
2018-11-12,19,0.0,0.0
2018-11-13,29,0.0,0.0
2018-11-14,26,0.0,0.0
2018-11-15,24,0.0,0.0
2018-11-16,23,0.0,0.0
2018-11-17,3,0.0,0.0
2018-11-18,1,0.0,0.0
2018-11-19,23,0.0,0.0
2018-11-20,24,0.0,0.0
2018-11-21,39,0.0,0.0
2018-11-22,13,0.0,0.0
2018-11-23,15,0.0,0.0
2018-11-24,3,0.0,0.0
2018-11-25,1,0.0,0.0
2018-11-26,30,0.0,0.0
2018-11-27,41,0.0,0.0
2018-11-28,30,0.0,0.0
2018-11-29,38,0.0,0.0
2018-11-30,32,0.0,0.0
2018-12-01,5,0.0,0.0
2018-12-02,2,0.0,22.0
2018-12-03,22,0.0,0.0
2018-12-04,23,0.0,0.0
2018-12-05,38,0.0,0.0
2018-12-06,28,0.0,11.0
2018-12-07,38,0.0,8.0
2018-12-08,4,0.0,0.0
2018-12-09,7,0.0,5.0
2018-12-10,27,0.0,10.0
2018-12-11,38,0.0,4.0
2018-12-12,27,0.0,0.0
2018-12-13,29,0.0,3.0
2018-12-14,33,0.0,0.0
