,apolloauto/apollo,carla-simulator/carla,commaai/openpilot
2018-08-24,14,6,1
2018-08-25,7,0,1
2018-08-26,0,0,0
2018-08-27,2,2,2
2018-08-28,39,0,1
2018-08-29,16,4,0
2018-08-30,9,2,0
2018-08-31,14,0,0
2018-09-01,8,0,1
2018-09-02,4,0,0
2018-09-03,4,2,6
