,histoire-dev/histoire,tajo/ladle,storybookjs/storybook
2022-03-21,0,0,18
2022-03-22,3,0,20
2022-03-23,0,0,19
2022-03-24,2,0,2
2022-03-25,0,1,22
2022-03-26,0,0,1
2022-03-27,0,0,0
2022-03-28,0,0,26
2022-03-29,0,9,23
2022-03-30,0,2,15
2022-03-31,0,2,56
2022-04-01,0,0,36
2022-04-02,0,0,7
2022-04-03,0,0,13
2022-04-04,16,0,29
2022-04-05,0,0,42
2022-04-06,0,0,71
2022-04-07,0,0,47
2022-04-08,0,0,30
2022-04-09,13,0,8
2022-04-10,4,0,0
2022-04-11,0,2,18
2022-04-12,0,0,13
2022-04-13,0,0,24
2022-04-14,0,0,37
2022-04-15,0,0,14
2022-04-16,0,0,15
2022-04-17,0,0,10
2022-04-18,0,2,24
2022-04-19,11,2,21
2022-04-20,8,2,12
2022-04-21,10,0,32
2022-04-22,17,0,43
2022-04-23,3,0,19
2022-04-24,21,0,14
2022-04-25,0,0,22
2022-04-26,0,2,26
2022-04-27,0,0,20
2022-04-28,0,6,33
2022-04-29,0,2,23
2022-04-30,0,0,3
2022-05-01,11,0,2
2022-05-02,9,0,20
2022-05-03,1,10,31
2022-05-04,0,0,38
2022-05-05,0,2,14
2022-05-06,12,0,15
2022-05-07,0,0,4
2022-05-08,10,0,11
2022-05-09,30,0,74
2022-05-10,0,0,28
2022-05-11,2,11,27
2022-05-12,0,0,29
2022-05-13,0,0,9
2022-05-14,0,0,2
2022-05-15,0,0,2
2022-05-16,0,0,15
2022-05-17,0,1,21
2022-05-18,0,0,14
2022-05-19,0,0,18
2022-05-20,0,0,6
2022-05-21,0,0,9
2022-05-22,0,0,0
2022-05-23,0,0,20
2022-05-24,0,1,9
2022-05-25,0,3,16
2022-05-26,0,0,17
2022-05-27,0,0,22
2022-05-28,0,1,3
2022-05-29,0,0,8
2022-05-30,15,0,15
2022-05-31,20,0,45
2022-06-01,11,0,6
2022-06-02,19,0,14
2022-06-03,23,0,10
2022-06-04,7,0,0
2022-06-05,8,0,0
2022-06-06,9,0,46
2022-06-07,3,0,28
2022-06-08,7,0,20
2022-06-09,9,3,14
2022-06-10,1,3,21
2022-06-11,0,0,2
2022-06-12,0,7,8
2022-06-13,0,1,8
2022-06-14,1,1,30
2022-06-15,0,0,31
2022-06-16,0,0,22
2022-06-17,0,0,65
2022-06-18,0,0,10
2022-06-19,1,0,15
2022-06-20,3,0,33
2022-06-21,2,3,56
2022-06-22,9,0,28
2022-06-23,0,2,32
2022-06-24,0,5,17
2022-06-25,0,0,1
2022-06-26,0,0,0
2022-06-27,0,0,20
2022-06-28,0,1,25
2022-06-29,0,0,84
2022-06-30,0,0,44
2022-07-01,0,0,30
2022-07-02,0,0,22
2022-07-03,0,0,3
2022-07-04,0,0,29
2022-07-05,1,0,25
2022-07-06,3,0,54
2022-07-07,1,0,46
2022-07-08,1,0,29
2022-07-09,0,3,9
2022-07-10,0,10,11
2022-07-11,0,2,16
2022-07-12,0,0,21
2022-07-13,0,2,2
2022-07-14,1,0,10
2022-07-15,0,0,11
2022-07-16,0,0,4
2022-07-17,0,0,0
2022-07-18,0,2,15
2022-07-19,12,6,23
2022-07-20,5,1,3
2022-07-21,14,1,26
2022-07-22,10,0,17
2022-07-23,0,0,19
2022-07-24,0,0,2
2022-07-25,0,0,27
2022-07-26,0,0,37
2022-07-27,0,0,24
2022-07-28,4,0,21
2022-07-29,7,0,14
2022-07-30,13,0,0
2022-07-31,1,0,32
2022-08-01,3,0,22
2022-08-02,8,2,40
2022-08-03,1,0,17
2022-08-04,0,5,14
2022-08-05,1,0,12
2022-08-06,0,0,0
2022-08-07,0,1,1
2022-08-08,0,0,16
2022-08-09,9,2,43
2022-08-10,17,0,53
2022-08-11,4,0,22
2022-08-12,14,0,53
2022-08-13,6,0,6
2022-08-14,1,0,18
2022-08-15,0,0,47
2022-08-16,11,3,10
2022-08-17,4,0,47
2022-08-18,0,2,18
2022-08-19,0,0,9
2022-08-20,0,0,3
2022-08-21,0,0,2
2022-08-22,0,0,56
2022-08-23,18,0,38
2022-08-24,0,0,31
2022-08-25,0,4,45
