,apolloauto/apollo,carla-simulator/carla,commaai/openpilot
2021-09-04,1.0,0,4
2021-09-05,-0.3999999999999999,0,0
2021-09-06,0.88,0,11
2021-09-07,-0.4639999999999999,0,20
2021-09-08,-0.16160000000000005,0,9
2021-09-09,0.906048,6,6
2021-09-10,0.5354368,0,8
2021-09-11,0.4316774400000001,0,4
2021-09-12,-0.6221189119999999,0,8
2021-09-13,-0.2567687168,0,6
2021-09-14,0.849292288,0,19
2021-09-15,-0.5073133568,1,9
2021-09-16,-0.19128576000000003,20,11
2021-09-17,-0.120489472,0,10
2021-09-18,-0.08792442880000004,0,5
2021-09-19,-0.05790586880000001,0,10
2021-09-20,-0.035761356800000005,2,4
2021-09-21,-0.018370559999999994,0,10
2021-09-22,-0.015155711999999993,0,7
2021-09-23,-0.012798156799999997,0,15
2021-09-24,0.0,0,14
2021-09-25,0.0,0,4
2021-09-26,0.0,0,0
2021-09-27,0.0,0,4
2021-09-28,0.0,3,12
2021-09-29,0.0,0,13
2021-09-30,0.0,0,7
2021-10-01,0.0,0,8
2021-10-02,0.0,0,2
2021-10-03,0.0,0,2
2021-10-04,0.0,1,20
2021-10-05,0.0,5,7
2021-10-06,0.0,0,7
2021-10-07,0.0,0,24
2021-10-08,0.0,0,11
2021-10-09,1.0,0,4
2021-10-10,-0.3999999999999999,0,10
2021-10-11,-0.12,1,10
2021-10-12,0.9359999999999999,0,11
2021-10-13,-0.44159999999999994,0,8
2021-10-14,-0.149952,0,13
2021-10-15,-0.0869632,0,11
2021-10-16,-0.05997056000000004,0,9
2021-10-17,-0.04510771200000001,0,2
2021-10-18,0.9642386432,6,15
2021-10-19,-0.4183705599999999,0,10
2021-10-20,-0.13515571199999998,0,12
2021-10-21,-0.0767981568,0,12
2021-10-22,-0.04160000000000005,0,4
2021-10-23,-0.029952000000000017,0,8
2021-10-24,-0.022963200000000007,0,1
2021-10-25,0.98162944,0,10
2021-10-26,-0.4151557119999999,4,13
2021-10-27,1.8672018432,1,11
2021-10-28,-0.8639999999999999,1,14
2021-10-29,-0.2816,0,18
2021-10-30,-0.157952,0,7
2021-10-31,-0.1061632000000001,0,3
2021-11-01,0.92172544,0,12
2021-11-02,0.5389178880000001,0,11
2021-11-03,-0.5695392767999998,1,1
2021-11-04,0.7856885760000001,0,14
2021-11-05,-0.5311963136,17,7
2021-11-06,-0.19155200000000006,0,0
2021-11-07,-0.11691520000000002,0,1
2021-11-08,0.9170662399999999,9,13
2021-11-09,-0.4634782719999999,11,10
2021-11-10,-0.1709170688,3,14
2021-11-11,0.9048312832000001,1,11
2021-11-12,-0.456755712,0,16
2021-11-13,-0.16275015680000002,0,7
2021-11-14,-0.0869632,0,5
2021-11-15,-0.05997056000000004,3,6
2021-11-16,0.954892288,0,19
2021-11-17,-0.43576135679999994,0,29
2021-11-18,-0.13837055999999998,0,22
2021-11-19,0.9208442880000001,2,15
2021-11-20,0.5456018432,0,5
2021-11-21,-0.5499519999999999,0,7
2021-11-22,3.7930368,0,5
2021-11-23,-1.7239705599999997,0,5
2021-11-24,-0.566707712,0,13
2021-11-25,0.6782866432,0,2
2021-11-26,1.3922662399999999,0,10
2021-11-27,-1.0733342719999999,0,3
2021-11-28,-0.4238066688,0,6
2021-11-29,0.7441196031999999,0,18
2021-11-30,0.426225152,0,11
2021-12-01,0.3459401728,0,10
2021-12-02,3.3517030400000003,0,15
2021-12-03,-1.8774968319999996,0,7
2021-12-04,-0.6586615808,0,6
2021-12-05,-0.37611151360000006,0,12
2021-12-06,-0.2376857600000002,0,10
2021-12-07,-0.17629747200000007,0,11
2021-12-08,-0.1381772288,0,15
2021-12-09,-0.10143610879999997,0,11
2021-12-10,-0.07342100479999997,0,2
2021-12-11,1.9488073728,0,8
2021-12-12,-0.7999999999999998,0,5
2021-12-13,-0.24,0,7
2021-12-14,-0.128,0,20
2021-12-15,-0.0832000000000001,0,15
2021-12-16,-0.059904000000000034,0,9
2021-12-17,5.9540736,0,4
2021-12-18,-2.4367411199999993,0,3
2021-12-19,-0.750311424,0,1
2021-12-20,-0.4095963136,0,2
2021-12-21,-0.24960000000000027,0,6
2021-12-22,-0.1797120000000001,0,3
2021-12-23,-0.13777920000000005,0,2
2021-12-24,2.88977664,0,4
2021-12-25,-1.2909342719999997,0,0
2021-12-26,-0.43678894079999997,0,0
2021-12-27,2.808,0,5
2021-12-28,-0.32479999999999976,0,6
2021-12-29,-0.849856,0,1
2021-12-30,-0.38088960000000005,0,0
2021-12-31,-0.24391168000000013,0,1
2022-01-01,-0.17692313600000006,0,5
2022-01-02,-0.13723607040000002,0,8
2022-01-03,-0.07807487999999999,0,11
2022-01-04,-0.06383769599999997,0,40
2022-01-05,-0.053550182399999986,0,13
2022-01-06,-0.012798156799999997,0,8
2022-01-07,0.0,0,8
2022-01-08,0.0,0,2
2022-01-09,0.0,0,2
2022-01-10,0.0,0,16
2022-01-11,0.0,7,7
2022-01-12,0.0,0,11
2022-01-13,0.0,0,13
2022-01-14,1.0,0,22
2022-01-15,-0.3999999999999999,0,3
2022-01-16,-0.12,0,2
2022-01-17,-0.064,0,8
2022-01-18,-0.04160000000000005,0,9
2022-01-19,-0.029952000000000017,0,8
2022-01-20,-0.022963200000000007,0,6
2022-01-21,-0.018370559999999994,0,5
2022-01-22,-0.015155711999999993,0,6
2022-01-23,-0.012798156799999997,0,0
2022-01-24,0.0,0,7
2022-01-25,0.0,0,12
2022-01-26,0.0,0,8
2022-01-27,0.0,0,16
