,huggingface/transformers,pytorch/vision,tensorflow/models
2019-07-25,7,0,5
2019-07-26,11,5,2
2019-07-27,3,0,0
2019-07-28,0,0,0
2019-07-29,1,0,2
2019-07-30,0,0,8
2019-07-31,3,3,2
2019-08-01,1,2,5
2019-08-02,0,1,5
2019-08-03,1,0,1
2019-08-04,4,1,0
2019-08-05,20,3,3
2019-08-06,5,4,6
2019-08-07,9,3,5
2019-08-08,8,4,2
2019-08-09,3,0,8
2019-08-10,2,0,2
2019-08-11,1,0,0
2019-08-12,5,1,4
2019-08-13,4,0,9
2019-08-14,4,0,12
2019-08-15,6,0,3
2019-08-16,10,0,9
2019-08-17,2,0,2
2019-08-18,6,0,0
2019-08-19,6,0,13
2019-08-20,32,0,15
2019-08-21,13,1,6
2019-08-22,5,0,8
2019-08-23,8,0,7
2019-08-24,2,0,1
2019-08-25,0,0,1
2019-08-26,5,0,6
2019-08-27,12,0,5
2019-08-28,44,4,5
2019-08-29,6,3,3
2019-08-30,57,4,4
2019-08-31,23,0,0
2019-09-01,1,0,0
2019-09-02,8,2,0
2019-09-03,0,0,3
2019-09-04,10,0,4
2019-09-05,23,0,6
2019-09-06,6,2,7
2019-09-07,0,0,0
2019-09-08,19,0,0
2019-09-09,16,4,3
2019-09-10,10,3,1
2019-09-11,8,1,3
2019-09-12,4,1,2
2019-09-13,3,0,2
2019-09-14,0,0,0
2019-09-15,0,0,0
2019-09-16,8,1,2
2019-09-17,2,3,6
2019-09-18,18,5,6
2019-09-19,27,0,2
2019-09-20,2,5,8
2019-09-21,0,0,0
2019-09-22,1,1,0
2019-09-23,12,4,4
2019-09-24,38,6,2
2019-09-25,14,0,1
2019-09-26,40,1,2
2019-09-27,18,2,2
2019-09-28,2,0,0
2019-09-29,2,0,1
2019-09-30,3,4,3
2019-10-01,6,2,2
2019-10-02,6,3,1
2019-10-03,37,2,3
2019-10-04,10,3,3
2019-10-05,0,0,1
2019-10-06,2,0,0
2019-10-07,20,4,4
2019-10-08,17,4,2
2019-10-09,22,0,4
2019-10-10,26,0,9
2019-10-11,15,1,10
2019-10-12,2,1,3
2019-10-13,3,0,2
2019-10-14,13,0,1
2019-10-15,30,3,6
2019-10-16,8,9,5
2019-10-17,13,2,9
2019-10-18,3,10,6
2019-10-19,1,0,4
2019-10-20,2,0,1
2019-10-21,5,5,8
2019-10-22,11,3,6
2019-10-23,3,1,5
2019-10-24,7,1,6
2019-10-25,0,1,1
2019-10-26,0,3,0
2019-10-27,3,0,0
2019-10-28,9,2,7
2019-10-29,2,3,3
2019-10-30,22,3,1
2019-10-31,7,2,2
2019-11-01,2,0,7
2019-11-02,0,0,1
2019-11-03,1,0,0
2019-11-04,13,2,1
2019-11-05,18,2,3
2019-11-06,11,2,3
2019-11-07,2,1,6
2019-11-08,9,0,1
2019-11-09,2,0,0
2019-11-10,0,0,2
2019-11-11,5,0,5
2019-11-12,12,0,9
2019-11-13,0,1,5
2019-11-14,15,1,7
2019-11-15,2,5,2
2019-11-16,12,0,0
2019-11-17,0,0,0
2019-11-18,7,2,3
2019-11-19,9,0,3
2019-11-20,2,0,2
2019-11-21,6,1,10
2019-11-22,7,0,6
2019-11-23,3,0,3
2019-11-24,0,0,1
2019-11-25,7,3,4
2019-11-26,49,3,1
2019-11-27,31,0,8
2019-11-28,7,0,1
2019-11-29,8,0,1
2019-11-30,2,1,2
2019-12-01,2,0,0
2019-12-02,4,1,3
2019-12-03,41,0,3
2019-12-04,17,3,6
2019-12-05,23,5,6
2019-12-06,10,1,6
2019-12-07,1,0,0
2019-12-08,0,0,1
2019-12-09,14,0,1
2019-12-10,58,2,3
2019-12-11,29,1,1
2019-12-12,15,1,4
2019-12-13,25,0,3
2019-12-14,11,0,5
2019-12-15,2,0,2
2019-12-16,28,4,3
2019-12-17,18,1,6
2019-12-18,33,0,7
2019-12-19,26,6,7
2019-12-20,39,0,3
2019-12-21,45,0,0
2019-12-22,51,0,3
2019-12-23,28,0,0
2019-12-24,15,0,0
2019-12-25,25,0,0
2019-12-26,7,0,1
2019-12-27,7,0,0
2019-12-28,6,0,1
