,staltz/manyverse,fraction/oasis,ssbc/patchwork
2019-08-21,1,0.0,10
2019-08-22,2,0.0,6
2019-08-23,1,0.0,2
2019-08-24,2,0.0,0
2019-08-25,0,0.0,0
2019-08-26,0,0.0,0
2019-08-27,1,0.0,0
2019-08-28,4,0.0,5
2019-08-29,4,0.0,0
2019-08-30,0,0.0,0
2019-08-31,1,0.0,0
2019-09-01,0,0.0,0
2019-09-02,6,0.0,1
2019-09-03,3,0.0,0
2019-09-04,5,0.0,0
2019-09-05,3,0.0,0
2019-09-06,6,0.0,1
2019-09-07,0,0.0,0
2019-09-08,0,0.0,0
2019-09-09,11,0.0,0
2019-09-10,6,0.0,0
2019-09-11,3,0.0,0
2019-09-12,0,0.0,0
2019-09-13,0,0.0,0
2019-09-14,0,0.0,0
2019-09-15,0,0.0,0
2019-09-16,16,8.0,0
2019-09-17,3,6.199999999999999,0
2019-09-18,1,-1.060000000000001,0
2019-09-19,0,4.457,0
2019-09-20,0,-0.8648,1
2019-09-21,0,-0.4985714999999993,0
2019-09-22,0,-0.3606133499999994,0
2019-09-23,15,2.715803842500001,0
2019-09-24,2,12.465213872125,0
2019-09-25,0,6.365020926103124,0
2019-09-26,0,7.415239550998437,0
2019-09-27,0,8.259670934921875,0
2019-09-28,0,-0.9919570126796877,0
2019-09-29,0,5.7791962125000005,0
2019-09-30,4,13.450716248750002,0
2019-10-01,3,10.526605159703125,0
2019-10-02,5,-1.7131223093109376,2
2019-10-03,0,-0.6904492283421866,0
2019-10-04,0,-1.2156593624281231,0
2019-10-05,0,-0.858364336729685,0
2019-10-06,0,-0.6273231496249981,0
2019-10-07,0,-0.44966789989531114,0
2019-10-08,0,7.624186523264063,0
2019-10-09,1,-1.0746265659921876,0
2019-10-10,0,-0.4898470922328124,1
2019-10-11,2,-0.24596716555156262,1
2019-10-12,0,-0.17369885253593687,0
2019-10-13,0,-0.12893399999999958,0
2019-10-14,0,-0.10529609999999968,3
2019-10-15,4,-0.08874956999999974,2
2019-10-16,1,2.923453495875,1
2019-10-17,1,-0.3671908202875001,0
2019-10-18,0,-0.1350000000000001,0
2019-10-19,0,-0.08550000000000006,0
2019-10-20,0,-0.06198749999999977,0
2019-10-21,0,-0.048350249999999845,0
2019-10-22,0,-0.03948603749999988,0
2019-10-23,0,-0.0332810887499999,0
2019-10-24,0,1.971295060953125,2
2019-10-25,0,2.7748034423921872,0
2019-10-26,0,-0.39000000000000035,0
2019-10-27,0,-0.19200000000000014,0
2019-10-28,0,-0.1268249999999999,0
2019-10-29,0,0.9057790000000003,1
2019-10-30,0,1.8253257250000001,0
2019-10-31,6,4.69332657,1
2019-11-01,0,-0.6709177147812504,0
2019-11-02,0,-0.34816514411875,0
2019-11-03,0,-0.22513830760781234,3
