,rails/rails,pallets/flask,django/django
2022-06-06,13,11,0.0
2022-06-07,9,0,0.0
2022-06-08,6,1,1.0
2022-06-09,9,2,1.0
2022-06-10,10,0,0.0
2022-06-11,0,3,0.0
2022-06-12,5,5,0.0
2022-06-13,17,1,4.0
2022-06-14,19,0,1.0
2022-06-15,11,3,0.0
2022-06-16,11,0,4.0
2022-06-17,11,7,5.0
2022-06-18,7,3,1.0
2022-06-19,0,0,0.0
2022-06-20,18,0,3.0
2022-06-21,11,0,2.0
2022-06-22,9,0,1.0
2022-06-23,19,2,3.0
2022-06-24,7,0,2.0
2022-06-25,7,0,0.0
2022-06-26,4,0,0.0
2022-06-27,5,0,5.0
2022-06-28,10,4,9.0
2022-06-29,10,0,0.0
2022-06-30,4,2,1.0
2022-07-01,4,7,2.0
2022-07-02,1,0,1.0
2022-07-03,2,6,0.0
2022-07-04,8,2,4.0
2022-07-05,11,1,3.0
2022-07-06,16,3,4.0
2022-07-07,4,0,2.0
2022-07-08,6,11,3.0
2022-07-09,5,2,1.0
2022-07-10,7,2,0.0
2022-07-11,9,2,3.0
2022-07-12,10,0,2.0
2022-07-13,18,10,1.0
2022-07-14,2,2,1.0
2022-07-15,3,0,0.0
2022-07-16,1,0,1.0
2022-07-17,0,0,1.0
2022-07-18,6,0,2.0
2022-07-19,21,0,1.0
2022-07-20,3,0,1.0
2022-07-21,5,0,2.0
2022-07-22,2,0,1.0
2022-07-23,3,0,4.0
2022-07-24,6,0,0.0
2022-07-25,8,5,6.0
2022-07-26,22,0,6.0
2022-07-27,9,0,11.0
2022-07-28,14,0,1.0
2022-07-29,20,0,1.0
2022-07-30,6,0,1.0
2022-07-31,7,0,2.0
2022-08-01,14,9,2.0
2022-08-02,16,7,4.0
2022-08-03,30,6,11.0
2022-08-04,13,5,4.0
2022-08-05,9,4,1.0
2022-08-06,26,0,2.0
2022-08-07,3,0,0.0
2022-08-08,9,7,4.0
2022-08-09,8,4,8.0
2022-08-10,9,0,3.0
2022-08-11,8,0,5.0
2022-08-12,6,0,3.0
2022-08-13,0,2,0.0
2022-08-14,0,0,0.0
2022-08-15,5,3,4.0
2022-08-16,5,0,2.0
2022-08-17,3,2,5.0
2022-08-18,16,0,3.0
2022-08-19,11,0,0.0
2022-08-20,1,0,0.0
2022-08-21,0,2,0.0
2022-08-22,12,2,0.0
2022-08-23,7,0,4.0
2022-08-24,9,0,2.0
2022-08-25,13,0,5.0
2022-08-26,3,0,2.0
2022-08-27,3,2,4.0
2022-08-28,4,0,0.0
2022-08-29,5,0,4.0
2022-08-30,14,0,6.0
2022-08-31,8,0,3.0
2022-09-01,14,0,4.0
2022-09-02,11,2,1.0
2022-09-03,0,0,0.0
2022-09-04,0,0,1.0
2022-09-05,10,0,3.0
2022-09-06,2,0,6.0
2022-09-07,13,0,3.0
2022-09-08,24,0,2.0
2022-09-09,42,0,3.0
2022-09-10,7,0,0.0
2022-09-11,7,2,0.0
2022-09-12,18,0,4.0
2022-09-13,18,0,2.0
2022-09-14,23,2,1.0
2022-09-15,17,0,5.0
2022-09-16,13,0,5.0
