,seleniumhq/selenium,gocolly/colly,puppeteer/puppeteer
2021-11-28,1,0,0
2021-11-29,6,0,4
2021-11-30,7,0,0
2021-12-01,21,0,0
2021-12-02,3,0,0
2021-12-03,3,0,1
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,0,0,0
2021-12-07,0,0,2
2021-12-08,2,0,0
2021-12-09,2,0,4
2021-12-10,3,0,3
2021-12-11,0,0,0
2021-12-12,4,0,0
2021-12-13,6,0,1
2021-12-14,3,0,0
2021-12-15,1,0,2
2021-12-16,3,0,0
2021-12-17,4,2,0
2021-12-18,0,1,0
2021-12-19,0,0,0
2021-12-20,4,0,0
2021-12-21,0,0,1
2021-12-22,0,0,2
2021-12-23,1,0,0
2021-12-24,14,0,0
2021-12-25,1,1,0
2021-12-26,9,0,0
2021-12-27,4,0,0
2021-12-28,0,0,0
2021-12-29,3,2,0
2021-12-30,4,0,0
2021-12-31,5,0,0
2022-01-01,7,0,0
2022-01-02,0,0,0
2022-01-03,1,0,0
2022-01-04,8,0,0
2022-01-05,3,0,0
2022-01-06,3,0,0
2022-01-07,1,0,0
2022-01-08,2,0,0
2022-01-09,2,0,0
2022-01-10,5,0,0
2022-01-11,2,0,0
2022-01-12,2,1,0
2022-01-13,2,0,0
2022-01-14,0,0,0
2022-01-15,1,0,0
2022-01-16,1,1,0
2022-01-17,4,0,6
2022-01-18,0,0,3
2022-01-19,5,0,0
2022-01-20,4,0,1
2022-01-21,4,0,1
2022-01-22,1,0,0
2022-01-23,1,0,0
2022-01-24,11,0,1
2022-01-25,0,0,2
2022-01-26,0,0,2
2022-01-27,3,0,1
2022-01-28,2,2,5
2022-01-29,2,0,0
2022-01-30,3,0,0
2022-01-31,3,0,3
2022-02-01,2,4,1
2022-02-02,6,0,1
2022-02-03,15,0,0
2022-02-04,7,0,2
2022-02-05,0,0,0
2022-02-06,1,0,0
2022-02-07,0,0,4
2022-02-08,0,0,0
2022-02-09,5,0,4
2022-02-10,2,0,5
2022-02-11,3,0,4
2022-02-12,0,0,0
2022-02-13,0,0,0
2022-02-14,2,0,6
2022-02-15,0,0,6
2022-02-16,0,0,1
2022-02-17,0,0,2
2022-02-18,2,0,2
2022-02-19,4,0,0
2022-02-20,0,0,0
2022-02-21,5,0,2
2022-02-22,6,0,3
2022-02-23,3,0,1
2022-02-24,3,0,0
2022-02-25,4,0,1
2022-02-26,1,0,0
2022-02-27,0,0,0
2022-02-28,3,0,2
2022-03-01,11,0,3
2022-03-02,2,0,0
2022-03-03,8,0,2
2022-03-04,6,0,1
2022-03-05,0,1,0
2022-03-06,0,1,0
2022-03-07,0,0,5
2022-03-08,2,4,0
2022-03-09,5,0,4
2022-03-10,2,1,0
2022-03-11,1,0,0
2022-03-12,1,0,0
2022-03-13,0,0,0
2022-03-14,0,0,0
2022-03-15,0,0,0
2022-03-16,0,0,0
2022-03-17,2,0,0
2022-03-18,0,0,1
2022-03-19,0,0,0
2022-03-20,0,0,0
2022-03-21,1,0,0
2022-03-22,2,0,0
2022-03-23,5,0,0
2022-03-24,5,0,0
2022-03-25,5,0,0
2022-03-26,4,0,0
2022-03-27,2,0,0
2022-03-28,3,0,2
2022-03-29,4,0,0
2022-03-30,10,0,0
2022-03-31,0,0,3
2022-04-01,11,0,0
2022-04-02,1,0,0
2022-04-03,0,0,0
2022-04-04,2,0,0
2022-04-05,3,0,1
2022-04-06,9,0,2
2022-04-07,12,0,2
2022-04-08,7,0,3
2022-04-09,1,0,0
2022-04-10,1,0,0
2022-04-11,3,0,0
2022-04-12,0,0,0
2022-04-13,9,0,0
2022-04-14,13,0,0
2022-04-15,0,0,0
2022-04-16,0,0,0
2022-04-17,1,0,0
2022-04-18,2,0,0
2022-04-19,1,0,5
2022-04-20,7,0,3
2022-04-21,5,0,0
2022-04-22,1,0,2
2022-04-23,2,0,0
2022-04-24,0,2,0
2022-04-25,1,0,1
2022-04-26,0,0,0
2022-04-27,8,0,2
2022-04-28,13,0,3
2022-04-29,1,0,1
2022-04-30,0,0,0
2022-05-01,2,0,0
2022-05-02,7,0,3
2022-05-03,5,0,1
2022-05-04,1,0,1
2022-05-05,8,0,4
2022-05-06,0,0,1
2022-05-07,12,0,0
2022-05-08,0,0,0
2022-05-09,15,0,5
2022-05-10,10,0,2
2022-05-11,5,0,2
2022-05-12,8,0,1
2022-05-13,3,0,8
2022-05-14,3,0,0
2022-05-15,1,0,0
2022-05-16,1,0,2
2022-05-17,0,0,2
2022-05-18,3,0,1
2022-05-19,2,0,13
2022-05-20,1,0,1
2022-05-21,0,0,0
2022-05-22,0,0,0
2022-05-23,7,0,1
2022-05-24,19,0,4
2022-05-25,27,0,2
2022-05-26,1,0,0
2022-05-27,21,0,0
2022-05-28,0,0,0
2022-05-29,1,0,0
2022-05-30,10,0,17
2022-05-31,8,0,17
2022-06-01,3,0,9
2022-06-02,1,0,5
2022-06-03,2,0,1
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,0,0,0
2022-06-07,2,0,8
2022-06-08,11,0,0
2022-06-09,14,0,3
2022-06-10,5,0,8
2022-06-11,0,0,0
2022-06-12,0,0,0
2022-06-13,9,0,4
2022-06-14,3,0,5
2022-06-15,1,0,4
2022-06-16,2,0,0
2022-06-17,4,0,1
2022-06-18,1,0,0
2022-06-19,3,0,0
2022-06-20,2,0,3
2022-06-21,1,0,0
2022-06-22,16,0,3
2022-06-23,30,0,8
2022-06-24,3,0,7
2022-06-25,0,0,2
2022-06-26,0,0,0
2022-06-27,4,0,5
2022-06-28,2,0,1
2022-06-29,5,0,1
2022-06-30,0,0,0
2022-07-01,0,0,9
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,2,0,0
2022-07-05,9,1,5
2022-07-06,10,4,4
2022-07-07,1,0,2
2022-07-08,0,0,1
2022-07-09,0,0,0
2022-07-10,0,0,0
2022-07-11,0,0,1
2022-07-12,4,0,0
2022-07-13,8,0,1
2022-07-14,5,0,0
2022-07-15,4,0,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,0,0
2022-07-19,0,0,0
2022-07-20,0,0,2
2022-07-21,0,0,4
2022-07-22,2,0,0
2022-07-23,0,0,0
2022-07-24,0,0,0
2022-07-25,0,0,0
2022-07-26,1,0,0
2022-07-27,0,0,0
2022-07-28,0,0,0
2022-07-29,0,0,0
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,5,0,0
2022-08-02,2,0,12
2022-08-03,12,0,4
2022-08-04,7,0,2
2022-08-05,7,0,1
2022-08-06,0,0,2
2022-08-07,0,0,0
2022-08-08,1,0,2
2022-08-09,5,0,5
2022-08-10,5,0,4
2022-08-11,2,0,5
2022-08-12,3,0,1
2022-08-13,1,0,0
2022-08-14,5,0,0
2022-08-15,2,0,0
2022-08-16,4,1,5
2022-08-17,5,0,7
2022-08-18,3,0,1
2022-08-19,2,0,0
2022-08-20,0,0,0
2022-08-21,7,0,0
2022-08-22,7,0,3
2022-08-23,0,0,0
2022-08-24,0,0,2
2022-08-25,4,0,5
2022-08-26,5,0,1
2022-08-27,2,0,0
2022-08-28,1,0,0
2022-08-29,3,0,0
2022-08-30,6,0,3
2022-08-31,4,0,8
2022-09-01,3,0,5
2022-09-02,8,0,2
2022-09-03,4,0,0
2022-09-04,14,0,0
2022-09-05,1,0,3
2022-09-06,1,0,3
2022-09-07,4,0,3
2022-09-08,0,0,4
2022-09-09,0,0,2
2022-09-10,1,0,0
2022-09-11,9,0,0
2022-09-12,4,0,2
2022-09-13,14,0,2
2022-09-14,0,0,0
2022-09-15,4,0,10
