,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj,bitcoin/bitcoin
2023-07-19,0,0.0,21
2023-07-20,0,1.0,16
2023-07-21,0,-0.19999999999999996,11
2023-07-22,0,-0.08000000000000007,6
2023-07-23,0,-0.048000000000000036,1
2023-07-24,0,-0.03360000000000001,19
2023-07-25,0,-0.025536000000000014,26
2023-07-26,0,-0.02042880000000001,17
2023-07-27,0,3.98307328,10
2023-07-28,0,1.1856122880000002,3
2023-07-29,0,-0.7324693504000002,0
2023-07-30,0,-0.3520000000000003,3
2023-07-31,0,0.7695999999999998,7
2023-08-01,0,3.630656,14
2023-08-02,0,-1.0127872,7
2023-08-03,0,-0.4765644800000004,25
2023-08-04,0,-0.3170042879999999,6
2023-08-05,0,-0.2385888255999998,15
2023-08-06,0,-0.1475115008,1
2023-08-07,0,-0.09864192000000005,14
2023-08-08,0,24.917905408,7
2023-08-09,0,5.929979801600001,8
2023-08-10,0,5.750122598399999,7
2023-08-11,0,-3.080000000000002,3
2023-08-12,0,-2.368000000000001,0
2023-08-13,0,-1.568000000000001,1
2023-08-14,0,-1.1756160000000007,15
2023-08-15,0,-0.9368448000000005,9
2023-08-16,0,-0.7757107199999987,6
2023-08-17,4,-0.6596945919999985,26
2023-08-18,0,-0.297966694399999,14
2023-08-19,0,-0.1390812159999996,0
2023-08-20,1,-0.012469350399999964,0
2023-08-21,0,0.0,5
2023-08-22,0,0.0,17
2023-08-23,0,15.0,30
2023-08-24,0,-2.999999999999999,30
2023-08-25,0,8.799999999999999,11
2023-08-26,0,-2.72,2
2023-08-27,0,-1.304000000000001,8
2023-08-28,0,-0.8630400000000006,8
2023-08-29,0,-0.6424320000000003,9
2023-08-30,0,-0.5092608000000003,10
2023-08-31,0,-0.4201036799999992,7
2023-09-01,0,8.643692544,8
2023-09-02,0,3.056122880000001,1
2023-09-03,0,-1.844693504,1
2023-09-04,0,-0.8320000000000007,5
2023-09-05,0,2.4576,14
2023-09-06,0,0.0021759999999999557,9
2023-09-07,0,5.2484608,19
2023-09-08,0,-1.67848448,7
2023-09-09,0,-0.842923008,2
2023-09-10,0,-0.5823707135999996,5
2023-09-11,0,-0.3507691519999999,3
2023-09-12,0,22.77557504,23
2023-09-13,0,-4.7826626559999985,28
2023-09-14,0,6.006643916799998,21
2023-09-15,0,-2.8027956223999997,16
2023-09-16,0,7.5123838975999995,2
2023-09-17,0,-2.7713280000000005,0
2023-09-18,0,-1.458662400000001,1
2023-09-19,0,-0.025602560000000718,16
2023-09-20,0,-0.9967477759999988,16
2023-09-21,0,6.2679671808,6
2023-09-22,0,-1.7469608959999994,3
2023-09-23,0,-0.8456952832000003,2
2023-09-24,0,-0.4910254079999997,1
2023-09-25,0,6.6321470464,1
2023-09-26,0,-1.5956787199999998,2
2023-09-27,0,-0.7173893120000006,13
2023-09-28,0,-0.46695639040000025,6
2023-09-29,0,-0.33591398399999967,10
2023-09-30,0,5.7339625472,24
2023-10-01,0,4.6569984,0
2023-10-02,0,6.20151296,32
2023-10-03,0,-1.4687139839999999,29
2023-10-04,0,-1.4168854528000006,31
2023-10-05,0,0.18118399999999957,29
2023-10-06,0,-0.7925888000000003,14
2023-10-07,0,-0.5420211200000002,2
2023-10-08,0,-0.4248529919999998,31
2023-10-09,0,0.6494150656000004,18
2023-10-10,0,-0.43238051839999925,12
2023-10-11,0,0.7854286848000003,8
2023-10-12,0,0.7226039296,15
2023-10-13,0,-0.327987712,27
2023-10-14,0,-0.16600535040000008,0
2023-10-15,0,0.8979712,3
2023-10-16,0,-0.27606272,10
2023-10-17,0,-0.14035251200000004,11
2023-10-18,0,-0.09782487040000001,7
2023-10-19,0,-0.06491443199999997,14
2023-10-20,0,-0.05239306239999991,25
2023-10-21,0,-0.03289815039999998,0
2023-10-22,0,-0.01692672000000001,0
2023-10-23,0,-0.01438771199999994,17
2023-10-24,0,12.9875306496,18
2023-10-25,0,-2.5999999999999996,8
2023-10-26,0,-1.040000000000001,10
2023-10-27,0,-0.6240000000000004,2
2023-10-28,0,-0.43680000000000013,0
2023-10-29,0,-0.33196800000000015,3
2023-10-30,0,-0.26557440000000015,18
2023-10-31,0,-0.22004736000000014,11
2023-11-01,0,-0.1870402559999992,12
2023-11-02,0,-0.16210155519999953,11
2023-11-03,0,0.0,21
2023-11-04,0,0.0,1
2023-11-05,0,0.0,6
2023-11-06,0,0.0,7
2023-11-07,0,0.0,16
2023-11-08,0,0.0,17
2023-11-09,0,0.0,15
2023-11-10,0,2.0,18
2023-11-11,0,-0.3999999999999999,1
2023-11-12,0,-0.16000000000000014,0
2023-11-13,0,-0.09600000000000007,25
2023-11-14,0,-0.06720000000000002,11
2023-11-15,0,-0.05107200000000003,6
2023-11-16,0,1.9591424,20
2023-11-17,0,-0.4338534399999999,17
2023-11-18,0,-0.18877542400000002,0
2023-11-19,0,2.8790612992,1
2023-11-20,0,-0.6671999999999999,6
2023-11-21,0,0.7089279999999998,4
2023-11-22,0,-0.3848576000000001,23
2023-11-23,0,-0.2146534400000001,10
2023-11-24,0,-0.15338342399999996,6
2023-11-25,0,-0.11982510079999997,4
2023-11-26,0,-0.07631616000000005,2
2023-11-27,0,-0.06359193599999982,2
2023-11-28,0,-0.054334771199999896,21
2023-11-29,0,-0.01438771199999994,13
2023-11-30,0,-0.012469350399999964,14
2023-12-01,0,0.0,7
2023-12-02,0,0.0,1
2023-12-03,0,0.0,1
2023-12-04,0,0.0,20
2023-12-05,0,1.0,14
2023-12-06,0,-0.19999999999999996,11
2023-12-07,0,-0.08000000000000007,15
2023-12-08,0,0.952,22
2023-12-09,0,-0.23359999999999997,6
2023-12-10,0,-0.10553600000000009,1
2023-12-11,0,-0.06842880000000004,20
2023-12-12,0,-0.050526720000000025,14
2023-12-13,0,-0.03992371199999995,10
2023-12-14,0,-0.03289815039999998,12
2023-12-15,0,-0.01692672000000001,13
2023-12-16,0,-0.01438771199999994,0
2023-12-17,0,-0.012469350399999964,1
2023-12-18,0,4.0,6
2023-12-19,0,1.2000000000000002,3
2023-12-20,0,2.28,4
2023-12-21,0,-0.9520000000000002,9
2023-12-22,0,-0.4704000000000003,4
2023-12-23,0,-0.3133440000000002,1
2023-12-24,0,-0.2335872000000001,0
2023-12-25,0,-0.18517248000000008,0
2023-12-26,0,-0.1526906879999998,0
2023-12-27,0,-0.12943298559999977,4
2023-12-28,0,-0.06810183679999975,0
2023-12-29,0,-0.03740805119999989,0
2023-12-30,0,0.0,0
2023-12-31,0,0.0,1
2024-01-01,0,0.0,0
2024-01-02,0,0.0,7
2024-01-03,0,0.0,2
2024-01-04,0,0.0,9
2024-01-05,0,0.0,14
2024-01-06,0,0.0,2
2024-01-07,0,0.0,2
2024-01-08,0,0.0,12
2024-01-09,0,0.0,12
2024-01-10,0,1.0,7
2024-01-11,0,-0.19999999999999996,22
2024-01-12,0,-0.08000000000000007,9
2024-01-13,0,-0.048000000000000036,1
2024-01-14,0,-0.03360000000000001,0
2024-01-15,0,-0.025536000000000014,11
2024-01-16,0,1.9795712,20
