,davisking/dlib,scikit-image/scikit-image,opencv/opencv
2018-05-11,6,1,16
2018-05-12,0,0,1
2018-05-13,4,0,1
2018-05-14,0,3,5
2018-05-15,0,1,6
2018-05-16,5,4,17
2018-05-17,4,2,5
2018-05-18,5,0,6
2018-05-19,12,12,1
2018-05-20,17,2,3
2018-05-21,4,5,8
2018-05-22,8,9,15
2018-05-23,4,13,19
2018-05-24,6,12,3
2018-05-25,14,8,5
2018-05-26,9,1,1
2018-05-27,6,0,0
2018-05-28,4,25,8
2018-05-29,4,17,12
2018-05-30,0,5,5
2018-05-31,2,3,26
2018-06-01,8,7,10
2018-06-02,6,4,6
2018-06-03,4,0,3
2018-06-04,0,0,19
2018-06-05,0,1,8
2018-06-06,0,5,6
2018-06-07,3,4,11
2018-06-08,1,15,16
2018-06-09,2,10,12
2018-06-10,3,1,5
2018-06-11,5,6,2
2018-06-12,3,12,1
2018-06-13,1,12,8
2018-06-14,0,3,11
2018-06-15,1,1,2
2018-06-16,4,1,2
2018-06-17,2,1,2
2018-06-18,2,5,0
2018-06-19,6,7,2
2018-06-20,1,2,1
2018-06-21,2,1,6
2018-06-22,1,3,3
2018-06-23,9,2,5
2018-06-24,0,0,0
2018-06-25,0,2,8
2018-06-26,1,3,12
2018-06-27,4,10,9
2018-06-28,2,5,2
2018-06-29,3,0,7
2018-06-30,1,0,3
2018-07-01,2,1,0
2018-07-02,0,0,7
2018-07-03,5,2,9
2018-07-04,0,2,8
2018-07-05,1,3,6
2018-07-06,0,0,9
2018-07-07,11,2,1
2018-07-08,3,0,2
2018-07-09,2,0,13
2018-07-10,2,2,5
2018-07-11,0,4,10
2018-07-12,5,4,7
2018-07-13,4,0,14
2018-07-14,0,7,2
2018-07-15,0,5,3
2018-07-16,0,0,14
2018-07-17,0,0,16
2018-07-18,1,0,5
2018-07-19,0,2,11
2018-07-20,0,4,4
2018-07-21,0,4,2
2018-07-22,0,2,1
2018-07-23,1,3,3
2018-07-24,2,4,14
2018-07-25,0,3,4
2018-07-26,1,4,9
2018-07-27,0,2,7
2018-07-28,0,3,4
2018-07-29,0,4,2
2018-07-30,0,0,13
2018-07-31,0,3,14
2018-08-01,3,8,9
2018-08-02,0,3,9
2018-08-03,0,2,4
2018-08-04,0,0,3
2018-08-05,0,7,1
2018-08-06,0,2,10
2018-08-07,0,0,13
2018-08-08,1,0,6
2018-08-09,0,13,1
2018-08-10,0,4,4
2018-08-11,0,2,0
2018-08-12,0,1,0
2018-08-13,0,3,5
2018-08-14,0,0,8
2018-08-15,0,0,3
2018-08-16,0,5,14
2018-08-17,0,0,7
2018-08-18,0,0,2
2018-08-19,0,1,0
2018-08-20,0,2,10
2018-08-21,1,4,11
2018-08-22,1,9,7
2018-08-23,2,2,5
2018-08-24,0,0,14
2018-08-25,0,0,4
2018-08-26,1,0,2
2018-08-27,0,0,9
2018-08-28,0,5,9
2018-08-29,0,4,2
2018-08-30,4,0,24
2018-08-31,0,6,22
2018-09-01,0,16,8
2018-09-02,0,1,10
2018-09-03,1,3,20
2018-09-04,0,0,16
2018-09-05,0,1,13
2018-09-06,0,3,13
2018-09-07,1,2,12
2018-09-08,0,2,6
2018-09-09,0,1,8
2018-09-10,2,2,11
2018-09-11,0,0,11
2018-09-12,0,7,16
2018-09-13,1,9,14
2018-09-14,0,4,10
2018-09-15,0,1,3
2018-09-16,0,3,0
2018-09-17,0,4,15
2018-09-18,0,2,16
2018-09-19,0,4,14
2018-09-20,0,0,3
2018-09-21,0,0,7
2018-09-22,0,0,2
2018-09-23,3,2,3
2018-09-24,0,7,10
2018-09-25,0,2,8
2018-09-26,0,6,11
2018-09-27,0,0,8
2018-09-28,0,4,16
2018-09-29,6,3,11
2018-09-30,0,22,6
2018-10-01,0,1,11
2018-10-02,0,4,9
2018-10-03,0,4,5
2018-10-04,0,6,9
2018-10-05,0,3,8
2018-10-06,0,3,0
2018-10-07,0,0,2
2018-10-08,0,2,9
2018-10-09,0,10,5
2018-10-10,0,15,17
2018-10-11,0,5,18
2018-10-12,0,2,6
2018-10-13,0,0,6
2018-10-14,0,1,8
2018-10-15,0,6,27
2018-10-16,0,1,4
2018-10-17,0,9,12
2018-10-18,0,0,3
2018-10-19,0,1,3
2018-10-20,0,0,2
2018-10-21,0,3,3
2018-10-22,1,5,1
2018-10-23,0,2,4
2018-10-24,0,5,24
2018-10-25,0,6,23
2018-10-26,1,1,10
2018-10-27,0,6,3
2018-10-28,0,9,1
2018-10-29,0,3,13
2018-10-30,0,1,10
2018-10-31,0,0,12
2018-11-01,0,9,11
2018-11-02,0,5,10
2018-11-03,0,14,3
2018-11-04,1,2,4
2018-11-05,0,3,1
2018-11-06,0,8,21
2018-11-07,0,3,25
2018-11-08,0,0,19
2018-11-09,1,1,19
2018-11-10,0,1,10
2018-11-11,2,1,4
2018-11-12,2,0,25
2018-11-13,1,1,9
2018-11-14,1,0,13
2018-11-15,0,0,12
2018-11-16,0,1,27
2018-11-17,0,0,10
2018-11-18,0,0,5
2018-11-19,0,17,9
2018-11-20,2,1,9
2018-11-21,0,0,11
2018-11-22,0,1,6
2018-11-23,0,0,6
2018-11-24,0,1,3
2018-11-25,2,5,5
2018-11-26,0,3,14
2018-11-27,0,0,11
2018-11-28,0,1,9
2018-11-29,0,1,8
2018-11-30,0,0,4
2018-12-01,0,3,0
2018-12-02,0,1,0
2018-12-03,0,4,15
2018-12-04,0,2,6
2018-12-05,1,0,13
2018-12-06,2,0,5
2018-12-07,0,7,5
2018-12-08,0,0,3
2018-12-09,0,4,3
2018-12-10,0,0,2
2018-12-11,1,0,3
2018-12-12,0,2,11
2018-12-13,0,0,8
2018-12-14,0,0,11
2018-12-15,0,2,2
2018-12-16,0,0,3
2018-12-17,0,1,5
2018-12-18,0,18,11
2018-12-19,0,22,10
2018-12-20,0,16,5
2018-12-21,0,2,18
2018-12-22,0,0,6
2018-12-23,0,0,1
2018-12-24,0,1,4
2018-12-25,0,1,8
2018-12-26,0,8,8
2018-12-27,0,1,3
2018-12-28,0,3,2
2018-12-29,0,1,0
2018-12-30,0,2,0
2018-12-31,0,1,1
2019-01-01,0,1,0
2019-01-02,0,2,3
2019-01-03,0,1,3
2019-01-04,0,2,2
2019-01-05,1,3,1
2019-01-06,4,2,1
2019-01-07,0,0,1
2019-01-08,2,9,2
2019-01-09,2,2,15
2019-01-10,0,6,3
2019-01-11,0,2,3
2019-01-12,0,0,1
2019-01-13,0,0,4
2019-01-14,0,1,3
2019-01-15,0,5,5
2019-01-16,0,0,5
2019-01-17,0,14,7
2019-01-18,0,2,9
2019-01-19,0,1,1
2019-01-20,2,0,1
2019-01-21,0,0,8
2019-01-22,0,1,3
2019-01-23,0,2,0
2019-01-24,0,4,6
2019-01-25,0,1,7
2019-01-26,0,1,0
2019-01-27,0,2,0
2019-01-28,0,3,5
2019-01-29,0,3,4
2019-01-30,0,0,4
2019-01-31,0,2,3
2019-02-01,0,7,8
2019-02-02,0,3,1
2019-02-03,0,2,0
2019-02-04,0,7,1
2019-02-05,0,2,5
2019-02-06,0,1,4
2019-02-07,1,1,8
2019-02-08,0,1,19
2019-02-09,0,5,3
2019-02-10,0,6,0
2019-02-11,0,5,8
2019-02-12,0,1,10
2019-02-13,0,1,6
2019-02-14,0,4,14
2019-02-15,0,7,4
2019-02-16,0,5,0
2019-02-17,0,0,0
2019-02-18,1,3,10
2019-02-19,0,0,13
2019-02-20,6,6,4
2019-02-21,0,1,8
2019-02-22,0,2,7
2019-02-23,0,2,5
2019-02-24,0,2,0
2019-02-25,0,5,8
2019-02-26,1,7,11
2019-02-27,0,1,4
2019-02-28,0,3,4
2019-03-01,0,2,10
2019-03-02,1,2,4
2019-03-03,3,0,3
2019-03-04,3,2,12
2019-03-05,0,1,17
2019-03-06,0,1,4
2019-03-07,0,3,13
2019-03-08,3,5,1
2019-03-09,0,3,2
2019-03-10,8,0,1
2019-03-11,0,0,18
2019-03-12,0,7,9
2019-03-13,0,3,16
2019-03-14,1,1,9
2019-03-15,4,0,9
2019-03-16,0,0,2
2019-03-17,1,0,0
2019-03-18,7,0,12
2019-03-19,6,4,10
2019-03-20,0,0,9
2019-03-21,0,0,9
2019-03-22,0,0,5
2019-03-23,0,0,1
2019-03-24,0,0,1
2019-03-25,0,3,5
2019-03-26,0,4,7
2019-03-27,0,0,5
2019-03-28,1,4,9
2019-03-29,0,0,4
2019-03-30,0,1,3
2019-03-31,0,0,15
2019-04-01,0,0,9
2019-04-02,0,3,19
2019-04-03,0,10,9
2019-04-04,1,1,6
2019-04-05,0,0,8
2019-04-06,0,0,3
2019-04-07,1,0,4
2019-04-08,0,0,4
2019-04-09,0,0,1
2019-04-10,0,0,2
2019-04-11,0,0,4
2019-04-12,0,8,10
2019-04-13,0,0,5
2019-04-14,3,2,3
2019-04-15,0,2,6
2019-04-16,0,2,13
2019-04-17,0,1,6
2019-04-18,0,0,1
2019-04-19,1,0,4
2019-04-20,0,0,4
2019-04-21,0,1,3
2019-04-22,0,0,14
2019-04-23,0,7,3
2019-04-24,0,0,7
2019-04-25,0,4,2
2019-04-26,2,1,10
2019-04-27,1,1,3
2019-04-28,0,1,0
2019-04-29,0,2,9
2019-04-30,0,2,15
2019-05-01,0,3,4
2019-05-02,0,0,1
2019-05-03,0,0,3
2019-05-04,1,0,1
2019-05-05,2,0,4
2019-05-06,0,0,2
2019-05-07,0,0,11
2019-05-08,0,0,1
2019-05-09,0,0,0
2019-05-10,0,3,0
2019-05-11,0,3,0
2019-05-12,0,2,0
2019-05-13,0,1,1
2019-05-14,1,5,13
2019-05-15,0,4,12
2019-05-16,1,2,7
2019-05-17,2,4,4
2019-05-18,0,0,3
2019-05-19,0,5,2
2019-05-20,4,1,6
2019-05-21,0,0,2
2019-05-22,0,0,12
2019-05-23,0,1,9
2019-05-24,0,0,5
2019-05-25,1,3,2
2019-05-26,0,1,3
2019-05-27,0,2,23
2019-05-28,0,6,5
2019-05-29,0,1,11
2019-05-30,0,0,6
2019-05-31,0,1,2
2019-06-01,1,2,0
2019-06-02,3,3,3
2019-06-03,0,3,11
2019-06-04,0,2,15
2019-06-05,0,1,7
2019-06-06,0,0,9
2019-06-07,0,0,13
2019-06-08,1,0,5
2019-06-09,1,11,2
2019-06-10,0,0,6
2019-06-11,0,0,16
2019-06-12,0,0,1
2019-06-13,0,17,5
2019-06-14,0,1,17
2019-06-15,0,0,4
2019-06-16,0,0,2
2019-06-17,0,0,3
2019-06-18,0,3,0
2019-06-19,0,48,1
2019-06-20,0,22,13
2019-06-21,0,1,12
2019-06-22,0,0,6
2019-06-23,0,0,3
2019-06-24,0,9,7
2019-06-25,0,2,8
2019-06-26,1,2,14
2019-06-27,0,0,7
2019-06-28,0,9,12
2019-06-29,0,0,7
2019-06-30,0,7,3
2019-07-01,0,3,7
2019-07-02,0,0,13
2019-07-03,0,0,7
2019-07-04,1,2,10
2019-07-05,1,2,2
2019-07-06,0,8,3
2019-07-07,0,2,2
2019-07-08,0,0,1
2019-07-09,0,5,7
2019-07-10,0,4,0
2019-07-11,0,2,2
2019-07-12,1,3,7
2019-07-13,0,12,0
2019-07-14,0,7,0
2019-07-15,0,1,3
2019-07-16,0,2,17
2019-07-17,0,1,1
2019-07-18,0,0,11
2019-07-19,2,1,8
2019-07-20,0,8,3
2019-07-21,0,1,3
2019-07-22,0,3,2
2019-07-23,0,3,1
2019-07-24,0,2,5
2019-07-25,0,4,14
2019-07-26,0,1,4
2019-07-27,2,13,3
2019-07-28,0,0,3
2019-07-29,1,10,1
2019-07-30,0,1,9
2019-07-31,0,3,3
2019-08-01,0,5,5
2019-08-02,0,0,4
2019-08-03,0,1,1
2019-08-04,0,2,4
2019-08-05,0,3,21
2019-08-06,0,0,7
2019-08-07,0,0,6
2019-08-08,0,0,10
2019-08-09,0,3,5
2019-08-10,0,4,0
2019-08-11,0,0,0
2019-08-12,0,0,4
2019-08-13,0,3,6
2019-08-14,1,1,11
2019-08-15,0,5,5
2019-08-16,0,4,5
2019-08-17,2,6,0
2019-08-18,0,13,0
2019-08-19,0,4,2
2019-08-20,0,3,8
2019-08-21,0,10,9
2019-08-22,0,14,10
2019-08-23,1,4,12
2019-08-24,1,4,1
2019-08-25,0,9,0
2019-08-26,0,1,3
2019-08-27,0,1,6
2019-08-28,1,0,4
2019-08-29,0,14,9
2019-08-30,0,13,3
2019-08-31,1,0,3
2019-09-01,1,8,2
2019-09-02,0,1,8
2019-09-03,0,2,9
2019-09-04,0,6,8
2019-09-05,0,5,8
2019-09-06,0,3,7
2019-09-07,0,3,0
2019-09-08,0,0,0
2019-09-09,0,3,5
2019-09-10,0,6,3
2019-09-11,0,5,0
2019-09-12,0,4,1
2019-09-13,0,3,12
2019-09-14,0,5,0
2019-09-15,0,1,0
2019-09-16,0,16,10
2019-09-17,0,22,4
2019-09-18,0,2,7
2019-09-19,0,1,1
2019-09-20,0,6,5
2019-09-21,0,0,0
2019-09-22,3,2,3
2019-09-23,0,5,6
2019-09-24,0,50,4
2019-09-25,0,23,12
2019-09-26,0,23,2
2019-09-27,0,2,3
2019-09-28,0,0,2
2019-09-29,0,4,0
2019-09-30,0,6,5
2019-10-01,0,1,9
2019-10-02,1,3,7
2019-10-03,0,14,2
2019-10-04,0,11,13
2019-10-05,0,0,8
2019-10-06,0,0,0
2019-10-07,0,6,9
2019-10-08,0,5,5
2019-10-09,0,12,12
2019-10-10,0,8,2
2019-10-11,0,10,5
2019-10-12,0,2,3
2019-10-13,2,1,0
2019-10-14,1,7,3
2019-10-15,1,8,4
2019-10-16,0,1,8
2019-10-17,0,5,9
2019-10-18,0,6,10
2019-10-19,0,5,2
2019-10-20,0,0,5
2019-10-21,0,2,3
2019-10-22,0,0,7
2019-10-23,0,1,7
2019-10-24,1,0,5
2019-10-25,2,0,3
2019-10-26,0,2,2
2019-10-27,0,6,2
2019-10-28,0,2,4
2019-10-29,0,1,4
2019-10-30,0,3,3
2019-10-31,0,2,9
2019-11-01,3,2,8
2019-11-02,0,3,3
2019-11-03,0,2,2
2019-11-04,0,0,2
2019-11-05,0,4,7
2019-11-06,0,7,6
2019-11-07,0,6,8
2019-11-08,0,10,4
2019-11-09,0,3,3
2019-11-10,0,2,4
2019-11-11,0,0,2
2019-11-12,0,5,5
2019-11-13,0,6,5
2019-11-14,1,4,7
2019-11-15,2,5,5
2019-11-16,0,1,2
2019-11-17,0,2,2
2019-11-18,0,1,10
2019-11-19,0,0,12
2019-11-20,0,0,6
2019-11-21,0,13,3
2019-11-22,0,4,5
2019-11-23,0,5,3
2019-11-24,0,0,3
2019-11-25,0,7,4
2019-11-26,0,2,7
2019-11-27,0,0,5
2019-11-28,2,0,2
2019-11-29,1,0,3
2019-11-30,0,13,3
2019-12-01,0,0,3
2019-12-02,0,8,5
2019-12-03,0,10,5
2019-12-04,0,0,7
2019-12-05,1,11,9
2019-12-06,0,4,19
2019-12-07,0,2,3
2019-12-08,0,0,2
2019-12-09,0,9,17
2019-12-10,0,17,9
2019-12-11,0,3,18
2019-12-12,0,13,7
2019-12-13,0,1,10
2019-12-14,3,2,3
2019-12-15,0,0,3
2019-12-16,0,2,7
2019-12-17,0,3,5
2019-12-18,0,1,8
2019-12-19,0,10,16
2019-12-20,0,1,6
2019-12-21,1,2,0
2019-12-22,1,2,0
2019-12-23,0,3,2
2019-12-24,0,1,4
2019-12-25,0,0,1
2019-12-26,0,1,2
2019-12-27,0,1,10
2019-12-28,2,1,4
2019-12-29,0,1,5
2019-12-30,0,5,5
2019-12-31,0,3,4
2020-01-01,0,1,0
2020-01-02,0,0,2
2020-01-03,0,1,5
2020-01-04,0,1,1
2020-01-05,3,5,2
2020-01-06,0,1,1
2020-01-07,0,2,1
2020-01-08,2,5,3
2020-01-09,0,4,1
2020-01-10,2,3,8
2020-01-11,0,2,2
2020-01-12,1,0,3
2020-01-13,6,0,7
2020-01-14,0,7,7
2020-01-15,6,1,13
2020-01-16,0,0,14
2020-01-17,1,1,11
2020-01-18,5,0,2
2020-01-19,0,0,3
2020-01-20,4,0,10
2020-01-21,0,1,9
2020-01-22,0,3,13
2020-01-23,0,1,7
2020-01-24,0,1,11
2020-01-25,0,0,0
2020-01-26,0,3,6
2020-01-27,1,0,6
2020-01-28,0,5,5
2020-01-29,4,8,10
2020-01-30,0,0,2
2020-01-31,2,1,3
2020-02-01,0,1,3
2020-02-02,0,5,1
2020-02-03,0,0,7
2020-02-04,0,2,17
2020-02-05,0,1,4
2020-02-06,0,0,8
2020-02-07,2,1,11
2020-02-08,0,0,3
2020-02-09,0,1,3
2020-02-10,0,5,14
2020-02-11,0,4,6
2020-02-12,0,1,3
2020-02-13,0,1,2
2020-02-14,0,0,3
2020-02-15,0,1,1
2020-02-16,0,0,2
2020-02-17,0,13,5
2020-02-18,0,9,4
2020-02-19,0,4,2
2020-02-20,0,0,11
2020-02-21,0,3,11
2020-02-22,0,2,4
2020-02-23,0,1,3
2020-02-24,0,0,4
2020-02-25,0,2,2
2020-02-26,0,0,15
2020-02-27,0,4,10
2020-02-28,0,0,10
2020-02-29,3,1,4
2020-03-01,0,1,1
2020-03-02,0,0,3
2020-03-03,0,1,8
2020-03-04,0,2,8
2020-03-05,0,0,7
2020-03-06,0,1,12
2020-03-07,0,0,4
2020-03-08,0,0,1
2020-03-09,0,2,4
2020-03-10,1,1,14
2020-03-11,2,1,10
2020-03-12,1,2,8
2020-03-13,1,2,4
2020-03-14,1,0,6
2020-03-15,0,0,1
2020-03-16,0,1,11
2020-03-17,0,0,10
2020-03-18,1,0,4
2020-03-19,2,0,7
2020-03-20,0,1,7
2020-03-21,1,0,7
2020-03-22,0,1,3
2020-03-23,0,1,14
2020-03-24,0,1,11
2020-03-25,0,0,7
2020-03-26,0,5,3
2020-03-27,0,1,14
2020-03-28,0,0,0
2020-03-29,4,0,3
2020-03-30,0,0,2
2020-03-31,4,0,4
2020-04-01,0,0,4
2020-04-02,1,0,14
2020-04-03,1,1,4
2020-04-04,1,2,4
2020-04-05,0,2,1
2020-04-06,0,0,18
2020-04-07,0,2,15
2020-04-08,0,5,16
2020-04-09,0,6,5
2020-04-10,0,1,6
2020-04-11,0,1,3
2020-04-12,0,4,2
2020-04-13,0,0,8
2020-04-14,1,0,8
2020-04-15,0,1,12
2020-04-16,0,1,13
2020-04-17,0,1,7
2020-04-18,3,2,2
2020-04-19,1,1,6
2020-04-20,0,10,3
2020-04-21,0,5,14
2020-04-22,1,4,9
2020-04-23,0,1,6
2020-04-24,0,2,8
2020-04-25,0,3,1
2020-04-26,0,3,2
2020-04-27,1,4,10
2020-04-28,0,1,7
2020-04-29,0,0,4
2020-04-30,0,3,2
2020-05-01,0,3,1
2020-05-02,0,0,0
2020-05-03,0,0,2
2020-05-04,0,4,0
2020-05-05,1,4,3
2020-05-06,0,5,6
2020-05-07,0,6,4
2020-05-08,0,2,4
2020-05-09,0,3,2
2020-05-10,0,1,4
2020-05-11,0,2,3
2020-05-12,0,21,14
2020-05-13,0,3,5
2020-05-14,0,0,14
2020-05-15,1,1,4
2020-05-16,0,1,3
2020-05-17,0,0,3
2020-05-18,0,2,6
2020-05-19,0,0,3
2020-05-20,0,2,4
2020-05-21,0,5,7
2020-05-22,0,5,5
2020-05-23,0,0,2
2020-05-24,0,1,3
2020-05-25,0,0,9
2020-05-26,0,1,5
2020-05-27,0,2,5
2020-05-28,0,1,10
2020-05-29,0,0,6
2020-05-30,0,0,3
2020-05-31,0,0,4
2020-06-01,2,0,6
2020-06-02,0,0,3
2020-06-03,0,0,2
2020-06-04,0,0,12
2020-06-05,0,0,4
2020-06-06,4,0,1
2020-06-07,2,0,0
2020-06-08,0,0,9
2020-06-09,0,0,9
2020-06-10,1,0,6
2020-06-11,0,1,3
2020-06-12,0,0,12
2020-06-13,0,0,2
2020-06-14,0,3,2
2020-06-15,0,2,10
2020-06-16,0,1,5
2020-06-17,0,0,7
2020-06-18,2,0,10
2020-06-19,0,0,6
2020-06-20,2,0,4
2020-06-21,1,0,2
2020-06-22,0,0,9
2020-06-23,0,1,13
2020-06-24,0,0,5
2020-06-25,0,0,7
2020-06-26,0,1,7
2020-06-27,0,1,4
2020-06-28,2,0,3
2020-06-29,0,5,7
2020-06-30,0,0,5
2020-07-01,0,10,6
2020-07-02,0,1,4
2020-07-03,0,2,6
2020-07-04,0,0,8
2020-07-05,0,0,1
2020-07-06,0,4,17
2020-07-07,0,2,2
2020-07-08,0,0,12
2020-07-09,0,0,6
2020-07-10,0,1,5
2020-07-11,0,13,5
2020-07-12,1,6,3
2020-07-13,0,0,9
2020-07-14,0,4,2
2020-07-15,0,0,11
2020-07-16,0,1,7
2020-07-17,0,0,14
2020-07-18,0,0,0
2020-07-19,0,1,1
2020-07-20,0,0,4
2020-07-21,0,0,6
2020-07-22,1,0,3
2020-07-23,0,0,6
2020-07-24,0,0,0
2020-07-25,1,0,1
2020-07-26,3,0,0
2020-07-27,0,1,2
2020-07-28,0,1,6
2020-07-29,0,2,6
2020-07-30,0,0,4
2020-07-31,0,2,4
2020-08-01,3,0,2
2020-08-02,1,1,5
2020-08-03,0,1,20
2020-08-04,0,4,8
2020-08-05,2,2,0
2020-08-06,0,1,6
2020-08-07,3,1,1
2020-08-08,3,6,0
2020-08-09,0,0,4
2020-08-10,0,3,7
2020-08-11,0,1,4
2020-08-12,0,3,3
2020-08-13,2,0,3
2020-08-14,0,0,7
2020-08-15,0,0,0
2020-08-16,0,8,1
2020-08-17,1,7,8
2020-08-18,0,0,4
2020-08-19,3,2,0
2020-08-20,1,0,7
2020-08-21,0,5,9
2020-08-22,0,2,1
2020-08-23,0,3,1
2020-08-24,2,0,7
2020-08-25,0,0,8
2020-08-26,0,1,5
2020-08-27,0,2,7
2020-08-28,0,0,2
2020-08-29,2,1,1
2020-08-30,0,3,1
2020-08-31,0,1,2
2020-09-01,2,1,4
2020-09-02,0,1,15
2020-09-03,4,0,5
2020-09-04,0,1,3
2020-09-05,2,3,2
2020-09-06,4,4,4
2020-09-07,0,2,6
2020-09-08,1,0,7
2020-09-09,0,2,1
2020-09-10,0,4,1
2020-09-11,0,2,1
2020-09-12,1,0,4
2020-09-13,2,0,4
2020-09-14,0,2,3
2020-09-15,0,0,1
2020-09-16,0,0,3
2020-09-17,1,0,6
2020-09-18,1,0,11
2020-09-19,2,0,4
2020-09-20,0,0,0
2020-09-21,0,0,3
2020-09-22,0,0,4
2020-09-23,0,1,10
2020-09-24,1,1,2
2020-09-25,3,1,14
2020-09-26,0,0,3
2020-09-27,0,3,9
2020-09-28,0,0,9
2020-09-29,0,6,9
2020-09-30,1,0,2
2020-10-01,0,1,2
2020-10-02,0,4,12
2020-10-03,0,1,0
2020-10-04,0,0,2
2020-10-05,0,0,13
2020-10-06,1,1,11
2020-10-07,0,0,7
2020-10-08,0,2,8
2020-10-09,2,0,6
2020-10-10,1,0,5
2020-10-11,0,0,6
2020-10-12,0,3,0
2020-10-13,0,1,4
2020-10-14,1,1,8
2020-10-15,0,3,2
2020-10-16,0,0,7
