,blevesearch/bleve,apache/solr,elastic/elasticsearch
2018-12-17,3,3,29
2018-12-18,1,6,42
2018-12-19,0,0,52
2018-12-20,0,4,24
2018-12-21,0,2,17
2018-12-22,0,0,5
2018-12-23,0,0,9
2018-12-24,0,0,6
2018-12-25,0,0,0
2018-12-26,0,1,0
2018-12-27,0,1,8
2018-12-28,0,4,11
2018-12-29,0,0,0
2018-12-30,0,0,0
2018-12-31,0,2,7
2019-01-01,0,1,1
2019-01-02,0,8,23
2019-01-03,0,8,25
2019-01-04,5,3,19
2019-01-05,1,4,2
2019-01-06,0,2,1
2019-01-07,1,6,32
2019-01-08,2,7,21
2019-01-09,1,6,36
2019-01-10,0,3,30
2019-01-11,2,1,35
2019-01-12,0,1,3
2019-01-13,0,1,3
2019-01-14,1,2,22
2019-01-15,1,5,43
2019-01-16,4,3,23
2019-01-17,0,7,20
2019-01-18,0,7,29
2019-01-19,0,3,2
2019-01-20,0,7,3
2019-01-21,5,4,22
2019-01-22,2,5,30
2019-01-23,1,4,32
2019-01-24,0,6,46
2019-01-25,0,6,45
2019-01-26,0,3,6
2019-01-27,0,2,6
2019-01-28,0,6,25
2019-01-29,2,3,32
2019-01-30,4,8,46
2019-01-31,1,4,43
2019-02-01,13,6,56
2019-02-02,0,2,10
2019-02-03,0,1,8
2019-02-04,2,0,37
2019-02-05,2,1,50
2019-02-06,4,6,19
2019-02-07,0,3,0
2019-02-08,0,9,18
2019-02-09,0,1,8
2019-02-10,0,1,1
2019-02-11,2,2,32
2019-02-12,2,3,25
2019-02-13,1,3,15
2019-02-14,4,6,21
2019-02-15,0,3,38
2019-02-16,0,0,8
2019-02-17,0,1,1
2019-02-18,0,3,27
2019-02-19,1,4,35
2019-02-20,1,5,38
2019-02-21,0,4,20
2019-02-22,1,4,22
2019-02-23,0,1,2
2019-02-24,0,2,0
2019-02-25,1,7,24
2019-02-26,1,6,17
2019-02-27,1,4,31
2019-02-28,0,6,17
2019-03-01,0,4,17
2019-03-02,0,0,3
2019-03-03,1,0,1
2019-03-04,1,11,35
2019-03-05,0,7,26
2019-03-06,0,2,19
2019-03-07,1,8,20
2019-03-08,0,3,23
2019-03-09,0,2,3
2019-03-10,0,2,3
2019-03-11,0,5,18
2019-03-12,2,9,22
2019-03-13,2,1,17
2019-03-14,0,10,21
2019-03-15,1,9,27
2019-03-16,0,0,5
2019-03-17,0,0,5
2019-03-18,0,3,23
2019-03-19,2,7,23
2019-03-20,3,2,28
2019-03-21,0,2,28
2019-03-22,3,1,18
2019-03-23,0,0,10
2019-03-24,0,1,0
2019-03-25,3,5,9
2019-03-26,4,4,28
2019-03-27,6,8,38
2019-03-28,1,2,30
2019-03-29,1,0,24
2019-03-30,0,3,6
2019-03-31,0,2,1
2019-04-01,2,3,26
2019-04-02,4,5,22
2019-04-03,4,8,22
2019-04-04,1,4,27
2019-04-05,1,12,24
2019-04-06,0,1,3
2019-04-07,0,0,5
2019-04-08,4,3,32
2019-04-09,1,4,25
2019-04-10,0,8,25
2019-04-11,0,4,17
2019-04-12,0,9,16
2019-04-13,0,3,0
2019-04-14,0,1,2
2019-04-15,0,7,14
2019-04-16,0,2,21
2019-04-17,0,4,23
2019-04-18,0,6,23
2019-04-19,0,13,23
2019-04-20,0,4,3
2019-04-21,0,3,0
2019-04-22,0,5,12
2019-04-23,0,3,18
2019-04-24,1,3,16
2019-04-25,4,3,22
2019-04-26,0,1,19
2019-04-27,0,1,3
2019-04-28,0,4,1
2019-04-29,0,4,17
2019-04-30,0,7,20
2019-05-01,1,8,20
2019-05-02,0,6,21
2019-05-03,0,1,15
2019-05-04,0,1,5
2019-05-05,0,0,1
2019-05-06,1,4,22
2019-05-07,0,5,25
2019-05-08,3,8,27
2019-05-09,2,5,36
2019-05-10,4,5,25
2019-05-11,0,0,0
2019-05-12,0,1,2
2019-05-13,0,4,1
2019-05-14,0,6,9
2019-05-15,0,3,8
2019-05-16,0,6,7
2019-05-17,0,2,4
2019-05-18,0,0,2
2019-05-19,0,0,1
2019-05-20,0,6,19
2019-05-21,0,7,34
2019-05-22,0,3,44
2019-05-23,0,8,28
2019-05-24,0,1,34
2019-05-25,0,1,8
2019-05-26,0,1,2
2019-05-27,0,3,10
2019-05-28,1,7,32
2019-05-29,2,8,19
2019-05-30,3,6,27
2019-05-31,2,2,17
2019-06-01,0,1,1
2019-06-02,0,1,1
2019-06-03,2,3,21
2019-06-04,2,10,14
2019-06-05,0,10,28
2019-06-06,2,4,24
2019-06-07,1,7,17
2019-06-08,3,2,3
2019-06-09,0,2,3
2019-06-10,2,8,34
2019-06-11,2,14,30
2019-06-12,3,4,22
2019-06-13,1,12,27
2019-06-14,0,11,15
2019-06-15,0,2,0
2019-06-16,0,1,1
2019-06-17,0,6,14
2019-06-18,0,10,23
2019-06-19,1,11,24
2019-06-20,0,10,31
2019-06-21,0,5,20
2019-06-22,0,5,1
2019-06-23,0,0,2
2019-06-24,0,6,26
2019-06-25,1,8,37
2019-06-26,1,9,25
2019-06-27,0,9,25
2019-06-28,1,9,21
2019-06-29,0,3,5
2019-06-30,0,5,7
2019-07-01,1,9,27
2019-07-02,2,14,23
2019-07-03,1,10,27
2019-07-04,0,3,18
2019-07-05,0,4,20
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,0,2,16
2019-07-09,1,6,23
2019-07-10,0,3,33
2019-07-11,0,7,29
2019-07-12,0,2,38
2019-07-13,0,1,4
2019-07-14,0,1,3
2019-07-15,0,4,36
2019-07-16,0,2,34
2019-07-17,0,18,38
2019-07-18,0,5,32
2019-07-19,0,6,18
2019-07-20,0,5,4
2019-07-21,0,4,3
2019-07-22,0,4,26
2019-07-23,0,5,21
2019-07-24,0,1,26
2019-07-25,1,7,25
2019-07-26,0,11,17
2019-07-27,0,1,0
2019-07-28,0,2,2
2019-07-29,1,6,28
2019-07-30,0,8,22
2019-07-31,0,4,17
2019-08-01,0,2,25
2019-08-02,1,7,19
2019-08-03,0,4,3
2019-08-04,0,1,4
2019-08-05,1,7,14
2019-08-06,1,9,27
2019-08-07,0,3,21
2019-08-08,2,2,35
2019-08-09,1,3,19
2019-08-10,0,5,2
2019-08-11,0,4,4
2019-08-12,1,4,27
2019-08-13,0,2,33
2019-08-14,0,5,28
2019-08-15,0,1,19
2019-08-16,0,0,31
2019-08-17,0,0,2
2019-08-18,0,2,0
2019-08-19,0,11,10
2019-08-20,0,8,25
2019-08-21,0,2,32
2019-08-22,0,2,29
2019-08-23,0,7,26
2019-08-24,0,0,4
2019-08-25,0,2,2
2019-08-26,2,3,29
2019-08-27,0,8,12
2019-08-28,0,2,19
2019-08-29,0,7,36
2019-08-30,0,2,11
2019-08-31,0,2,3
2019-09-01,0,4,1
2019-09-02,0,1,11
2019-09-03,0,3,16
2019-09-04,0,4,35
2019-09-05,0,13,23
2019-09-06,0,4,19
2019-09-07,0,2,4
2019-09-08,0,1,0
2019-09-09,0,2,22
2019-09-10,0,5,27
2019-09-11,0,4,43
2019-09-12,0,3,15
2019-09-13,0,8,9
2019-09-14,0,2,0
2019-09-15,0,1,2
2019-09-16,1,3,18
2019-09-17,0,2,17
2019-09-18,0,4,25
2019-09-19,2,3,24
2019-09-20,2,2,21
2019-09-21,0,4,0
2019-09-22,0,0,1
2019-09-23,0,1,26
2019-09-24,0,0,27
2019-09-25,0,5,47
2019-09-26,0,3,14
2019-09-27,0,4,24
2019-09-28,0,3,4
2019-09-29,0,4,0
2019-09-30,0,9,35
2019-10-01,0,5,32
2019-10-02,0,7,24
2019-10-03,0,3,19
2019-10-04,0,5,33
2019-10-05,0,1,7
2019-10-06,0,3,0
2019-10-07,0,11,27
2019-10-08,0,4,18
2019-10-09,0,2,25
2019-10-10,2,6,23
2019-10-11,1,8,26
2019-10-12,0,4,5
2019-10-13,0,1,6
2019-10-14,0,11,31
2019-10-15,0,9,32
2019-10-16,1,11,15
2019-10-17,0,0,14
2019-10-18,0,5,19
2019-10-19,0,1,1
2019-10-20,0,1,0
2019-10-21,0,8,22
2019-10-22,0,6,16
2019-10-23,0,7,27
2019-10-24,0,3,22
2019-10-25,1,4,21
2019-10-26,0,1,1
2019-10-27,0,0,0
2019-10-28,3,5,21
2019-10-29,1,9,41
2019-10-30,2,0,26
2019-10-31,0,0,36
2019-11-01,0,7,23
2019-11-02,0,2,2
2019-11-03,0,0,0
2019-11-04,0,3,5
2019-11-05,0,4,6
2019-11-06,0,2,5
2019-11-07,0,0,8
2019-11-08,0,1,3
2019-11-09,0,0,2
2019-11-10,0,0,0
2019-11-11,0,3,20
2019-11-12,0,7,18
2019-11-13,0,10,20
2019-11-14,0,6,22
2019-11-15,0,4,25
2019-11-16,0,2,1
2019-11-17,0,2,2
2019-11-18,0,5,26
2019-11-19,0,5,28
2019-11-20,0,2,22
2019-11-21,0,6,26
2019-11-22,0,8,32
2019-11-23,0,4,1
2019-11-24,0,4,1
2019-11-25,0,3,16
2019-11-26,0,5,21
2019-11-27,0,11,19
2019-11-28,0,10,12
2019-11-29,0,1,14
2019-11-30,0,1,0
2019-12-01,0,0,0
2019-12-02,0,7,14
2019-12-03,0,23,11
2019-12-04,0,6,20
2019-12-05,0,9,9
2019-12-06,0,17,22
2019-12-07,0,8,1
2019-12-08,0,6,1
2019-12-09,0,15,20
2019-12-10,0,13,15
2019-12-11,0,20,16
2019-12-12,0,22,26
2019-12-13,0,28,15
2019-12-14,0,3,0
2019-12-15,0,4,3
2019-12-16,0,15,16
2019-12-17,0,19,17
2019-12-18,0,13,22
2019-12-19,0,9,22
2019-12-20,0,9,29
2019-12-21,0,1,0
2019-12-22,0,0,0
2019-12-23,0,7,7
2019-12-24,0,9,9
2019-12-25,0,6,0
2019-12-26,0,0,7
2019-12-27,0,2,2
2019-12-28,0,2,0
2019-12-29,0,3,1
2019-12-30,0,8,5
2019-12-31,0,4,0
2020-01-01,0,1,0
2020-01-02,0,6,12
2020-01-03,2,21,21
2020-01-04,0,0,0
2020-01-05,0,0,2
2020-01-06,2,9,31
2020-01-07,2,3,20
2020-01-08,0,11,34
2020-01-09,0,22,25
2020-01-10,0,9,21
2020-01-11,1,1,1
2020-01-12,0,1,1
2020-01-13,0,14,24
2020-01-14,0,5,47
2020-01-15,3,17,27
2020-01-16,1,11,24
2020-01-17,0,4,23
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,4,21
2020-01-21,0,4,13
2020-01-22,1,16,28
2020-01-23,0,13,19
2020-01-24,0,9,30
2020-01-25,0,1,4
2020-01-26,0,6,0
2020-01-27,0,21,27
2020-01-28,0,7,30
2020-01-29,0,3,22
2020-01-30,0,6,30
2020-01-31,0,7,33
2020-02-01,0,2,3
2020-02-02,0,2,5
2020-02-03,0,1,22
2020-02-04,0,6,17
2020-02-05,0,6,27
2020-02-06,1,10,22
2020-02-07,1,9,31
2020-02-08,0,4,7
2020-02-09,0,1,5
2020-02-10,0,3,30
2020-02-11,0,4,25
2020-02-12,0,3,31
2020-02-13,0,1,15
2020-02-14,0,6,17
2020-02-15,0,3,3
2020-02-16,0,0,3
2020-02-17,1,2,9
2020-02-18,0,9,21
2020-02-19,0,5,25
2020-02-20,0,9,26
2020-02-21,0,8,24
2020-02-22,0,0,3
2020-02-23,0,1,3
2020-02-24,0,9,25
2020-02-25,0,3,29
2020-02-26,0,4,30
2020-02-27,1,9,27
2020-02-28,0,9,14
2020-02-29,0,2,3
2020-03-01,0,1,1
2020-03-02,1,11,26
2020-03-03,0,8,27
2020-03-04,0,5,24
2020-03-05,0,6,28
2020-03-06,0,7,17
2020-03-07,0,2,3
2020-03-08,0,1,3
2020-03-09,0,7,30
2020-03-10,0,5,26
2020-03-11,0,9,30
2020-03-12,0,7,21
2020-03-13,0,4,25
2020-03-14,0,1,2
2020-03-15,0,3,0
2020-03-16,1,5,25
2020-03-17,4,2,21
2020-03-18,3,7,41
2020-03-19,0,5,30
2020-03-20,0,1,30
2020-03-21,0,1,2
2020-03-22,0,0,0
2020-03-23,0,5,59
2020-03-24,0,4,57
2020-03-25,4,6,33
2020-03-26,1,4,38
2020-03-27,1,5,25
2020-03-28,0,5,8
2020-03-29,0,2,2
2020-03-30,0,0,26
2020-03-31,0,1,33
2020-04-01,0,5,35
2020-04-02,1,3,29
2020-04-03,2,7,26
2020-04-04,0,3,8
2020-04-05,6,1,1
2020-04-06,0,2,33
2020-04-07,0,8,40
2020-04-08,0,3,34
2020-04-09,0,4,14
2020-04-10,0,6,29
2020-04-11,0,3,0
2020-04-12,0,4,1
2020-04-13,0,8,18
2020-04-14,0,7,23
2020-04-15,5,2,38
2020-04-16,0,6,32
2020-04-17,1,3,31
2020-04-18,0,4,3
2020-04-19,0,3,1
2020-04-20,3,3,25
2020-04-21,0,4,28
2020-04-22,0,7,29
2020-04-23,0,4,22
2020-04-24,0,11,30
2020-04-25,0,0,3
2020-04-26,0,3,1
2020-04-27,0,7,22
2020-04-28,0,6,29
2020-04-29,2,9,38
2020-04-30,5,4,35
2020-05-01,1,6,2
2020-05-02,0,3,0
2020-05-03,0,1,2
2020-05-04,1,6,31
2020-05-05,1,2,57
2020-05-06,2,0,29
2020-05-07,6,9,22
2020-05-08,0,4,23
2020-05-09,0,1,1
2020-05-10,0,1,0
2020-05-11,0,3,30
2020-05-12,1,4,38
2020-05-13,0,6,37
2020-05-14,0,8,30
2020-05-15,0,9,27
2020-05-16,0,1,3
2020-05-17,0,1,3
2020-05-18,0,5,21
2020-05-19,2,6,20
2020-05-20,4,3,19
2020-05-21,0,5,14
2020-05-22,4,7,2
2020-05-23,1,0,1
2020-05-24,0,0,0
2020-05-25,0,0,13
2020-05-26,3,3,25
2020-05-27,0,4,30
2020-05-28,0,7,23
2020-05-29,0,5,27
2020-05-30,0,1,2
2020-05-31,0,1,0
2020-06-01,0,3,14
2020-06-02,0,7,32
2020-06-03,1,9,13
2020-06-04,0,4,25
2020-06-05,0,9,24
2020-06-06,0,4,3
2020-06-07,0,8,0
2020-06-08,1,6,22
2020-06-09,0,6,27
2020-06-10,0,9,18
2020-06-11,0,5,28
2020-06-12,0,5,31
2020-06-13,0,5,1
2020-06-14,0,2,1
2020-06-15,1,2,26
2020-06-16,0,9,23
2020-06-17,0,7,31
2020-06-18,2,6,43
2020-06-19,3,0,4
2020-06-20,0,1,1
2020-06-21,0,2,0
2020-06-22,2,4,3
2020-06-23,1,11,27
2020-06-24,0,5,22
2020-06-25,0,14,24
2020-06-26,0,5,25
2020-06-27,0,8,4
2020-06-28,0,3,1
2020-06-29,0,6,31
2020-06-30,0,10,40
2020-07-01,0,2,33
2020-07-02,0,11,46
2020-07-03,0,2,27
2020-07-04,0,5,2
2020-07-05,0,2,1
2020-07-06,0,3,30
2020-07-07,0,7,41
2020-07-08,0,8,33
2020-07-09,0,6,34
2020-07-10,0,5,10
2020-07-11,0,1,0
2020-07-12,0,0,0
2020-07-13,0,5,55
2020-07-14,0,3,52
2020-07-15,0,5,41
2020-07-16,0,3,29
2020-07-17,0,1,30
2020-07-18,0,0,2
2020-07-19,0,0,1
2020-07-20,0,6,38
2020-07-21,0,1,34
2020-07-22,0,1,29
2020-07-23,0,2,14
2020-07-24,0,3,2
2020-07-25,0,1,0
2020-07-26,0,1,0
2020-07-27,0,2,33
2020-07-28,0,1,36
2020-07-29,0,4,34
2020-07-30,0,2,17
2020-07-31,0,4,22
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,1,31
2020-08-04,0,3,19
2020-08-05,0,2,36
2020-08-06,0,7,28
2020-08-07,0,11,1
2020-08-08,0,0,0
2020-08-09,0,1,0
2020-08-10,0,4,26
2020-08-11,0,6,23
2020-08-12,0,4,20
2020-08-13,1,4,18
2020-08-14,0,12,16
2020-08-15,0,1,0
2020-08-16,0,0,0
2020-08-17,1,2,25
2020-08-18,2,4,19
2020-08-19,2,1,19
2020-08-20,1,4,16
2020-08-21,0,7,20
2020-08-22,0,1,0
2020-08-23,0,8,0
2020-08-24,6,10,35
2020-08-25,0,1,18
2020-08-26,0,7,20
2020-08-27,0,3,30
2020-08-28,0,6,1
2020-08-29,0,5,0
2020-08-30,0,4,2
2020-08-31,0,10,24
2020-09-01,0,12,30
2020-09-02,0,10,26
2020-09-03,0,13,25
2020-09-04,0,3,23
2020-09-05,0,2,3
2020-09-06,0,4,0
2020-09-07,0,6,18
2020-09-08,0,10,27
2020-09-09,0,12,26
2020-09-10,0,8,22
2020-09-11,0,1,4
2020-09-12,0,0,1
2020-09-13,0,1,0
2020-09-14,0,14,32
2020-09-15,0,4,35
2020-09-16,0,11,38
2020-09-17,0,8,38
2020-09-18,0,9,41
2020-09-19,0,1,2
2020-09-20,0,3,0
2020-09-21,0,7,24
2020-09-22,1,9,26
2020-09-23,0,7,16
2020-09-24,0,11,32
2020-09-25,0,1,3
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,1,10,18
2020-09-29,0,13,17
2020-09-30,1,3,35
2020-10-01,0,6,22
2020-10-02,0,3,29
2020-10-03,0,2,2
2020-10-04,0,4,1
2020-10-05,0,7,34
2020-10-06,7,4,35
2020-10-07,0,11,37
2020-10-08,0,3,26
2020-10-09,1,13,1
2020-10-10,0,1,0
2020-10-11,0,0,0
2020-10-12,0,4,21
2020-10-13,0,3,22
2020-10-14,1,7,28
2020-10-15,0,5,21
2020-10-16,0,8,23
2020-10-17,0,1,3
2020-10-18,0,4,0
2020-10-19,0,10,17
2020-10-20,0,1,19
2020-10-21,0,1,26
2020-10-22,0,6,20
2020-10-23,0,1,1
2020-10-24,0,4,5
2020-10-25,0,0,1
2020-10-26,0,8,21
2020-10-27,0,3,25
2020-10-28,0,0,25
2020-10-29,0,2,25
2020-10-30,0,3,26
2020-10-31,0,1,0
2020-11-01,0,0,0
2020-11-02,0,8,21
2020-11-03,0,9,20
2020-11-04,0,2,22
2020-11-05,0,3,27
2020-11-06,0,0,22
2020-11-07,0,0,2
2020-11-08,0,0,0
2020-11-09,0,3,35
2020-11-10,0,13,24
2020-11-11,1,4,27
2020-11-12,0,5,26
2020-11-13,0,4,2
2020-11-14,0,3,3
2020-11-15,0,1,0
2020-11-16,0,4,33
2020-11-17,0,7,27
2020-11-18,0,1,28
2020-11-19,0,1,19
2020-11-20,1,1,15
2020-11-21,0,0,0
2020-11-22,0,1,1
2020-11-23,0,2,22
2020-11-24,0,4,31
2020-11-25,0,1,20
2020-11-26,0,0,15
2020-11-27,0,3,0
2020-11-28,0,0,0
2020-11-29,0,0,1
2020-11-30,0,5,27
2020-12-01,0,3,27
2020-12-02,0,6,29
2020-12-03,0,5,32
2020-12-04,0,3,19
2020-12-05,0,0,1
2020-12-06,0,2,1
2020-12-07,0,4,23
2020-12-08,1,1,46
2020-12-09,0,1,31
2020-12-10,0,3,16
2020-12-11,0,2,3
2020-12-12,0,1,4
2020-12-13,0,0,2
2020-12-14,0,5,34
2020-12-15,0,4,48
2020-12-16,0,5,34
2020-12-17,0,4,36
2020-12-18,0,7,22
2020-12-19,0,0,0
2020-12-20,0,0,1
2020-12-21,0,0,17
2020-12-22,0,6,15
2020-12-23,0,5,11
2020-12-24,0,0,0
2020-12-25,0,0,1
2020-12-26,0,0,0
2020-12-27,0,0,0
2020-12-28,0,4,4
2020-12-29,0,0,7
2020-12-30,0,0,7
2020-12-31,0,1,0
2021-01-01,0,0,0
2021-01-02,0,1,0
2021-01-03,0,2,0
2021-01-04,1,5,20
2021-01-05,0,6,29
2021-01-06,2,3,28
2021-01-07,0,10,26
2021-01-08,0,6,5
2021-01-09,0,3,1
2021-01-10,0,0,1
2021-01-11,0,7,31
2021-01-12,1,0,38
2021-01-13,6,1,29
2021-01-14,4,1,23
2021-01-15,0,7,25
2021-01-16,0,0,1
2021-01-17,0,2,2
2021-01-18,0,2,19
2021-01-19,0,13,23
2021-01-20,0,4,26
2021-01-21,0,6,27
2021-01-22,0,7,0
2021-01-23,0,1,1
2021-01-24,0,1,0
2021-01-25,0,10,30
2021-01-26,0,8,24
2021-01-27,0,3,21
2021-01-28,0,5,33
2021-01-29,0,14,32
2021-01-30,0,0,1
2021-01-31,0,0,1
2021-02-01,0,8,35
2021-02-02,0,8,37
2021-02-03,0,11,32
2021-02-04,0,11,22
2021-02-05,0,7,21
2021-02-06,0,1,0
2021-02-07,0,1,5
2021-02-08,2,12,37
2021-02-09,0,6,26
2021-02-10,1,8,31
2021-02-11,0,13,27
2021-02-12,1,10,3
2021-02-13,0,1,0
2021-02-14,0,4,0
2021-02-15,0,11,18
2021-02-16,0,5,37
2021-02-17,0,15,30
2021-02-18,1,6,27
2021-02-19,0,9,24
2021-02-20,0,4,1
2021-02-21,0,6,0
2021-02-22,0,5,31
2021-02-23,0,11,35
2021-02-24,0,13,33
2021-02-25,0,3,25
2021-02-26,0,3,2
2021-02-27,0,5,3
2021-02-28,0,2,0
2021-03-01,0,6,35
2021-03-02,0,3,28
2021-03-03,0,1,37
2021-03-04,0,5,25
2021-03-05,0,8,9
2021-03-06,0,1,2
2021-03-07,0,1,0
2021-03-08,0,8,28
2021-03-09,0,5,28
2021-03-10,0,7,32
2021-03-11,0,3,25
2021-03-12,0,1,6
2021-03-13,0,0,1
2021-03-14,0,0,0
2021-03-15,0,3,26
2021-03-16,0,1,15
2021-03-17,0,4,20
2021-03-18,0,6,23
2021-03-19,0,6,6
2021-03-20,0,0,0
2021-03-21,0,0,1
2021-03-22,0,0,31
2021-03-23,0,2,33
