,gfx-rs/wgpu,vulkano-rs/vulkano,gfx-rs/gfx
2018-10-25,1.0,0,0
2018-10-26,3.9,4,0
2018-10-27,0.5549999999999996,3,0
2018-10-28,-0.3085000000000002,3,0
2018-10-29,-0.17966250000000006,0,0
2018-10-30,1.8727332500000005,0,0
2018-10-31,2.7017084875000004,0,0
2018-11-01,-0.4698584962500001,1,0
2018-11-02,1.740894889484375,0,0
2018-11-03,1.6154091991515624,1,0
2018-11-04,-0.4273847231593748,0,0
2018-11-05,-0.23007312753593734,0,0
2018-11-06,0.8400015700000003,0,0
2018-11-07,-0.22597621478124968,0,0
2018-11-08,0.8509398308812502,3,1
2018-11-09,-0.2022079751078124,0,0
2018-11-10,-0.10698651853124984,0,2
2018-11-11,3.919448918896875,1,0
2018-11-12,1.5493777824281247,0,0
2018-11-13,-0.40721044625000025,0,0
2018-11-14,-0.2267303255156251,1,1
2018-11-15,-0.1591425487859372,1,0
2018-11-16,-0.11536031301562462,1,0
2018-11-17,-0.09328040253593722,0,0
2018-11-18,-0.07069880999999979,0,0
2018-11-19,-0.06046064456249983,0,0
2018-11-20,-0.052732036174999865,0,3
2018-11-21,-0.016797705071874957,0,3
2018-11-22,0.0,0,0
2018-11-23,0.0,0,0
2018-11-24,0.0,0,0
2018-11-25,0.0,1,0
2018-11-26,0.0,0,0
2018-11-27,1.0,0,0
2018-11-28,-0.10000000000000009,1,1
2018-11-29,-0.04500000000000003,0,0
2018-11-30,-0.028500000000000022,2,1
2018-12-01,-0.020662499999999924,0,0
2018-12-02,0.9838832500000001,0,1
2018-12-03,-0.11316201250000005,0,1
2018-12-04,0.94390630375,1,2
2018-12-05,-0.13806831301562508,0,1
2018-12-06,-0.07406135253593743,0,0
2018-12-07,-0.04461674999999997,2,0
2018-12-08,-0.03382451249999988,0,0
2018-12-09,-0.027210446249999916,0,1
2018-12-10,-0.022730325515624934,0,1
2018-12-11,-0.019492548785937445,1,3
2018-12-12,-0.009568313015624975,0,0
2018-12-13,-0.008398852535937478,0,0
2018-12-14,0.0,0,0
2018-12-15,0.0,0,0
2018-12-16,0.0,0,0
2018-12-17,0.0,0,0
2018-12-18,0.0,1,0
2018-12-19,0.0,0,0
2018-12-20,0.0,0,1
2018-12-21,0.0,0,3
2018-12-22,0.0,0,6
2018-12-23,0.0,0,0
2018-12-24,0.0,0,0
2018-12-25,0.0,0,1
2018-12-26,0.0,0,1
2018-12-27,1.0,1,3
2018-12-28,-0.10000000000000009,0,3
2018-12-29,-0.04500000000000003,0,3
2018-12-30,-0.028500000000000022,0,1
2018-12-31,-0.020662499999999924,0,2
2019-01-01,-0.016116749999999947,0,0
2019-01-02,-0.01316201249999996,0,1
2019-01-03,-0.011093696249999967,0,4
2019-01-04,-0.009568313015624975,0,2
2019-01-05,-0.008398852535937478,1,0
2019-01-06,0.0,1,1
2019-01-07,0.0,0,1
2019-01-08,0.0,0,1
2019-01-09,0.0,0,2
2019-01-10,0.0,0,0
2019-01-11,0.0,0,1
2019-01-12,6.0,0,0
2019-01-13,-0.6000000000000005,0,0
2019-01-14,3.73,0,4
2019-01-15,0.4289999999999995,1,0
2019-01-16,1.5960250000000002,0,3
2019-01-17,0.5442994999999999,0,4
2019-01-18,1.6198779250000004,0,4
2019-01-19,-0.4536916774999998,1,0
2019-01-20,3.7140003219062505,0,2
2019-01-21,9.382174087284374,0,2
2019-01-22,-0.3131327233125005,0,0
2019-01-23,0.22525337184062488,0,1
2019-01-24,6.4223968001828124,0,4
2019-01-25,-1.0931454105874996,0,5
2019-01-26,-0.6055135285671869,0,0
2019-01-27,-0.42907186507187445,0,0
2019-01-28,-0.323126477062499,0,1
