,django/django,pallets/flask,expressjs/express
2010-06-06,0.0,1,0
2010-06-07,5.0,10,0
2010-06-08,1.0,0,1
2010-06-09,0.0,0,1
2010-06-10,1.0,4,3
2010-06-11,1.0,0,2
2010-06-12,0.0,0,0
2010-06-13,0.0,0,1
2010-06-14,0.0,2,1
2010-06-15,0.0,0,4
2010-06-16,0.0,0,1
2010-06-17,2.0,3,0
2010-06-18,0.0,6,4
2010-06-19,2.0,2,3
2010-06-20,0.0,0,7
2010-06-21,3.0,0,0
2010-06-22,0.0,1,0
2010-06-23,4.0,0,0
2010-06-24,1.0,0,0
2010-06-25,0.0,0,0
2010-06-26,0.0,5,0
2010-06-27,0.0,4,0
2010-06-28,0.0,9,0
2010-06-29,0.0,2,0
2010-06-30,1.0,4,0
2010-07-01,0.0,1,0
2010-07-02,0.0,6,0
2010-07-03,0.0,0,0
2010-07-04,0.0,29,0
2010-07-05,4.0,6,22
2010-07-06,0.0,14,11
2010-07-07,0.0,2,41
2010-07-08,0.0,0,43
2010-07-09,0.0,0,7
2010-07-10,0.0,0,0
2010-07-11,0.0,0,0
2010-07-12,0.0,4,19
2010-07-13,0.0,3,18
2010-07-14,0.0,2,41
2010-07-15,0.0,11,47
2010-07-16,0.0,2,33
2010-07-17,1.0,18,0
2010-07-18,0.0,10,0
2010-07-19,0.0,0,7
2010-07-20,1.0,5,16
2010-07-21,1.0,0,11
2010-07-22,0.0,0,22
2010-07-23,0.0,8,9
2010-07-24,1.0,0,3
2010-07-25,1.0,16,0
2010-07-26,0.0,9,23
2010-07-27,0.0,14,13
2010-07-28,0.0,0,8
2010-07-29,0.0,4,0
2010-07-30,7.0,1,9
2010-07-31,0.0,0,3
2010-08-01,0.0,0,0
2010-08-02,0.0,0,3
2010-08-03,3.0,5,4
2010-08-04,2.0,0,10
2010-08-05,10.0,0,15
2010-08-06,19.0,0,8
2010-08-07,22.0,5,0
2010-08-08,0.0,0,0
2010-08-09,0.0,1,15
2010-08-10,0.0,2,0
2010-08-11,1.0,0,5
2010-08-12,1.0,0,1
2010-08-13,0.0,1,0
2010-08-14,12.0,0,0
2010-08-15,0.0,1,3
2010-08-16,2.0,0,1
2010-08-17,1.0,0,5
2010-08-18,3.0,3,0
2010-08-19,2.0,0,3
2010-08-20,4.0,3,10
2010-08-21,2.0,0,10
2010-08-22,0.0,0,0
2010-08-23,6.0,0,0
2010-08-24,1.0,0,11
2010-08-25,0.0,0,0
2010-08-26,1.0,0,0
2010-08-27,4.0,0,12
2010-08-28,10.0,0,0
2010-08-29,0.0,0,0
2010-08-30,8.0,0,1
2010-08-31,1.0,0,2
2010-09-01,0.0,0,0
2010-09-02,0.0,0,1
2010-09-03,3.0,0,2
2010-09-04,0.0,0,0
2010-09-05,0.0,0,0
2010-09-06,0.0,0,15
2010-09-07,6.0,0,0
2010-09-08,0.0,0,1
2010-09-09,3.0,1,0
2010-09-10,18.0,1,2
2010-09-11,10.0,0,1
2010-09-12,33.0,1,0
2010-09-13,20.0,0,18
2010-09-14,2.0,0,3
2010-09-15,0.0,0,0
2010-09-16,1.0,0,0
2010-09-17,0.0,0,0
2010-09-18,0.0,0,3
2010-09-19,1.0,0,0
2010-09-20,0.0,0,9
2010-09-21,1.0,0,5
2010-09-22,0.0,0,11
2010-09-23,0.0,0,2
2010-09-24,0.0,0,0
2010-09-25,0.0,0,0
2010-09-26,7.0,0,1
2010-09-27,23.0,0,0
2010-09-28,19.0,0,0
2010-09-29,3.0,0,0
2010-09-30,0.0,0,0
2010-10-01,8.0,0,5
2010-10-02,2.0,0,0
2010-10-03,0.0,0,0
2010-10-04,2.0,0,8
2010-10-05,3.0,0,6
2010-10-06,8.0,0,2
2010-10-07,5.0,4,25
2010-10-08,24.0,0,1
2010-10-09,28.0,0,0
2010-10-10,20.0,0,0
2010-10-11,17.0,0,2
2010-10-12,18.0,0,11
2010-10-13,9.0,0,0
2010-10-14,8.0,0,16
2010-10-15,11.0,0,13
2010-10-16,3.0,0,0
2010-10-17,3.0,0,6
2010-10-18,21.0,0,1
2010-10-19,14.0,3,14
2010-10-20,10.0,0,11
2010-10-21,9.0,0,1
2010-10-22,1.0,3,7
2010-10-23,10.0,0,1
2010-10-24,5.0,0,0
2010-10-25,4.0,1,1
2010-10-26,4.0,0,14
2010-10-27,7.0,0,0
2010-10-28,12.0,0,0
2010-10-29,5.0,5,0
2010-10-30,6.0,0,3
